energy_ev,total_up,total_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Pb_p_up,Pb_p_down,Pb_d_up,Pb_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.14920929,-2.47888118,1.33073125,-1.13036330,1.13680277,-0.77690376,0.28669913,-0.39650343,0.00537672,-0.00391757,0.00922865,-0.00770792,1.60689895,-1.14787601
-5.99399700,3.21182901,-2.52133925,1.35563200,-1.14665505,1.16852107,-0.79394081,0.27896355,-0.39536044,0.00547208,-0.00400271,0.00954987,-0.00789138,1.65028504,-1.17344206
-5.98799400,3.27978778,-2.56123797,1.38340739,-1.16138620,1.20246677,-0.81063560,0.27177373,-0.39306576,0.00557260,-0.00408364,0.00989695,-0.00806064,1.69671667,-1.19830392
-5.98199100,3.35309653,-2.59885113,1.41409288,-1.17468790,1.23862896,-0.82710375,0.26519074,-0.38963065,0.00567837,-0.00416063,0.01026659,-0.00821676,1.74618040,-1.22262180
-5.97598799,3.43163689,-2.63460594,1.44765125,-1.18677275,1.27695730,-0.84350558,0.25924900,-0.38509700,0.00578933,-0.00423421,0.01065433,-0.00836200,1.79860298,-1.24662625
-5.96998499,3.51517655,-2.66906697,1.48397817,-1.19792781,1.31736810,-0.86003993,0.25395699,-0.37953706,0.00590524,-0.00430507,0.01105476,-0.00849960,1.85385902,-1.27060895
-5.96398199,3.60338812,-2.70291139,1.52290977,-1.20850331,1.35975108,-0.87693537,0.24929896,-0.37305149,0.00602575,-0.00437408,0.01146170,-0.00863363,1.91177980,-1.29490955
-5.95797899,3.69586915,-2.73689704,1.56423136,-1.21889775,1.40397622,-0.89443937,0.24523769,-0.36576602,0.00615039,-0.00444222,0.01186840,-0.00876873,1.97216223,-1.31989934
-5.95197599,3.79216154,-2.77182514,1.60768641,-1.22954003,1.44989976,-0.91280596,0.24171781,-0.35782666,0.00627856,-0.00451053,0.01226783,-0.00890984,2.03477696,-1.34596272
-5.94597299,3.89176834,-2.80849995,1.65298497,-1.24086986,1.49736881,-0.93228266,0.23866965,-0.34939398,0.00640962,-0.00458006,0.01265293,-0.00906194,2.09937469,-1.37347754
-5.93996998,3.99416623,-2.84768791,1.69981079,-1.25331743,1.54622379,-0.95309771,0.23601337,-0.34063669,0.00654279,-0.00465180,0.01301690,-0.00922972,2.16568993,-1.40279565
-5.93396698,4.09881257,-2.89007885,1.74782645,-1.26728370,1.59629854,-0.97544815,0.23366304,-0.33172481,0.00667724,-0.00472666,0.01335342,-0.00941734,2.23344172,-1.43422476
-5.92796398,4.20514613,-2.93625183,1.79667636,-1.28312239,1.64741763,-0.99948982,0.23153060,-0.32282302,0.00681204,-0.00480538,0.01365688,-0.00962816,2.30233091,-1.46801296
-5.92196098,4.31258161,-2.98664767,1.84598724,-1.30112476,1.69939114,-1.02532978,0.22952939,-0.31408436,0.00694616,-0.00488853,0.01392258,-0.00986449,2.37203435,-1.50433677
-5.91595798,4.42049828,-3.04155012,1.89536641,-1.32150815,1.75200709,-1.05302185,0.22757724,-0.30564470,0.00707846,-0.00497648,0.01414684,-0.01012748,2.44219619,-1.54329363
-5.90995498,4.52822398,-3.10107657,1.94439820,-1.34440872,1.80502220,-1.08256539,0.22559894,-0.29761826,0.00720769,-0.00506936,0.01432711,-0.01041695,2.51241723,-1.58489922
-5.90395198,4.63501620,-3.16517902,1.99263922,-1.36987891,1.85815161,-1.11390759,0.22352804,-0.29009436,0.00733242,-0.00516711,0.01446199,-0.01073137,2.58224318,-1.62908979
-5.89794897,4.74004225,-3.23365498,2.03961310,-1.39788946,1.91105872,-1.14694898,0.22130810,-0.28313550,0.00745112,-0.00526947,0.01455123,-0.01106785,2.65115327,-1.67572936
-5.89194597,4.84236103,-3.30616725,2.08480589,-1.42833587,1.96334605,-1.18155186,0.21889320,-0.27677683,0.00756208,-0.00537599,0.01459569,-0.01142228,2.71855046,-1.72462100
-5.88594297,4.94090873,-3.38227120,2.12766293,-1.46104843,2.01454831,-1.21755082,0.21624800,-0.27102696,0.00766346,-0.00548611,0.01459725,-0.01178940,2.78375468,-1.77552161
-5.87993997,5.03449109,-3.46144717,2.16758815,-1.49580522,2.06412865,-1.25476476,0.21334724,-0.26586997,0.00775327,-0.00559918,0.01455869,-0.01216307,2.84600039,-1.82815872
-5.87393697,5.12178392,-3.54313560,2.20394660,-1.53234675,2.11147908,-1.29300933,0.21017503,-0.26126849,0.00782947,-0.00571447,0.01448359,-0.01253647,2.90443953,-1.88224822
-5.86793397,5.20134372,-3.62677201,2.23607084,-1.57039127,2.15592562,-1.33210866,0.20672376,-0.25716747,0.00788994,-0.00583130,0.01437622,-0.01290240,2.95815066,-1.93751132
-5.86193097,5.27162918,-3.71181911,2.26327147,-1.60964936,2.19673863,-1.37190570,0.20299295,-0.25349859,0.00793255,-0.00594899,0.01424141,-0.01325356,3.00615457,-1.99368962
-5.85592796,5.33103367,-3.79779337,2.28485175,-1.64983671,2.23314828,-1.41226981,0.19898810,-0.25018486,0.00795526,-0.00606694,0.01408449,-0.01358284,3.04743645,-2.05055656
-5.84992496,5.37792798,-3.88428377,2.30012607,-1.69068407,2.26436493,-1.45310122,0.19471958,-0.24714517,0.00795616,-0.00618464,0.01391120,-0.01388362,3.08097376,-2.10792453
-5.84392196,5.41071201,-3.97096120,2.30844149,-1.73194350,2.28960360,-1.49433151,0.19020166,-0.24429861,0.00793357,-0.00630165,0.01372766,-0.01414999,3.10576916,-2.16564660
-5.83791896,5.42787282,-4.05757728,2.30920146,-1.77339055,2.30811163,-1.53592007,0.18545175,-0.24156830,0.00788607,-0.00641764,0.01354036,-0.01437697,3.12088668,-2.22361258
-5.83191596,5.42804649,-4.14395268,2.30189052,-1.81482196,2.31919807,-1.57784638,0.18048983,-0.23888451,0.00781262,-0.00653233,0.01335618,-0.01456066,3.12548960,-2.28173937
-5.82591296,5.41008024,-4.22995532,2.28609843,-1.85604938,2.32226346,-1.62009860,0.17533806,-0.23618705,0.00771262,-0.00664547,0.01318237,-0.01469835,3.11887794,-2.33995617
-5.81990995,5.37309150,-4.31547005,2.26154262,-1.89688932,2.31682819,-1.66265907,0.17002065,-0.23342681,0.00758593,-0.00675681,0.01302662,-0.01478854,3.10052348,-2.39818540
-5.81390695,5.31652024,-4.40036197,2.22808722,-1.93715044,2.30255802,-1.70548771,0.16456375,-0.23056643,0.00743292,-0.00686600,0.01289705,-0.01483092,3.07010024,-2.45632063
-5.80790395,5.24017146,-4.48443615,2.18575766,-1.97661920,2.27928516,-1.74850444,0.15899556,-0.22758024,0.00725448,-0.00697260,0.01280219,-0.01482633,3.02750859,-2.51420330
-5.80190095,5.14424504,-4.56739691,2.13474969,-2.01504515,2.24702353,-1.79157207,0.15334638,-0.22445345,0.00705205,-0.00707600,0.01275099,-0.01477660,2.97289144,-2.57159988
-5.79589795,5.02935087,-4.64881015,2.07543211,-2.05212734,2.20597743,-1.83448082,0.14764863,-0.22118076,0.00682753,-0.00717537,0.01275265,-0.01468445,2.90664141,-2.62818150
-5.78989495,4.89650800,-4.72807203,2.00834288,-2.08750324,2.15654270,-1.87693608,0.14193684,-0.21776464,0.00658328,-0.00726963,0.01281656,-0.01455329,2.82939821,-2.68350795
-5.78389195,4.74712751,-4.80438695,1.93417853,-2.12074142,2.09930039,-1.91855048,0.13624747,-0.21421328,0.00632205,-0.00735743,0.01295202,-0.01438706,2.74203645,-2.73701768
-5.77788894,4.58297959,-4.87675759,1.85377746,-2.15133900,2.03500300,-1.95884125,0.13061851,-0.21053851,0.00604687,-0.00743717,0.01316804,-0.01419008,2.64564399,-2.78802507
-5.77188594,4.40614630,-4.94398854,1.76809760,-2.17872479,1.96455384,-1.99723362,0.12508904,-0.20675381,0.00576101,-0.00750698,0.01347300,-0.01396688,2.54149206,-2.83572609
