energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,5.42819576,0.09363039,0.06954943,0.82715739,0.60089004,0.65178982,1.55079408,0.31995410,2.53180432
-5.99399700,5.35813246,0.08800777,0.06867550,0.80168034,0.59404112,0.62031533,1.52969275,0.32511352,2.49719133
-5.98799400,5.26499076,0.08225151,0.06749752,0.77359866,0.58472114,0.58764360,1.50155869,0.32833752,2.45195203
-5.98199100,5.15008848,0.07644327,0.06603421,0.74334358,0.57305901,0.55433914,1.46674240,0.32955291,2.39674333
-5.97598799,5.01503342,0.07065888,0.06430897,0.71135940,0.55921231,0.52095268,1.42568083,0.32872350,2.33235427
-5.96998499,4.86170696,0.06496715,0.06234978,0.67809769,0.54336613,0.48801244,1.37889149,0.32585165,2.25969750
-5.96398199,4.69224317,0.05942895,0.06018907,0.64401242,0.52573150,0.45601710,1.32696503,0.32097866,2.17979852
-5.95797899,4.50900296,0.05409681,0.05786355,0.60955600,0.50654352,0.42543057,1.27055624,0.31418384,2.09378292
-5.95197599,4.31454344,0.04901477,0.05541399,0.57517620,0.48605883,0.39667833,1.21037373,0.30558242,2.00286136
-5.94597299,4.11158248,0.04421861,0.05288500,0.54131378,0.46455265,0.37014528,1.14716829,0.29532229,1.90831241
-5.93996998,3.90295894,0.03973640,0.05032474,0.50840088,0.44231529,0.34617478,1.08172034,0.28357967,1.81146349
-5.93396698,3.69158931,0.03558920,0.04778464,0.47685987,0.41964807,0.32506856,1.01482676,0.27055404,1.71367016
-5.92796398,3.48042164,0.03179199,0.04531918,0.44710266,0.39685882,0.30708737,0.94728741,0.25646237,1.61629418
-5.92196098,3.27238798,0.02835468,0.04298551,0.41953023,0.37425709,0.29245187,0.87989183,0.24153302,1.52068092
-5.91595798,3.07035665,0.02528322,0.04084330,0.39453247,0.35214903,0.28134375,0.81340653,0.22599947,1.42813673
-5.90995498,2.87708574,0.02258065,0.03895440,0.37248790,0.33083226,0.27390670,0.74856318,0.21009418,1.33990682
-5.90395198,2.69517915,0.02024817,0.03738265,0.35376350,0.31059084,0.27024718,0.68604817,0.19404282,1.25715448
-5.89794897,2.52704664,0.01828606,0.03619360,0.33871428,0.29169045,0.27043490,0.62649377,0.17805901,1.18094209
-5.89194597,2.37486868,0.01669452,0.03545426,0.32768268,0.27437402,0.27450300,0.57047100,0.16233984,1.11221462
-5.88594297,2.24056727,0.01547433,0.03523281,0.32099746,0.25885787,0.28244790,0.51848450,0.14706213,1.05178595
-5.87993997,2.12578292,0.01462739,0.03559816,0.31897222,0.24532856,0.29422900,0.47096916,0.13237977,1.00032832
-5.87393697,2.03185830,0.01415694,0.03661949,0.32190323,0.23394039,0.30976826,0.42828858,0.11842188,0.95836517
-5.86793397,1.95982817,0.01406775,0.03836560,0.33006648,0.22481372,0.32894983,0.39073510,0.10529195,0.92626728
-5.86193097,1.91041535,0.01436599,0.04090405,0.34371396,0.21803394,0.35161983,0.35853112,0.09306794,0.90425211
-5.85592796,1.88403203,0.01505891,0.04430015,0.36306887,0.21365130,0.37758648,0.33183142,0.08180307,0.89238613
-5.84992496,1.88078545,0.01615439,0.04861564,0.38831998,0.21168121,0.40662062,0.31072614,0.07152739,0.89058970
-5.84392196,1.90048733,0.01766024,0.05390718,0.41961489,0.21210522,0.43845677,0.29524419,0.06224983,0.89864419
-5.83791896,1.94266591,0.01958345,0.06022457,0.45705241,0.21487238,0.47279478,0.28535668,0.05396073,0.91620083
-5.83191596,2.00657985,0.02192925,0.06760877,0.50067427,0.21990095,0.50930209,0.28098028,0.04663456,0.94279091
-5.82591296,2.09123351,0.02470016,0.07608973,0.55045630,0.22708047,0.54761666,0.28198038,0.04023287,0.97783697
-5.81990995,2.19539308,0.02789497,0.08568420,0.60629945,0.23627386,0.58735055,0.28817394,0.03470718,1.02066456
-5.81390695,2.31760343,0.03150779,0.09639342,0.66802123,0.24731981,0.62809407,0.29933214,0.03000182,1.07051454
-5.80790395,2.45620606,0.03552722,0.10820100,0.73534794,0.26003519,0.66942055,0.31518303,0.02605657,1.12655568
-5.80190095,2.60935820,0.03993564,0.12107102,0.80790830,0.27421770,0.71089165,0.33541428,0.02280905,1.18789754
-5.79589795,2.77505402,0.04470873,0.13494647,0.88522923,0.28964856,0.75206317,0.35967641,0.02019689,1.25360381
-5.78989495,2.95114844,0.04981525,0.14974814,0.96673407,0.30609554,0.79249125,0.38758669,0.01815954,1.32270613
-5.78389195,3.13538432,0.05521715,0.16537421,1.05174416,0.32331613,0.83173899,0.41873405,0.01663970,1.39421854
-5.77788894,3.32542374,0.06087005,0.18170046,1.13948384,0.34106115,0.86938336,0.45268511,0.01558463,1.46715274
-5.77188594,3.51888353,0.06672395,0.19858131,1.22908943,0.35907863,0.90502235,0.48899155,0.01494692,1.54053421
-5.76588294,3.71337550,0.07272450,0.21585170,1.31962214,0.37711812,0.93828215,0.52719881,0.01468517,1.61341905
-5.75987994,3.90655054,0.07881435,0.23332976,1.41008483,0.39493531,0.96882433,0.56685595,0.01476432,1.68491152
-5.75387694,4.09614615,0.08493496,0.25082031,1.49944231,0.41229691,0.99635282,0.60752644,0.01515581,1.75418180
-5.74787394,4.28003588,0.09102845,0.26811903,1.58664458,0.42898569,1.02062033,0.64879957,0.01583744,1.82048359
-5.74187094,4.45627880,0.09703966,0.28501723,1.67065214,0.44480548,1.04143415,0.69030175,0.01679315,1.88317079
-5.73586793,4.62316701,0.10291812,0.30130696,1.75046249,0.45958597,1.05866095,0.73170729,0.01801257,1.94171251
-5.72986493,4.77926844,0.10861994,0.31678633,1.82513665,0.47318692,1.07223026,0.77274785,0.01949043,1.99570559
-5.72386193,4.92346257,0.11410942,0.33126484,1.89382439,0.48550179,1.08213642,0.81321993,0.02122582,2.04488369
-5.71785893,5.05496638,0.11936033,0.34456832,1.95578710,0.49646022,1.08843872,0.85298966,0.02322133,2.08912204
-5.71185593,5.17334832,0.12435671,0.35654349,2.01041708,0.50602933,1.09125946,0.89199450,0.02548207,2.12843729
