energy_ev,total_up,Cd_p_up,Cd_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,1.64639901,0.91363668,0.34566935,0.08134101,0.34839858,0.07506383,0.34072823
-5.99399700,1.76698369,0.97990661,0.37064237,0.08659165,0.37464835,0.08152240,0.36522472
-5.98799400,1.88781418,1.04498047,0.39572558,0.09172433,0.40082298,0.08816861,0.38984481
-5.98199100,2.00681219,1.10772112,0.42047446,0.09662854,0.42651633,0.09491494,0.41413383
-5.97598799,2.12189729,1.16700106,0.44444429,0.10119626,0.45132142,0.10167031,0.43763701
-5.96998499,2.23103636,1.22173185,0.46720055,0.10532479,0.47484040,0.10834181,0.45991026
-5.96398199,2.33229364,1.27089384,0.48832956,0.10891950,0.49669436,0.11483665,0.48053104
-5.95797899,2.42387954,1.31356487,0.50744881,0.11189654,0.51653301,0.12106409,0.49910902
-5.95197599,2.50419612,1.34894672,0.52421655,0.11418524,0.53404352,0.12693736,0.51529613
-5.94597299,2.57187740,1.37638823,0.53834036,0.11573009,0.54895835,0.13237551,0.52879547
-5.93996998,2.62582279,1.39540400,0.54958412,0.11649234,0.56106170,0.13730501,0.53936873
-5.93396698,2.66522218,1.40568784,0.55777339,0.11645107,0.57019432,0.14166122,0.54684186
-5.92796398,2.68957165,1.40712031,0.56279862,0.11560356,0.57625644,0.14538947,0.55110857
-5.92196098,2.69867923,1.39977017,0.56461638,0.11396518,0.57920892,0.14844586,0.55213169
-5.91595798,2.69266066,1.38388960,0.56324835,0.11156858,0.57907242,0.15079776,0.54994216
-5.90995498,2.67192547,1.35990348,0.55877838,0.10846235,0.57592483,0.15242391,0.54463593
-5.90395198,2.63715430,1.32839335,0.55134754,0.10470919,0.56989711,0.15331420,0.53636874
-5.89794897,2.58926875,1.29007683,0.54114773,0.10038356,0.56116767,0.15346927,0.52534919
-5.89194597,2.52939522,1.24578335,0.52841389,0.09556916,0.54995583,0.15289978,0.51183046
-5.88594297,2.45882465,1.19642745,0.51341545,0.09035610,0.53651438,0.15162549,0.49610094
-5.87993997,2.37896988,1.14298077,0.49644725,0.08483800,0.52112184,0.14967434,0.47847446
-5.87393697,2.29132253,1.08644373,0.47782036,0.07910923,0.50407448,0.14708134,0.45928025
-5.86793397,2.19741104,1.02781818,0.45785324,0.07326216,0.48567857,0.14388750,0.43885331
-5.86193097,2.09876141,0.96808178,0.43686347,0.06738482,0.46624302,0.14013880,0.41752539
-5.85592796,1.99686172,0.90816498,0.41516031,0.06155878,0.44607261,0.13588522,0.39561695
-5.84992496,1.89313139,0.84893124,0.39303837,0.05585747,0.42546185,0.13117981,0.37343029
-5.84392196,1.78889561,0.79116071,0.37077236,0.05034495,0.40468976,0.12607790,0.35124398
-5.83791896,1.68536526,0.73553775,0.34861308,0.04507508,0.38401535,0.12063638,0.32930872
-5.83191596,1.58362215,0.68264225,0.32678458,0.04009113,0.36367402,0.11491303,0.30784447
-5.82591296,1.48460941,0.63294453,0.30548236,0.03542581,0.34387469,0.10896593,0.28703898
-5.81990995,1.38912638,0.58680374,0.28487266,0.03110165,0.32479770,0.10285292,0.26704737
-5.81390695,1.29782766,0.54446925,0.26509246,0.02713165,0.30659344,0.09663108,0.24799273
-5.80790395,1.21122552,0.50608479,0.24625032,0.02352020,0.28938152,0.09035620,0.22996759
-5.80190095,1.12969524,0.47169476,0.22842769,0.02026418,0.27325068,0.08408229,0.21303591
-5.79589795,1.05348267,0.44125251,0.21168064,0.01735411,0.25825922,0.07786107,0.19723565
-5.78989495,0.98271375,0.41463002,0.19604200,0.01477539,0.24443591,0.07174145,0.18258158
-5.78389195,0.91740541,0.39162872,0.18152357,0.01250953,0.23178158,0.06576909,0.16906829
-5.77788894,0.85747771,0.37199110,0.16811865,0.01053532,0.22027115,0.05998596,0.15667334
-5.77188594,0.80276692,0.35541284,0.15580453,0.00882989,0.20985619,0.05442995,0.14536033
-5.76588294,0.75303943,0.34155524,0.14454514,0.00736968,0.20046797,0.04913459,0.13508207
-5.75987994,0.70800627,0.33005766,0.13429372,0.00613131,0.19202098,0.04412887,0.12578357
-5.75387694,0.66733812,0.32054980,0.12499551,0.00509225,0.18441679,0.03943716,0.11740510
-5.74787394,0.63068073,0.31266362,0.11659047,0.00423142,0.17754826,0.03507928,0.10988499
-5.74187094,0.59767033,0.30604462,0.10901598,0.00352961,0.17130389,0.03107070,0.10316252
-5.73586793,0.56794895,0.30036243,0.10220950,0.00296984,0.16557229,0.02742290,0.09718054
-5.72986493,0.54117922,0.29532035,0.09611110,0.00253757,0.16024649,0.02414381,0.09188808
-5.72386193,0.51705829,0.29066366,0.09066592,0.00222084,0.15522813,0.02123841,0.08724263
-5.71785893,0.49533053,0.28618659,0.08582638,0.00201033,0.15043117,0.01870935,0.08321236
-5.71185593,0.47579846,0.28173768,0.08155414,0.00189936,0.14578511,0.01655766,0.07977791
-5.70585293,0.45833166,0.27722346,0.07782167,0.00188382,0.14123756,0.01478347,0.07693389
-5.69984992,0.44287314,0.27261019,0.07461351,0.00196206,0.13675609,0.01338672,0.07468995
-5.69384692,0.42944286,0.26792379,0.07192698,0.00213473,0.13232913,0.01236772,0.07307132
-5.68784392,0.41813826,0.26324776,0.06977237,0.00240457,0.12796613,0.01172772,0.07211879
-5.68184092,0.40913145,0.25871921,0.06817263,0.00277618,0.12369675,0.01146927,0.07188811
-5.67583792,0.40266315,0.25452303,0.06716246,0.00325571,0.11956923,0.01159642,0.07244863
-5.66983492,0.39903331,0.25088445,0.06678673,0.00385053,0.11564797,0.01211470,0.07388135
-5.66383192,0.39858866,0.24806003,0.06709847,0.00456883,0.11201043,0.01303095,0.07627620
-5.65782891,0.40170743,0.24632743,0.06815627,0.00541917,0.10874344,0.01435286,0.07972865
-5.65182591,0.40878160,0.24597419,0.07002113,0.00641000,0.10593911,0.01608830,0.08433572
-5.64582291,0.42019727,0.24728596,0.07275313,0.00754913,0.10369045,0.01824447,0.09019145
-5.63981991,0.43631366,0.25053430,0.07640759,0.00884315,0.10208688,0.02082687,0.09738190
-5.63381691,0.45744151,0.25596467,0.08103127,0.01029683,0.10120986,0.02383807,0.10597989
-5.62781391,0.48382165,0.26378489,0.08665843,0.01191258,0.10112870,0.02727647,0.11603969
-5.62181091,0.51560456,0.27415449,0.09330709,0.01368985,0.10189676,0.03113495,0.12759170
-5.61580790,0.55283176,0.28717527,0.10097561,0.01562459,0.10354824,0.03539961,0.14063758
-5.60980490,0.59541999,0.30288367,0.10963973,0.01770887,0.10609559,0.04004859,0.15514588
-5.60380190,0.64314901,0.32124507,0.11925022,0.01993048,0.10952775,0.04505108,0.17104855
-5.59779890,0.69565372,0.34215050,0.12973138,0.02227278,0.11380924,0.05036662,0.18823849
-5.59179590,0.75242151,0.36541598,0.14098050,0.02471464,0.11888016,0.05594467,0.20656838
-5.58579290,0.81279512,0.39078468,0.15286826,0.02723059,0.12465724,0.06172465,0.22585102
-5.57978989,0.87598154,0.41793199,0.16524039,0.02979122,0.13103578,0.06763636,0.24586131
-5.57378689,0.94106702,0.44647359,0.17792037,0.03236370,0.13789255,0.07360093,0.26633984
-5.56778389,1.00703806,0.47597618,0.19071332,0.03491262,0.14508960,0.07953216,0.28699825
-5.56178089,1.07280789,0.50597098,0.20341094,0.03740099,0.15247877,0.08533839,0.30752615
-5.55577789,1.13724785,0.53596918,0.21579737,0.03979136,0.15990685,0.09092477,0.32759949
-5.54977489,1.19922260,0.56547924,0.22765581,0.04204726,0.16722116,0.09619585,0.34689013
-5.54377189,1.25762793,0.59402513,0.23877563,0.04413460,0.17427539,0.10105842,0.36507620
-5.53776888,1.31142971,0.62116492,0.24895973,0.04602319,0.18093546,0.10542457,0.38185295
-5.53176588,1.35970247,0.64650896,0.25803185,0.04768828,0.18708513,0.10921469,0.39694353
-5.52576288,1.40166579,0.66973670,0.26584352,0.04911209,0.19263120,0.11236041,0.41010929
-5.51975988,1.43671703,0.69061150,0.27228028,0.05028512,0.19750796,0.11480727,0.42115914
-5.51375688,1.46445867,0.70899257,0.27726696,0.05120736,0.20168082,0.11651707,0.42995738
-5.50775388,1.48471901,0.72484346,0.28077167,0.05188930,0.20514881,0.11746972,0.43642977
-5.50175088,1.49756506,0.73823647,0.28280838,0.05235263,0.20794586,0.11766450,0.44056734
-5.49574787,1.50330689,0.74935271,0.28343790,0.05263054,0.21014084,0.11712069,0.44242786
-5.48974487,1.50249295,0.75847769,0.28276709,0.05276783,0.21183615,0.11587759,0.44213469
-5.48374187,1.49589642,0.76599227,0.28094645,0.05282048,0.21316505,0.11399370,0.43987317
-5.47773887,1.48449287,0.77235957,0.27816606,0.05285492,0.21428770,0.11154538,0.43588454
-5.47173587,1.46943017,0.77810790,0.27464998,0.05294686,0.21538608,0.10862480,0.43045765
-5.46573287,1.45199153,0.78381073,0.27064937,0.05317976,0.21665786,0.10533731,0.42391890
-5.45972986,1.43355318,0.79006421,0.26643456,0.05364292,0.21830961,0.10179847,0.41662070
-5.45372686,1.41553820,0.79746327,0.26228633,0.05442919,0.22054942,0.09813057,0.40892894
-5.44772386,1.39936823,0.80657723,0.25848673,0.05563246,0.22357920,0.09445904,0.40121016
-5.44172086,1.38641483,0.81792594,0.25530974,0.05734480,0.22758704,0.09090873,0.39381869
-5.43571786,1.37795210,0.83195729,0.25301214,0.05965347,0.23273975,0.08760011,0.38708443
-5.42971486,1.37511232,0.84902715,0.25182484,0.06263783,0.23917593,0.08464574,0.38130173
-5.42371186,1.37884601,0.86938233,0.25194491,0.06636612,0.24699975,0.08214689,0.37671968
-5.41770885,1.38988765,0.89314736,0.25352869,0.07089238,0.25627561,0.08019052,0.37353420
-5.41170585,1.40872818,0.92031538,0.25668605,0.07625350,0.26702399,0.07884669,0.37188218
-5.40570285,1.43559511,0.95074371,0.26147603,0.08246651,0.27921851,0.07816647,0.37183774
-5.39969985,1.47044071,0.98415395,0.26790398,0.08952630,0.29278435,0.07818038,0.37341079
-5.39369685,1.51293870,1.02013682,0.27592031,0.09740384,0.30759817,0.07889743,0.37654772
-5.38769385,1.56248951,1.05816146,0.28542085,0.10604496,0.32348946,0.08030480,0.38113424
-5.38169085,1.61823402,1.09758882,0.29624888,0.11536995,0.34024348,0.08236812,0.38700020
-5.37568784,1.67907536,1.13768880,0.30819871,0.12527387,0.35760561,0.08503242,0.39392604
-5.36968484,1.74370825,1.17766060,0.32102087,0.13562784,0.37528712,0.08822366,0.40165080
-5.36368184,1.81065527,1.21665554,0.33442868,0.14628118,0.39297224,0.09185085,0.40988126
-5.35767884,1.87830886,1.25380174,0.34810605,0.15706447,0.41032637,0.09580872,0.41830199
-5.35167584,1.94497818,1.28823002,0.36171639,0.16779348,0.42700522,0.09998084,0.42658590
-5.34567284,2.00893936,1.31910005,0.37491233,0.17827392,0.44266466,0.10424311,0.43440503
-5.33966983,2.06848777,1.34562611,0.38734595,0.18830675,0.45697098,0.10846758,0.44144130
-5.33366683,2.12199072,1.36710173,0.39867927,0.19769404,0.46961123,0.11252636,0.44739677
-5.32766383,2.16793885,1.38292228,0.40859459,0.20624507,0.48030344,0.11629563,0.45200322
-5.32166083,2.20499459,1.39260496,0.41680445,0.21378244,0.48880606,0.11965956,0.45503070
-5.31565783,2.23203591,1.39580548,0.42306067,0.22014794,0.49492668,0.12251390,0.45629486
-5.30965483,2.24819381,1.39233079,0.42716234,0.22520800,0.49852928,0.12476936,0.45566280
-5.30365183,2.25288199,1.38214746,0.42896228,0.22885833,0.49953998,0.12635435,0.45305722
-5.29764882,2.24581764,1.36538534,0.42837178,0.23102766,0.49795088,0.12721720,0.44845880
-5.29164582,2.22703228,1.34233619,0.42536347,0.23168038,0.49382186,0.12732769,0.44190666
-5.28564282,2.19687216,1.31344740,0.41997211,0.23081783,0.48728007,0.12667780,0.43349697
-5.27963982,2.15598801,1.27931072,0.41229321,0.22847835,0.47851723,0.12528173,0.42337969
-5.27363682,2.10531449,1.24064635,0.40247972,0.22473597,0.46778466,0.12317510,0.41175349
-5.26763382,2.04603994,1.19828294,0.39073674,0.21969777,0.45538616,0.12041347,0.39885919
-5.26163082,1.97956759,1.15313391,0.37731449,0.21350011,0.44166906,0.11707016,0.38497180
-5.25562781,1.90746965,1.10617101,0.36249992,0.20630390,0.42701357,0.11323356,0.37039153
-5.24962481,1.83143611,1.05839591,0.34660724,0.19828901,0.41182098,0.10900392,0.35543401
-5.24362181,1.75322017,1.01081071,0.32996776,0.18964820,0.39650096,0.10448997,0.34042028
-5.23761881,1.67458243,0.96438859,0.31291948,0.18058081,0.38145856,0.09980525,0.32566659
-5.23161581,1.59723593,0.92004527,0.29579681,0.17128641,0.36708128,0.09506453,0.31147477
-5.22561281,1.52279427,0.87861256,0.27892090,0.16195875,0.35372673,0.09038038,0.29812320
-5.21960980,1.45272447,0.84081476,0.26259072,0.15278022,0.34171133,0.08585993,0.28585888
-5.21360680,1.38830639,0.80724871,0.24707555,0.14391701,0.33130047,0.08160213,0.27489081
-5.20760380,1.33060009,0.77836821,0.23260870,0.13551515,0.32270041,0.07769542,0.26538494
-5.20160080,1.28042189,0.75447330,0.21938298,0.12769753,0.31605239,0.07421592,0.25746076
-5.19559780,1.23833004,0.73570474,0.20754774,0.12056190,0.31142889,0.07122628,0.25118974
-5.18959480,1.20461984,0.72204382,0.19720766,0.11418001,0.30883242,0.06877496,0.24659541
-5.18359180,1.17932831,0.71331739,0.18842313,0.10859762,0.30819671,0.06689621,0.24365528
-5.17758879,1.16224761,0.70920802,0.18121211,0.10383553,0.30939027,0.06561043,0.24230419
-5.17158579,1.15294632,0.70926871,0.17555322,0.09989131,0.31222225,0.06492498,0.24243906
-5.16558279,1.15079743,0.71294162,0.17139001,0.09674172,0.31645019,0.06483540,0.24392476
-5.15957979,1.15501164,0.71958006,0.16863589,0.09434558,0.32178952,0.06532677,0.24660071
-5.15357679,1.16467421,0.72847297,0.16717965,0.09264700,0.32792442,0.06637529,0.25028801
-5.14757379,1.17878393,0.73887083,0.16689125,0.09157863,0.33451944,0.06794985,0.25479672
-5.14157079,1.19629240,0.75001215,0.16762749,0.09106508,0.34123169,0.07001359,0.25993295
-5.13556778,1.21614213,0.76114950,0.16923757,0.09102599,0.34772290,0.07252529,0.26550555
-5.12956478,1.23730193,0.77157416,0.17156807,0.09137898,0.35367106,0.07544063,0.27133202
-5.12356178,1.25879843,0.78063850,0.17446744,0.09204217,0.35878115,0.07871311,0.27724354
-5.11755878,1.27974274,0.78777541,0.17778966,0.09293630,0.36279444,0.08229481,0.28308897
-5.11155578,1.29935154,0.79251412,0.18139718,0.09398642,0.36549637,0.08613681,0.28873760
-5.10555278,1.31696216,0.79449195,0.18516312,0.09512312,0.36672233,0.09018943,0.29408086
-5.09954977,1.33204178,0.79346189,0.18897259,0.09628333,0.36636161,0.09440224,0.29903281
-5.09354677,1.34419073,0.78929572,0.19272346,0.09741080,0.36435913,0.09872392,0.30352973
