energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,3.56720106,0.07694806,0.05083814,1.18464624,0.35764302,0.05254095,1.08124325,0.45399206,1.24103440
-5.99399700,3.48550809,0.07659733,0.04988502,1.15680945,0.34954750,0.05228194,1.05418086,0.44719224,1.21225993
-5.98799400,3.39508423,0.07602147,0.04888901,1.12661232,0.34073352,0.05179837,1.02481934,0.43949150,1.18020525
-5.98199100,3.29795354,0.07524723,0.04788910,1.09481444,0.33140435,0.05109579,0.99383470,0.43117256,1.14555079
-5.97598799,3.19618917,0.07430303,0.04692532,1.06217597,0.32176982,0.05018313,0.96190951,0.42252562,1.10899492
-5.96998499,3.09185667,0.07321805,0.04603759,1.02943774,0.31204050,0.04907255,0.92971455,0.41383970,1.07123439
-5.96398199,2.98695892,0.07202133,0.04526457,0.99730261,0.30242165,0.04777919,0.89789126,0.40539414,1.03294549
-5.95797899,2.88338434,0.07074094,0.04464250,0.96641855,0.29310723,0.04632090,0.86703537,0.39745033,0.99476667
-5.95197599,2.78286019,0.06940322,0.04420411,0.93736398,0.28427422,0.04471780,0.83768231,0.39024416,0.95728311
-5.94597299,2.68691213,0.06803208,0.04397765,0.91063562,0.27607738,0.04299185,0.81029477,0.38397921,0.92101347
-5.93996998,2.59683141,0.06664843,0.04398601,0.88663925,0.26864484,0.04116634,0.78525290,0.37882117,0.88639946
-5.93396698,2.51365054,0.06526974,0.04424607,0.86568354,0.26207459,0.03926534,0.76284728,0.37489344,0.85379826
-5.92796398,2.43812823,0.06390972,0.04476822,0.84797709,0.25643209,0.03731316,0.74327496,0.37227427,0.82347802
-5.92196098,2.37074385,0.06257818,0.04555608,0.83362865,0.25174909,0.03533383,0.72663875,0.37099546,0.79561650
-5.91595798,2.31170146,0.06128097,0.04660649,0.82265053,0.24802384,0.03335055,0.71294951,0.37104263,0.77030279
-5.90995498,2.26094312,0.06002017,0.04790976,0.81496500,0.24522249,0.03138524,0.70213155,0.37235721,0.74754186
-5.90395198,2.21817068,0.05879433,0.04945011,0.81041329,0.24328183,0.02945814,0.69403082,0.37483997,0.72726183
-5.89794897,2.18287522,0.05759888,0.05120641,0.80876707,0.24211308,0.02758747,0.68842546,0.37835595,0.70932345
-5.89194597,2.15437257,0.05642664,0.05315303,0.80974168,0.24160666,0.02578917,0.68503842,0.38274077,0.69353148
-5.88594297,2.13184356,0.05526840,0.05526094,0.81301075,0.24163767,0.02407674,0.68355145,0.38780778,0.67964732
-5.87993997,2.11437703,0.05411361,0.05749887,0.81822149,0.24207186,0.02246115,0.68361999,0.39335606,0.66740246
-5.87393697,2.10101384,0.05295107,0.05983454,0.82501004,0.24277167,0.02095081,0.68488827,0.39917869,0.65651214
-5.86793397,2.09078978,0.05176958,0.06223593,0.83301617,0.24360231,0.01955172,0.68700393,0.40507100,0.64668858
-5.86193097,2.08277567,0.05055862,0.06467238,0.84189669,0.24443728,0.01826751,0.68963157,0.41083851,0.63765329
-5.85592796,2.07611267,0.04930898,0.06711570,0.85133692,0.24516340,0.01709972,0.69246464,0.41630403,0.62914787
-5.84992496,2.07004158,0.04801322,0.06954100,0.86105973,0.24568480,0.01604797,0.69523513,0.42131370,0.62094303
