energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,4.07102284,0.01753729,0.41648802,1.24007242,1.63556339,0.00843147,1.46471796,0.82120707,0.53055693
-5.99399700,4.16471041,0.01786811,0.42773359,1.25135504,1.68608056,0.00851862,1.49137970,0.83247208,0.54659460
-5.98799400,4.24535799,0.01817037,0.43776920,1.25783597,1.73117347,0.00861644,1.51376200,0.84097396,0.56093556
-5.98199100,4.31234550,0.01842833,0.44651998,1.25952942,1.77042455,0.00872745,1.53177273,0.84666775,0.57343552
-5.97598799,4.36532438,0.01862837,0.45393794,1.25655568,1.80352115,0.00885421,1.54541432,0.84957838,0.58398682
-5.96998499,4.40422401,0.01875929,0.46000272,1.24913656,1.83026380,0.00899928,1.55478210,0.84980005,0.59252098
-5.96398199,4.42925110,0.01881247,0.46472152,1.23758800,1.85057177,0.00916500,1.56006035,0.84749331,0.59901033
-5.95797899,4.44088247,0.01878203,0.46812836,1.22231024,1.86448580,0.00935347,1.56151646,0.84288018,0.60346844
-5.95197599,4.43985130,0.01866482,0.47028253,1.20377599,1.87216786,0.00956634,1.55949330,0.83623744,0.60594946
-5.94597299,4.42712750,0.01846037,0.47126656,1.18251690,1.87389789,0.00980474,1.55440007,0.82788829,0.60654626
-5.93996998,4.40389258,0.01817076,0.47118355,1.15910886,1.87006773,0.01006917,1.54670192,0.81819266,0.60538751
-5.93396698,4.37150963,0.01780040,0.47015408,1.13415654,1.86117203,0.01035946,1.53690847,0.80753657,0.60263364
-5.92796398,4.33148908,0.01735572,0.46831276,1.10827758,1.84779671,0.01067464,1.52556150,0.79632072,0.59847197
-5.92196098,4.28545105,0.01684488,0.46580444,1.08208686,1.83060482,0.01101298,1.51322196,0.78494880,0.59311087
-5.91595798,4.23508481,0.01627739,0.46278033,1.05618124,1.81032037,0.01137191,1.50045644,0.77381567,0.58677344
-5.90995498,4.18210649,0.01566371,0.45939385,1.03112502,1.78771039,0.01174808,1.48782334,0.76329588,0.57969065
-5.90395198,4.12821581,0.01501483,0.45579667,1.00743654,1.76356563,0.01213737,1.47585901,0.75373288,0.57209429
-5.89794897,4.07505284,0.01434194,0.45213459,0.98557616,1.73868050,0.01253492,1.46506389,0.74542904,0.56420993
-5.89194597,4.02415594,0.01365605,0.44854378,0.96593584,1.71383267,0.01293526,1.45588922,0.73863695,0.55625013
-5.88594297,3.97692213,0.01296762,0.44514722,0.94883063,1.68976304,0.01333236,1.44872445,0.73355223,0.54840815
-5.87993997,3.93457085,0.01228637,0.44205146,0.93449223,1.66715669,0.01371977,1.44388582,0.73030804,0.54085242
-5.87393697,3.89811265,0.01162100,0.43934393,0.92306474,1.64662530,0.01409073,1.44160649,0.72897153,0.53372188
-5.86793397,3.86832372,0.01097905,0.43709081,0.91460291,1.62869189,0.01443838,1.44202870,0.72954240,0.52712259
-5.86193097,3.84572747,0.01036683,0.43533556,0.90907273,1.61377826,0.01475582,1.44519831,0.73195365,0.52112544
-5.85592796,3.83058394,0.00978937,0.43409816,0.90635458,1.60219568,0.01503638,1.45106213,0.73607458,0.51576539
-5.84992496,3.82288781,0.00925045,0.43337519,0.90624887,1.59413920,0.01527374,1.45946837,0.74171599,0.51104203
-5.84392196,3.82237514,0.00875268,0.43314069,0.90848402,1.58968583,0.01546211,1.47017043,0.74863745,0.50692148
-5.83791896,3.82853911,0.00829765,0.43334788,0.91272655,1.58879671,0.01559640,1.48283399,0.75655649,0.50333974
-5.83191596,3.84065409,0.00788606,0.43393162,0.91859316,1.59132310,0.01567240,1.49704752,0.76515940,0.50020700
