energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-4.78139070,7.47300036,0.07706440,0.55449434,1.12402346,1.44868597,3.99368319,0.00000000,1.63283706,1.16164000
-4.77538769,7.43713225,0.07476208,0.52621851,1.09124557,1.46771278,4.01671574,0.00000000,1.62106198,1.13593553
-4.76938469,7.40228027,0.07255789,0.49868299,1.05941457,1.48601822,4.03946812,0.00000000,1.61367932,1.11165516
-4.76338169,7.36803833,0.07047294,0.47219898,1.02862298,1.50330365,4.06115532,0.00000000,1.61053178,1.08896021
-4.75737869,7.33352006,0.06852016,0.44701195,0.99889904,1.51919398,4.08078133,0.00000000,1.61127136,1.06789576
-4.75137569,7.29738952,0.06670438,0.42329885,0.97020873,1.53324597,4.09716375,0.00000000,1.61536602,1.04839402
-4.74537269,7.25791819,0.06502260,0.40116810,0.94246075,1.54496155,4.10897082,0.00000000,1.62211455,1.03028275
-4.73936968,7.21306528,0.06346469,0.38066244,0.91551448,1.55380576,4.11476950,0.00000000,1.63066878,1.01329848
-4.73336668,7.16057736,0.06201431,0.36176412,0.88919021,1.55922821,4.11308214,0.00000000,1.64006260,0.99710348
-4.72736368,7.09810183,0.06065009,0.34440220,0.86328134,1.56068711,4.10244923,0.00000000,1.64924658,0.98130574
-4.72136068,7.02330836,0.05934693,0.32846136,0.83756779,1.55767460,4.08149479,0.00000000,1.65712656,0.96548083
-4.71535768,6.93401191,0.05807741,0.31379186,0.81182989,1.54974199,4.04899137,0.00000000,1.66260472,0.94919460
-4.70935468,6.82829110,0.05681329,0.30021997,0.78586212,1.53652363,4.00392120,0.00000000,1.66462122,0.93202560
-4.70335168,6.70459575,0.05552687,0.28755851,0.75948586,1.51775823,3.94553041,0.00000000,1.66219452,0.91358616
-4.69734867,6.56183878,0.05419230,0.27561688,0.73256075,1.49330647,3.87337383,0.00000000,1.65445862,0.89354121
-4.69134567,6.39946785,0.05278677,0.26421033,0.70499389,1.46316409,3.78734806,0.00000000,1.64069568,0.87162412
-4.68534267,6.21751397,0.05129142,0.25316794,0.67674675,1.42746987,3.68771140,0.00000000,1.62036243,0.84764892
-4.67933967,6.01661533,0.04969212,0.24233922,0.64783932,1.38650807,3.57508987,0.00000000,1.59310960,0.82151846
-4.67333667,5.79801577,0.04797988,0.23159909,0.61835166,1.34070541,3.45046931,0.00000000,1.55879339,0.79322856
-4.66733367,5.56353896,0.04615115,0.22085121,0.58842267,1.29062270,3.31517408,0.00000000,1.51747889,0.76286787
-4.66133067,5.31554019,0.04420770,0.21002958,0.55824647,1.23694157,3.17083373,0.00000000,1.46943550,0.73061397
-4.65532766,5.05683883,0.04215647,0.19909867,0.52806652,1.18044709,3.01933929,0.00000000,1.41512474,0.69672590
-4.64932466,4.79063506,0.04000902,0.18805208,0.49816802,1.12200690,2.86279144,0.00000000,1.35518155,0.66153382
-4.64332166,4.52041526,0.03778096,0.17691007,0.46886889,1.06254793,2.70344289,0.00000000,1.29038984,0.62542628
-4.63731866,4.24985038,0.03549119,0.16571613,0.44050994,1.00303165,2.54363750,0.00000000,1.22165400,0.58883592
-4.63131566,3.98269180,0.03316104,0.15453293,0.41344454,0.94442872,2.38574865,0.00000000,1.14996752,0.55222423
-4.62531266,3.72266886,0.03081343,0.14343779,0.38802832,0.88769410,2.23211919,0.00000000,1.07638041,0.51606608
-4.61930965,3.47339191,0.02847202,0.13251813,0.36460938,0.83374343,2.08500508,0.00000000,1.00196685,0.48083474
-4.61330665,3.23826418,0.02616034,0.12186700,0.34351917,0.78343137,1.94652448,0.00000000,0.92779435,0.44698781
-4.60730365,3.02040495,0.02390104,0.11157888,0.32506451,0.73753255,1.81861373,0.00000000,0.85489572,0.41495466
-4.60130065,2.82258603,0.02171529,0.10174602,0.30952084,0.69672566,1.70299118,0.00000000,0.78424462,0.38512571
-4.59529765,2.64718280,0.01962222,0.09245542,0.29712692,0.66158088,1.60112956,0.00000000,0.71673551,0.35784374
-4.58929465,2.49614020,0.01763848,0.08378635,0.28808102,0.63255106,1.51423709,0.00000000,0.65316841,0.33339749
-4.58329165,2.37095378,0.01577805,0.07580877,0.28253865,0.60996649,1.44324713,0.00000000,0.59423836,0.31201740
-4.57728864,2.27266498,0.01405203,0.06858234,0.28061177,0.59403339,1.38881616,0.00000000,0.54052981,0.29387364
-4.57128564,2.20186983,0.01246867,0.06215615,0.28236937,0.58483600,1.35132922,0.00000000,0.49251529,0.27907613
-4.56528264,2.15873931,0.01103342,0.05656905,0.28783942,0.58234185,1.33091207,0.00000000,0.45055792,0.26767642
-4.55927964,2.14305009,0.00974918,0.05185048,0.29701181,0.58641019,1.32744903,0.00000000,0.41491714,0.25967116
-4.55327664,2.15422332,0.00861647,0.04802179,0.30984225,0.59680297,1.34060535,0.00000000,0.38575683,0.25500693
-4.54727364,2.19136992,0.00763380,0.04509784,0.32625691,0.61319811,1.36985307,0.00000000,0.36315513,0.25358605
-4.54127064,2.25334004,0.00679801,0.04308878,0.34615736,0.63520445,1.41449898,0.00000000,0.34711505,0.25527320
-4.53526763,2.33877484,0.00610459,0.04200204,0.36942583,0.66237802,1.47371367,0.00000000,0.33757537,0.25990248
-4.52926463,2.44615860,0.00554805,0.04184430,0.39593021,0.69423893,1.54656058,0.00000000,0.33442106,0.26728475
-4.52326163,2.57386940,0.00512228,0.04262343,0.42552877,0.73028843,1.63202379,0.00000000,0.33749278,0.27721484
-4.51725863,2.72022665,0.00482084,0.04435030,0.45807418,0.77002547,1.72903385,0.00000000,0.34659521,0.28947870
-4.51125563,2.88353403,0.00463726,0.04704050,0.49341659,0.81296233,1.83649074,0.00000000,0.36150383,0.30386006
-4.50525263,3.06211670,0.00456525,0.05071572,0.53140564,0.85863858,1.95328326,0.00000000,0.38197023,0.32014666
-4.49924962,3.25435173,0.00459891,0.05540505,0.57189120,0.90663314,2.07830457,0.00000000,0.40772587,0.33813575
-4.49324662,3.45869120,0.00473291,0.06114587,0.61472265,0.95657388,2.21046345,0.00000000,0.43848462,0.35763903
-4.48724362,3.67367771,0.00496255,0.06798452,0.65974689,1.00814446,2.34869135,0.00000000,0.47394407,0.37848668
-4.48124062,3.89795225,0.00528386,0.07597658,0.70680497,1.06108828,2.49194547,0.00000000,0.51378620,0.40053074
-4.47523762,4.13025498,0.00569362,0.08518688,0.75572757,1.11520950,2.63920818,0.00000000,0.55767750,0.42364761
-4.46923462,4.36941948,0.00618934,0.09568911,0.80632958,1.17037099,2.78948350,0.00000000,0.60526903,0.44773979
-4.46323162,4.61436164,0.00676925,0.10756502,0.85840419,1.22648971,2.94179137,0.00000000,0.65619662,0.47273683
-4.45722861,4.86406427,0.00743219,0.12090326,0.91171677,1.28352952,3.09516068,0.00000000,0.71008158,0.49859555
-4.45122561,5.11755889,0.00817750,0.13579782,0.96599911,1.34149200,3.24862194,0.00000000,0.76653208,0.52529958
-4.44522261,5.37390619,0.00900494,0.15234608,1.02094446,1.40040567,3.40120065,0.00000000,0.82514531,0.55285813
-4.43921961,5.63217639,0.00991447,0.17064647,1.07620382,1.46031413,3.55191219,0.00000000,0.88551064,0.58130426
-4.43321661,5.89143108,0.01090609,0.19079584,1.13138403,1.52126362,3.69975904,0.00000000,0.94721352,0.61069253
-4.42721361,6.15070741,0.01197964,0.21288657,1.18604782,1.58329050,3.84373091,0.00000000,1.00984032,0.64109610
-4.42121061,6.40900571,0.01313456,0.23700349,1.23971631,1.64640910,3.98280804,0.00000000,1.07298378,0.67260350
-4.41520760,6.66528098,0.01436965,0.26322085,1.29187389,1.71060034,4.11596781,0.00000000,1.13624895,0.70531496
-4.40920460,6.91843871,0.01568282,0.29159924,1.34197568,1.77580136,4.24219446,0.00000000,1.19925949,0.73933852
-4.40320160,7.16733493,0.01707086,0.32218295,1.38945714,1.84189654,4.36049141,0.00000000,1.26166399,0.77478596
-4.39719860,7.41078025,0.01852913,0.35499759,1.43374586,1.90870989,4.46989573,0.00000000,1.32314211,0.81176878
-4.39119560,7.64754767,0.02005142,0.39004845,1.47427479,1.97599918,4.56949359,0.00000000,1.38341046,0.85039423
-4.38519260,7.87638340,0.02162968,0.42731957,1.51049657,2.04345163,4.65843630,0.00000000,1.44222791,0.89076161
-4.37918959,8.09602027,0.02325393,0.46677369,1.54189828,2.11068148,4.73595555,0.00000000,1.49940031,0.93295900
-4.37318659,8.30519317,0.02491210,0.50835324,1.56801587,2.17722936,4.80137745,0.00000000,1.55478438,0.97706060
-4.36718359,8.50265591,0.02659010,0.55198234,1.58844780,2.24256367,4.85413443,0.00000000,1.60829086,1.02312462
-4.36118059,8.68719938,0.02827179,0.59756986,1.60286712,2.30608402,4.89377455,0.00000000,1.65988676,1.07119206
-4.35517759,8.85767050,0.02993917,0.64501332,1.61103148,2.36712699,4.91996805,0.00000000,1.70959675,1.12128629
-4.34917459,9.01299192,0.03157265,0.69420365,1.61279074,2.42497417,4.93251099,0.00000000,1.75750356,1.17341338
-4.34317159,9.15218233,0.03315135,0.74503032,1.60809177,2.47886279,4.93132616,0.00000000,1.80374749,1.22756326
-4.33716858,9.27437720,0.03465355,0.79738671,1.59698038,2.52799893,4.91646169,0.00000000,1.84852473,1.28371136
-4.33116558,9.37884984,0.03605723,0.85117522,1.57960029,2.57157325,4.88808771,0.00000000,1.89208466,1.34182077
-4.32516258,9.46503221,0.03734061,0.90631176,1.55618937,2.60877912,4.84649177,0.00000000,1.93472571,1.40184433
-4.31915958,9.53253503,0.03848283,0.96272913,1.52707335,2.63883287,4.79207332,0.00000000,1.97678982,1.46372656
-4.31315658,9.58116641,0.03946458,1.02037886,1.49265735,2.66099561,4.72533800,0.00000000,2.01865524,1.52740496
-4.30715358,9.61094775,0.04026872,1.07923124,1.45341564,2.67459606,4.64689169,0.00000000,2.06072738,1.59281029
-4.30115058,9.62212580,0.04088097,1.13927307,1.40988014,2.67905342,4.55743482,0.00000000,2.10342783,1.65986551
-4.29514757,9.61517946,0.04129038,1.20050313,1.36262801,2.67389955,4.45775670,0.00000000,2.14718119,1.72848313
-4.28914457,9.59081990,0.04148983,1.26292515,1.31226893,2.65879918,4.34872965,0.00000000,2.19239989,1.79856071
-4.28314157,9.54998269,0.04147633,1.32653858,1.25943224,2.63356726,4.23130268,0.00000000,2.23946709,1.86997454
-4.27713857,9.49381106,0.04125125,1.39132723,1.20475457,2.59818239,4.10649412,0.00000000,2.28871797,1.94257156
-4.27113557,9.42362957,0.04082034,1.45724644,1.14886796,2.55279545,3.97538285,0.00000000,2.34041986,2.01615974
-4.26513257,9.34090837,0.04019357,1.52420929,1.09238887,2.49773268,3.83909752,0.00000000,2.39475188,2.09049755
-4.25912956,9.24721842,0.03938490,1.59207261,1.03590819,2.43349288,3.69880359,0.00000000,2.45178487,2.16528292
-4.25312656,9.14417931,0.03841180,1.66062367,0.97998230,2.36073848,3.55568783,0.00000000,2.51146265,2.24014263
-4.24712356,9.03340149,0.03729473,1.72956846,0.92512540,2.28028070,3.41094060,0.00000000,2.57358551,2.31462296
-4.24112056,8.91642561,0.03605638,1.79852248,0.87180293,2.19305935,3.26573602,0.00000000,2.63779730,2.38818242
-4.23511756,8.79466222,0.03472102,1.86700495,0.82042633,2.10011805,3.12121066,0.00000000,2.70357694,2.46018769
-4.22911456,8.66933508,0.03331364,1.93443712,0.77134906,2.00257588,2.97844163,0.00000000,2.77023564,2.52991340
-4.22311156,8.54143170,0.03185917,2.00014528,0.72486383,1.90159687,2.83842492,0.00000000,2.83692043,2.59654655
-4.21710855,8.41166439,0.03038171,2.06336895,0.68120122,1.79835859,2.70205517,0.00000000,2.90262481,2.65919608
-4.21110555,8.28044465,0.02890386,2.12327416,0.64052948,1.69402128,2.57010795,0.00000000,2.96620661,2.71690776
-4.20510255,8.14787319,0.02744610,2.17897185,0.60295577,1.58969894,2.44322548,0.00000000,3.02641322,2.76868427
-4.19909955,8.01374669,0.02602631,2.22954068,0.56852848,1.48643346,2.32190691,0.00000000,3.08191346,2.81351013
-4.19309655,7.87758187,0.02465945,2.27405374,0.53724088,1.38517300,2.20650353,0.00000000,3.13133539,2.85038072
-4.18709355,7.73865581,0.02335734,2.31160790,0.50903580,1.28675508,2.09721953,0.00000000,3.17330877,2.87833421
-4.18109055,7.59606090,0.02212866,2.34135471,0.48381132,1.19189511,1.99411819,0.00000000,3.20651044,2.89648526
-4.17508754,7.44877141,0.02097901,2.36253144,0.46142722,1.10118026,1.89713326,0.00000000,3.22971093,2.90405875
-4.16908454,7.29571821,0.01991115,2.37449074,0.44171202,1.01506869,1.80608504,0.00000000,3.24182006,2.90042216
-4.16308154,7.13586730,0.01892532,2.37672757,0.42447035,0.93389346,1.72070007,0.00000000,3.24192951,2.88511469
-4.15707854,6.96829782,0.01801965,2.36890188,0.40949046,0.85787083,1.64063356,0.00000000,3.22935037,2.85787176
-4.15107554,6.79227490,0.01719059,2.35085607,0.39655142,0.78711175,1.56549314,0.00000000,3.20364357,2.81864344
-4.14507254,6.60731323,0.01643344,2.32262605,0.38543000,0.72163588,1.49486293,0.00000000,3.16464189,2.76760567
-4.13906953,6.41322784,0.01574273,2.28444545,0.37590682,0.66138711,1.42832636,0.00000000,3.11246208,2.70516358
-4.13306653,6.21016914,0.01511274,2.23674261,0.36777160,0.60624961,1.36548689,0.00000000,3.04750665,2.63194653
-4.12706353,5.99864059,0.01453783,2.18013039,0.36082743,0.55606371,1.30598568,0.00000000,2.97045491,2.54879490
-4.12106053,5.77949817,0.01401274,2.11538927,0.35489394,0.51064075,1.24951535,0.00000000,2.88224381,2.45673923
-4.11505753,5.55393211,0.01353282,2.04344460,0.34980929,0.46977648,1.19582968,0.00000000,2.78403921,2.35697250
-4.10905453,5.32343239,0.01309419,1.96533882,0.34543114,0.43326248,1.14474892,0.00000000,2.67719926,2.25081683
-4.10305153,5.08974018,0.01269377,1.88220022,0.34163656,0.40089559,1.09616096,0.00000000,2.56323127,2.13968612
-4.09704852,4.85478868,0.01232923,1.79520947,0.33832115,0.37248509,1.05001877,0.00000000,2.44374432,2.02504628
-4.09104552,4.62063654,0.01199893,1.70556550,0.33539746,0.34785784,1.00633464,0.00000000,2.32039979,1.90837486
-4.08504252,4.38939816,0.01170176,1.61445225,0.33279293,0.32686155,0.96517194,0.00000000,2.19486187,1.79112175
-4.07903952,4.16317437,0.01143694,1.52300757,0.33044768,0.30936638,0.92663531,0.00000000,2.06875044,1.67467267
-4.07303652,3.94398724,0.01120388,1.43229561,0.32831214,0.29526525,0.89085990,0.00000000,1.94359810,1.56031675
-4.06703352,3.73372214,0.01100191,1.34328358,0.32634491,0.28447314,0.85800064,0.00000000,1.82081304,1.44921940
-4.06103052,3.53407939,0.01083015,1.25682367,0.32451091,0.27692554,0.82822192,0.00000000,1.70164905,1.34240126
-4.05502751,3.34653729,0.01068738,1.17364043,0.32277989,0.27257650,0.80168850,0.00000000,1.58718351,1.24072369
-4.04902451,3.17232727,0.01057190,1.09432390,0.32112546,0.27139619,0.77855766,0.00000000,1.47830366,1.14488094
-4.04302151,3.01242125,0.01048151,1.01932811,0.31952455,0.27336823,0.75897303,0.00000000,1.37570119,1.05539865
-4.03701851,2.86753049,0.01041350,0.94897472,0.31795735,0.27848675,0.74305984,0.00000000,1.27987471,0.97263829
-4.03101551,2.73811441,0.01036470,0.88346099,0.31640752,0.28675311,0.73092163,0.00000000,1.19113901,0.89680662
-4.02501251,2.62439756,0.01033158,0.82287136,0.31486274,0.29817229,0.72263796,0.00000000,1.10964040,0.82796937
-4.01900950,2.52639253,0.01031037,0.76719173,0.31331530,0.31274877,0.71826286,0.00000000,1.03537642,0.76606786
-4.01300650,2.44392625,0.01029722,0.71632546,0.31176259,0.33048190,0.71782360,0.00000000,0.96821868,0.71093763
-4.00700350,2.37666750,0.01028835,0.67011013,0.31020754,0.35136064,0.72131934,0.00000000,0.90793741,0.66232789
-4.00100050,2.32415340,0.01028023,0.62833425,0.30865859,0.37535770,0.72871941,0.00000000,0.85422619,0.61992079
-3.99499750,2.28581319,0.01026973,0.59075306,0.30712935,0.40242326,0.73996096,0.00000000,0.80672569,0.58334973
-3.98899450,2.26098783,0.01025419,0.55710287,0.30563778,0.43247822,0.75494591,0.00000000,0.76504537,0.55221585
-3.98299150,2.24894491,0.01023157,0.52711336,0.30420489,0.46540747,0.77353724,0.00000000,0.72878230,0.52610242
-3.97698849,2.24888849,0.01020049,0.50051772,0.30285298,0.50105339,0.79555478,0.00000000,0.69753652,0.50458661
-3.97098549,2.25996429,0.01016018,0.47706031,0.30160360,0.53920998,0.82077092,0.00000000,0.67092273,0.48724875
-3.96498249,2.28126109,0.01011053,0.45650198,0.30047523,0.57961811,0.84890657,0.00000000,0.64857817,0.47367899
-3.95897949,2.31180961,0.01005193,0.43862319,0.29948096,0.62196238,0.87962800,0.00000000,0.63016703,0.46348171
-3.95297649,2.35058024,0.00998523,0.42322528,0.29862623,0.66586987,0.91254499,0.00000000,0.61538179,0.45627797
-3.94697349,2.39648141,0.00991158,0.41013012,0.29790699,0.71091136,0.94721089,0.00000000,0.60394187,0.45170649
-3.94097049,2.44836007,0.00983228,0.39917876,0.29730822,0.75660513,0.98312506,0.00000000,0.59559058,0.44942358
-3.93496748,2.50500572,0.00974866,0.39022925,0.29680324,0.80242357,1.01973791,0.00000000,0.59009074,0.44910253
-3.92896448,2.56515912,0.00966192,0.38315437,0.29635371,0.84780254,1.05645882,0.00000000,0.58721998,0.45043285
-3.92296148,2.62752635,0.00957300,0.37783928,0.29591050,0.89215333,1.09266692,0.00000000,0.58676607,0.45311987
-3.91695848,2.69079842,0.00948248,0.37417976,0.29541535,0.93487687,1.12772449,0.00000000,0.58852315,0.45688471
-3.91095548,2.75367614,0.00939054,0.37208092,0.29480350,0.97537967,1.16099252,0.00000000,0.59228900,0.46146510
-3.90495248,2.81489942,0.00929689,0.37145671,0.29400676,1.01309074,1.19184798,0.00000000,0.59786376,0.46661693
-3.89894947,2.87327965,0.00920076,0.37223014,0.29295735,1.04747893,1.21970190,0.00000000,0.60505026,0.47211647
-3.89294647,2.92773363,0.00910100,0.37433419,0.29159188,1.07806964,1.24401741,0.00000000,0.61365570,0.47776322
-3.88694347,2.97731687,0.00899604,0.37771312,0.28985546,1.10446015,1.26432701,0.00000000,0.62349468,0.48338308
-3.88094047,3.02125442,0.00888411,0.38232413,0.28770560,1.12633282,1.28024787,0.00000000,0.63439316,0.48883151
-3.87493747,3.05896695,0.00876321,0.38813878,0.28511565,1.14346532,1.29149453,0.00000000,0.64619286,0.49399648
-3.86893447,3.09009027,0.00863137,0.39514421,0.28207752,1.15573744,1.29788825,0.00000000,0.65875569,0.49880068
-3.86293147,3.11448672,0.00848667,0.40334348,0.27860351,1.16313396,1.29936230,0.00000000,0.67196763,0.50320285
-3.85692846,3.13224712,0.00832741,0.41275508,0.27472707,1.16574352,1.29596312,0.00000000,0.68574156,0.50719781
-3.85092546,3.14368277,0.00815222,0.42341110,0.27050236,1.16375346,1.28784698,0.00000000,0.70001865,0.51081514
-3.84492246,3.14930739,0.00796015,0.43535415,0.26600268,1.15744092,1.27527254,0.00000000,0.71476790,0.51411619
-3.83891946,3.14980961,0.00775071,0.44863282,0.26131779,1.14716070,1.25858948,0.00000000,0.72998370,0.51718969
-3.83291646,3.14601716,0.00752396,0.46329593,0.25655013,1.13333049,1.23822400,0.00000000,0.74568127,0.52014580
-3.82691346,3.13885458,0.00728049,0.47938554,0.25181036,1.11641443,1.21466194,0.00000000,0.76189026,0.52310896
-3.82091046,3.12929656,0.00702143,0.49692934,0.24721220,1.09690572,1.18843030,0.00000000,0.77864657,0.52620989
-3.81490745,3.11831963,0.00674840,0.51593252,0.24286709,1.07530940,1.16007843,0.00000000,0.79598308,0.52957699
-3.80890445,3.10685482,0.00646344,0.53636991,0.23887881,1.05212616,1.13015968,0.00000000,0.81391971,0.53332775
-3.80290145,3.09574418,0.00616898,0.55817873,0.23533845,1.02783812,1.09921461,0.00000000,0.83245359,0.53756065
-3.79689845,3.08570382,0.00586768,0.58125268,0.23232006,1.00289713,1.06775660,0.00000000,0.85155004,0.54234798
-3.79089545,3.07729570,0.00556240,0.60543787,0.22987713,0.97771649,1.03626049,0.00000000,0.87113509,0.54773014
-3.78489245,3.07091029,0.00525606,0.63053105,0.22804024,0.95266605,1.00515493,0.00000000,0.89109036,0.55371186
-3.77888944,3.06676109,0.00495155,0.65628059,0.22681599,0.92807122,0.97481849,0.00000000,0.91125068,0.56026056
-3.77288644,3.06489187,0.00465165,0.68239049,0.22618727,0.90421547,0.94557975,0.00000000,0.93140506,0.56730716
-3.76688344,3.06519622,0.00435894,0.70852732,0.22611494,0.88134617,0.91772112,0.00000000,0.95130123,0.57474941
