energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.00074192,0.00000000,0.00011430,0.00002164,0.00006588,0.00000067,0.00027338
-5.99399700,0.00098535,0.00000000,0.00015151,0.00002841,0.00008758,0.00000089,0.00036376
-5.98799400,0.00129971,0.00000000,0.00019945,0.00003703,0.00011563,0.00000116,0.00048072
-5.98199100,0.00170268,0.00000000,0.00026078,0.00004793,0.00015163,0.00000150,0.00063096
-5.97598799,0.00221538,0.00000000,0.00033863,0.00006161,0.00019747,0.00000192,0.00082251
-5.96998499,0.00286281,0.00000000,0.00043671,0.00007862,0.00025543,0.00000246,0.00106492
-5.96398199,0.00367425,0.00000000,0.00055936,0.00009963,0.00032815,0.00000312,0.00136939
-5.95797899,0.00468357,0.00000000,0.00071157,0.00012537,0.00041870,0.00000392,0.00174893
-5.95197599,0.00592950,0.00000000,0.00089901,0.00015665,0.00053060,0.00000490,0.00221846
-5.94597299,0.00745577,0.00000000,0.00112809,0.00019436,0.00066784,0.00000609,0.00279490
-5.93996998,0.00931110,0.00000000,0.00140590,0.00023944,0.00083484,0.00000750,0.00349714
-5.93396698,0.01154897,0.00000000,0.00174018,0.00029292,0.00103651,0.00000918,0.00434605
-5.92796398,0.01422721,0.00000000,0.00213927,0.00035583,0.00127814,0.00001116,0.00536426
-5.92196098,0.01740727,0.00000000,0.00261197,0.00042923,0.00156536,0.00001347,0.00657593
-5.91595798,0.02115319,0.00000000,0.00316742,0.00051414,0.00190409,0.00001615,0.00800641
-5.90995498,0.02553028,0.00000000,0.00381484,0.00061153,0.00230034,0.00001922,0.00968165
-5.90395198,0.03060335,0.00000000,0.00456331,0.00072230,0.00276012,0.00002271,0.01162764
-5.89794897,0.03643478,0.00000000,0.00542149,0.00084716,0.00328925,0.00002666,0.01386959
-5.89194597,0.04308203,0.00000000,0.00639722,0.00098668,0.00389312,0.00003107,0.01643101
-5.88594297,0.05059512,0.00000000,0.00749719,0.00114115,0.00457644,0.00003596,0.01933268
-5.87993997,0.05901368,0.00000000,0.00872650,0.00131062,0.00534303,0.00004132,0.02259153
-5.87393697,0.06836401,0.00000000,0.01008825,0.00149477,0.00619548,0.00004716,0.02621948
-5.86793397,0.07865605,0.00000000,0.01158311,0.00169293,0.00713492,0.00005346,0.03022215
-5.86193097,0.08988046,0.00000000,0.01320894,0.00190403,0.00816072,0.00006017,0.03459777
-5.85592796,0.10200605,0.00000000,0.01496041,0.00212658,0.00927025,0.00006725,0.03933603
-5.84992496,0.11497745,0.00000000,0.01682872,0.00235865,0.01045868,0.00007465,0.04441716
-5.84392196,0.12871350,0.00000000,0.01880138,0.00259791,0.01171879,0.00008229,0.04981122
-5.83791896,0.14310629,0.00000000,0.02086214,0.00284161,0.01304090,0.00009008,0.05547761
-5.83191596,0.15802105,0.00000000,0.02299096,0.00308665,0.01441283,0.00009794,0.06136495
-5.82591296,0.17329700,0.00000000,0.02516422,0.00332962,0.01581999,0.00010574,0.06741135
-5.81990995,0.18874926,0.00000000,0.02735500,0.00356689,0.01724552,0.00011337,0.07354508
-5.81390695,0.20417178,0.00000000,0.02953353,0.00379467,0.01867057,0.00012072,0.07968563
-5.80790395,0.21934136,0.00000000,0.03166781,0.00400914,0.02007464,0.00012766,0.08574520
-5.80190095,0.23402253,0.00000000,0.03372432,0.00420652,0.02143606,0.00013407,0.09163068
-5.79589795,0.24797339,0.00000000,0.03566885,0.00438320,0.02273247,0.00013983,0.09724581
-5.78989495,0.26095201,0.00000000,0.03746745,0.00453585,0.02394147,0.00014484,0.10249377
-5.78389195,0.27272327,0.00000000,0.03908736,0.00466152,0.02504119,0.00014900,0.10727987
-5.77788894,0.28306585,0.00000000,0.04049804,0.00475774,0.02601100,0.00015223,0.11151436
-5.77188594,0.29177915,0.00000000,0.04167207,0.00482259,0.02683209,0.00015446,0.11511521
-5.76588294,0.29868966,0.00000000,0.04258606,0.00485476,0.02748811,0.00015565,0.11801074
-5.75987994,0.30365677,0.00000000,0.04322144,0.00485361,0.02796572,0.00015577,0.12014200
