energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
1.11955978,1.04312270,0.00188071,0.08611987,0.50494138,0.80035468,0.00340196,0.21616470,0.02719059,0.00156971
1.12556278,1.00908520,0.00166536,0.08613616,0.46731449,0.76607683,0.00312360,0.21439477,0.02543872,0.00160700
1.13156578,0.97618495,0.00150146,0.08592517,0.43149208,0.73345811,0.00286628,0.21246110,0.02385446,0.00163955
1.13756878,0.94442926,0.00138892,0.08545421,0.39778268,0.70259532,0.00262908,0.21029806,0.02245141,0.00166640
1.14357179,0.91382682,0.00132788,0.08469586,0.36646316,0.67356937,0.00241117,0.20784928,0.02124452,0.00168673
1.14957479,0.88440057,0.00131890,0.08362907,0.33777981,0.64645505,0.00221184,0.20507109,0.02025026,0.00169983
1.15557779,0.85619906,0.00136296,0.08223999,0.31194977,0.62133002,0.00203055,0.20193548,0.01948654,0.00170518
1.16158079,0.82930555,0.00146155,0.08052256,0.28916265,0.59828244,0.00186694,0.19843221,0.01897263,0.00170246
1.16758379,0.80384443,0.00161663,0.07847885,0.26958203,0.57741666,0.00172083,0.19457021,0.01872881,0.00169154
1.17358679,0.77998436,0.00183064,0.07611907,0.25334668,0.55885671,0.00159224,0.19037792,0.01877602,0.00167253
1.17958979,0.75793796,0.00210634,0.07346135,0.24057124,0.54274707,0.00148136,0.18590285,0.01913528,0.00164575
1.18559280,0.73795787,0.00244679,0.07053122,0.23134623,0.52925083,0.00138855,0.18121012,0.01982705,0.00161174
1.19159580,0.72032942,0.00285514,0.06736093,0.22573730,0.51854496,0.00131435,0.17638012,0.02087044,0.00157122
1.19759880,0.70535989,0.00333448,0.06398850,0.22378365,0.51081314,0.00125942,0.17150548,0.02228232,0.00152508
1.20360180,0.69336513,0.00388762,0.06045667,0.22549567,0.50623611,0.00122458,0.16668732,0.02407642,0.00147436
1.20960480,0.68465393,0.00451691,0.05681175,0.23085189,0.50498042,0.00121079,0.16203111,0.02626228,0.00142019
1.21560780,0.67951104,0.00522400,0.05310238,0.23979545,0.50718571,0.00121914,0.15764219,0.02884426,0.00136375
1.22161081,0.67817965,0.00600961,0.04937839,0.25223027,0.51295155,0.00125089,0.15362125,0.03182062,0.00130628
1.22761381,0.68084429,0.00687339,0.04568960,0.26801743,0.52232450,0.00130745,0.15005998,0.03518258,0.00124895
1.23361681,0.68761512,0.00781370,0.04208480,0.28697182,0.53528603,0.00139042,0.14703704,0.03891360,0.00119291
1.23961981,0.69851453,0.00882751,0.03861086,0.30885980,0.55174239,0.00150164,0.14461459,0.04298884,0.00113920
1.24562281,0.71346691,0.00991030,0.03531196,0.33339793,0.57151680,0.00164314,0.14283550,0.04737482,0.00108875
1.25162581,0.73229235,0.01105606,0.03222900,0.36025339,0.59434490,0.00181725,0.14172151,0.05202944,0.00104235
1.25762881,0.75470472,0.01225732,0.02939924,0.38904621,0.61987380,0.00202655,0.14127223,0.05690225,0.00100060
1.26363182,0.78031452,0.01350526,0.02685601,0.41935363,0.64766506,0.00227395,0.14146518,0.06193516,0.00096398
1.26963482,0.80863663,0.01478990,0.02462867,0.45071666,0.67720185,0.00256261,0.14225680,0.06706344,0.00093277
1.27563782,0.83910268,0.01610029,0.02274261,0.48264886,0.70789999,0.00289600,0.14358447,0.07221710,0.00090710
1.28164082,0.87107773,0.01742486,0.02121938,0.51464708,0.73912284,0.00327781,0.14536930,0.07732261,0.00088695
1.28764382,0.90388049,0.01875173,0.02007686,0.54620410,0.77019931,0.00371190,0.14751969,0.08230490,0.00087216
1.29364682,0.93680639,0.02006903,0.01932945,0.57682249,0.80044440,0.00420223,0.14993543,0.08708953,0.00086247
1.29964982,0.96915222,0.02136531,0.01898826,0.60602938,0.82918138,0.00475271,0.15251212,0.09160504,0.00085752
1.30565283,1.00024146,0.02262985,0.01906116,0.63339141,0.85576465,0.00536708,0.15514577,0.09578529,0.00085689
1.31165583,1.02944891,0.02385300,0.01955291,0.65852928,0.87960228,0.00604868,0.15773732,0.09957178,0.00086013
1.31765883,1.05622362,0.02502642,0.02046506,0.68113110,0.90017716,0.00680030,0.16019683,0.10291571,0.00086675
1.32366183,1.08010890,0.02614332,0.02179585,0.70096417,0.91706582,0.00762392,0.16244725,0.10577990,0.00087628
1.32966483,1.10075867,0.02719854,0.02354003,0.71788422,0.92995403,0.00852046,0.16442753,0.10814020,0.00088827
1.33566783,1.11794922,0.02818860,0.02568855,0.73184208,0.93864856,0.00948959,0.16609496,0.10998657,0.00090228
1.34167084,1.13158618,0.02911166,0.02822828,0.74288700,0.94308448,0.01052942,0.16742669,0.11132365,0.00091794
1.34767384,1.14170624,0.02996736,0.03114174,0.75116689,0.94332783,0.01163635,0.16842032,0.11217079,0.00093491
1.35367684,1.14847385,0.03075668,0.03440678,0.75692502,0.93957361,0.01280488,0.16909369,0.11256160,0.00095289
1.35967984,1.15217328,0.03148160,0.03799646,0.76049364,0.93213924,0.01402751,0.16948374,0.11254292,0.00097165
1.36568284,1.15319636,0.03214490,0.04187895,0.76228462,0.92145390,0.01529465,0.16964473,0.11217347,0.00099099
1.37168584,1.15202696,0.03274978,0.04601764,0.76277761,0.90804439,0.01659468,0.16964574,0.11152197,0.00101075
1.37768884,1.14922277,0.03329957,0.05037141,0.76250612,0.89251816,0.01791405,0.16956782,0.11066502,0.00103079
1.38369185,1.14539552,0.03379749,0.05489510,0.76204211,0.87554433,0.01923747,0.16950067,0.10968476,0.00105102
1.38969485,1.14119042,0.03424638,0.05954018,0.76197971,0.85783351,0.02054822,0.16953927,0.10866633,0.00107136
1.39569785,1.13726570,0.03464856,0.06425560,0.76291849,0.84011721,0.02182851,0.16978038,0.10769536,0.00109176
1.40170085,1.13427305,0.03500570,0.06898884,0.76544690,0.82312761,0.02305990,0.17031924,0.10685540,0.00111217
1.40770385,1.13283936,0.03531879,0.07368703,0.77012625,0.80757825,0.02422384,0.17124643,0.10622559,0.00113256
