energy_ev,total_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,1.81447925,1.29136951,0.35117580,0.06263584,1.08533651,0.08219950,0.00005947
-5.99399700,1.88839408,1.33476728,0.37068609,0.06456781,1.13119803,0.08572175,0.00006060
-5.98799400,1.96203308,1.37683830,0.39040977,0.06634920,1.17657639,0.08923879,0.00006181
-5.98199100,2.03586570,1.41800828,0.41033397,0.06797859,1.22161435,0.09275714,0.00006319
-5.97598799,2.11046665,1.45882353,0.43045270,0.06945732,1.26650797,0.09628324,0.00006484
-5.96998499,2.18650983,1.49994966,0.45076771,0.07078947,1.31150633,0.09982283,0.00006685
-5.96398199,2.26475996,1.54216757,0.47128939,0.07198179,1.35691057,0.10338041,0.00006933
-5.95797899,2.34606216,1.58636637,0.49203768,0.07304356,1.40307227,0.10695871,0.00007240
-5.95197599,2.43132915,1.63353290,0.51304284,0.07398649,1.45039106,0.11055843,0.00007617
-5.94597299,2.52152603,1.68473769,0.53434612,0.07482455,1.49931117,0.11417804,0.00008075
-5.93996998,2.61765236,1.74111687,0.55600003,0.07557375,1.55031665,0.11781377,0.00008626
-5.93396698,2.72072139,1.80385007,0.57806832,0.07625197,1.60392509,0.12145980,0.00009280
-5.92796398,2.83173644,1.87413427,0.60062525,0.07687858,1.66067944,0.12510858,0.00010047
-5.92196098,2.95166427,1.95315360,0.62375429,0.07747419,1.72113783,0.12875120,0.00010933
-5.91595798,3.08140575,2.04204577,0.64754610,0.07806021,1.78586110,0.13237802,0.00011945
-5.90995498,3.22176425,2.14186542,0.67209566,0.07865838,1.85539813,0.13597919,0.00013088
-5.90395198,3.37341229,2.25354561,0.69749868,0.07929031,1.93026908,0.13954526,0.00014363
-5.89794897,3.53685761,2.37785837,0.72384731,0.07997689,2.01094680,0.14306778,0.00015770
-5.89194597,3.71240955,2.51537582,0.75122521,0.08073772,2.09783685,0.14653977,0.00017303
-5.88594297,3.90014738,2.66643337,0.77970234,0.08159052,2.19125701,0.14995616,0.00018958
-5.87993997,4.09989212,2.83109664,0.80932956,0.08255052,2.29141674,0.15331409,0.00020723
-5.87393697,4.31118332,3.00913388,0.84013329,0.08362996,2.39839792,0.15661304,0.00022586
-5.86793397,4.53326274,3.19999543,0.87211077,0.08483758,2.51213759,0.15985490,0.00024531
-5.86193097,4.76506611,3.40280166,0.90522598,0.08617823,2.63241390,0.16304384,0.00026538
-5.85592796,5.00522435,3.61634055,0.93940658,0.08765262,2.75883613,0.16618614,0.00028587
-5.84992496,5.25207515,3.83907578,0.97454231,0.08925716,2.89083970,0.16928986,0.00030653
-5.84392196,5.50368506,4.06916539,1.01048468,0.09098398,3.02768668,0.17236447,0.00032711
-5.83791896,5.75788217,4.30449119,1.04704845,0.09282113,3.16847230,0.17542049,0.00034734
-5.83191596,6.01229838,4.54269784,1.08401455,0.09475280,3.31213745,0.17846899,0.00036697
-5.82591296,6.26442004,4.78124068,1.12113463,0.09675988,3.45748680,0.18152116,0.00038571
-5.81990995,6.51164498,5.01744038,1.15813678,0.09882043,3.60321209,0.18458791,0.00040333
-5.81390695,6.75134354,5.24854248,1.19473232,0.10091039,3.74791953,0.18767935,0.00041956
-5.80790395,6.98092102,5.47177949,1.23062319,0.10300422,3.89016013,0.19080441,0.00043420
-5.80190095,7.19787860,5.68443298,1.26550941,0.10507566,4.02846165,0.19397033,0.00044705
-5.79589795,7.39987000,5.88389332,1.29909638,0.10709839,4.16136065,0.19718221,0.00045795
-5.78989495,7.58475126,6.06771473,1.33110132,0.10904664,4.28743316,0.20044243,0.00046679
-5.78389195,7.75062150,6.23366372,1.36125871,0.11089574,4.40532271,0.20375012,0.00047347
-5.77788894,7.89585301,6.37975935,1.38932422,0.11262251,4.51376450,0.20710050,0.00047796
-5.77188594,8.01910986,6.50430434,1.41507710,0.11420553,4.61160501,0.21048423,0.00048025
-5.76588294,8.11935477,6.60590659,1.43832083,0.11562532,4.69781648,0.21388668,0.00048037
-5.75987994,8.19584506,6.68349121,1.45888233,0.11686429,4.77150628,0.21728734,0.00047839
-5.75387694,8.24811890,6.73630375,1.47660973,0.11790672,4.83192150,0.22065916,0.00047442
-5.74787394,8.27597391,6.76390584,1.49136926,0.11873850,4.87844941,0.22396809,0.00046856
-5.74187094,8.27944067,6.76616460,1.50304165,0.11934699,4.91061482,0.22717282,0.00046098
-5.73586793,8.25875376,6.74323759,1.51151843,0.11972077,4.92807548,0.23022478,0.00045183
-5.72986493,8.21432316,6.69555493,1.51669899,0.11984943,4.93061674,0.23306846,0.00044128
-5.72386193,8.14670853,6.62380037,1.51848853,0.11972349,4.91814674,0.23564211,0.00042951
-5.71785893,8.05659865,6.52889244,1.51679761,0.11933436,4.89069308,0.23787885,0.00041669
-5.71185593,7.94479751,6.41196700,1.51154348,0.11867451,4.84840179,0.23970829,0.00040299
-5.70585293,7.81221790,6.27436154,1.50265334,0.11773768,4.79153900,0.24105846,0.00038859
-5.69984992,7.65988264,6.11760150,1.49006956,0.11651933,4.72049529,0.24185815,0.00037363
-5.69384692,7.48893272,5.94338822,1.47375663,0.11501711,4.63579236,0.24203961,0.00035827
-5.68784392,7.30064068,5.75358791,1.45370941,0.11323150,4.53809125,0.24154137,0.00034263
-5.68184092,7.09642746,5.55022047,1.42996222,0.11116647,4.42820088,0.24031118,0.00032686
-5.67583792,6.87787979,5.33544708,1.40259811,0.10883015,4.30708572,0.23830881,0.00031106
-5.66983492,6.64676566,5.11155527,1.37175746,0.10623544,4.17587098,0.23550876,0.00029534
-5.66383192,6.40504485,4.88094017,1.33764537,0.10340055,4.03584392,0.23190246,0.00027980
-5.65782891,6.15487205,4.64608114,1.30053694,0.10034936,3.88844988,0.22750006,0.00026455
-5.65182591,5.89859036,4.40951305,1.26077991,0.09711155,3.73528208,0.22233155,0.00024966
-5.64582291,5.63871369,4.17379194,1.21879420,0.09372255,3.57806425,0.21644716,0.00023523
-5.63981991,5.37789714,3.94145537,1.17506792,0.09022322,3.41862602,0.20991698,0.00022133
-5.63381691,5.11889553,3.71497807,1.13014989,0.08665921,3.25887104,0.20282984,0.00020805
-5.62781391,4.86451079,3.49672403,1.08463856,0.08308012,3.10073866,0.19529129,0.00019545
-5.62181091,4.61752993,3.28889673,1.03916793,0.07953834,2.94616022,0.18742099,0.00018360
-5.61580790,4.38065584,3.09348901,0.99439061,0.07608780,2.79701143,0.17934937,0.00017256
-5.60980490,4.15643396,2.91223499,0.95095902,0.07278242,2.65506282,0.17121387,0.00016237
-5.60380190,3.94717796,2.74656589,0.90950533,0.06967455,2.52193018,0.16315474,0.00015309
-5.59779890,3.75489801,2.59757194,0.87062106,0.06681332,2.39902726,0.15531074,0.00014473
-5.59179590,3.58123512,2.46597234,0.83483726,0.06424306,2.28752288,0.14781477,0.00013731
-5.58579290,3.42740478,2.35209476,0.80260626,0.06200175,2.18830438,0.14078966,0.00013082
-5.57978989,3.29415290,2.25586585,0.77428568,0.06011969,2.10194930,0.13434432,0.00012524
-5.57378689,3.18172641,2.17681355,0.75012554,0.05861833,2.02870664,0.12857030,0.00012054
-5.56778389,3.08986017,2.11408144,0.73025910,0.05750940,1.96848878,0.12353902,0.00011667
-5.56178089,3.01778141,2.06645527,0.71469781,0.05679434,1.92087465,0.11929963,0.00011356
-5.55577789,2.96423161,2.03240067,0.70333059,0.05646407,1.88512409,0.11587767,0.00011112
-5.54977489,2.92750556,2.01011119,0.69592772,0.05649907,1.86020331,0.11327456,0.00010927
-5.54377189,2.90550614,1.99756487,0.69214889,0.05686990,1.84482017,0.11146786,0.00010790
-5.53776888,2.89581272,1.99258753,0.69155546,0.05753796,1.83746842,0.11041240,0.00010690
-5.53176588,2.89576086,1.99292041,0.69362611,0.05845668,1.83647885,0.11004212,0.00010617
-5.52576288,2.90252994,1.99628968,0.69777560,0.05957289,1.84007572,0.11027257,0.00010558
-5.51975988,2.91323558,2.00047545,0.70337568,0.06082848,1.84643614,0.11100410,0.00010503
-5.51375688,2.92502318,2.00337752,0.70977739,0.06216229,1.85375025,0.11212538,0.00010441
-5.50775388,2.93515898,2.00307567,0.71633395,0.06351201,1.86027981,0.11351736,0.00010365
-5.50175088,2.94111535,1.99788223,0.72242334,0.06481620,1.86441322,0.11505740,0.00010265
-5.49574787,2.94064699,1.98638517,0.72746967,0.06601628,1.86471481,0.11662340,0.00010135
-5.48974487,2.93185548,1.96748033,0.73096257,0.06705843,1.85996675,0.11809794,0.00009971
-5.48374187,2.91323994,1.94039188,0.73247390,0.06789526,1.84920212,0.11937202,0.00009769
-5.47773887,2.88373211,1.90468054,0.73167116,0.06848734,1.83172821,0.12034858,0.00009528
-5.47173587,2.84271521,1.86023984,0.72832713,0.06880437,1.80713932,0.12094539,0.00009249
-5.46573287,2.79002608,1.80728084,0.72232545,0.06882606,1.77531898,0.12109741,0.00008933
-5.45972986,2.72594123,1.74630662,0.71366196,0.06854260,1.73643186,0.12075844,0.00008584
-5.45372686,2.65114785,1.67807787,0.70244186,0.06795479,1.69090589,0.11990205,0.00008207
-5.44772386,2.56670151,1.60357140,0.68887278,0.06707375,1.63940578,0.11852171,0.00007807
-5.44172086,2.47397255,1.52393359,0.67325424,0.06592026,1.58279919,0.11663031,0.00007390
-5.43571786,2.37458390,1.44043100,0.65596385,0.06452374,1.52211713,0.11425878,0.00006964
-5.42971486,2.27034280,1.35439995,0.63744098,0.06292098,1.45851033,0.11145427,0.00006536
-5.42371186,2.16316962,1.26719745,0.61816846,0.06115453,1.39320347,0.10827767,0.00006112
-5.41770885,2.05502640,1.18015505,0.59865320,0.05927101,1.32744898,0.10480078,0.00005701
-5.41170585,1.94784798,1.09453726,0.57940644,0.05731923,1.26248242,0.10110314,0.00005308
-5.40570285,1.84347820,1.01150583,0.56092457,0.05534834,1.19948082,0.09726883,0.00004939
-5.39969985,1.74361346,0.93209072,0.54367111,0.05340600,1.13952570,0.09338314,0.00004599
-5.39369685,1.64975533,0.85716845,0.52806079,0.05153668,1.08357183,0.08952952,0.00004292
-5.38769385,1.56317372,0.78744791,0.51444617,0.04978017,1.03242277,0.08578676,0.00004023
-5.38169085,1.48488145,0.72346365,0.50310747,0.04817033,0.98671382,0.08222658,0.00003793
-5.37568784,1.41562074,0.66557613,0.49424596,0.04673416,0.94690281,0.07891172,0.00003605
-5.36968484,1.35586144,0.61397839,0.48798101,0.04549116,0.91326864,0.07589464,0.00003459
-5.36368184,1.30581069,0.56870833,0.48435115,0.04445315,0.88591740,0.07321677,0.00003356
-5.35767884,1.26543297,0.52966558,0.48331878,0.04362429,0.86479555,0.07090838,0.00003297
-5.35167584,1.23447926,0.49663190,0.48477836,0.04300160,0.84970926,0.06898910,0.00003282
-5.34567284,1.21252372,0.46929415,0.48856776,0.04257566,0.84034888,0.06746889,0.00003310
-5.33966983,1.19900598,0.44726860,0.49448192,0.04233165,0.83631736,0.06634952,0.00003382
-5.33366683,1.19327700,0.43012561,0.50228854,0.04225054,0.83716117,0.06562644,0.00003498
-5.32766383,1.19464626,0.41741377,0.51174451,0.04231050,0.84240226,0.06529076,0.00003660
-5.32166083,1.20242803,0.40868239,0.52261271,0.04248826,0.85156952,0.06533152,0.00003868
-5.31565783,1.21598460,0.40350191,0.53467791,0.04276060,0.86422827,0.06573777,0.00004125
-5.30965483,1.23476443,0.40148120,0.54776117,0.04310563,0.88000626,0.06650063,0.00004435
-5.30365183,1.25833328,0.40228149,0.56173180,0.04350402,0.89861499,0.06761496,0.00004801
-5.29764882,1.28639692,0.40562654,0.57651625,0.04393998,0.91986525,0.06908079,0.00005227
-5.29164582,1.31881426,0.41130868,0.59210333,0.04440200,0.94367601,0.07090418,0.00005720
-5.28564282,1.35560014,0.41919083,0.60854546,0.04488331,0.97007618,0.07309760,0.00006284
-5.27963982,1.39691769,0.42920452,0.62595572,0.04538199,0.99919908,0.07567986,0.00006927
-5.27363682,1.44306047,0.44134418,0.64450071,0.04590088,1.03126982,0.07867535,0.00007653
-5.26763382,1.49442535,0.45565810,0.66438970,0.04644706,1.06658610,0.08211299,0.00008468
-5.26163082,1.55147734,0.47223661,0.68586028,0.04703120,1.10549338,0.08602462,0.00009378
-5.25562781,1.61470833,0.49119823,0.70916149,0.04766660,1.14835579,0.09044314,0.00010387
-5.24962481,1.68459179,0.51267435,0.73453504,0.04836814,1.19552399,0.09540051,0.00011497
-5.24362181,1.76153592,0.53679347,0.76219588,0.04915111,1.24730196,0.10092560,0.00012708
-5.23761881,1.84583789,0.56366569,0.79231289,0.05002999,1.30391449,0.10704228,0.00014019
-5.23161581,1.93764165,0.59336847,0.82499096,0.05101731,1.36547699,0.11376763,0.00015426
-5.22561281,2.03690194,0.62593417,0.86025544,0.05212258,1.43196957,0.12111067,0.00016922
-5.21960980,2.14335654,0.66134029,0.89803980,0.05335144,1.50321692,0.12907147,0.00018499
-5.21360680,2.25650863,0.69950282,0.93817725,0.05470496,1.57887503,0.13764099,0.00020142
-5.20760380,2.37562044,0.74027310,0.98039701,0.05617917,1.65842594,0.14680143,0.00021837
