energy_ev,total_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,2.75365284,1.83789567,0.00000000,0.08947689,0.20580220,1.46778687,1.55883936
-5.99399700,2.83076082,1.85614237,0.00000000,0.09211651,0.22801721,1.50186299,1.57291421
-5.98799400,2.90407770,1.86898894,0.00000000,0.09447699,0.25170280,1.53324236,1.58289656
-5.98199100,2.97315408,1.87627807,0.00000000,0.09652639,0.27679962,1.56184333,1.58873471
-5.97598799,3.03756442,1.87790082,0.00000000,0.09823533,0.30323132,1.58760281,1.59042027
-5.96998499,3.09691541,1.87379828,0.00000000,0.09957779,0.33090634,1.61047411,1.58798792
-5.96398199,3.15085659,1.86396416,0.00000000,0.10053183,0.35972023,1.63042604,1.58151570
-5.95797899,3.19909276,1.84844797,0.00000000,0.10108045,0.38955844,1.64744323,1.57112578
-5.95197599,3.24139748,1.82735865,0.00000000,0.10121222,0.42029934,1.66152760,1.55698554
-5.94597299,3.27762652,1.80086810,0.00000000,0.10092195,0.45181742,1.67270094,1.53930858
-5.93996998,3.30773056,1.76921429,0.00000000,0.10021105,0.48398642,1.68100811,1.51835544
-5.93396698,3.33176584,1.73270343,0.00000000,0.09908785,0.51668226,1.68652074,1.49443365
-5.92796398,3.34990192,1.69171064,0.00000000,0.09756763,0.54978567,1.68934088,1.46789668
-5.92196098,3.36242572,1.64667887,0.00000000,0.09567240,0.58318422,1.68960421,1.43914159
-5.91595798,3.36974114,1.59811554,0.00000000,0.09343048,0.61677392,1.68748259,1.40860510
-5.90995498,3.37236386,1.54658695,0.00000000,0.09087587,0.65046008,1.68318543,1.37675796
-5.90395198,3.37091138,1.49271024,0.00000000,0.08804735,0.68415752,1.67695964,1.34409758
-5.89794897,3.36608823,1.43714301,0.00000000,0.08498747,0.71779022,1.66908803,1.31113901
-5.89194597,3.35866701,1.38057092,0.00000000,0.08174141,0.75129024,1.65988602,1.27840454
-5.88594297,3.34946581,1.32369361,0.00000000,0.07835574,0.78459621,1.64969657,1.24641212
-5.87993997,3.33932299,1.26720937,0.00000000,0.07487718,0.81765136,1.63888345,1.21566306
-5.87393697,3.32907023,1.21179925,0.00000000,0.07135142,0.85040122,1.62782299,1.18662948
-5.86793397,3.31950497,1.15811110,0.00000000,0.06782198,0.88279101,1.61689452,1.15974193
-5.86193097,3.31136337,1.10674422,0.00000000,0.06432922,0.91476302,1.60646972,1.13537776
-5.85592796,3.30529466,1.05823525,0.00000000,0.06090957,0.94625385,1.59690127,1.11385057
-5.84992496,3.30183797,1.01304578,0.00000000,0.05759482,0.97719168,1.58851120,1.09540138
-5.84392196,3.30140239,0.97155221,0.00000000,0.05441179,1.00749375,1.58157919,1.08019168
-5.83791896,3.30425081,0.93403816,0.00000000,0.05138201,1.03706386,1.57633144,1.06829874
-5.83191596,3.31048829,0.90068980,0.00000000,0.04852174,1.06579030,1.57293041,1.05971345
-5.82591296,3.32005506,0.87159410,0.00000000,0.04584207,1.09354399,1.57146593,1.05434063
-5.81990995,3.33272456,0.84674022,0.00000000,0.04334921,1.12017715,1.57194818,1.05200207
-5.81390695,3.34810659,0.82602377,0.00000000,0.04104487,1.14552246,1.57430278,1.05244202
-5.80790395,3.36565556,0.80925397,0.00000000,0.03892672,1.16939297,1.57836856,1.05533522
