energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,9.56300938,0.03302227,1.65842621,2.44149364,0.45530168,0.08930500,3.71923768,4.73770516,2.42282563
-5.99399700,9.53276394,0.03466559,1.60316861,2.46502396,0.46574381,0.09064838,3.76102829,4.75698450,2.36644772
-5.98799400,9.50859447,0.03623687,1.55599755,2.48289624,0.47552637,0.09186370,3.79688162,4.78099015,2.31729457
-5.98199100,9.48898759,0.03771835,1.51690309,2.49470883,0.48446843,0.09293314,3.82584346,4.80917607,2.27517947
-5.97598799,9.47237642,0.03909307,1.48572103,2.50021337,0.49240388,0.09384290,3.84711261,4.84090546,2.23978901
-5.96998499,9.45721034,0.04034521,1.46214931,2.49932052,0.49918636,0.09458321,3.86006549,4.87548134,2.21070613
-5.96398199,9.44201845,0.04146042,1.44576578,2.49210133,0.50469352,0.09514821,3.86427500,4.91217726,2.18743327
-5.95797899,9.42546493,0.04242607,1.43604678,2.47878442,0.50883038,0.09553570,3.85952349,4.95026748,2.16941494
-5.95197599,9.40639532,0.04323159,1.43238594,2.45974966,0.51153184,0.09574672,3.84580936,4.98905583,2.15605908
-5.94597299,9.38387311,0.04386869,1.43411303,2.43551855,0.51276409,0.09578497,3.82334768,5.02790260,2.14675688
-5.93996998,9.35720630,0.04433153,1.44051235,2.40674189,0.51252513,0.09565630,3.79256477,5.06624871,2.14090065
-5.93396698,9.32596399,0.04461693,1.45084062,2.37418515,0.51084419,0.09536800,3.75408720,5.10363646,2.13789961
-5.92796398,9.28998302,0.04472442,1.46434400,2.33871189,0.50778027,0.09492822,3.70872557,5.13972600,2.13719337
-5.92196098,9.24936519,0.04465622,1.48027403,2.30126546,0.50341983,0.09434534,3.65745363,5.17430679,2.13826304
-5.91595798,9.20446527,0.04441726,1.49790246,2.26284925,0.49787371,0.09362750,3.60138316,5.20730326,2.14063991
-5.90995498,9.15587036,0.04401497,1.51653450,2.22450573,0.49127345,0.09278211,3.54173548,5.23877407,2.14391160
-5.90395198,9.10437125,0.04345914,1.53552047,2.18729421,0.48376711,0.09181553,3.47980997,5.26890446,2.14772576
-5.89794897,9.05092656,0.04276160,1.55426555,2.15226781,0.47551482,0.09073292,3.41695063,5.29799159,2.15179127
-5.89194597,8.99662061,0.04193591,1.57223744,2.12044954,0.46668419,0.08953806,3.35451135,5.32642292,2.15587710
-5.88594297,8.94261620,0.04099699,1.58897183,2.09280804,0.45744566,0.08823345,3.29382079,5.35464829,2.15980887
-5.87993997,8.89010406,0.03996072,1.60407558,2.07023322,0.44796810,0.08682044,3.23614786,5.38314665,2.16346345
-5.87393697,8.84025038,0.03884348,1.61722762,2.05351238,0.43841472,0.08529941,3.18266874,5.41238885,2.16676197
-5.86793397,8.79414481,0.03766176,1.62817764,2.04330739,0.42893943,0.08367011,3.13443653,5.44279836,2.16966138
-5.86193097,8.75275099,0.03643173,1.63674289,2.04013364,0.41968380,0.08193200,3.09235441,5.47471198,2.17214545
-5.85592796,8.71686195,0.03516888,1.64280320,2.04434162,0.41077466,0.08008465,3.05715337,5.50834304,2.17421536
-5.84992496,8.68706279,0.03388767,1.64629477,2.05610175,0.40232250,0.07812810,3.02937530,5.54374931,2.17588081
-5.84392196,8.66370268,0.03260131,1.64720311,2.07539344,0.39442061,0.07606325,3.00936214,5.58080814,2.17715192
-5.83791896,8.64687809,0.03132150,1.64555557,2.10199888,0.38714500,0.07389222,2.99725166,5.61920079,2.17803273
-5.83191596,8.63642861,0.03005835,1.64141400,2.13550231,0.38055516,0.07161862,2.99298005,5.65840758,2.17851658
-5.82591296,8.63194617,0.02882034,1.63486795,2.17529504,0.37469545,0.06924778,2.99629157,5.69771509,2.17858372
