energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,0.61761742,0.03730698,0.00000000,0.00436773,0.24465878,0.31943754,0.22130481
-5.99399700,0.63071625,0.03666875,0.00000000,0.00447657,0.25176569,0.32321090,0.22632559
-5.98799400,0.64645245,0.03664530,0.00000000,0.00462164,0.25994960,0.32946491,0.23190664
-5.98199100,0.66441726,0.03723566,0.00000000,0.00479966,0.26900976,0.33808912,0.23790767
-5.97598799,0.68419210,0.03844100,0.00000000,0.00500732,0.27873250,0.34895956,0.24419393
-5.96998499,0.70536218,0.04026560,0.00000000,0.00524126,0.28889651,0.36194545,0.25064141
-5.96398199,0.72753057,0.04271787,0.00000000,0.00549818,0.29927866,0.37691659,0.25714184
-5.95797899,0.75033261,0.04581140,0.00000000,0.00577484,0.30966001,0.39375116,0.26360765
-5.95197599,0.77344977,0.04956608,0.00000000,0.00606814,0.31983204,0.41234360,0.26997640
-5.94597299,0.79662271,0.05400912,0.00000000,0.00637524,0.32960271,0.43261235,0.27621469
-5.93996998,0.81966290,0.05917594,0.00000000,0.00669359,0.33880228,0.45450711,0.28232119
-5.93396698,0.84246228,0.06511090,0.00000000,0.00702102,0.34728853,0.47801515,0.28832885
-5.92796398,0.86500057,0.07186780,0.00000000,0.00735585,0.35495136,0.50316655,0.29430591
-5.92196098,0.88734972,0.07951004,0.00000000,0.00769693,0.36171641,0.53003779,0.30035579
-5.91595798,0.90967529,0.08811037,0.00000000,0.00804370,0.36754768,0.55875349,0.30661574
-5.90995498,0.93223435,0.09775032,0.00000000,0.00839623,0.37244884,0.58948599,0.31325425
-5.90395198,0.95536989,0.10851904,0.00000000,0.00875526,0.37646336,0.62245249,0.32046709
-5.89794897,0.97950171,0.12051171,0.00000000,0.00912215,0.37967313,0.65790972,0.32847238
-5.89194597,1.00511383,0.13382748,0.00000000,0.00949884,0.38219585,0.69614587,0.33750444
-5.88594297,1.03273880,0.14856682,0.00000000,0.00988781,0.38418105,0.73747012,0.34780684
-5.87993997,1.06293925,0.16482856,0.00000000,0.01029194,0.38580482,0.78219971,0.35962473
-5.87393697,1.09628717,0.18270643,0.00000000,0.01071438,0.38726365,0.83064501,0.37319672
-5.86793397,1.13334180,0.20228539,0.00000000,0.01115841,0.38876728,0.88309291,0.38874662
-5.86193097,1.17462660,0.22363774,0.00000000,0.01162723,0.39053103,0.93978927,0.40647523
-5.85592796,1.22060640,0.24681919,0.00000000,0.01212383,0.39276785,1.00092093,0.42655254
-5.84992496,1.27166543,0.27186496,0.00000000,0.01265077,0.39568028,1.06659803,0.44911057
-5.84392196,1.32808717,0.29878617,0.00000000,0.01321002,0.39945284,1.13683759,0.47423719
-5.83791896,1.39003693,0.32756658,0.00000000,0.01380281,0.40424497,1.21154889,0.50197108
-5.83191596,1.45754777,0.35815978,0.00000000,0.01442954,0.41018491,1.29052164,0.53229799
-5.82591296,1.53051045,0.39048703,0.00000000,0.01508966,0.41736475,1.37341754,0.56514856
-5.81990995,1.60866799,0.42443589,0.00000000,0.01578168,0.42583686,1.45976572,0.60039765
-5.81390695,1.69161490,0.45985957,0.00000000,0.01650316,0.43561182,1.54896270,0.63786529
-5.80790395,1.77880151,0.49657714,0.00000000,0.01725079,0.44665794,1.64027694,0.67731917
