energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,1.89117981,0.01155340,0.00000000,0.01980630,0.47976505,0.00419246,0.88482747,0.61460796,0.35161191
-5.99399700,1.95374313,0.01194251,0.00000000,0.01861476,0.50124424,0.00431760,0.90788670,0.64189099,0.36677159
-5.98799400,2.02249794,0.01238742,0.00000000,0.01752747,0.52257352,0.00446263,0.93549979,0.67139520,0.38289501
-5.98199100,2.09654998,0.01287968,0.00000000,0.01655966,0.54348468,0.00462492,0.96731674,0.70280790,0.39978011
-5.97598799,2.17499602,0.01341087,0.00000000,0.01572418,0.56371352,0.00480188,1.00297667,0.73580223,0.41723172
-5.96998499,2.25694492,0.01397277,0.00000000,0.01503110,0.58300652,0.00499106,1.04211586,0.77004349,0.43506662
-5.96398199,2.34153848,0.01455752,0.00000000,0.01448757,0.60112753,0.00519019,1.08437558,0.80519533,0.45311838
-5.95797899,2.42797096,0.01515775,0.00000000,0.01409755,0.61786432,0.00539722,1.12940923,0.84092555,0.47124167
-5.95197599,2.51550642,0.01576666,0.00000000,0.01386181,0.63303460,0.00561038,1.17688830,0.87691121,0.48931583
-5.94597299,2.60349274,0.01637814,0.00000000,0.01377795,0.64649116,0.00582824,1.22650693,0.91284288,0.50724764
-5.93996998,2.69137142,0.01698679,0.00000000,0.01384044,0.65812592,0.00604969,1.27798444,0.94842776,0.52497280
-5.93396698,2.77868227,0.01758794,0.00000000,0.01404082,0.66787249,0.00627399,1.33106585,0.98339171,0.54245629
-5.92796398,2.86506264,0.01817762,0.00000000,0.01436790,0.67570708,0.00650074,1.38551996,1.01747996,0.55969115
-5.92196098,2.95024071,0.01875255,0.00000000,0.01480806,0.68164777,0.00672987,1.44113514,1.05045673,0.57669587
-5.91595798,3.03402321,0.01930996,0.00000000,0.01534557,0.68575180,0.00696158,1.49771292,1.08210381,0.59351034
-5.90995498,3.11627796,0.01984759,0.00000000,0.01596291,0.68811130,0.00719632,1.55505971,1.11221835,0.61019047
-5.90395198,3.19691220,0.02036348,0.00000000,0.01664122,0.68884745,0.00743465,1.61297708,1.14061018,0.62680164
-5.89794897,3.27584793,0.02085585,0.00000000,0.01736066,0.68810333,0.00767726,1.67125135,1.16709890,0.64341137
