energy_ev,total_up,Hg_p_up,Hg_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-6.00000000,1.92077399,0.80654348,0.39249983,0.28838857,0.00446638,0.06828203,0.55248427
-5.99399700,2.01408398,0.84872945,0.41000584,0.30486927,0.00478109,0.07009466,0.57792620
-5.98799400,2.11051687,0.89191608,0.42828895,0.32157937,0.00509321,0.07219717,0.60464449
-5.98199100,2.20868949,0.93546344,0.44710915,0.33825969,0.00539851,0.07453238,0.63232825
-5.97598799,2.30722050,0.97873583,0.46622432,0.35465251,0.00569282,0.07704141,0.66067217
-5.96998499,2.40477469,1.02112096,0.48539849,0.37050871,0.00597204,0.07966553,0.68938882
-5.96398199,2.50010421,1.06204775,0.50440940,0.38559462,0.00623237,0.08234787,0.71821962
-5.95797899,2.59208444,1.10100190,0.52305504,0.39969813,0.00647031,0.08503491,0.74694379
-5.95197599,2.67974284,1.13753837,0.54115880,0.41263390,0.00668282,0.08767768,0.77538482
-5.94597299,2.76227927,1.17129037,0.55857288,0.42424736,0.00686735,0.09023266,0.80341391
-5.93996998,2.83907677,1.20197433,0.57517992,0.43441746,0.00702192,0.09266243,0.83095027
-5.93396698,2.90970244,1.22939069,0.59089267,0.44305783,0.00714514,0.09493587,0.85795809
-5.92796398,2.97389850,1.25342064,0.60565172,0.45011664,0.00723625,0.09702816,0.88444032
-5.92196098,3.03156425,1.27401914,0.61942166,0.45557498,0.00729507,0.09892035,0.91042957
-5.91595798,3.08273028,1.29120459,0.63218579,0.45944395,0.00732198,0.10059885,0.93597672
-5.90995498,3.12752665,1.30504608,0.64393984,0.46176077,0.00731791,0.10205461,0.96113772
-5.90395198,3.16614714,1.31564892,0.65468511,0.46258404,0.00728423,0.10328219,0.98595958
-5.89794897,3.19881197,1.32313949,0.66442165,0.46198845,0.00722266,0.10427885,1.01046626
-5.89194597,3.22573153,1.32765048,0.67314178,0.46005942,0.00713524,0.10504359,1.03464550
-5.88594297,3.24707336,1.32930721,0.68082468,0.45688775,0.00702421,0.10557630,1.05843741
-5.87993997,3.26293484,1.32821628,0.68743224,0.45256478,0.00689192,0.10587706,1.08172569
-5.87393697,3.27332305,1.32445691,0.69290666,0.44717820,0.00674076,0.10594562,1.10433204
-5.86793397,3.27814351,1.31807569,0.69716995,0.44080880,0.00657309,0.10578112,1.12601453
-5.86193097,3.27719829,1.30908495,0.70012542,0.43352819,0.00639116,0.10538202,1.14646987
-5.85592796,3.27019370,1.29746477,0.70166113,0.42539772,0.00619712,0.10474633,1.16533991
-5.84992496,3.25675720,1.28316840,0.70165513,0.41646840,0.00599292,0.10387193,1.18222212
-5.84392196,3.23646217,1.26613074,0.69998206,0.40678194,0.00578034,0.10275718,1.19668345
-5.83791896,3.20885912,1.24627903,0.69652095,0.39637257,0.00556098,0.10140163,1.20827714
-5.83191596,3.17351124,1.22354516,0.69116341,0.38526958,0.00533626,0.09980668,1.21656153
-5.82591296,3.13003187,1.19787858,0.68382192,0.37350031,0.00510746,0.09797644,1.22111982
-5.81990995,3.07812163,1.16925889,0.67443764,0.36109326,0.00487571,0.09591828,1.22157988
-5.81390695,3.01760260,1.13770728,0.66298702,0.34808120,0.00464206,0.09364346,1.21763300
