energy_ev,total_up,Ga_p_up,Ga_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
3.71285643,0.82160111,0.30870568,0.00000000,1.00529137,0.16626143,0.03088203,0.15228338
3.71885943,0.84557119,0.30850309,0.00000000,1.03204089,0.17219168,0.03478699,0.16331194
3.72486243,0.88296577,0.31486124,0.00000000,1.07817975,0.18069545,0.03915661,0.17637276
3.73086543,0.93301219,0.32762161,0.00000000,1.14307254,0.19159267,0.04397682,0.19131825
3.73686843,0.99481676,0.34658109,0.00000000,1.22594068,0.20468024,0.04922729,0.20797548
3.74287144,1.06737020,0.37149093,0.00000000,1.32585692,0.21973327,0.05488057,0.22614659
3.74887444,1.14955250,0.40205426,0.00000000,1.44173723,0.23650641,0.06090144,0.24560977
3.75487744,1.24013810,0.43792237,0.00000000,1.57233104,0.25473533,0.06724641,0.26612063
3.76088044,1.33780186,0.47869056,0.00000000,1.71621163,0.27413856,0.07386345,0.28741425
3.76688344,1.44112677,0.52389397,0.00000000,1.87176816,0.29441965,0.08069190,0.30920787
3.77288644,1.54861374,0.57300418,0.00000000,2.03720107,0.31526993,0.08766275,0.33120422
3.77888944,1.65869435,0.62542722,0.00000000,2.21052266,0.33637173,0.09469924,0.35309561
3.78489245,1.76974677,0.68050370,0.00000000,2.38956418,0.35740221,0.10171770,0.37456857
3.79089545,1.88011524,0.73751158,0.00000000,2.57199097,0.37803785,0.10862886,0.39530906
3.79689845,1.98813316,0.79567211,0.00000000,2.75532645,0.39795940,0.11533931,0.41500816
3.80290145,2.09214967,0.85415919,0.00000000,2.93698557,0.41685735,0.12175343,0.43336812
3.80890445,2.19055941,0.91211236,0.00000000,3.11431770,0.43443779,0.12777541,0.45010851
3.81490745,2.28183472,0.96865323,0.00000000,3.28465851,0.45042848,0.13331161,0.46497243
3.82091046,2.36455972,1.02290511,0.00000000,3.44538960,0.46458502,0.13827290,0.47773259
3.82691346,2.43746502,1.07401523,0.00000000,3.59400436,0.47669689,0.14257718,0.48819690
3.83291646,2.49946203,1.12117890,0.00000000,3.72817770,0.48659313,0.14615176,0.49621365
3.83891946,2.54967547,1.16366444,0.00000000,3.84583697,0.49414754,0.14893562,0.50167589
3.84492246,2.58747261,1.20083810,0.00000000,3.94523115,0.49928302,0.15088148,0.50452486
3.85092546,2.61248802,1.23218746,0.00000000,4.02499487,0.50197497,0.15195747,0.50475242
3.85692846,2.62464216,1.25734231,0.00000000,4.08420416,0.50225342,0.15214846,0.50240219
3.86293147,2.62415280,1.27609172,0.00000000,4.12242061,0.50020387,0.15145687,0.49756950
3.86893447,2.61153801,1.28839629,0.00000000,4.13972117,0.49596647,0.14990297,0.49039979
3.87493747,2.58761009,1.29439454,0.00000000,4.13671126,0.48973372,0.14752457,0.48108579
3.88094047,2.55345986,1.29440297,0.00000000,4.11451949,0.48174636,0.14437623,0.46986315
3.88694347,2.51043133,1.28890923,0.00000000,4.07477311,0.47228774,0.14052784,0.45700492
3.89294647,2.46008696,1.27855843,0.00000000,4.01955426,0.46167656,0.13606272,0.44281468
3.89894947,2.40416456,1.26413293,0.00000000,3.95133785,0.45025822,0.13107528,0.42761879
3.90495248,2.34452670,1.24652600,0.00000000,3.87291313,0.43839513,0.12566830,0.41175778
3.91095548,2.28310459,1.22671067,0.00000000,3.78729155,0.42645597,0.11994999,0.39557720
3.91695848,2.22183814,1.20570457,0.00000000,3.69760454,0.41480460,0.11403088,0.37941831
3.92296148,2.16261461,1.18453263,0.00000000,3.60699524,0.40378881,0.10802073,0.36360875
3.92896448,2.10720813,1.16418888,0.00000000,3.51850884,0.39372931,0.10202548,0.34845372
3.93496748,2.05722273,1.14559934,0.00000000,3.43498618,0.38490961,0.09614451,0.33422784
3.94097049,2.01404109,1.12958748,0.00000000,3.35896532,0.37756693,0.09046815,0.32116808
3.94697349,1.97878150,1.11684396,0.00000000,3.29259544,0.37188478,0.08507562,0.30946806
3.95297649,1.95226481,1.10790200,0.00000000,3.23756707,0.36798736,0.08003352,0.29927378
3.95897949,1.93499302,1.10311948,0.00000000,3.19506159,0.36593624,0.07539475,0.29068125
3.96498249,1.92714048,1.10266880,0.00000000,3.16572245,0.36572931,0.07119804,0.28373580
3.97098549,1.92855834,1.10653473,0.00000000,3.14964923,0.36730225,0.06746800,0.27843331
3.97698849,1.93879189,1.11452045,0.00000000,3.14641465,0.37053238,0.06421569,0.27472320
3.98299150,1.95711024,1.12626147,0.00000000,3.15510358,0.37524480,0.06143968,0.27251309
3.98899450,1.98254679,1.14124661,0.00000000,3.17437196,0.38122057,0.05912744,0.27167485
3.99499750,2.01394867,1.15884508,0.00000000,3.20252244,0.38820653,0.05725705,0.27205186
4.00100050,2.05003267,1.17833807,0.00000000,3.23759306,0.39592634,0.05579919,0.27346700
4.00700350,2.08944488,1.19895346,0.00000000,3.27745419,0.40409227,0.05471912,0.27573108
4.01300650,2.13082104,1.21990172,0.00000000,3.31990900,0.41241701,0.05397873,0.27865131
4.01900950,2.17284463,1.24041116,0.00000000,3.36279224,0.42062522,0.05353847,0.28203932
4.02501251,2.21429957,1.25976085,0.00000000,3.40406255,0.42846392,0.05335910,0.28571843
4.03101551,2.25411505,1.27730945,0.00000000,3.44188361,0.43571149,0.05340317,0.28952980
4.03701851,2.29140019,1.29251863,0.00000000,3.47469055,0.44218471,0.05363616,0.29333714
4.04302151,2.32546675,1.30496993,0.00000000,3.50123832,0.44774348,0.05402730,0.29702983
4.04902451,2.35583919,1.31437445,0.00000000,3.52063042,0.45229321,0.05454997,0.30052434
4.05502751,2.38225158,1.32057497,0.00000000,3.53232705,0.45578455,0.05518177,0.30376384
4.06103052,2.40463203,1.32354074,0.00000000,3.53613307,0.45821076,0.05590418,0.30671627
4.06703352,2.42307606,1.32335554,0.00000000,3.53216756,0.45960290,0.05670203,0.30937085
4.07303652,2.43781062,1.32019985,0.00000000,3.52081730,0.46002305,0.05756261,0.31173349
4.07903952,2.44915150,1.31432865,0.00000000,3.50267796,0.45955623,0.05847472,0.31382126
4.08504252,2.45745699,1.30604612,0.00000000,3.47848701,0.45830139,0.05942759,0.31565649
4.09104552,2.46308093,1.29567917,0.00000000,3.44905283,0.45636219,0.06040987,0.31726078
4.09704852,2.46632824,1.28355134,0.00000000,3.41518481,0.45383800,0.06140861,0.31864940
4.10305153,2.46741597,1.26995875,0.00000000,3.37762864,0.45081582,0.06240855,0.31982641
4.10905453,2.46644234,1.25514960,0.00000000,3.33701094,0.44736355,0.06339153,0.32078092
4.11505753,2.46336585,1.23930837,0.00000000,3.29379621,0.44352501,0.06433627,0.32148465
4.12106053,2.45799573,1.22254554,0.00000000,3.24825857,0.43931698,0.06521836,0.32189096
4.12706353,2.44999430,1.20489335,0.00000000,3.20046950,0.43472843,0.06601069,0.32193558
4.13306653,2.43889103,1.18630762,0.00000000,3.15030169,0.42972185,0.06668408,0.32153870
4.13906953,2.42410726,1.16667526,0.00000000,3.09744822,0.42423666,0.06720821,0.32060859
4.14507254,2.40498997,1.14582679,0.00000000,3.04145511,0.41819436,0.06755279,0.31904629
4.15107554,2.38085231,1.12355297,0.00000000,2.98176472,0.41150497,0.06768881,0.31675126
4.15707854,2.35101826,1.09962409,0.00000000,2.91776663,0.40407447,0.06758995,0.31362742
4.16308154,2.31486863,1.07381078,0.00000000,2.84885251,0.39581266,0.06723388,0.30958948
4.16908454,2.27188548,1.04590487,0.00000000,2.77447124,0.38664087,0.06660357,0.30456889
4.17508754,2.22169227,1.01573890,0.00000000,2.69418064,0.37649917,0.06568835,0.29851932
4.18109055,2.16408748,0.98320321,0.00000000,2.60769290,0.36535259,0.06448480,0.29142112
4.18709355,2.09906973,0.94825961,0.00000000,2.51491080,0.35319600,0.06299739,0.28328479
4.19309655,2.02685320,0.91095081,0.00000000,2.41595308,0.34005737,0.06123875,0.27415298
4.19909955,1.94787264,0.87140532,0.00000000,2.31116773,0.32599945,0.05922966,0.26410124
4.20510255,1.86277798,0.82983774,0.00000000,2.20113287,0.31111951,0.05699878,0.25323725
4.21110555,1.77241923,0.78654447,0.00000000,2.08664581,0.29554760,0.05458198,0.24169884
4.21710855,1.67782264,0.74189545,0.00000000,1.96870134,0.27944315,0.05202155,0.22965074
4.22311156,1.58015979,0.69632241,0.00000000,1.84846091,0.26299046,0.04936509,0.21728040
4.22911456,1.48071138,0.65030464,0.00000000,1.72721495,0.24639308,0.04666431,0.20479303
4.23511756,1.38082776,0.60435294,0.00000000,1.60634045,0.22986762,0.04397369,0.19240611
4.24112056,1.28188811,0.55899281,0.00000000,1.48725631,0.21363720,0.04134912,0.18034365
4.24712356,1.18526021,0.51474767,0.00000000,1.37137868,0.19792493,0.03884650,0.16883040
4.25312656,1.09226246,0.47212295,0.00000000,1.26007826,0.18294757,0.03652046,0.15808617
4.25912956,1.00412940,0.43159157,0.00000000,1.15464138,0.16890971,0.03442302,0.14832052
4.26513257,0.92198191,0.39358143,0.00000000,1.05623599,0.15599862,0.03260249,0.13972782
4.27113557,0.84680253,0.35846522,0.00000000,0.96588357,0.14437982,0.03110242,0.13248283
4.27713857,0.77941642,0.32655258,0.00000000,0.88443723,0.13419350,0.02996061,0.12673683
4.28314157,0.72047767,0.29808484,0.00000000,0.81256627,0.12555177,0.02920835,0.12261425
4.28914457,0.67046095,0.27323203,0.00000000,0.75074670,0.11853671,0.02886971,0.12020994
4.29514757,0.62965790,0.25209208,0.00000000,0.69925743,0.11319913,0.02896097,0.11958685
4.30115058,0.59817768,0.23469189,0.00000000,0.65818129,0.10955805,0.02949014,0.12077429
4.30715358,0.57595117,0.22098998,0.00000000,0.62741033,0.10760079,0.03045659,0.12376663
4.31315658,0.56273816,0.21088044,0.00000000,0.60665455,0.10728352,0.03185085,0.12852260
4.31915958,0.55813708,0.20419791,0.00000000,0.59545351,0.10853236,0.03365450,0.13496500
4.32516258,0.56159685,0.20072324,0.00000000,0.59319024,0.11124489,0.03584018,0.14298110
4.33116558,0.57243058,0.20018984,0.00000000,0.59910698,0.11529210,0.03837182,0.15242363
4.33716858,0.58983091,0.20229043,0.00000000,0.61232262,0.12052078,0.04120501,0.16311250
4.34317159,0.61288696,0.20668415,0.00000000,0.63185158,0.12675629,0.04428762,0.17483735
4.34917459,0.64060289,0.21300397,0.00000000,0.65662394,0.13380583,0.04756059,0.18736087
4.35517759,0.67191794,0.22086443,0.00000000,0.68550704,0.14146216,0.05095900,0.20042309
4.36118059,0.70572809,0.22986954,0.00000000,0.71732822,0.14950779,0.05441335,0.21374646
4.36718359,0.74090899,0.23962104,0.00000000,0.75089868,0.15771949,0.05785101,0.22704185
4.37318659,0.77634028,0.24972674,0.00000000,0.78503834,0.16587333,0.06119800,0.24001522
4.37918959,0.81093055,0.25980905,0.00000000,0.81860126,0.17374987,0.06438076,0.25237492
4.38519260,0.84364289,0.26951339,0.00000000,0.85050121,0.18113957,0.06732815,0.26383937
4.39119560,0.87352009,0.27851657,0.00000000,0.87973692,0.18784822,0.06997344,0.27414490
4.39719860,0.89970904,0.28653469,0.00000000,0.90541617,0.19370224,0.07225629,0.28305346
4.40320160,0.92148338,0.29333058,0.00000000,0.92677812,0.19855361,0.07412462,0.29035993
4.40920460,0.93826374,0.29872039,0.00000000,0.94321313,0.20228435,0.07553631,0.29589873
4.41520760,0.94963476,0.30257916,0.00000000,0.95427918,0.20481027,0.07646067,0.29954949
4.42121061,0.95535816,0.30484521,0.00000000,0.95971441,0.20608390,0.07687960,0.30124144
4.42721361,0.95538138,0.30552310,0.00000000,0.95944512,0.20609644,0.07678838,0.30095651
4.43321661,0.94984135,0.30468505,0.00000000,0.95358889,0.20487866,0.07619608,0.29873075
4.43921961,0.93906311,0.30247076,0.00000000,0.94245264,0.20250065,0.07512559,0.29465432
4.44522261,0.92355347,0.29908554,0.00000000,0.92652566,0.19907053,0.07361323,0.28886979
4.45122561,0.90398965,0.29479688,0.00000000,0.90646777,0.19473201,0.07170800,0.28156899
4.45722861,0.88120363,0.28992943,0.00000000,0.88309317,0.18966099,0.06947045,0.27298853
4.46323162,0.85616241,0.28485861,0.00000000,0.85735048,0.18406136,0.06697130,0.26340419
4.46923462,0.82994521,0.28000302,0.00000000,0.83029974,0.17816007,0.06428983,0.25312438
4.47523762,0.80371820,0.27581586,0.00000000,0.80308725,0.17220159,0.06151205,0.24248302
4.48124062,0.77870770,0.27277552,0.00000000,0.77691905,0.16644220,0.05872881,0.23183209
4.48724362,0.75617266,0.27137572,0.00000000,0.75303407,0.16114398,0.05603385,0.22153408
4.49324662,0.73737721,0.27211542,0.00000000,0.73267766,0.15656893,0.05352187,0.21195465
4.49924962,0.72356414,0.27548860,0.00000000,0.71707640,0.15297321,0.05128663,0.20345564
4.50525263,0.71592984,0.28197440,0.00000000,0.70741489,0.15060181,0.04941919,0.19638872
4.51125563,0.71560137,0.29202769,0.00000000,0.70481501,0.14968360,0.04800618,0.19108967
4.51725863,0.72361608,0.30607032,0.00000000,0.71031820,0.15042707,0.04712830,0.18787343
4.52326163,0.74090420,0.32448336,0.00000000,0.72487117,0.15301662,0.04685889,0.18703002
4.52926463,0.76827461,0.34760038,0.00000000,0.74931497,0.15760968,0.04726261,0.18882116
4.53526763,0.80640406,0.37570207,0.00000000,0.78437790,0.16433449,0.04839437,0.19347778
4.54127064,0.85582985,0.40901229,0.00000000,0.83067187,0.17328878,0.05029823,0.20119814
4.54727364,0.91694608,0.44769575,0.00000000,0.88869232,0.18453918,0.05300658,0.21214668
4.55327664,0.99000340,0.49185722,0.00000000,0.95882126,0.19812145,0.05653933,0.22645340
4.55927964,1.07511200,0.54154252,0.00000000,1.04133311,0.21404147,0.06090341,0.24421375
4.56528264,1.17224784,0.59674101,0.00000000,1.13640285,0.23227693,0.06609226,0.26548894
4.57128564,1.28126143,0.65738957,0.00000000,1.24411576,0.25277968,0.07208567,0.29030660
4.57728864,1.40188897,0.72337777,0.00000000,1.36447803,0.27547860,0.07884976,0.31866162
4.58329165,1.53376504,0.79455394,0.00000000,1.49742736,0.30028285,0.08633728,0.35051735
4.58929465,1.67643618,0.87073166,0.00000000,1.64284267,0.32708536,0.09448809,0.38580668
4.59529765,1.82937447,0.95169621,0.00000000,1.80055167,0.35576641,0.10323003,0.42443332
4.60130065,1.99199024,1.03721039,0.00000000,1.97033564,0.38619701,0.11248007,0.46627284
4.60730365,2.16364282,1.12701913,0.00000000,2.15193019,0.41824189,0.12214568,0.51117363
4.61330665,2.34364853,1.22085244,0.00000000,2.34502131,0.45176191,0.13212657,0.55895753
4.61930965,2.53128502,1.31842599,0.00000000,2.54923616,0.48661565,0.14231654,0.60942007
4.62531266,2.72579126,1.41943918,0.00000000,2.76412834,0.52266008,0.15260558,0.66233029
4.63131566,2.92636293,1.52357038,0.00000000,2.98915761,0.55975004,0.16288201,0.71743005
4.63731866,3.13214293,1.63046933,0.00000000,3.22366482,0.59773668,0.17303463,0.77443288
4.64332166,3.34220760,1.73974700,0.00000000,3.46684291,0.63646473,0.18295484,0.83302235
4.64932466,3.55554916,1.85096337,0.00000000,3.71770549,0.67576882,0.19253850,0.89285021
4.65532766,3.77105577,1.96361392,0.00000000,3.97505498,0.71546904,0.20168767,0.95353426
4.66133067,3.98749053,2.07711568,0.00000000,4.23745258,0.75536595,0.21031198,1.01465645
4.66733367,4.20347153,2.19079421,0.00000000,4.50319258,0.79523562,0.21832965,1.07576131
4.67333667,4.41745491,2.30387250,0.00000000,4.77028380,0.83482495,0.22566822,1.13635515
4.67933967,4.62772319,2.41546334,0.00000000,5.03644051,0.87384786,0.23226482,1.19590634
4.68534267,4.83238096,2.52456627,0.00000000,5.29908549,0.91198274,0.23806620,1.25384709
4.69134567,5.02935980,2.63007013,0.00000000,5.55536690,0.94887166,0.24302844,1.30957701
4.69734867,5.21643395,2.73076217,0.00000000,5.80219027,0.98412168,0.24711642,1.36246867
4.70335168,5.39124767,2.82534416,0.00000000,6.03626629,1.01730857,0.25030318,1.41187546
4.70935468,5.55135445,2.91245553,0.00000000,6.25417379,1.04798292,0.25256924,1.45714164
4.71535768,5.69426774,2.99070316,0.00000000,6.45243674,1.07567885,0.25390194,1.49761461
4.72136068,5.81752178,3.05869719,0.00000000,6.62761301,1.09992497,0.25429481,1.53265912
4.72736368,5.91874058,3.11509133,0.00000000,6.77639173,1.12025728,0.25374724,1.56167292
4.73336668,5.99571234,3.15862620,0.00000000,6.89569544,1.13623358,0.25226419,1.58410358
4.73936968,6.04646594,3.18817383,0.00000000,6.98278259,1.14744863,0.24985624,1.59946552
4.74537269,6.06934613,3.20278096,0.00000000,7.03534584,1.15354953,0.24653976,1.60735670
4.75137569,6.06308332,3.20170924,0.00000000,7.05160123,1.15425042,0.24233724,1.60747418
4.75737869,6.02685454,3.18447002,0.00000000,7.03036395,1.14934567,0.23727782,1.59962760
4.76338169,5.96033209,3.15085193,0.00000000,6.97110669,1.13872109,0.23139776,1.58375007
4.76938469,5.86371703,3.10093963,0.00000000,6.87399729,1.12236220,0.22474096,1.55990564
4.77538769,5.73775534,3.03512257,0.00000000,6.73991369,1.10035932,0.21735930,1.52829288
4.78139070,5.58373558,2.95409325,0.00000000,6.57043492,1.07290894,0.20931287,1.48924433
4.78739370,5.40346773,2.85883466,0.00000000,6.36780836,1.04031137,0.20066990,1.44322157
4.79339670,5.19924369,2.75059761,0.00000000,6.13489445,1.00296467,0.19150644,1.39080606
4.79939970,4.97378135,2.63086877,0.00000000,5.87509135,0.96135502,0.18190571,1.33268597
4.80540270,4.73015434,2.50133101,0.00000000,5.59224296,0.91604406,0.17195712,1.26963964
4.81140570,4.47171084,2.36381775,0.00000000,5.29053434,0.86765381,0.16175510,1.20251607
4.81740870,4.20198496,2.22026350,0.00000000,4.97437925,0.81684967,0.15139756,1.13221360
4.82341171,3.92460458,2.07265281,0.00000000,4.64830479,0.76432245,0.14098426,1.05965723
4.82941471,3.64319970,1.92296974,0.00000000,4.31683799,0.71077022,0.13061511,0.98577589
4.83541771,3.36131498,1.77315021,0.00000000,3.98439883,0.65688059,0.12038836,0.91148034
4.84142071,3.08233002,1.62503876,0.00000000,3.65520403,0.60331434,0.11039895,0.83764259
4.84742371,2.80939007,1.48035156,0.00000000,3.33318456,0.55069086,0.10073700,0.76507762
4.85342671,2.54534958,1.34064665,0.00000000,3.02191969,0.49957603,0.09148654,0.69452796
4.85942971,2.29272976,1.20730215,0.00000000,2.72458875,0.45047267,0.08272444,0.62665162
4.86543272,2.05369104,1.08150269,0.00000000,2.44394125,0.40381407,0.07451982,0.56201351
4.87143572,1.83002012,0.96423387,0.00000000,2.18228483,0.35996023,0.06693363,0.50108057
4.87743872,1.62313077,0.85628423,0.00000000,1.94148972,0.31919708,0.06001866,0.44422036
4.88344172,1.43407696,0.75825364,0.00000000,1.72300750,0.28173812,0.05381979,0.39170302
4.88944472,1.26357634,0.67056713,0.00000000,1.52790168,0.24772835,0.04837452,0.34370600
4.89544772,1.11204165,0.59349262,0.00000000,1.35688671,0.21724989,0.04371367,0.30032127
4.90145073,0.97961766,0.52716114,0.00000000,1.21037241,0.19032898,0.03986217,0.26156432
4.90745373,0.86622095,0.47158813,0.00000000,1.08851032,0.16694371,0.03683987,0.22738445
4.91345673,0.77158018,0.42669428,0.00000000,0.99123887,0.14703208,0.03466234,0.19767564
4.91945973,0.69527451,0.39232476,0.00000000,0.91832447,0.13049996,0.03334144,0.17228768
4.92546273,0.63676828,0.36826577,0.00000000,0.86939633,0.11722850,0.03288580,0.15103671
4.93146573,0.59544036,0.35425762,0.00000000,0.84397300,0.10708072,0.03330093,0.13371516
4.93746873,0.57060731,0.35000370,0.00000000,0.84147964,0.09990700,0.03458910,0.12010035
4.94347174,0.56153949,0.35517532,0.00000000,0.86125549,0.09554939,0.03674892,0.10996192
4.94947474,0.56747035,0.36941232,0.00000000,0.90255183,0.09384466,0.03977460,0.10306757
4.95547774,0.58759897,0.39231994,0.00000000,0.96452129,0.09462604,0.04365493,0.09918739
4.96148074,0.62108699,0.42346246,0.00000000,1.04620013,0.09772392,0.04837214,0.09809658
4.96748374,0.66705079,0.46235450,0.00000000,1.14648540,0.10296550,0.05390056,0.09957692
4.97348674,0.72455051,0.50845103,0.00000000,1.26410946,0.11017377,0.06020528,0.10341692
4.97948974,0.79257754,0.56113701,0.00000000,1.39761471,0.11916594,0.06724091,0.10941110
4.98549275,0.87004213,0.61971814,0.00000000,1.54533105,0.12975173,0.07495051,0.11735844
4.99149575,0.95576287,0.68341346,0.00000000,1.70535909,0.14173160,0.08326482,0.12706051
4.99749875,1.04845949,0.75135114,0.00000000,1.87556145,0.15489545,0.09210196,0.13831932
5.00350175,1.14675057,0.82256822,0.00000000,2.05356436,0.16902174,0.10136752,0.15093523
