energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up,Zr_p_up,Zr_d_up
-6.00000000,5.78645353,0.01974636,1.02316325,0.10919436,2.82647449,1.06561610,0.60782834,1.75684614,1.43233543
-5.99399700,5.64070779,0.01948171,1.00630630,0.11002563,2.74503785,1.03547375,0.59157236,1.71759606,1.38239025
-5.98799400,5.50310532,0.01930949,0.99249837,0.11087373,2.66548007,1.00683528,0.57545044,1.68269295,1.33463473
-5.98199100,5.37635235,0.01923175,0.98224283,0.11175799,2.58913700,0.98019410,0.55969477,1.65304041,1.29002892
-5.97598799,5.26293815,0.01924804,0.97598333,0.11269962,2.51726312,0.95599504,0.54453182,1.62942853,1.24943866
-5.96998499,5.16505763,0.01935536,0.97408712,0.11372059,2.45099684,0.93462191,0.53017587,1.61250784,1.21361079
-5.96398199,5.08454253,0.01954821,0.97683024,0.11484235,2.39132947,0.91638715,0.51682295,1.60276761,1.18315240
-5.95797899,5.02280383,0.01981869,0.98438518,0.11608459,2.33907938,0.90152391,0.50464547,1.60051916,1.15851460
-5.95197599,4.98078756,0.02015672,0.99681146,0.11746394,2.29487186,0.89018080,0.49378756,1.60588488,1.13998146
-5.94597299,4.95894564,0.02055031,1.01404977,0.11899279,2.25912558,0.88241942,0.48436165,1.61879339,1.12766434
-5.93996998,4.95722277,0.02098593,1.03591965,0.12067833,2.23204583,0.87821469,0.47644610,1.63898102,1.12150166
-5.93396698,4.97505986,0.02144887,1.06212121,0.12252174,2.21362474,0.87745781,0.47008415,1.66599954,1.12126399
-5.92796398,5.01141368,0.02192375,1.09224065,0.12451764,2.20364819,0.87996172,0.46528425,1.69922990,1.12656429
-5.92196098,5.06479211,0.02239494,1.12575969,0.12665390,2.20170914,0.88546860,0.46202171,1.73790132,1.13687269
-5.91595798,5.13330358,0.02284708,1.16206850,0.12891170,2.20722663,0.89365922,0.46024162,1.78111536,1.15153541
-5.90995498,5.21471898,0.02326553,1.20048188,0.13126594,2.21946962,0.90416366,0.45986306,1.82787367,1.16979701
-5.90395198,5.30654385,0.02363680,1.24025817,0.13368594,2.23758492,0.91657289,0.46078423,1.87710896,1.19082532
-5.89794897,5.40609819,0.02394898,1.28062024,0.13613646,2.26062782,0.93045095,0.46288861,1.92771761,1.21373810
-5.89194597,5.51060134,0.02419206,1.32077802,0.13857890,2.28759464,0.94534725,0.46605160,1.97859316,1.23763073
-5.88594297,5.61725881,0.02435817,1.35995160,0.14097275,2.31745585,0.96080858,0.47014771,2.02865937,1.26160390
-5.87993997,5.72334812,0.02444184,1.39739433,0.14327712,2.34918866,0.97639060,0.47505772,2.07690168,1.28479052
-5.87393697,5.82630076,0.02444003,1.43241491,0.14545234,2.38180812,0.99166847,0.48067574,2.12239610,1.30638096
-5.86793397,5.92377736,0.02435221,1.46439771,0.14746154,2.41439566,1.00624649,0.48691572,2.16433448,1.32564586
-5.86193097,6.01373355,0.02418025,1.49282059,0.14927212,2.44612417,1.01976650,0.49371716,2.20204532,1.34195579
-5.85592796,6.09447436,0.02392833,1.51726946,0.15085711,2.47627905,1.03191493,0.50104979,2.23500948,1.35479713
-5.84992496,6.16469510,0.02360267,1.53744899,0.15219623,2.50427444,1.04242855,0.50891680,2.26287021,1.36378373
-5.84392196,6.22350764,0.02321134,1.55318907,0.15327672,2.52966446,1.05109866,0.51735658,2.28543735,1.36866398
-5.83791896,6.27045121,0.02276387,1.56444662,0.15409383,2.55214910,1.05777395,0.52644266,2.30268558,1.36932305
-5.83191596,6.30548752,0.02227096,1.57130288,0.15465096,2.57157474,1.06236186,0.53628184,2.31474692,1.36578049
-5.82591296,6.32898069,0.02174408,1.57395600,0.15495940,2.58792955,1.06482854,0.54701032,2.32189794,1.35818315
-5.81990995,6.34166305,0.02119513,1.57270952,0.15503779,2.60133404,1.06519742,0.55878812,2.32454230,1.34679392
-5.81390695,6.34458825,0.02063608,1.56795703,0.15491118,2.61202716,1.06354652,0.57179157,2.32318941,1.33197671
-5.80790395,6.33907401,0.02007861,1.56016381,0.15460982,2.62034877,1.06000444,0.58620444,2.31843027,1.31417852
-5.80190095,6.32663686,0.01953388,1.54984629,0.15416769,2.62671909,1.05474524,0.60220771,2.31091145,1.29390906
-5.79589795,6.30892173,0.01901219,1.53755011,0.15362089,2.63161598,1.04798228,0.61996854,2.30130847,1.27171918
-5.78989495,6.28762934,0.01852285,1.52382801,0.15300588,2.63555102,1.03996108,0.63962874,2.29029956,1.24817872
