energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.90100473,0.87856329,1.72058616,0.03912369,0.02123303,0.56718563,0.33111154,0.82144643,0.00000000
-5.99399700,3.00077651,0.90903710,1.78314638,0.04098341,0.02197167,0.58690033,0.33961846,0.84798495,0.00000000
-5.98799400,3.09761453,0.93874295,1.84410321,0.04272334,0.02283444,0.60596540,0.34760520,0.87370461,0.00000000
-5.98199100,3.19061121,0.96745613,1.90293323,0.04432242,0.02382548,0.62411741,0.35494945,0.89832945,0.00000000
-5.97598799,3.27894122,0.99497709,1.95914909,0.04576181,0.02494742,0.64111155,0.36154243,0.92161272,0.00000000
-5.96998499,3.36187851,1.02113518,2.01230716,0.04702532,0.02620118,0.65672884,0.36729232,0.94334371,0.00000000
-5.96398199,3.43880719,1.04579053,2.06201224,0.04809982,0.02758560,0.67078204,0.37212678,0.96335233,0.00000000
-5.95797899,3.50922588,1.06883381,2.10791931,0.04897554,0.02909715,0.68312002,0.37599459,0.98151141,0.00000000
-5.95197599,3.57274588,1.09018419,2.14973251,0.04964629,0.03072955,0.69363036,0.37886610,0.99773662,0.00000000
-5.94597299,3.62908339,1.10978545,2.18720181,0.05010960,0.03247350,0.70224025,0.38073279,1.01198399,0.00000000
-5.93996998,3.67804682,1.12760084,2.22011767,0.05036666,0.03431638,0.70891552,0.38160575,1.02424546,0.00000000
-5.93396698,3.71952040,1.14360681,2.24830464,0.05042225,0.03624206,0.71365803,0.38151335,1.03454254,0.00000000
-5.92796398,3.75344537,1.15778632,2.27161436,0.05028452,0.03823087,0.71650168,0.38049832,1.04291872,0.00000000
-5.92196098,3.77980045,1.17012220,2.28991886,0.04996461,0.04025960,0.71750724,0.37861420,1.04943120,0.00000000
-5.91595798,3.79858308,1.18059101,2.30310479,0.04947626,0.04230173,0.71675636,0.37592173,1.05414228,0.00000000
-5.90995498,3.80979301,1.18915795,2.31106921,0.04883527,0.04432776,0.71434528,0.37248508,1.05711130,0.00000000
-5.90395198,3.81341949,1.19577333,2.31371750,0.04805898,0.04630581,0.71037849,0.36836844,1.05838757,0.00000000
-5.89794897,3.80943322,1.20037080,2.31096362,0.04716565,0.04820225,0.70496290,0.36363291,1.05800464,0.00000000
-5.89194597,3.79778372,1.20286767,2.30273293,0.04617388,0.04998256,0.69820273,0.35833410,1.05597671,0.00000000
-5.88594297,3.77840265,1.20316735,2.28896752,0.04510200,0.05161226,0.69019554,0.35252043,1.05229702,0.00000000
-5.87993997,3.75121272,1.20116387,2.26963375,0.04396758,0.05305802,0.68102958,0.34623222,1.04693871,0.00000000
-5.87393697,3.71614206,1.19674835,2.24473165,0.04278692,0.05428867,0.67078258,0.33950168,1.03985793,0.00000000
-5.86793397,3.67314302,1.18981698,2.21430546,0.04157470,0.05527633,0.65952208,0.33235363,1.03099923,0.00000000
-5.86193097,3.62221433,1.18028020,2.17845481,0.04034367,0.05599746,0.64730711,0.32480706,1.02030268,0.00000000
-5.85592796,3.56342517,1.16807245,2.13734562,0.03910446,0.05643380,0.63419123,0.31687722,1.00771257,0.00000000
-5.84992496,3.49693965,1.15316205,2.09122009,0.03786557,0.05657316,0.62022647,0.30857812,0.99318697,0.00000000
-5.84392196,3.42304006,1.13556048,2.04040496,0.03663332,0.05641008,0.60546803,0.29992540,0.97670760,0.00000000
-5.83791896,3.34214734,1.11533061,1.98531740,0.03541207,0.05594623,0.58997936,0.29093912,0.95828940,0.00000000
-5.83191596,3.25483724,1.09259332,1.92646814,0.03420437,0.05519061,0.57383706,0.28164644,0.93798927,0.00000000
-5.82591296,3.16185109,1.06753201,1.86446125,0.03301131,0.05415947,0.55713543,0.27208400,0.91591319,0.00000000
