energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.18833368,0.02241930,0.23884453,1.00418630,0.53677106,0.01099940,0.99447844,0.56908208,0.20517344
-5.99399700,2.18600310,0.02127337,0.24157810,0.99997529,0.54106054,0.01093787,0.98930781,0.55913772,0.20524374
-5.98799400,2.18584427,0.02013092,0.24424219,0.99394199,0.54657736,0.01089813,0.98503672,0.54917422,0.20610499
-5.98199100,2.18853876,0.01900478,0.24696754,0.98639295,0.55356501,0.01088421,0.98186062,0.53936096,0.20783503
-5.97598799,2.19480040,0.01790786,0.24990067,0.97770822,0.56226468,0.01089886,0.97998853,0.52989243,0.21050598
-5.96998499,2.20535780,0.01685281,0.25320011,0.96833283,0.57290961,0.01094348,0.97963793,0.52098430,0.21418191
-5.96398199,2.22093512,0.01585155,0.25703197,0.95876528,0.58571930,0.01101795,0.98102880,0.51286810,0.21891659
-5.95797899,2.24223146,0.01491492,0.26156486,0.94954347,0.60089369,0.01112067,0.98437708,0.50578490,0.22475147
-5.95197599,2.26989935,0.01405232,0.26696428,0.94122831,0.61860749,0.01124861,0.98988774,0.49997789,0.23171382
-5.94597299,2.30452280,0.01327143,0.27338672,0.93438557,0.63900454,0.01139738,0.99774765,0.49568440,0.23981512
-5.93996998,2.34659536,0.01257798,0.28097345,0.92956651,0.66219235,0.01156141,1.00811842,0.49312747,0.24904976
-5.93396698,2.39649891,0.01197565,0.28984436,0.92728793,0.68823701,0.01173418,1.02112951,0.49250738,0.25939401
-5.92796398,2.45448357,0.01146593,0.30009201,0.92801227,0.71715838,0.01190848,1.03687171,0.49399331,0.27080535
-5.92196098,2.52064949,0.01104821,0.31177605,0.93212864,0.74892577,0.01207672,1.05539123,0.49771569,0.28322209
-5.91595798,2.59493116,0.01071978,0.32491829,0.93993533,0.78345436,0.01223122,1.07668462,0.50375939,0.29656345
-5.90995498,2.67708487,0.01047598,0.33949867,0.95162464,0.82060237,0.01236456,1.10069469,0.51215807,0.31073001
-5.90395198,2.76668019,0.01031043,0.35545230,0.96727068,0.86016927,0.01246989,1.12730755,0.52289006,0.32560456
-5.89794897,2.86309601,0.01021522,0.37266781,0.98682078,0.90189527,0.01254122,1.15635122,0.53587593,0.34105349
-5.89194597,2.96552183,0.01018121,0.39098712,1.01009094,0.94546228,0.01257370,1.18759566,0.55097791,0.35692864
