energy_ev,total_up,Ag_p_up,Ag_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,4.13753542,0.19405855,0.32357299,1.60731996,1.36349062,0.02725727,0.35988873,0.13067044,1.80637138
-5.99399700,4.05558639,0.19527147,0.31367078,1.61860029,1.33068730,0.02697176,0.35090669,0.12763935,1.77493844
-5.98799400,3.97811577,0.19699930,0.30399394,1.63056693,1.30062261,0.02670354,0.34234898,0.12464108,1.74484535
-5.98199100,3.90520457,0.19917653,0.29456955,1.64325219,1.27302064,0.02646277,0.33427341,0.12169018,1.71622925
-5.97598799,3.83679682,0.20172750,0.28541746,1.65663820,1.24755322,0.02625825,0.32672541,0.11879810,1.68916852
-5.96998499,3.77269595,0.20456801,0.27655040,1.67064588,1.22385001,0.02609695,0.31973531,0.11597292,1.66367809
-5.96398199,3.71256610,0.20760717,0.26797408,1.68512662,1.20150999,0.02598374,0.31331604,0.11321907,1.63970714
-5.95797899,3.65593857,0.21074925,0.25968750,1.69985711,1.18011395,0.02592112,0.30746168,0.11053729,1.61713932
-5.95197599,3.60222330,0.21389561,0.25168333,1.71453777,1.15923763,0.02590903,0.30214664,0.10792467,1.59579550
-5.94597299,3.55072502,0.21694665,0.24394848,1.72879474,1.13846487,0.02594485,0.29732589,0.10537488,1.57543892
-5.93996998,3.50066354,0.21980366,0.23646471,1.74218554,1.11740036,0.02602343,0.29293584,0.10287854,1.55578261
-5.93396698,3.45119717,0.22237073,0.22920950,1.75420832,1.09568139,0.02613729,0.28889625,0.10042366,1.53649850
-5.92796398,3.40144859,0.22455644,0.22215691,1.76431430,1.07298816,0.02627683,0.28511274,0.09799626,1.51722818
-5.92196098,3.35053200,0.22627546,0.21527856,1.77192304,1.04905224,0.02643070,0.28148008,0.09558099,1.49759455
-5.91595798,3.29758063,0.22745013,0.20854474,1.77644007,1.02366286,0.02658624,0.27788590,0.09316180,1.47721414
-5.90995498,3.24177370,0.22801173,0.20192547,1.77727611,0.99667091,0.02672991,0.27421484,0.09072262,1.45570955
-5.90395198,3.18236192,0.22790171,0.19539168,1.77386731,0.96799055,0.02684781,0.27035281,0.08824812,1.43272173
-5.89794897,3.11869089,0.22707270,0.18891633,1.76569562,0.93759859,0.02692623,0.26619128,0.08572427,1.40792158
-5.89194597,3.05022175,0.22548946,0.18247560,1.75230862,0.90553174,0.02695213,0.26163143,0.08313897,1.38102081
-5.88594297,2.97654874,0.22312948,0.17604998,1.73333786,0.87188216,0.02691372,0.25658791,0.08048258,1.35178155
-5.87993997,2.89741320,0.21998359,0.16962542,1.70851520,0.83679150,0.02680085,0.25099211,0.07774835,1.32002466
-5.87393697,2.81271402,0.21605625,0.16319436,1.67768623,0.80044405,0.02660547,0.24479488,0.07493272,1.28563661
-5.86793397,2.72251426,0.21136574,0.15675678,1.64082039,0.76305921,0.02632200,0.23796848,0.07203561,1.24857463
-5.86193097,2.62704409,0.20594405,0.15032116,1.59801725,0.72488386,0.02594758,0.23050780,0.06906055,1.20887024
-5.85592796,2.52670000,0.19983657,0.14390531,1.54950874,0.68618482,0.02548226,0.22243085,0.06601466,1.16663098
-5.84992496,2.42204059,0.19310160,0.13753717,1.49565720,0.64724186,0.02492916,0.21377835,0.06290861,1.12204037
-5.84392196,2.31377886,0.18580952,0.13125551,1.43694926,0.60834133,0.02429441,0.20461274,0.05975646,1.07535608
-5.83791896,2.20277149,0.17804179,0.12511041,1.37398600,0.56977070,0.02358712,0.19501642,0.05657532,1.02690641
-5.83191596,2.09000530,0.16988961,0.11916371,1.30746948,0.53181403,0.02281919,0.18508950,0.05338509,0.97708512
-5.82591296,1.97658115,0.16145243,0.11348916,1.23818660,0.49474828,0.02200508,0.17494706,0.05020795,0.92634472
-5.81990995,1.86369569,0.15283623,0.10817249,1.16699059,0.45884064,0.02116148,0.16471614,0.04706789,0.87518846
-5.81390695,1.75262141,0.14415155,0.10331124,1.09478112,0.42434657,0.02030691,0.15453249,0.04399017,0.82416114
-5.80790395,1.64468529,0.13551144,0.09901428,1.02248368,0.39150849,0.01946125,0.14453722,0.04100071,0.77383902
-5.80190095,1.54124648,0.12702934,0.09540119,0.95102909,0.36055501,0.01864531,0.13487365,0.03812550,0.72481905
-5.79589795,1.44367351,0.11881681,0.09260130,0.88133375,0.33170054,0.01788021,0.12568408,0.03538999,0.67770774
-5.78989495,1.35332128,0.11098135,0.09075242,0.81428138,0.30514511,0.01718695,0.11710697,0.03281847,0.63310986
-5.78389195,1.27150830,0.10362430,0.08999929,0.75070661,0.28107422,0.01658573,0.10927433,0.03043349,0.59161725
-5.77788894,1.19949440,0.09683879,0.09049167,0.69138092,0.25965870,0.01609550,0.10230941,0.02825531,0.55379805
-5.77188594,1.13845923,0.09070789,0.09238208,0.63700121,0.24105440,0.01573336,0.09632477,0.02630142,0.52018642
