energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,0.94587897,0.34931471,0.12801525,0.00130739,0.09976392,0.00677640,0.46653332,0.30828608,0.16360591
-5.99399700,0.98397401,0.36022114,0.13021096,0.00153297,0.10324638,0.00715890,0.48870721,0.32351477,0.17245014
-5.98799400,1.02351179,0.37077786,0.13309723,0.00179020,0.10664901,0.00764601,0.51081221,0.33837561,0.18179675
-5.98199100,1.06385262,0.38070754,0.13661647,0.00208166,0.10989315,0.00823784,0.53249276,0.35262067,0.19155582
-5.97598799,1.10438022,0.38974299,0.14070989,0.00240964,0.11290301,0.00893408,0.55341161,0.36601694,0.20164090
-5.96998499,1.14452162,0.39763737,0.14531964,0.00277608,0.11560842,0.00973391,0.57326078,0.37835438,0.21197140
-5.96398199,1.18376434,0.40417365,0.15039054,0.00318238,0.11794732,0.01063585,0.59177121,0.38945298,0.22247441
-5.95797899,1.22166992,0.40917289,0.15587141,0.00362931,0.11986793,0.01163759,0.60872061,0.39916860,0.23308593
-5.95197599,1.25788337,0.41250087,0.16171585,0.00411682,0.12133045,0.01273584,0.62393923,0.40739735,0.24375143
-5.94597299,1.29213822,0.41407299,0.16788255,0.00464396,0.12230826,0.01392606,0.63731318,0.41407823,0.25442580
-5.93996998,1.32425700,0.41385701,0.17433499,0.00520868,0.12278853,0.01520236,0.64878543,0.41919403,0.26507263
-5.93396698,1.35414757,0.41187374,0.18104083,0.00580784,0.12277230,0.01655728,0.65835436,0.42277035,0.27566306
-5.92796398,1.38179560,0.40819558,0.18797084,0.00643705,0.12227396,0.01798175,0.66607001,0.42487307,0.28617422
-5.92196098,1.40725402,0.40294318,0.19509764,0.00709069,0.12132027,0.01946500,0.67202859,0.42560417,0.29658740
-5.91595798,1.43063019,0.39628026,0.20239435,0.00776192,0.11994891,0.02099460,0.67636523,0.42509638,0.30688620
-5.90995498,1.45207176,0.38840707,0.20983315,0.00844274,0.11820669,0.02255655,0.67924590,0.42350692,0.31705466
-5.90395198,1.47175218,0.37955282,0.21738407,0.00912413,0.11614754,0.02413548,0.68085849,0.42101059,0.32707566
-5.89794897,1.48985675,0.36996731,0.22501396,0.00979619,0.11383040,0.02571489,0.68140403,0.41779277,0.33692966
-5.89194597,1.50657002,0.35991241,0.23268584,0.01044836,0.11131703,0.02727752,0.68108808,0.41404243,0.34659374
-5.88594297,1.52206514,0.34965354,0.24035854,0.01106974,0.10866994,0.02880570,0.68011296,0.40994574,0.35604115
-5.87993997,1.53649563,0.33945165,0.24798677,0.01164933,0.10595056,0.03028180,0.67867107,0.40568036,0.36524130
-5.87393697,1.54998970,0.32955590,0.25552161,0.01217636,0.10321753,0.03168870,0.67693935,0.40141065,0.37416002
-5.86793397,1.56264721,0.32019729,0.26291121,0.01264068,0.10052541,0.03301022,0.67507528,0.39728401,0.38276024
-5.86193097,1.57453895,0.31158350,0.27010185,0.01303304,0.09792366,0.03423154,0.67321415,0.39342829,0.39100277
-5.85592796,1.58570805,0.30389483,0.27703911,0.01334543,0.09545596,0.03533959,0.67146764,0.38995036,0.39884714
-5.84992496,1.59617279,0.29728147,0.28366907,0.01357138,0.09315985,0.03632335,0.66992368,0.38693570,0.40625251
-5.84392196,1.60593060,0.29186197,0.28993958,0.01370619,0.09106668,0.03717405,0.66864713,0.38444886,0.41317829
-5.83791896,1.61496246,0.28772293,0.29580129,0.01374710,0.08920186,0.03788527,0.66768134,0.38253475,0.41958462
-5.83191596,1.62323747,0.28491958,0.30120855,0.01369344,0.08758519,0.03845303,0.66705021,0.38122042,0.42543258
-5.82591296,1.63071701,0.28347750,0.30612004,0.01354665,0.08623150,0.03887562,0.66676060,0.38051731,0.43068418
-5.81990995,1.63735844,0.28339493,0.31049918,0.01331027,0.08515134,0.03915347,0.66680494,0.38042363,0.43530208
-5.81390695,1.64311808,0.28464584,0.31431429,0.01298982,0.08435168,0.03928894,0.66716388,0.38092690,0.43924924
-5.80790395,1.64795353,0.28718334,0.31753849,0.01259266,0.08383667,0.03928595,0.66780891,0.38200636,0.44248850
-5.80190095,1.65182541,0.29094357,0.32014951,0.01212772,0.08360842,0.03914970,0.66870492,0.38363522,0.44498232
-5.79589795,1.65469872,0.29584953,0.32212935,0.01160525,0.08366759,0.03888635,0.66981259,0.38578274,0.44669268
-5.78989495,1.65654392,0.30181514,0.32346402,0.01103651,0.08401401,0.03850266,0.67109069,0.38841595,0.44758129
-5.78389195,1.65733802,0.30874893,0.32414323,0.01043341,0.08464707,0.03800575,0.67249817,0.39150106,0.44761028
-5.77788894,1.65706573,0.31655761,0.32416023,0.00980820,0.08556607,0.03740284,0.67399612,0.39500458,0.44674322
-5.77188594,1.65572067,0.32514903,0.32351184,0.00917312,0.08677030,0.03670113,0.67554942,0.39889407,0.44494658
-5.76588294,1.65330678,0.33443464,0.32219861,0.00854009,0.08825904,0.03590770,0.67712818,0.40313854,0.44219164
-5.75987994,1.64983954,0.34433120,0.32022512,0.00792045,0.09003130,0.03502949,0.67870867,0.40770851,0.43845651
-5.75387694,1.64534708,0.35476168,0.31760048,0.00732470,0.09208545,0.03407334,0.68027385,0.41257571,0.43372839
-5.74787394,1.63987066,0.36565528,0.31433881,0.00676237,0.09441856,0.03304611,0.68181329,0.41771249,0.42800568
-5.74187094,1.63346445,0.37694657,0.31045987,0.00624186,0.09702567,0.03195479,0.68332239,0.42309093,0.42129989
-5.73586793,1.62619433,0.38857374,0.30598948,0.00577038,0.09989894,0.03080666,0.68480097,0.42868158,0.41363718
-5.72986493,1.61813551,0.40047606,0.30096000,0.00535395,0.10302655,0.02960945,0.68625109,0.43445215,0.40505925
-5.72386193,1.60936902,0.41259084,0.29541046,0.00499745,0.10639179,0.02837146,0.68767430,0.44036592,0.39562368
-5.71785893,1.59997715,0.42484981,0.28938661,0.00470473,0.10997193,0.02710166,0.68906842,0.44638024,0.38540342
-5.71185593,1.59003796,0.43717554,0.28294063,0.00447874,0.11373739,0.02580976,0.69042398,0.45244507,0.37448558
-5.70585293,1.57961944,0.44947785,0.27613064,0.00432168,0.11765092,0.02450618,0.69172072,0.45850181,0.36296959
-5.69984992,1.56877371,0.46165086,0.26901998,0.00423527,0.12166715,0.02320204,0.69292433,0.46448248,0.35096470
-5.69384692,1.55753177,0.47357071,0.26167626,0.00422091,0.12573242,0.02190901,0.69398389,0.47030952,0.33858704
-5.68784392,1.54589956,0.48509443,0.25417039,0.00427995,0.12978497,0.02063922,0.69483013,0.47589620,0.32595648
-5.68184092,1.53385569,0.49606013,0.24657541,0.00441390,0.13375562,0.01940498,0.69537503,0.48114788,0.31319343
-5.67583792,1.52135150,0.50628864,0.23896546,0.00462464,0.13756892,0.01821866,0.69551282,0.48596404,0.30041579
-5.66983492,1.50831364,0.51558675,0.23141474,0.00491465,0.14114472,0.01709238,0.69512255,0.49024121,0.28773623
-5.66383192,1.49464935,0.52375196,0.22399665,0.00528712,0.14440018,0.01603780,0.69407228,0.49387668,0.27526005
-5.65782891,1.48025433,0.53057858,0.21678304,0.00574609,0.14725217,0.01506587,0.69222476,0.49677280,0.26308358
-5.65182591,1.46502290,0.53586501,0.20984374,0.00629653,0.14961998,0.01418664,0.68944440,0.49884183,0.25129339
-5.64582291,1.44885994,0.53942180,0.20324617,0.00694435,0.15142811,0.01340901,0.68560516,0.50001095,0.23996613
-5.63981991,1.43169382,0.54108005,0.19705516,0.00769632,0.15260920,0.01274057,0.68059909,0.50022727,0.22916909
-5.63381691,1.41348954,0.54069977,0.19133286,0.00856002,0.15310676,0.01218747,0.67434475,0.49946236,0.21896132
-5.62781391,1.39426111,0.53817762,0.18613871,0.00954357,0.15287778,0.01175424,0.66679532,0.49771623,0.20939524
-5.62181091,1.37408228,0.53345362,0.18152938,0.01065545,0.15189481,0.01144377,0.65794559,0.49502020,0.20051854
-5.61580790,1.35309468,0.52651642,0.17755863,0.01190416,0.15014765,0.01125716,0.64783758,0.49143867,0.19237617
-5.60980490,1.33151273,0.51740674,0.17427705,0.01329785,0.14764437,0.01119369,0.63656419,0.48706934,0.18501230
-5.60380190,1.30962471,0.50621875,0.17173157,0.01484389,0.14441170,0.01125083,0.62427073,0.48204200,0.17847205
-5.59779890,1.28778971,0.49309925,0.16996483,0.01654847,0.14049473,0.01142418,0.61115404,0.47651573,0.17280282
-5.59179590,1.26643040,0.47824472,0.16901424,0.01841608,0.13595584,0.01170753,0.59745921,0.47067458,0.16805508
-5.58579290,1.24602185,0.46189620,0.16891092,0.02044905,0.13087308,0.01209289,0.58347391,0.46472195,0.16428269
-5.57978989,1.22707678,0.44433239,0.16967838,0.02264712,0.12533787,0.01257060,0.56952065,0.45887386,0.16154242
-5.57378689,1.21012800,0.42586116,0.17133122,0.02500702,0.11945227,0.01312941,0.55594718,0.45335138,0.15989295
-5.56778389,1.19570876,0.40681003,0.17387365,0.02752206,0.11332590,0.01375666,0.54311547,0.44837260,0.15939319
-5.56178089,1.18433199,0.38751585,0.17729817,0.03018189,0.10707256,0.01443848,0.53138982,0.44414457,0.16010008
-5.55577789,1.17646937,0.36831433,0.18158435,0.03297230,0.10080688,0.01516006,0.52112448,0.44085533,0.16206590
-5.54977489,1.17253123,0.34952980,0.18669781,0.03587507,0.09464087,0.01590587,0.51265134,0.43866674,0.16533527
-5.54377189,1.17284807,0.33146560,0.19258949,0.03886803,0.08868082,0.01666004,0.50626823,0.43770808,0.16994194
-5.53776888,1.17765455,0.31439548,0.19919532,0.04192517,0.08302435,0.01740672,0.50222810,0.43807085,0.17590544
-5.53176588,1.18707659,0.29855637,0.20643625,0.04501691,0.07775793,0.01813040,0.50072965,0.43980494,0.18322794
-5.52576288,1.20112190,0.28414259,0.21421875,0.04811047,0.07295481,0.01881634,0.50190961,0.44291619,0.19189121
-5.51975988,1.21967439,0.27130179,0.22243568,0.05117037,0.06867351,0.01945090,0.50583685,0.44736555,0.20185404
-5.51375688,1.24249244,0.26013253,0.23096765,0.05415902,0.06495675,0.02002192,0.51250854,0.45306958,0.21305006
-5.50775388,1.26921111,0.25068361,0.23968478,0.05703741,0.06183097,0.02051899,0.52184842,0.45990250,0.22538632
-5.50175088,1.29934803,0.24295488,0.24844875,0.05976594,0.05930633,0.02093374,0.53370718,0.46769945,0.23874246
-5.49574787,1.33231271,0.23689965,0.25711521,0.06230517,0.05737718,0.02125994,0.54786488,0.47626081,0.25297078
-5.48974487,1.36741903,0.23242820,0.26553645,0.06461678,0.05602297,0.02149368,0.56403531,0.48535759,0.26789713
-5.48374187,1.40390035,0.22941247,0.27356412,0.06666439,0.05520949,0.02163331,0.58187220,0.49473748,0.28332276
-5.47773887,1.44092686,0.22769156,0.28105225,0.06841447,0.05489045,0.02167941,0.60097709,0.50413144,0.29902708
-5.47173587,1.47762483,0.22707787,0.28786007,0.06983720,0.05500928,0.02163461,0.62090860,0.51326073,0.31477129
-5.46573287,1.51309703,0.22736360,0.29385502,0.07090720,0.05550113,0.02150335,0.64119300,0.52184405,0.33030285
-5.45972986,1.54644405,0.22832750,0.29891547,0.07160428,0.05629498,0.02129160,0.66133568,0.52960471,0.34536076
-5.45372686,1.57678602,0.22974165,0.30293340,0.07191399,0.05731574,0.02100653,0.68083341,0.53627769,0.35968140
-5.44772386,1.60328407,0.23137802,0.30581675,0.07182811,0.05848646,0.02065610,0.69918697,0.54161632,0.37300486
-5.44172086,1.62516127,0.23301477,0.30749162,0.07134492,0.05973042,0.02024875,0.71591388,0.54539864,0.38508158
-5.43571786,1.64172242,0.23444201,0.30790403,0.07046938,0.06097307,0.01979300,0.73056100,0.54743309,0.39567899
-5.42971486,1.65237223,0.23546706,0.30702134,0.06921308,0.06214390,0.01929713,0.74271649,0.54756365,0.40458811
-5.42371186,1.65663148,0.23591891,0.30483332,0.06759405,0.06317809,0.01876894,0.75202098,0.54567409,0.41162972
-5.41770885,1.65415071,0.23565205,0.30135271,0.06563638,0.06401790,0.01821549,0.75817751,0.54169142,0.41665996
-5.41170585,1.64472095,0.23454925,0.29661538,0.06336971,0.06461388,0.01764299,0.76096001,0.53558835,0.41957514
-5.40570285,1.62828138,0.23252363,0.29068003,0.06082851,0.06492572,0.01705668,0.76022004,0.52738474,0.42031562
-5.39969985,1.60492342,0.22951967,0.28362741,0.05805130,0.06492287,0.01646088,0.75589151,0.51714802,0.41886848
-5.39369685,1.57489121,0.22551339,0.27555911,0.05507975,0.06458484,0.01585900,0.74799335,0.50499242,0.41526907
-5.38769385,1.53857841,0.22051163,0.26659591,0.05195767,0.06390123,0.01525368,0.73662991,0.49107727,0.40960123
-5.38169085,1.49652132,0.21455042,0.25687579,0.04873002,0.06287147,0.01464693,0.72198913,0.47560408,0.40199612
-5.37568784,1.44938841,0.20769271,0.24655149,0.04544190,0.06150427,0.01404031,0.70433842,0.45881275,0.39262995
-5.36968484,1.39796663,0.20002538,0.23578785,0.04213755,0.05981689,0.01343515,0.68401858,0.44097675,0.38172026
-5.36368184,1.34314465,0.19165570,0.22475888,0.03885943,0.05783416,0.01283269,0.66143561,0.42239756,0.36952129
-5.35767884,1.28589362,0.18270743,0.21364453,0.03564744,0.05558742,0.01223431,0.63705097,0.40339833,0.35631824
-5.35167584,1.22724579,0.17331666,0.20262745,0.03253812,0.05311320,0.01164162,0.61137028,0.38431703,0.34242080
-5.34567284,1.16827154,0.16362747,0.19188953,0.02956414,0.05045202,0.01105660,0.58493102,0.36549914,0.32815599
-5.33966983,1.11005539,0.15378774,0.18160848,0.02675380,0.04764703,0.01048165,0.55828932,0.34729005,0.31386060
-5.33366683,1.05367155,0.14394497,0.17195435,0.02413075,0.04474268,0.00991960,0.53200647,0.33002738,0.29987333
-5.32766383,1.00015950,0.13424252,0.16308613,0.02171382,0.04178355,0.00937367,0.50663516,0.31403331,0.28652694
-5.32166083,0.95050025,0.12481608,0.15514852,0.01951699,0.03881319,0.00884740,0.48270615,0.29960708,0.27414044
-5.31565783,0.90559374,0.11579078,0.14826878,0.01754947,0.03587311,0.00834454,0.46071539,0.28701791,0.26301167
-5.30965483,0.86623791,0.10727861,0.14255383,0.01581589,0.03300193,0.00786889,0.44111213,0.27649837,0.25341029
-5.30365183,0.83310990,0.09937660,0.13808767,0.01431657,0.03023470,0.00742415,0.42428819,0.26823844,0.24557143
-5.29764882,0.80674990,0.09216542,0.13492914,0.01304785,0.02760241,0.00701373,0.41056862,0.26238037,0.23969009
-5.29164582,0.78754802,0.08570859,0.13311005,0.01200248,0.02513161,0.00664062,0.40020418,0.25901453,0.23591649
-5.28564282,0.77573461,0.08005231,0.13263388,0.01117004,0.02284430,0.00630719,0.39336559,0.25817639,0.23435246
-5.27963982,0.77137433,0.07522568,0.13347500,0.01053734,0.02075791,0.00601506,0.39013992,0.25984476,0.23504895
-5.27363682,0.77436433,0.07124151,0.13557860,0.01008889,0.01888541,0.00576500,0.39052916,0.26394140,0.23800485
