energy_ev,total_up,As_p_up,As_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.06122783,0.02355433,0.00000000,0.02181282,0.01227148,0.00000150,0.01389297
-5.99399700,0.07262537,0.02792008,0.00000000,0.02582320,0.01454719,0.00000206,0.01649948
-5.98799400,0.08554931,0.03286403,0.00000000,0.03035314,0.01712471,0.00000279,0.01946200
-5.98199100,0.10007843,0.03841382,0.00000000,0.03542341,0.02001862,0.00000377,0.02280128
-5.97598799,0.11627088,0.04458860,0.00000000,0.04104594,0.02323914,0.00000505,0.02653396
-5.96998499,0.13415943,0.05139724,0.00000000,0.04722206,0.02679116,0.00000673,0.03067150
-5.96398199,0.15374710,0.05883655,0.00000000,0.05394079,0.03067339,0.00000892,0.03521925
-5.95797899,0.17500325,0.06688983,0.00000000,0.06117740,0.03487752,0.00001174,0.04017552
-5.95197599,0.19786043,0.07552564,0.00000000,0.06889234,0.03938764,0.00001535,0.04553088
-5.94597299,0.22221228,0.08469707,0.00000000,0.07703049,0.04417986,0.00001995,0.05126764
-5.93996998,0.24791255,0.09434142,0.00000000,0.08552108,0.04922216,0.00002576,0.05735949
-5.93396698,0.27477557,0.10438052,0.00000000,0.09427801,0.05447452,0.00003306,0.06377151
-5.92796398,0.30257817,0.11472163,0.00000000,0.10320099,0.05988941,0.00004214,0.07046041
-5.92196098,0.33106311,0.12525897,0.00000000,0.11217720,0.06541260,0.00005337,0.07737512
-5.91595798,0.35994397,0.13587586,0.00000000,0.12108368,0.07098425,0.00006716,0.08445756
-5.90995498,0.38891147,0.14644740,0.00000000,0.12979026,0.07654030,0.00008396,0.09164382
-5.90395198,0.41764083,0.15684369,0.00000000,0.13816302,0.08201415,0.00010429,0.09886547
-5.89794897,0.44580007,0.16693329,0.00000000,0.14606813,0.08733842,0.00012869,0.10605106
-5.89194597,0.47305877,0.17658703,0.00000000,0.15337596,0.09244692,0.00015775,0.11312775
-5.88594297,0.49909700,0.18568171,0.00000000,0.15996521,0.09727657,0.00019210,0.12002294
-5.87993997,0.52361395,0.19410383,0.00000000,0.16572691,0.10176926,0.00023239,0.12666587
-5.87393697,0.54633584,0.20175282,0.00000000,0.17056818,0.10587359,0.00027926,0.13298915
-5.86793397,0.56702276,0.20854398,0.00000000,0.17441539,0.10954625,0.00033335,0.13893005
-5.86193097,0.58547419,0.21441071,0.00000000,0.17721671,0.11275321,0.00039526,0.14443161
-5.85592796,0.60153275,0.21930597,0.00000000,0.17894388,0.11547041,0.00046553,0.14944348
-5.84992496,0.61508630,0.22320300,0.00000000,0.17959300,0.11768411,0.00054460,0.15392244
-5.84392196,0.62606807,0.22609524,0.00000000,0.17918446,0.11939076,0.00063280,0.15783274
-5.83791896,0.63445515,0.22799531,0.00000000,0.17776184,0.12059650,0.00073031,0.16114603
-5.83191596,0.64026531,0.22893337,0.00000000,0.17538997,0.12131618,0.00083713,0.16384121
-5.82591296,0.64355245,0.22895477,0.00000000,0.17215214,0.12157220,0.00095305,0.16590406
-5.81990995,0.64440106,0.22811723,0.00000000,0.16814670,0.12139295,0.00107761,0.16732668
-5.81390695,0.64292013,0.22648770,0.00000000,0.16348309,0.12081120,0.00121012,0.16810697
-5.80790395,0.63923664,0.22413905,0.00000000,0.15827764,0.11986240,0.00134961,0.16824810
-5.80190095,0.63348942,0.22114681,0.00000000,0.15264930,0.11858298,0.00149483,0.16775796
-5.79589795,0.62582337,0.21758616,0.00000000,0.14671545,0.11700883,0.00164427,0.16664882
-5.78989495,0.61638467,0.21352930,0.00000000,0.14058807,0.11517398,0.00179617,0.16493700
-5.78389195,0.60531689,0.20904326,0.00000000,0.13437041,0.11310957,0.00194854,0.16264278
-5.77788894,0.59275853,0.20418841,0.00000000,0.12815428,0.11084310,0.00209920,0.15979042
-5.77188594,0.57884167,0.19901756,0.00000000,0.12201807,0.10839814,0.00224583,0.15640824
-5.76588294,0.56369200,0.19357572,0.00000000,0.11602561,0.10579426,0.00238603,0.15252889
-5.75987994,0.54742998,0.18790054,0.00000000,0.11022573,0.10304743,0.00251737,0.14818962
-5.75387694,0.53017293,0.18202327,0.00000000,0.10465270,0.10017064,0.00263750,0.14343261
-5.74787394,0.51203799,0.17597024,0.00000000,0.09932730,0.09717478,0.00274418,0.13830522
-5.74187094,0.49314551,0.16976464,0.00000000,0.09425844,0.09406974,0.00283538,0.13286024
-5.73586793,0.47362270,0.16342859,0.00000000,0.08944534,0.09086563,0.00290935,0.12715606
-5.72986493,0.45360730,0.15698532,0.00000000,0.08487997,0.08757394,0.00296469,0.12125662
-5.72386193,0.43325099,0.15046123,0.00000000,0.08054966,0.08420886,0.00300039,0.11523139
-5.71785893,0.41272236,0.14388795,0.00000000,0.07643978,0.08078833,0.00301591,0.10915513
-5.71185593,0.39220930,0.13730404,0.00000000,0.07253632,0.07733508,0.00301117,0.10310748
-5.70585293,0.37192067,0.13075646,0.00000000,0.06882827,0.07387740,0.00298664,0.09717259
-5.69984992,0.35208721,0.12430167,0.00000000,0.06530966,0.07044979,0.00294326,0.09143851
-5.69384692,0.33296165,0.11800626,0.00000000,0.06198132,0.06709329,0.00288249,0.08599652
-5.68784392,0.31481801,0.11194732,0.00000000,0.05885216,0.06385566,0.00280630,0.08094049
-5.68184092,0.29795012,0.10621222,0.00000000,0.05594012,0.06079132,0.00271707,0.07636602
-5.67583792,0.28266945,0.10089821,0.00000000,0.05327260,0.05796098,0.00261761,0.07236964
-5.66983492,0.26930214,0.09611149,0.00000000,0.05088655,0.05543122,0.00251107,0.06904787
-5.66383192,0.25818541,0.09196606,0.00000000,0.04882818,0.05327372,0.00240089,0.06649622
-5.65782891,0.24966328,0.08858222,0.00000000,0.04715232,0.05156443,0.00229073,0.06480805
-5.65182591,0.24408158,0.08608476,0.00000000,0.04592142,0.05038250,0.00218442,0.06407336
-5.64582291,0.24178239,0.08460099,0.00000000,0.04520440,0.04980904,0.00208587,0.06437732
-5.63981991,0.24309766,0.08425836,0.00000000,0.04507504,0.04992576,0.00199902,0.06579873
-5.63381691,0.24834220,0.08518195,0.00000000,0.04561039,0.05081337,0.00192775,0.06840821
-5.62781391,0.25780601,0.08749165,0.00000000,0.04688875,0.05254990,0.00187586,0.07226622
-5.62181091,0.27174594,0.09129912,0.00000000,0.04898757,0.05520876,0.00184696,0.07742093
-5.61580790,0.29037676,0.09670455,0.00000000,0.05198112,0.05885668,0.00184442,0.08390590
-5.60980490,0.31386193,0.10379314,0.00000000,0.05593803,0.06355152,0.00187132,0.09173778
-5.60380190,0.34230405,0.11263159,0.00000000,0.06091863,0.06933994,0.00193035,0.10091390
-5.59779890,0.37573550,0.12326438,0.00000000,0.06697220,0.07625500,0.00202381,0.11141004
-5.59179590,0.41410940,0.13571013,0.00000000,0.07413421,0.08431375,0.00215345,0.12317844
-5.58579290,0.45729152,0.14995819,0.00000000,0.08242349,0.09351494,0.00232048,0.13614608
-5.57978989,0.50505341,0.16596543,0.00000000,0.09183958,0.10383686,0.00252544,0.15021358
-5.57378689,0.55706733,0.18365359,0.00000000,0.10236023,0.11523548,0.00276819,0.16525462
-5.56778389,0.61290347,0.20290730,0.00000000,0.11393930,0.12764302,0.00304780,0.18111619
-5.56178089,0.67202992,0.22357294,0.00000000,0.12650508,0.14096704,0.00336254,0.19761966
-5.55577789,0.73381574,0.24545856,0.00000000,0.13995926,0.15509024,0.00370980,0.21456279
-5.54977489,0.79753754,0.26833500,0.00000000,0.15417658,0.16987097,0.00408611,0.23172269
-5.54377189,0.86238963,0.29193838,0.00000000,0.16900544,0.18514466,0.00448713,0.24885975
-5.53776888,0.92749788,0.31597389,0.00000000,0.18426935,0.20072613,0.00490766,0.26572246
