energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,10.07202819,1.79768974,7.94588224,0.02522046,0.20318204,1.40764607,0.00000000,0.94349799,0.28752500
-5.99399700,9.94047519,1.75188832,7.84628851,0.02512429,0.19539377,1.38975188,0.00000000,0.92958673,0.28745683
-5.98799400,9.80078004,1.70649724,7.73859750,0.02508624,0.18766740,1.37163743,0.00000000,0.91575002,0.28732122
-5.98199100,9.65444006,1.66198395,7.62390444,0.02510984,0.18005510,1.35357476,0.00000000,0.90217896,0.28714074
-5.97598799,9.50308205,1.61878606,7.50346323,0.02519755,0.17260741,1.33581264,0.00000000,0.88904215,0.28693719
-5.96998499,9.34842263,1.57729839,7.37865891,0.02535068,0.16537184,1.31856901,0.00000000,0.87648024,0.28673057
-5.96398199,9.19222861,1.53786220,7.25097756,0.02556920,0.15839168,1.30202523,0.00000000,0.86460204,0.28653841
-5.95797899,9.03627853,1.50075714,7.12197466,0.02585172,0.15170504,1.28632222,0.00000000,0.85348210,0.28637530
-5.95197599,8.88232683,1.46619597,6.99324297,0.02619544,0.14534411,1.27155876,0.00000000,0.84316006,0.28625275
-5.94597299,8.73207162,1.43432222,6.86638100,0.02659619,0.13933472,1.25779177,0.00000000,0.83364154,0.28617934
-5.93996998,8.58712688,1.40521078,6.74296288,0.02704851,0.13369610,1.24503855,0.00000000,0.82490063,0.28616119
-5.93396698,8.44899952,1.37887104,6.62451045,0.02754583,0.12844098,1.23328077,0.00000000,0.81688376,0.28620269
-5.92796398,8.31907168,1.35525253,6.51246803,0.02808061,0.12357582,1.22246998,0.00000000,0.80951475,0.28630732
-5.92196098,8.19858794,1.33425249,6.40818047,0.02864460,0.11910128,1.21253422,0.00000000,0.80270071,0.28647877
-5.91595798,8.08864710,1.31572498,6.31287424,0.02922910,0.11501280,1.20338540,0.00000000,0.79633867,0.28672196
-5.90995498,7.99019795,1.29949106,6.22764192,0.02982524,0.11130134,1.19492699,0.00000000,0.79032231,0.28704408
-5.90395198,7.90403802,1.28534940,6.15342951,0.03042430,0.10795414,1.18706172,0.00000000,0.78454882,0.28745555
-5.89794897,7.83081440,1.27308697,6.09102646,0.03101795,0.10495557,1.17969867,0.00000000,0.77892523,0.28797067
-5.89194597,7.77102562,1.26248915,6.04105785,0.03159858,0.10228789,1.17275958,0.00000000,0.77337413,0.28860811
-5.88594297,7.72502360,1.25334890,6.00397833,0.03215951,0.09993207,1.16618390,0.00000000,0.76783835,0.28939097
-5.87993997,7.69301490,1.24547452,5.98006739,0.03269516,0.09786844,1.15993244,0.00000000,0.76228447,0.29034657
-5.87393697,7.67506058,1.23869588,5.96942569,0.03320125,0.09607732,1.15398936,0.00000000,0.75670493,0.29150577
-5.86793397,7.67107443,1.23286867,5.97197226,0.03367482,0.09453951,1.14836248,0.00000000,0.75111864,0.29290195
-5.86193097,7.68081946,1.22787677,5.98744254,0.03411426,0.09323672,1.14308192,0.00000000,0.74557008,0.29456970
