energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,13.06416218,0.03848852,2.26801959,0.20166360,0.17258126,4.72167442,6.41015904,0.19588110,4.32396201
-5.99399700,13.11435859,0.03860333,2.29204490,0.19926841,0.17518220,4.93755042,6.40163867,0.19197262,4.30753359
-5.98799400,13.15155511,0.03856351,2.31532754,0.19703861,0.17764223,5.16255477,6.38479351,0.18731730,4.28457523
-5.98199100,13.17507330,0.03837782,2.33761747,0.19496779,0.17991211,5.39314945,6.35993250,0.18197260,4.25520837
-5.97598799,13.18369244,0.03805871,2.35850700,0.19304409,0.18193475,5.62528932,6.32710270,0.17600545,4.21947329
-5.96998499,13.17570700,0.03762192,2.37744287,0.19125188,0.18364747,5.85453635,6.28609887,0.16949094,4.17734145
-5.96398199,13.14901744,0.03708596,2.39374698,0.18957365,0.18498471,6.07619614,6.23649022,0.16251087,4.12873438
-5.95797899,13.10125015,0.03647145,2.40664494,0.18799190,0.18588107,6.28547231,6.17766278,0.15515204,4.07354810
-5.95197599,13.02990109,0.03580037,2.41530123,0.18649104,0.18627453,6.47763226,6.10887536,0.14750445,4.01168174
-5.94597299,12.93249574,0.03509527,2.41885915,0.18505925,0.18610977,6.64817775,6.02932569,0.13965949,3.94306895
-5.93996998,12.80675742,0.03437846,2.41648366,0.18369007,0.18534136,6.79301286,5.93822329,0.13170803,3.86771021
-5.93396698,12.65077495,0.03367116,2.40740485,0.18238386,0.18393668,6.90860152,5.83486495,0.12373871,3.78570444
-5.92796398,12.46316065,0.03299280,2.39095974,0.18114891,0.18187856,6.99210756,5.71870844,0.11583628,3.69727774
-5.92196098,12.24319015,0.03236026,2.36663030,0.18000222,0.17916722,7.04151040,5.58944046,0.10808017,3.60280786
-5.91595798,11.99091601,0.03178738,2.33407564,0.17896981,0.17582177,7.05569075,5.44703487,0.10054329,3.50284250
-5.90995498,11.70724863,0.03128449,2.29315659,0.17808667,0.17188087,7.03448193,5.29179788,0.09329101,3.39811031
-5.90395198,11.39399952,0.03085812,2.24395144,0.17739622,0.16740267,6.97868412,5.12439754,0.08638050,3.28952349
-5.89794897,11.05388380,0.03051092,2.18676201,0.17694928,0.16246401,6.89004037,4.94587584,0.07986028,3.17817148
-5.89194597,10.69048109,0.03024168,2.12210962,0.17680255,0.15715884,6.77117542,4.75764249,0.07377000,3.06530543
-5.88594297,10.30815575,0.03004554,2.05072133,0.17701677,0.15159590,6.62549964,4.56145046,0.06814046,2.95231387
-5.87993997,9.91193971,0.02991436,1.97350714,0.17765432,0.14589581,6.45708257,4.35935454,0.06299384,2.84069011
-5.87393697,9.50738293,0.02983716,1.89152920,0.17877661,0.14018765,6.27050156,4.15365452,0.05834403,2.73199252
-5.86793397,9.10037795,0.02980070,1.80596483,0.18044117,0.13460504,6.07067227,3.94682598,0.05419712,2.62779923
-5.86193097,8.69696636,0.02979017,1.71806501,0.18269858,0.12928211,5.86266864,3.74144165,0.05055194,2.52965868
-5.85592796,8.30313565,0.02978981,1.62911045,0.18558931,0.12434914,5.65154001,3.54008717,0.04740065,2.43903838
-5.84992496,7.92461534,0.02978360,1.54036741,0.18914076,0.11992843,5.44213326,3.34527499,0.04472936,2.35727344
-5.84392196,7.56668109,0.02975597,1.45304510,0.19336430,0.11613022,5.23892744,3.15936015,0.04251871,2.28551741
-5.83791896,7.23397510,0.02969234,1.36825676,0.19825286,0.11304894,5.04588722,2.98446181,0.04074447,2.22469711
-5.83191596,6.93035003,0.02957968,1.28698587,0.20377883,0.11075989,4.86634096,2.82239358,0.03937808,2.17547367
-5.82591296,6.65874278,0.02940694,1.21005885,0.20989261,0.10931655,4.70288744,2.67460553,0.03838722,2.13821112
-5.81990995,6.42108268,0.02916529,1.13812516,0.21652187,0.10874841,4.55733413,2.54214018,0.03773629,2.11295438
