energy_ev,total_up,Ag_p_up,Ag_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,9.72304305,1.23047337,9.05482035,0.30083177,0.01467916,0.03460727,0.29720959
-5.99399700,9.51926736,1.21470556,8.84839424,0.29151265,0.01450008,0.03460952,0.30414944
-5.98799400,9.30826088,1.19831817,8.63453454,0.28193611,0.01430968,0.03466527,0.31131852
-5.98199100,9.09320003,1.18162460,8.41637837,0.27222903,0.01411088,0.03478361,0.31868202
-5.97598799,8.87738304,1.16492555,8.19720671,0.26251371,0.01390705,0.03497231,0.32619170
-5.96998499,8.66415341,1.14850338,7.98036861,0.25290558,0.01370187,0.03523762,0.33378641
-5.96398199,8.45681857,1.13261780,7.76919916,0.24351116,0.01349926,0.03558413,0.34139329
-5.95797899,8.25856570,1.11750277,7.56693344,0.23442625,0.01330326,0.03601466,0.34892985
-5.95197599,8.07237716,1.10336431,7.37661896,0.22573452,0.01311784,0.03653020,0.35630674
-5.94597299,7.90094793,1.09037939,7.20102935,0.21750637,0.01294680,0.03712984,0.36343099
-5.93996998,7.74660804,1.07869534,7.04258223,0.20979812,0.01279357,0.03781076,0.37020964
-5.93396698,7.61125248,1.06842985,6.90326442,0.20265149,0.01266110,0.03856823,0.37655356
-5.92796398,7.49628131,1.05967120,6.78456730,0.19609351,0.01255171,0.03939562,0.38238110
-5.92196098,7.40255246,1.05247863,6.68743516,0.19013656,0.01246696,0.04028445,0.38762149
-5.91595798,7.33034907,1.04688269,6.61222866,0.18477883,0.01240757,0.04122447,0.39221774
-5.90995498,7.27936321,1.04288544,6.55870544,0.18000508,0.01237334,0.04220373,0.39612878
-5.90395198,7.24869672,1.04046055,6.52601900,0.17578751,0.01236313,0.04320874,0.39933083
-5.89794897,7.23687986,1.03955325,6.51273627,0.17208709,0.01237485,0.04422460,0.40181777
-5.89194597,7.24190735,1.04008009,6.51687394,0.16885491,0.01240549,0.04523521,0.40360058
-5.88594297,7.26129096,1.04192890,6.53595227,0.16603384,0.01245124,0.04622354,0.40470581
-5.87993997,7.29212716,1.04495867,6.56706504,0.16356027,0.01250751,0.04717187,0.40517317
-5.87393697,7.33117762,1.04899990,6.60696314,0.16136603,0.01256915,0.04806214,0.40505243
-5.86793397,7.37496007,1.05385525,6.65214911,0.15938027,0.01263054,0.04887625,0.40439974
-5.86193097,7.41984648,1.05930090,6.69897925,0.15753142,0.01268583,0.04959652,0.40327364
-5.85592796,7.46216522,1.06508857,6.74376985,0.15574912,0.01272904,0.05020597,0.40173096
-5.84992496,7.49830408,1.07094849,6.78290379,0.15396596,0.01275434,0.05068879,0.39982298
-5.84392196,7.52481048,1.07659325,6.81293388,0.15211921,0.01275616,0.05103067,0.39759189
-5.83791896,7.53848592,1.08172271,6.83067958,0.15015227,0.01272943,0.05121918,0.39506799
-5.83191596,7.53647151,1.08602987,6.83331374,0.14801592,0.01266968,0.05124404,0.39226765
-5.82591296,7.51632225,1.08920776,6.81843687,0.14566941,0.01257321,0.05109744,0.38919225
-5.81990995,7.47606775,1.09095709,6.78413667,0.14308113,0.01243717,0.05077421,0.38582819
-5.81390695,7.41425800,1.09099462,6.72903128,0.14022921,0.01225967,0.05027197,0.38214791
-5.80790395,7.32999313,1.08906202,6.65229539,0.13710172,0.01203980,0.04959123,0.37811194
-5.80190095,7.22293670,1.08493484,6.55366889,0.13369666,0.01177764,0.04873534,0.37367192
-5.79589795,7.09331279,1.07843150,6.43344852,0.13002177,0.01147427,0.04771052,0.36877423
-5.78989495,6.94188750,1.06942168,6.29246344,0.12609410,0.01113168,0.04652564,0.36336434
-5.78389195,6.76993602,1.05783403,6.13203612,0.12193941,0.01075271,0.04519213,0.35739133
-5.77788894,6.57919682,1.04366261,5.95393064,0.11759141,0.01034098,0.04372369,0.35081253
-5.77188594,6.37181491,1.02697189,5.76029047,0.11309093,0.00990070,0.04213607,0.34359799
-5.76588294,6.15027631,1.00789986,5.55356822,0.10848497,0.00943661,0.04044673,0.33573441
-5.75987994,5.91733587,0.98665909,5.33644997,0.10382563,0.00895380,0.03867455,0.32722850
-5.75387694,5.67594111,0.96353540,5.11177687,0.09916908,0.00845758,0.03683946,0.31810940
-5.74787394,5.42915419,0.93888425,4.88246642,0.09457438,0.00795333,0.03496212,0.30843022
-5.74187094,5.18007448,0.91312455,4.65143592,0.09010228,0.00744638,0.03306353,0.29826834
-5.73586793,4.93176393,0.88673015,4.42153040,0.08581406,0.00694187,0.03116470,0.28772479
-5.72986493,4.68717717,0.86021913,4.19545673,0.08177023,0.00644464,0.02928630,0.27692241
-5.72386193,4.44909811,0.83414119,3.97572588,0.07802929,0.00595915,0.02744829,0.26600311
-5.71785893,4.22008471,0.80906338,3.76460425,0.07464640,0.00548939,0.02566962,0.25512419
-5.71185593,4.00242283,0.78555484,3.56407539,0.07167212,0.00503883,0.02396794,0.24445402
-5.70585293,3.79809026,0.76417082,3.37581228,0.06915109,0.00461038,0.02235923,0.23416722
-5.69984992,3.60873125,0.74543667,3.20116068,0.06712085,0.00420635,0.02085764,0.22443946
-5.69384692,3.43564184,0.72983235,3.04113309,0.06561064,0.00382851,0.01947517,0.21544226
-5.68784392,3.27976555,0.71777782,2.89641289,0.06464035,0.00347801,0.01822153,0.20733791
-5.68184092,3.14169904,0.70962015,2.76736776,0.06421964,0.00315550,0.01710396,0.20027462
-5.67583792,3.02170673,0.70562253,2.65407119,0.06434724,0.00286111,0.01612711,0.19438226
-5.66983492,2.91974315,0.70595562,2.55633056,0.06501043,0.00259453,0.01529301,0.18976860
-5.66383192,2.83548170,0.71069166,2.47372042,0.06618495,0.00235504,0.01460102,0.18651632
-5.65782891,2.76834814,0.71980140,2.40561902,0.06783504,0.00214161,0.01404793,0.18468076
-5.65182591,2.71755715,0.73315398,2.35124642,0.06991392,0.00195290,0.01362802,0.18428852
-5.64582291,2.68215022,0.75051972,2.30970261,0.07236463,0.00178738,0.01333326,0.18533675
-5.63981991,2.66103330,0.77157577,2.28000379,0.07512115,0.00164337,0.01315350,0.18779330
