energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up
-6.00000000,4.71229202,0.14256640,0.20348630,1.44968049,0.47682422,2.15361172,0.94576914,2.40954626,0.00000000
-5.99399700,4.76877798,0.14271954,0.20955391,1.46499478,0.48422137,2.16529449,0.95537097,2.42990470,0.00000000
-5.98799400,4.80639491,0.14216037,0.21507902,1.47428200,0.48979060,2.16732105,0.96108535,2.43995775,0.00000000
-5.98199100,4.82514782,0.14090308,0.21996703,1.47744556,0.49349621,2.15998584,0.96295177,2.43993647,0.00000000
-5.97598799,4.82542930,0.13898040,0.22413453,1.47452289,0.49534276,2.14379764,0.96108186,2.43028207,0.00000000
-5.96998499,4.80799796,0.13644249,0.22751114,1.46568015,0.49537347,2.11946076,0.95565603,2.41162808,0.00000000
-5.96398199,4.77394604,0.13335522,0.23004105,1.45120305,0.49366750,2.08785008,0.94691812,2.38477660,0.00000000
-5.95797899,4.72465752,0.12979806,0.23168428,1.43148424,0.49033622,2.04998109,0.93516817,2.35066949,0.00000000
-5.95197599,4.66175894,0.12586145,0.23241757,1.40700800,0.48551875,2.00697624,0.92075368,2.31035604,0.00000000
-5.94597299,4.58706494,0.12164388,0.23223489,1.37833305,0.47937690,1.96002909,0.90405953,2.26495831,0.00000000
-5.93996998,4.50252083,0.11724886,0.23114752,1.34607414,0.47208970,1.91036767,0.88549711,2.21563583,0.00000000
-5.93396698,4.41014454,0.11278172,0.22918378,1.31088333,0.46384781,1.85921847,0.86549294,2.16355096,0.00000000
-5.92796398,4.31196999,0.10834650,0.22638822,1.27343139,0.45484799,1.80777238,0.84447727,2.10983632,0.00000000
-5.92196098,4.20999396,0.10404297,0.22282054,1.23439029,0.44528772,1.75715371,0.82287310,2.05556547,0.00000000
-5.91595798,4.10612798,0.09996391,0.21855392,1.19441691,0.43536025,1.70839317,0.80108597,2.00172783,0.00000000
-5.90995498,4.00215677,0.09619265,0.21367315,1.15413867,0.42525006,1.66240545,0.77949492,1.94920851,0.00000000
-5.90395198,3.89970409,0.09280104,0.20827234,1.11414118,0.41512899,1.61997197,0.75844499,1.89877360,0.00000000
-5.89794897,3.80020666,0.08984783,0.20245239,1.07495817,0.40515298,1.58172885,0.73824131,1.85106104,0.00000000
-5.89194597,3.70489637,0.08737751,0.19631828,1.03706375,0.39545945,1.54816015,0.71914516,1.80657704,0.00000000
-5.88594297,3.61479075,0.08541963,0.18997635,1.00086692,0.38616547,1.51959622,0.70137195,1.76569764,0.00000000
-5.87993997,3.53069123,0.08398855,0.18353147,0.96670846,0.37736660,1.49621664,0.68509103,1.72867503,0.00000000
-5.87393697,3.45318858,0.08308370,0.17708441,0.93485976,0.36913638,1.47805747,0.67042740,1.69564776,0.00000000
-5.86793397,3.38267453,0.08269027,0.17072946,0.90552374,0.36152654,1.46502207,0.65746487,1.66665413,0.00000000
-5.86193097,3.31935872,0.08278027,0.16455227,0.87883738,0.35456774,1.45689488,0.64625064,1.64164781,0.00000000
