energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Se_s_up,Se_p_up
-6.00000000,13.98837148,3.77886743,8.31635183,0.05613301,0.82213930,1.29774925,0.71295732,0.09844629,3.12903843
-5.99399700,14.10721620,3.84593902,8.38331716,0.05506165,0.83050458,1.32986688,0.71047891,0.09956357,3.15084729
-5.98799400,14.18637505,3.90501389,8.42339567,0.05399909,0.83592401,1.36010536,0.70632919,0.10023880,3.16669582
-5.98199100,14.22395995,3.95517944,8.43532695,0.05295359,0.83823249,1.38824810,0.70058620,0.10047082,3.17640860
-5.97598799,14.21933341,3.99580373,8.41867217,0.05193467,0.83735732,1.41414416,0.69338529,0.10027062,3.18001754
-5.96998499,14.17313993,4.02655025,8.37383733,0.05095322,0.83331873,1.43771200,0.68491764,0.09966106,3.17776411
-5.96398199,14.08728685,4.04738071,8.30206351,0.05002129,0.82622685,1.45894052,0.67542649,0.09867614,3.17009281
-5.95797899,13.96487601,4.05854584,8.20538475,0.04915198,0.81627539,1.47788720,0.66520145,0.09735981,3.15763632
-5.95197599,13.81009016,4.06056498,8.08655619,0.04835911,0.80373222,1.49467363,0.65457090,0.09576452,3.14119308
-5.94597299,13.62803985,4.05419549,7.94895585,0.04765689,0.78892746,1.50947855,0.64389300,0.09394942,3.12169845
-5.93996998,13.42457845,4.04039380,7.79646523,0.04705949,0.77223952,1.52252872,0.63354565,0.09197835,3.10019098
-5.93396698,13.20609398,4.02026991,7.63333419,0.04658064,0.75407976,1.53408822,0.62391574,0.08991777,3.07777526
-5.92796398,12.97928736,3.99503768,7.46403646,0.04623318,0.73487652,1.54444640,0.61538820,0.08783455,3.05558323
-5.92196098,12.75094674,3.96596306,7.29312216,0.04602865,0.71505904,1.55390522,0.60833525,0.08579390,3.03473538
-5.91595798,12.52772735,3.93431272,7.12507351,0.04597694,0.69504213,1.56276636,0.60310619,0.08385736,3.01630374
-5.90995498,12.31594557,3.90130507,6.96416964,0.04608599,0.67521205,1.57131862,0.60001812,0.08208108,3.00127768
-5.90395198,12.12139469,3.86806567,6.81436541,0.04636162,0.65591420,1.57982604,0.59934780,0.08051420,2.99053407
-5.89794897,11.94918850,3.83558865,6.67918850,0.04680741,0.63744299,1.58851713,0.60132499,0.07919776,2.98481245
-5.89194597,11.80363728,3.80470526,6.56165774,0.04742468,0.62003426,1.59757551,0.60612725,0.07816372,2.98469588
-5.88594297,11.68815892,3.77606058,6.46422470,0.04821259,0.60386038,1.60713232,0.61387646,0.07743450,2.99059793
-5.87993997,11.60522633,3.75009878,6.38873918,0.04916828,0.58902810,1.61726046,0.62463691,0.07702273,3.00275574
-5.87393697,11.55635068,3.72705698,6.33643832,0.05028704,0.57557911,1.62797087,0.63841511,0.07693147,3.02122908
-5.86793397,11.54209844,3.70696752,6.30795790,0.05156264,0.56349316,1.63921105,0.65516106,0.07715460,3.04590501
-5.86193097,11.56213922,3.68966808,6.30336372,0.05298748,0.55269340,1.65086559,0.67477097,0.07767755,3.07650767
-5.85592796,11.61532014,3.67481879,6.32219995,0.05455288,0.54305369,1.66275901,0.69709126,0.07847824,3.11261249
-5.84992496,11.69976187,3.66192528,6.36355107,0.05624928,0.53440745,1.67466065,0.72192356,0.07952818,3.15366422
-5.84392196,11.81297104,3.65036662,6.42611368,0.05806636,0.52655753,1.68629152,0.74903068,0.08079368,3.19899779
-5.83791896,11.95196345,3.63942671,6.50827419,0.05999320,0.51928685,1.69733302,0.77814317,0.08223714,3.24786146
-5.83191596,12.11339248,3.62832783,6.60818867,0.06201822,0.51236905,1.70743719,0.80896631,0.08381841,3.29944120
-5.82591296,12.29367754,3.61626512,6.72386113,0.06412922,0.50557901,1.71623834,0.84118730,0.08549602,3.35288563
-5.81990995,12.48912758,3.60244044,6.85321717,0.06631330,0.49870259,1.72336549,0.87448250,0.08722841,3.40733069
-5.81390695,12.69605546,3.58609461,6.99417025,0.06855670,0.49154539,1.72845542,0.90852432,0.08897511,3.46192327
-5.80790395,12.91087943,3.56653661,7.14467837,0.07084473,0.48394011,1.73116567,0.94298775,0.09069767,3.51584318
-5.80190095,13.13020914,3.54316905,7.30278979,0.07316161,0.47575239,1.73118721,0.97755624,0.09236059,3.56832262
-5.79589795,13.35091399,3.51550877,7.46667696,0.07549039,0.46688488,1.72825594,1.01192679,0.09393192,3.61866290
-5.78989495,13.57017278,3.48320207,7.63465851,0.07781288,0.45727949,1.72216292,1.04581417,0.09538388,3.66624758
