energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
4.93746873,0.52210478,0.00720124,0.04447912,0.20048547,0.01641398,0.06938053,0.06811609,0.35686913,0.22593130
4.94347174,0.49244011,0.00672314,0.04187268,0.18774319,0.01558840,0.06498478,0.06451847,0.33464989,0.21408665
4.94947474,0.46237687,0.00623357,0.03922611,0.17466606,0.01474849,0.06051766,0.06100291,0.31211713,0.20208492
4.95547774,0.43243222,0.00574046,0.03658124,0.16147423,0.01390644,0.05606163,0.05762778,0.28970363,0.19012202
4.96148074,0.40311875,0.00525127,0.03397934,0.14837672,0.01307523,0.05169511,0.05445414,0.26782282,0.17839876
4.96748374,0.37493281,0.00477283,0.03146017,0.13556682,0.01226815,0.04749090,0.05154428,0.24686034,0.16711602
4.97348674,0.34834382,0.00431118,0.02906105,0.12321844,0.01149852,0.04351484,0.04896028,0.22716707,0.15646983
4.97948974,0.32378474,0.00387150,0.02681614,0.11148326,0.01077928,0.03982476,0.04676248,0.20905367,0.14664681
4.98549275,0.30164396,0.00345808,0.02475574,0.10048896,0.01012267,0.03646981,0.04500794,0.19278659,0.13781989
4.99149575,0.28225864,0.00307425,0.02290587,0.09033828,0.00953991,0.03349003,0.04374904,0.17858557,0.13014443
4.99749875,0.26590938,0.00272246,0.02128780,0.08110897,0.00904092,0.03091617,0.04303202,0.16662236,0.12375484
5.00350175,0.25281644,0.00240426,0.01991787,0.07285441,0.00863410,0.02876976,0.04289566,0.15702052,0.11876169
5.00950475,0.24313710,0.00212044,0.01880729,0.06560498,0.00832609,0.02706337,0.04337009,0.14985624,0.11524941
5.01550775,0.23696437,0.00187103,0.01796215,0.05936976,0.00812169,0.02580097,0.04447570,0.14515979,0.11327447
5.02151076,0.23432673,0.00165549,0.01738347,0.05413874,0.00802367,0.02497846,0.04622216,0.14291763,0.11286415
5.02751376,0.23518893,0.00147273,0.01706732,0.04988521,0.00803277,0.02458423,0.04860776,0.14307495,0.11401587
5.03351676,0.23945392,0.00132130,0.01700501,0.04656836,0.00814769,0.02459980,0.05161884,0.14553861,0.11669713
5.03951976,0.24696565,0.00119944,0.01718341,0.04413584,0.00836509,0.02500050,0.05522958,0.15018039,0.12084599
5.04552276,0.25751301,0.00110523,0.01758520,0.04252648,0.00867972,0.02575616,0.05940202,0.15684061,0.12637223
5.05152576,0.27083481,0.00103667,0.01818932,0.04167286,0.00908453,0.02683190,0.06408651,0.16533213,0.13315913
5.05752876,0.28662600,0.00099183,0.01897138,0.04150389,0.00957086,0.02818886,0.06922245,0.17544473,0.14106598
5.06353177,0.30454492,0.00096891,0.01990417,0.04194729,0.01012869,0.02978512,0.07473951,0.18695004,0.14993122
5.06953477,0.32422191,0.00096633,0.02095821,0.04293206,0.01074692,0.03157653,0.08055912,0.19960692,0.15957634
5.07553777,0.34526898,0.00098286,0.02210236,0.04439087,0.01141366,0.03351768,0.08659653,0.21316739,0.16981033
5.08154077,0.36729053,0.00101770,0.02330450,0.04626236,0.01211663,0.03556294,0.09276302,0.22738300,0.18043481
5.08754377,0.38989493,0.00107055,0.02453226,0.04849347,0.01284351,0.03766752,0.09896860,0.24201170,0.19124959
5.09354677,0.41270664,0.00114170,0.02575370,0.05104162,0.01358234,0.03978854,0.10512475,0.25682478,0.20205856
5.09954977,0.43537848,0.00123212,0.02693812,0.05387682,0.01432196,0.04188618,0.11114737,0.27161399,0.21267569
5.10555278,0.45760366,0.00134352,0.02805678,0.05698357,0.01505233,0.04392471,0.11695966,0.28619834,0.22293102
5.11155578,0.47912698,0.00147841,0.02908363,0.06036260,0.01576491,0.04587353,0.12249485,0.30043034,0.23267621
5.11755878,0.49975462,0.00164015,0.02999591,0.06403224,0.01645297,0.04770800,0.12769863,0.31420136,0.24178959
5.12356178,0.51936212,0.00183299,0.03077474,0.06802936,0.01711181,0.04941025,0.13253113,0.32744582,0.25018028
5.12956478,0.53789979,0.00206204,0.03140556,0.07240986,0.01773889,0.05096961,0.13696833,0.34014376,0.25779123
5.13556778,0.55539534,0.00233329,0.03187842,0.07724844,0.01833391,0.05238290,0.14100279,0.35232164,0.26460100
5.14157079,0.57195314,0.00265351,0.03218812,0.08263771,0.01889876,0.05365441,0.14464364,0.36405110,0.27062402
5.14757379,0.58775011,0.00303015,0.03233421,0.08868642,0.01943733,0.05479561,0.14791574,0.37544563,0.27590932
5.15357679,0.60302803,0.00347121,0.03232079,0.09551690,0.01995527,0.05582447,0.15085815,0.38665510,0.28053772
5.15957979,0.61808255,0.00398504,0.03215614,0.10326149,0.02045963,0.05676459,0.15352172,0.39785825,0.28461749
5.16558279,0.63324911,0.00458007,0.03185228,0.11205815,0.02095841,0.05764403,0.15596623,0.40925344,0.28827872
5.17158579,0.64888630,0.00526452,0.03142429,0.12204519,0.02146004,0.05849391,0.15825685,0.42104801,0.29166655
5.17758879,0.66535745,0.00604607,0.03088963,0.13335525,0.02197288,0.05934686,0.16046043,0.43344662,0.29493362
5.18359180,0.68301105,0.00693146,0.03026740,0.14610874,0.02250461,0.06023539,0.16264156,0.44663925,0.29823208
5.18959480,0.70216112,0.00792611,0.02957749,0.16040688,0.02306171,0.06119026,0.16485883,0.46078928,0.30170551
5.19559780,0.72306836,0.00903363,0.02883988,0.17632464,0.02364902,0.06223891,0.16716127,0.47602253,0.30548127
5.20160080,0.74592313,0.01025550,0.02807391,0.19390384,0.02426927,0.06340402,0.16958541,0.49241750,0.30966356
5.20760380,0.77083102,0.01159057,0.02729765,0.21314679,0.02492282,0.06470234,0.17215300,0.50999778,0.31432759
5.21360680,0.79780204,0.01303477,0.02652743,0.23401072,0.02560748,0.06614378,0.17486949,0.52872676,0.31951522
5.21960980,0.82674384,0.01458081,0.02577745,0.25640352,0.02631845,0.06773085,0.17772358,0.54850514,0.32523227
5.22561281,0.85745953,0.01621795,0.02505961,0.28018079,0.02704842,0.06945843,0.18068753,0.56917155,0.33144758
5.23161581,0.88965037,0.01793193,0.02438339,0.30514483,0.02778785,0.07131401,0.18371861,0.59050608,0.33809401
5.23761881,0.92292310,0.01970502,0.02375595,0.33104555,0.02852530,0.07327817,0.18676128,0.61223684,0.34507123
5.24362181,0.95680188,0.02151614,0.02318233,0.35758347,0.02924790,0.07532550,0.18975014,0.63404921,0.35225010
5.24962481,0.99074414,0.02334120,0.02266570,0.38441493,0.02994196,0.07742573,0.19261347,0.65559722,0.35947856
5.25562781,1.02415967,0.02515356,0.02220774,0.41115934,0.03059355,0.07954517,0.19527708,0.67651665,0.36658852
5.26163082,1.05643207,0.02692461,0.02180903,0.43740839,0.03118914,0.08164816,0.19766827,0.69643918,0.37340347
5.26763382,1.08694141,0.02862448,0.02146940,0.46273686,0.03171621,0.08369869,0.19971973,0.71500669,0.37974641
5.27363682,1.11508714,0.03022287,0.02118832,0.48671463,0.03216383,0.08566192,0.20137302,0.73188517,0.38544762
5.27963982,1.14030995,0.03168991,0.02096517,0.50891948,0.03252315,0.08750559,0.20258149,0.74677734,0.39035186
5.28564282,1.16211167,0.03299709,0.02079945,0.52895018,0.03278772,0.08920125,0.20331255,0.75943349,0.39432462
5.29164582,1.18007211,0.03411815,0.02069090,0.54643912,0.03295375,0.09072515,0.20354897,0.76965975,0.39725721
5.29764882,1.19386217,0.03502996,0.02063950,0.56106411,0.03302023,0.09205893,0.20328934,0.77732365,0.39907028
5.30365183,1.20325257,0.03571331,0.02064538,0.57255871,0.03298883,0.09318988,0.20254755,0.78235654,0.39971580
5.30965483,1.20811793,0.03615357,0.02070865,0.58072059,0.03286372,0.09411088,0.20135140,0.78475281,0.39917725
5.31565783,1.20843609,0.03634118,0.02082908,0.58541761,0.03265124,0.09482000,0.19974041,0.78456620,0.39746838
5.32166083,1.20428294,0.03627199,0.02100587,0.58659126,0.03235946,0.09531986,0.19776301,0.78190323,0.39463031
