energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.56428383,0.00679374,0.07297485,0.14222881,0.11847606,0.21536832,0.00000000,0.24624195,0.00730644
-5.99399700,0.58597571,0.00717999,0.07343514,0.14615448,0.12238033,0.22977495,0.00000000,0.25819006,0.00763115
-5.98799400,0.60610110,0.00756865,0.07354483,0.14938237,0.12594239,0.24398933,0.00000000,0.26973386,0.00795340
-5.98199100,0.62421016,0.00794902,0.07331243,0.15184849,0.12911265,0.25770586,0.00000000,0.28057789,0.00826317
-5.97598799,0.63990751,0.00831068,0.07276017,0.15350514,0.13185745,0.27062566,0.00000000,0.29044358,0.00855099
-5.96998499,0.65286154,0.00864371,0.07192368,0.15432183,0.13416042,0.28246386,0.00000000,0.29907512,0.00880814
-5.96398199,0.66281228,0.00893894,0.07085116,0.15428573,0.13602329,0.29295712,0.00000000,0.30624509,0.00902680
-5.95797899,0.66957784,0.00918818,0.06960209,0.15340182,0.13746634,0.30187079,0.00000000,0.31175972,0.00920022
-5.95197599,0.67305875,0.00938440,0.06824564,0.15169241,0.13852813,0.30900557,0.00000000,0.31546346,0.00932288
-5.94597299,0.67324020,0.00952192,0.06685871,0.14919635,0.13926480,0.31420325,0.00000000,0.31724267,0.00939059
-5.93996998,0.67019188,0.00959651,0.06552372,0.14596780,0.13974870,0.31735128,0.00000000,0.31702825,0.00940054
-5.93396698,0.66406534,0.00960553,0.06432620,0.14207452,0.14006640,0.31838588,0.00000000,0.31479708,0.00935139
-5.92796398,0.65508883,0.00954797,0.06335226,0.13759593,0.14031625,0.31729354,0.00000000,0.31057216,0.00924326
-5.92196098,0.64355987,0.00942438,0.06268598,0.13262090,0.14060529,0.31411086,0.00000000,0.30442135,0.00907766
-5.91595798,0.62983547,0.00923690,0.06240689,0.12724524,0.14104585,0.30892256,0.00000000,0.29645492,0.00885745
-5.90995498,0.61432070,0.00898908,0.06258749,0.12156925,0.14175174,0.30185794,0.00000000,0.28682177,0.00858668
-5.90395198,0.59745569,0.00868578,0.06329096,0.11569504,0.14283430,0.29308577,0.00000000,0.27570465,0.00827048
-5.89794897,0.57970172,0.00833294,0.06456909,0.10972410,0.14439832,0.28280800,0.00000000,0.26331454,0.00791482
-5.89194597,0.56152695,0.00793739,0.06646054,0.10375487,0.14653815,0.27125240,0.00000000,0.24988437,0.00752638
-5.88594297,0.54339230,0.00750659,0.06898946,0.09788057,0.14933398,0.25866468,0.00000000,0.23566242,0.00711230
-5.87993997,0.52573817,0.00704840,0.07216447,0.09218738,0.15284868,0.24530032,0.00000000,0.22090563,0.00667996
-5.87393697,0.50897237,0.00657082,0.07597817,0.08675283,0.15712510,0.23141649,0.00000000,0.20587313,0.00623678
-5.86793397,0.49346004,0.00608177,0.08040703,0.08164465,0.16218424,0.21726450,0.00000000,0.19082017,0.00579004
-5.86193097,0.47951568,0.00558884,0.08541192,0.07692005,0.16802420,0.20308298,0.00000000,0.17599270,0.00534668
-5.85592796,0.46739773,0.00509914,0.09093903,0.07262534,0.17462015,0.18909217,0.00000000,0.16162280,0.00491318
-5.84992496,0.45730594,0.00461912,0.09692134,0.06879603,0.18192515,0.17548940,0.00000000,0.14792494,0.00449544
-5.84392196,0.44938142,0.00415445,0.10328057,0.06545725,0.18987216,0.16244602,0.00000000,0.13509330,0.00409867
-5.83791896,0.44370928,0.00370994,0.10992947,0.06262459,0.19837673,0.15010573,0.00000000,0.12329993,0.00372739
-5.83191596,0.44032376,0.00328951,0.11677452,0.06030516,0.20734072,0.13858434,0.00000000,0.11269392,0.00338537
-5.82591296,0.43921531,0.00289613,0.12371883,0.05849896,0.21665654,0.12797084,0.00000000,0.10340130,0.00307567
-5.81990995,0.44033926,0.00253193,0.13066518,0.05720028,0.22621190,0.11832975,0.00000000,0.09552559,0.00280066
-5.81390695,0.44362548,0.00219817,0.13751906,0.05639932,0.23589476,0.10970426,0.00000000,0.08914893,0.00256210
-5.80790395,0.44898843,0.00189533,0.14419157,0.05608372,0.24559828,0.10212036,0.00000000,0.08433345,0.00236120
-5.80190095,0.45633712,0.00162322,0.15060210,0.05623998,0.25522549,0.09559125,0.00000000,0.08112283,0.00219873
-5.79589795,0.46558419,0.00138108,0.15668061,0.05685484,0.26469335,0.09012211,0.00000000,0.07954396,0.00207507
-5.78989495,0.47665377,0.00116766,0.16236939,0.05791630,0.27393616,0.08571476,0.00000000,0.07960831,0.00199033
-5.78389195,0.48948758,0.00098133,0.16762428,0.05941450,0.28290790,0.08237204,0.00000000,0.08131327,0.00194441
-5.77788894,0.50404896,0.00082019,0.17241524,0.06134220,0.29158356,0.08010161,0.00000000,0.08464304,0.00193709
-5.77188594,0.52032454,0.00068218,0.17672622,0.06369498,0.29995922,0.07891912,0.00000000,0.08956926,0.00196807
-5.76588294,0.53832367,0.00056513,0.18055447,0.06647113,0.30805098,0.07885031,0.00000000,0.09605137,0.00203701
-5.75987994,0.55807535,0.00046683,0.18390913,0.06967117,0.31589272,0.07993226,0.00000000,0.10403659,0.00214355
-5.75387694,0.57962315,0.00038514,0.18680936,0.07329713,0.32353287,0.08221337,0.00000000,0.11345970,0.00228734
-5.74787394,0.60301817,0.00031800,0.18928212,0.07735154,0.33103028,0.08575226,0.00000000,0.12424272,0.00246799
-5.74187094,0.62831058,0.00026346,0.19135953,0.08183630,0.33844947,0.09061557,0.00000000,0.13629445,0.00268506
-5.73586793,0.65554012,0.00021974,0.19307627,0.08675129,0.34585552,0.09687463,0.00000000,0.14951015,0.00293800
-5.72986493,0.68472611,0.00018523,0.19446695,0.09209313,0.35330883,0.10460118,0.00000000,0.16377127,0.00322609
-5.72386193,0.71585754,0.00015850,0.19556364,0.09785370,0.36086009,0.11386234,0.00000000,0.17894543,0.00354840
-5.71785893,0.74888371,0.00013831,0.19639382,0.10401904,0.36854562,0.12471494,0.00000000,0.19488678,0.00390369
-5.71185593,0.78370593,0.00012362,0.19697869,0.11056817,0.37638348,0.13719956,0.00000000,0.21143660,0.00429033
-5.70585293,0.82017089,0.00011359,0.19733209,0.11747236,0.38437039,0.15133448,0.00000000,0.22842441,0.00470625
