energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.86460043,0.55264382,0.40937239,0.01341509,0.18181841,0.03817533,0.70543278
-5.99399700,1.81638437,0.56677833,0.39469348,0.01233501,0.17629064,0.03504683,0.69179270
-5.98799400,1.77639916,0.58519287,0.38154012,0.01127270,0.17132084,0.03205321,0.68185057
-5.98199100,1.74583496,0.60812915,0.37022057,0.01024115,0.16709215,0.02921618,0.67594290
-5.97598799,1.72574649,0.63578453,0.36101436,0.00925225,0.16377731,0.02655703,0.67434992
-5.96998499,1.71702456,0.66830404,0.35416610,0.00831662,0.16153556,0.02409607,0.67728533
-5.96398199,1.72037630,0.70577493,0.34988126,0.00744348,0.16051022,0.02185223,0.68488951
-5.95797899,1.73631415,0.74822386,0.34832379,0.00664062,0.16082698,0.01984274,0.69722638
-5.95197599,1.76515343,0.79561653,0.34961563,0.00591448,0.16259278,0.01808301,0.71428382
-5.94597299,1.80701784,0.84785982,0.35383789,0.00527019,0.16589525,0.01658655,0.73597740
-5.93996998,1.86185168,0.90480596,0.36103341,0.00471178,0.17080260,0.01536500,0.76215701
-5.93396698,1.92943762,0.96625843,0.37121053,0.00424232,0.17736384,0.01442825,0.79261592
-5.92796398,2.00941833,1.03197916,0.38434750,0.00386416,0.18560922,0.01378456,0.82710158
-5.92196098,2.10132055,1.10169644,0.40039749,0.00357911,0.19555075,0.01344066,0.86532755
-5.91595798,2.20457981,1.17511317,0.41929349,0.00338867,0.20718274,0.01340195,0.90698582
-5.90995498,2.31856443,1.25191485,0.44095306,0.00329419,0.22048222,0.01367248,0.95175893
-5.90395198,2.44259722,1.33177691,0.46528245,0.00329702,0.23540922,0.01425503,0.99933112
-5.89794897,2.57597404,1.41437096,0.49217992,0.00339861,0.25190687,0.01515103,1.04939807
-5.89194597,2.71797803,1.49936972,0.52153807,0.00360056,0.26990136,0.01636041,1.10167471
-5.88594297,2.86788918,1.58645031,0.55324502,0.00390462,0.28930171,0.01788144,1.15590066
-5.87993997,3.02498889,1.67529592,0.58718448,0.00431264,0.30999955,0.01971038,1.21184324
-5.87393697,3.18855959,1.76559573,0.62323463,0.00482642,0.33186888,0.02184126,1.26929776
-5.86793397,3.35787992,1.85704328,0.66126606,0.00544757,0.35476595,0.02426543,1.32808528
-5.86193097,3.53221603,1.94933344,0.70113878,0.00617729,0.37852947,0.02697129,1.38804799
-5.85592796,3.71081002,2.04215826,0.74269875,0.00701611,0.40298107,0.02994389,1.44904236
-5.84992496,3.89286668,2.13520218,0.78577399,0.00796361,0.42792639,0.03316474,1.51093080
-5.84392196,4.07753973,2.22813688,0.83017078,0.00901813,0.45315659,0.03661156,1.57357212
-5.83791896,4.26391904,2.32061628,0.87567017,0.01017649,0.47845060,0.04025823,1.63681146
-5.83191596,4.45102005,2.41227227,0.92202527,0.01143372,0.50357799,0.04407485,1.70047044
-5.82591296,4.63777689,2.50271142,0.96895954,0.01278283,0.52830252,0.04802798,1.76433818
-5.81990995,4.82304005,2.59151330,1.01616643,0.01421465,0.55238630,0.05208098,1.82816383
-5.81390695,5.00557987,2.67823061,1.06331059,0.01571770,0.57559447,0.05619462,1.89165126
-5.80790395,5.18409604,2.76239141,1.11003088,0.01727822,0.59770023,0.06032775,1.95445646
-5.80190095,5.35723375,2.84350360,1.15594504,0.01888025,0.61849014,0.06443822,2.01618803
-5.79589795,5.52360607,2.92106160,1.20065632,0.02050581,0.63776940,0.06848385,2.07641098
-5.78989495,5.68182217,2.99455508,1.24376157,0.02213524,0.65536685,0.07242358,2.13465389
-5.78389195,5.83052036,3.06347945,1.28486078,0.02374759,0.67113961,0.07621860,2.19041935
-5.77788894,5.96840458,3.12734763,1.32356765,0.02532118,0.68497699,0.07983355,2.24319721
-5.77188594,6.09428284,3.18570254,1.35952071,0.02683418,0.69680345,0.08323772,2.29248025
-5.76588294,6.20710556,3.23812975,1.39239455,0.02826534,0.70658054,0.08640604,2.33778133
-5.75987994,6.30600198,3.28426936,1.42191061,0.02959466,0.71430764,0.08932012,2.37865146
-5.75387694,6.39031262,3.32382671,1.44784698,0.03080420,0.72002129,0.09196896,2.41469755
-5.74787394,6.45961583,3.35658100,1.47004670,0.03187880,0.72379335,0.09434952,2.44559917
-5.74187094,6.51374699,3.38239147,1.48842416,0.03280674,0.72572782,0.09646705,2.47112308
-5.73586793,6.55280897,3.40120058,1.50296916,0.03358041,0.72595658,0.09833504,2.49113499
-5.72986493,6.57717314,3.41303411,1.51374844,0.03419678,0.72463419,0.09997504,2.50560750
-5.72386193,6.58747061,3.41799798,1.52090452,0.03465778,0.72193203,0.10141603,2.51462406
-5.71785893,6.58457386,3.41627213,1.52465198,0.03497048,0.71803200,0.10269362,2.51837833
-5.71185593,6.56956964,3.40810178,1.52527111,0.03514718,0.71312018,0.10384895,2.51716912
-5.70585293,6.54372422,3.39378649,1.52309941,0.03520516,0.70738072,0.10492737,2.51139088
-5.69984992,6.50844261,3.37366795,1.51852116,0.03516641,0.70099022,0.10597698,2.50152045
-5.69384692,6.46522364,3.34811706,1.51195565,0.03505704,0.69411290,0.10704694,2.48810028
-5.68784392,6.41561281,3.31752110,1.50384430,0.03490655,0.68689675,0.10818585,2.47171936
-5.68184092,6.36115495,3.28227187,1.49463745,0.03474700,0.67947080,0.10944002,2.45299229
-5.67583792,6.30334856,3.24275531,1.48478110,0.03461196,0.67194351,0.11085180,2.43253780
-5.66983492,6.24360355,3.19934324,1.47470409,0.03453544,0.66440236,0.11245804,2.41095738
-5.66383192,6.18320369,3.15238750,1.46480606,0.03455070,0.65691442,0.11428867,2.38881505
-5.65782891,6.12327489,3.10221678,1.45544659,0.03468907,0.64952787,0.11636549,2.36661904
-5.65182591,6.06475990,3.04913605,1.44693562,0.03497877,0.64227417,0.11870117,2.34480598
-5.64582291,6.00839995,2.99342851,1.43952535,0.03544380,0.63517069,0.12129850,2.32372817
-5.63981991,5.95472318,2.93535971,1.43340382,0.03610294,0.62822356,0.12414994,2.30364429
-5.63381691,5.90403987,2.87518350,1.42869005,0.03696883,0.62143054,0.12723745,2.28471373
-5.62781391,5.85644403,2.81314926,1.42543099,0.03804731,0.61478364,0.13053256,2.26699466
-5.62181091,5.81182096,2.74951004,1.42360012,0.03933687,0.60827148,0.13399677,2.25044572
-5.61580790,5.76986036,2.68453099,1.42309785,0.04082843,0.60188115,0.13758225,2.23493123
-5.60980490,5.73007442,2.61849775,1.42375375,0.04250523,0.59559970,0.14123271,2.22022961
-5.60380190,5.69182061,2.55172437,1.42533058,0.04434313,0.58941509,0.14488463,2.20604476
-5.59779890,5.65432861,2.48456034,1.42753017,0.04631105,0.58331693,0.14846866,2.19201992
-5.59179590,5.61673107,2.41739657,1.43000125,0.04837168,0.57729694,0.15191119,2.17775364
-5.58579290,5.57809754,2.35066995,1.43234907,0.05048249,0.57134920,0.15513615,2.16281732
-5.57978989,5.53747118,2.28486628,1.43414678,0.05259686,0.56547058,0.15806695,2.14677382
-5.57378689,5.49390715,2.22052142,1.43494838,0.05466545,0.55966114,0.16062842,2.12919649
-5.56778389,5.44651199,2.15822028,1.43430293,0.05663765,0.55392479,0.16274890,2.10968803
-5.56178089,5.39448257,2.09859350,1.43176967,0.05846311,0.54827005,0.16436225,2.08789845
-5.55577789,5.33714307,2.04231149,1.42693351,0.06009335,0.54271098,0.16540978,2.06354150
-5.54977489,5.27397863,1.99007563,1.41942036,0.06148328,0.53726820,0.16584211,2.03640881
-5.54377189,5.20466365,1.94260633,1.40891153,0.06259258,0.53196970,0.16562067,2.00638103
-5.53776888,5.12908307,1.90062788,1.39515670,0.06338709,0.52685147,0.16471913,1.97343549
-5.53176588,5.04734519,1.86485000,1.37798459,0.06383978,0.52195759,0.16312428,1.93764979
-5.52576288,4.95978440,1.83594628,1.35731081,0.06393164,0.51733968,0.16083671,1.89920090
-5.51975988,4.86695324,1.81452975,1.33314243,0.06365222,0.51305562,0.15787090,1.85835977
-5.51375688,4.76960312,1.80112629,1.30557881,0.06299983,0.50916730,0.15425501,1.81548140
-5.50775388,4.66865416,1.79614661,1.27480852,0.06198152,0.50573752,0.15003009,1.77099059
-5.50175088,4.56515507,1.79985788,1.24110252,0.06061268,0.50282601,0.14524896,1.72536404
-5.49574787,4.46023459,1.81235641,1.20480372,0.05891634,0.50048473,0.13997461,1.67910953
-5.48974487,4.35504695,1.83354273,1.16631344,0.05692234,0.49875278,0.13427835,1.63274308
-5.48374187,4.25071395,1.86310076,1.12607547,0.05466611,0.49765109,0.12823764,1.58676528
-5.47773887,4.14826703,1.90048260,1.08455852,0.05218747,0.49717728,0.12193376,1.54163805
-5.47173587,4.04859257,1.94490049,1.04223798,0.04952923,0.49730122,0.11544945,1.49776300
-5.46573287,3.95238378,1.99532711,0.99957799,0.04673578,0.49796151,0.10886654,1.45546274
-5.45972986,3.86010216,2.05050540,0.95701475,0.04385175,0.49906328,0.10226379,1.41496609
-5.45372686,3.77195131,2.10896825,0.91494196,0.04092069,0.50047770,0.09571482,1.37639818
-5.44772386,3.68786474,2.16906824,0.87369912,0.03798396,0.50204329,0.08928654,1.33977602
-5.44172086,3.60750896,2.22901692,0.83356336,0.03507970,0.50356923,0.08303778,1.30500994
-5.43571786,3.53030202,2.28693260,0.79474490,0.03224213,0.50484058,0.07701846,1.27191074
-5.42971486,3.45544669,2.34089512,0.75738664,0.02950098,0.50562524,0.07126908,1.24020246
-5.42371186,3.38197683,2.38900540,0.72156740,0.02688115,0.50568253,0.06582076,1.20953984
-5.41770885,3.30881442,2.42944761,0.68730881,0.02440269,0.50477275,0.06069561,1.17952984
-5.41170585,3.23483429,2.46055109,0.65458511,0.02208085,0.50266759,0.05590745,1.14975581
-5.40570285,3.15893317,2.48084928,0.62333537,0.01992644,0.49916049,0.05146294,1.11980328
-5.39969985,3.08009935,2.48913315,0.59347733,0.01794628,0.49407683,0.04736282,1.08928586
-5.39369685,2.99747936,2.48449638,0.56492206,0.01614376,0.48728307,0.04360340,1.05787006
-5.38769385,2.91043835,2.46637048,0.53758863,0.01451955,0.47869455,0.04017816,1.02529772
-5.38169085,2.81861120,2.43454812,0.51141814,0.01307228,0.46828158,0.03707924,0.99140516
-5.37568784,2.72194218,2.38919365,0.48638637,0.01179928,0.45607340,0.03429907,0.95613801
-5.36968484,2.62071145,2.33084063,0.46251452,0.01069727,0.44215990,0.03183166,0.91956141
-5.36368184,2.51554758,2.26037658,0.43987768,0.00976302,0.42669109,0.02967395,0.88186511
-5.35767884,2.40742612,2.17901584,0.41861071,0.00899395,0.40987432,0.02782676,0.84336356
