energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.67579440,0.00491350,0.02582838,0.17367035,0.06335489,0.04229191,0.28433813,0.27177026,0.03760032
-5.99399700,0.68745142,0.00476637,0.02744397,0.18773490,0.06187816,0.04189689,0.29419416,0.29346563,0.03663357
-5.98799400,0.70690112,0.00471516,0.02949764,0.20434713,0.06118376,0.04193705,0.30717597,0.31880687,0.03604451
-5.98199100,0.73384753,0.00475996,0.03199814,0.22350528,0.06124843,0.04235391,0.32316801,0.34774455,0.03580476
-5.97598799,0.76787098,0.00490111,0.03494717,0.24516446,0.06203802,0.04308392,0.34200040,0.38017416,0.03588001
-5.96998499,0.80843403,0.00513935,0.03833862,0.26923318,0.06350863,0.04406008,0.36345030,0.41593264,0.03623094
-5.96398199,0.85488922,0.00547592,0.04215793,0.29557071,0.06560771,0.04521361,0.38724412,0.45479570,0.03681428
-5.95797899,0.90648842,0.00591264,0.04638150,0.32398529,0.06827530,0.04647566,0.41306078,0.49647620,0.03758391
-5.95197599,0.96239376,0.00645190,0.05097640,0.35423348,0.07144527,0.04777882,0.44053583,0.54062357,0.03849198
-5.94597299,1.02168998,0.00709654,0.05590010,0.38602073,0.07504654,0.04905871,0.46926645,0.58682466,0.03949006
-5.93996998,1.08339818,0.00784979,0.06110057,0.41900339,0.07900431,0.05025538,0.49881736,0.63460608,0.04053024
-5.93396698,1.14649078,0.00871496,0.06651662,0.45279222,0.08324126,0.05131452,0.52872751,0.68343821,0.04156622
-5.92796398,1.20990759,0.00969522,0.07207851,0.48695748,0.08767869,0.05218857,0.55851754,0.73274095,0.04255423
-5.92196098,1.27257283,0.01079322,0.07770890,0.52103560,0.09223758,0.05283758,0.58769789,0.78189132,0.04345399
-5.91595798,1.33341289,0.01201070,0.08332416,0.55453731,0.09683965,0.05322987,0.61577746,0.83023281,0.04422943
-5.90995498,1.39137457,0.01334806,0.08883587,0.58695722,0.10140828,0.05334238,0.64227271,0.87708650,0.04484931
-5.90395198,1.44544354,0.01480387,0.09415276,0.61778442,0.10586940,0.05316088,0.66671695,0.92176365,0.04528775
-5.89794897,1.49466270,0.01637448,0.09918275,0.64651416,0.11015229,0.05267985,0.68866979,0.96357962,0.04552451
-5.89194597,1.53815000,0.01805358,0.10383526,0.67265985,0.11419033,0.05190216,0.70772631,1.00186872,0.04554521
-5.88594297,1.57511547,0.01983183,0.10802355,0.69576537,0.11792168,0.05083852,0.72352600,1.03599960,0.04534127
-5.87993997,1.60487687,0.02169656,0.11166713,0.71541700,0.12128987,0.04950680,0.73576092,1.06539069,0.04490986
-5.87393697,1.62687369,0.02363168,0.11469406,0.73125470,0.12424433,0.04793113,0.74418306,1.08952519,0.04425360
-5.86793397,1.64067893,0.02561755,0.11704310,0.74298220,0.12674095,0.04614095,0.74861054,1.10796504,0.04338019
-5.86193097,1.64600848,0.02763116,0.11866562,0.75037557,0.12874242,0.04417000,0.74893249,1.12036338,0.04230191
-5.85592796,1.64272751,0.02964636,0.11952713,0.75328984,0.13021871,0.04205528,0.74511230,1.12647492,0.04103512
-5.84992496,1.63085384,0.03163430,0.11960839,0.75166348,0.13114733,0.03983603,0.73718922,1.12616381,0.03959959
-5.84392196,1.61055796,0.03356402,0.11890614,0.74552045,0.13151367,0.03755279,0.72527808,1.11940866,0.03801792
-5.83791896,1.58215960,0.03540322,0.11743321,0.73496978,0.13131119,0.03524657,0.70956720,1.10630440,0.03631483
-5.83191596,1.54612099,0.03711904,0.11521824,0.72020267,0.13054157,0.03295809,0.69031438,1.08706083,0.03451658
-5.82591296,1.50303686,0.03867909,0.11230481,0.70148721,0.12921481,0.03072720,0.66784122,1.06199799,0.03265033
-5.81990995,1.45362143,0.04005239,0.10875014,0.67916095,0.12734920,0.02859239,0.64252574,1.03153831,0.03074358
-5.81390695,1.39869286,0.04121040,0.10462347,0.65362161,0.12497123,0.02659049,0.61479374,0.99619595,0.02882361
-5.80790395,1.33915542,0.04212802,0.10000393,0.62531629,0.12211535,0.02475640,0.58510902,0.95656368,0.02691709
-5.80190095,1.27598020,0.04278444,0.09497839,0.59472973,0.11882363,0.02312299,0.55396282,0.91329783,0.02504961
-5.79589795,1.21018465,0.04316397,0.08963898,0.56237186,0.11514530,0.02172102,0.52186293,0.86710185,0.02324538
-5.78989495,1.14281180,0.04325660,0.08408067,0.52876539,0.11113611,0.02057910,0.48932269,0.81870916,0.02152698
-5.78389195,1.07490966,0.04305844,0.07839888,0.49443366,0.10685765,0.01972370,0.45685030,0.76886593,0.01991507
-5.77788894,1.00751145,0.04257196,0.07268727,0.45988933,0.10237643,0.01917903,0.42493886,0.71831437,0.01842833
-5.77188594,0.94161716,0.04180593,0.06703566,0.42562424,0.09776296,0.01896702,0.39405725,0.66777721,0.01708324
-5.76588294,0.87817692,0.04077525,0.06152835,0.39210061,0.09309065,0.01910705,0.36464228,0.61794374,0.01589407
-5.75987994,0.81807659,0.03950049,0.05624272,0.35974406,0.08843472,0.01961575,0.33709211,0.56945800,0.01487280
-5.75387694,0.76212576,0.03800723,0.05124816,0.32893821,0.08387101,0.02050662,0.31176131,0.52290921,0.01402913
-5.74787394,0.71104849,0.03632539,0.04660547,0.30002125,0.07947486,0.02178953,0.28895728,0.47882479,0.01337042
-5.74187094,0.66547669,0.03448826,0.04236648,0.27328419,0.07531993,0.02347027,0.26893833,0.43766594,0.01290177
-5.73586793,0.62594617,0.03253157,0.03857410,0.24897067,0.07147716,0.02554990,0.25191316,0.39982574,0.01262599
-5.72986493,0.59289528,0.03049257,0.03526264,0.22727831,0.06801380,0.02802421,0.23804166,0.36562956,0.01254366
-5.72386193,0.56666590,0.02840895,0.03245827,0.20836116,0.06499256,0.03088305,0.22743694,0.33533758,0.01265320
-5.71785893,0.54750646,0.02631804,0.03017979,0.19233302,0.06247090,0.03410992,0.22016826,0.30914905,0.01295091
-5.71185593,0.53557673,0.02425594,0.02843937,0.17927144,0.06050044,0.03768147,0.21626478,0.28720783,0.01343103
-5.70585293,0.53095397,0.02225677,0.02724346,0.16922191,0.05912659,0.04156730,0.21571978,0.26960890,0.01408592
