energy_ev,total_up,total_down,B_p_up,B_p_down,B_d_up,B_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.00006979,-0.00000637,0.00000197,-0.00000000,0.00000000,-0.00000000,0.00008136,-0.00001012,0.00001910,-0.00000157,0.00000010,-0.00000000,0.00000636,-0.00000010
-5.99399700,0.00006085,-0.00000427,0.00000284,-0.00000000,0.00000000,-0.00000000,0.00005696,-0.00000680,0.00001580,-0.00000105,0.00000014,-0.00000000,0.00000872,-0.00000006
-5.98799400,0.00005951,-0.00000285,0.00000408,-0.00000000,0.00000000,-0.00000000,0.00003962,-0.00000453,0.00001446,-0.00000070,0.00000021,-0.00000000,0.00001220,-0.00000004
-5.98199100,0.00006563,-0.00000189,0.00000582,-0.00000000,0.00000000,-0.00000000,0.00002739,-0.00000300,0.00001495,-0.00000046,0.00000029,-0.00000000,0.00001715,-0.00000003
-5.97598799,0.00007972,-0.00000124,0.00000823,-0.00000000,0.00000000,-0.00000000,0.00001885,-0.00000197,0.00001727,-0.00000030,0.00000042,-0.00000000,0.00002412,-0.00000002
-5.96998499,0.00010306,-0.00000081,0.00001157,-0.00000000,0.00000000,-0.00000000,0.00001295,-0.00000129,0.00002163,-0.00000020,0.00000059,-0.00000000,0.00003378,-0.00000001
-5.96398199,0.00013772,-0.00000052,0.00001614,-0.00000000,0.00000000,-0.00000000,0.00000893,-0.00000083,0.00002839,-0.00000013,0.00000082,-0.00000000,0.00004704,-0.00000001
-5.95797899,0.00018669,-0.00000034,0.00002235,-0.00000000,0.00000000,-0.00000000,0.00000625,-0.00000054,0.00003812,-0.00000008,0.00000113,-0.00000000,0.00006510,-0.00000001
-5.95197599,0.00025402,-0.00000022,0.00003073,-0.00000000,0.00000000,-0.00000000,0.00000453,-0.00000034,0.00005163,-0.00000005,0.00000156,-0.00000000,0.00008949,-0.00000000
-5.94597299,0.00034503,-0.00000014,0.00004196,-0.00000000,0.00000000,-0.00000000,0.00000349,-0.00000022,0.00006996,-0.00000003,0.00000213,-0.00000000,0.00012215,-0.00000000
-5.93996998,0.00046655,-0.00000009,0.00005688,-0.00000000,0.00000000,-0.00000000,0.00000297,-0.00000014,0.00009450,-0.00000002,0.00000288,-0.00000000,0.00016557,-0.00000000
-5.93396698,0.00062719,-0.00000005,0.00007656,-0.00000000,0.00000000,-0.00000000,0.00000285,-0.00000009,0.00012698,-0.00000001,0.00000388,-0.00000000,0.00022284,-0.00000000
