energy_ev,total_up,Ga_p_up,Ga_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,1.82436679,0.31243603,0.00000000,1.16065000,0.46719469,0.17482841,0.40914744
-5.99399700,1.88172364,0.32255359,0.00000000,1.20879397,0.47937163,0.17670930,0.42592695
-5.98799400,1.93088274,0.33138016,0.00000000,1.25266999,0.48921499,0.17738407,0.44125551
-5.98199100,1.97124413,0.33882867,0.00000000,1.29172449,0.49659933,0.17683935,0.45493606
-5.97598799,2.00235660,0.34483769,0.00000000,1.32545909,0.50144385,0.17508905,0.46678815
-5.96998499,2.02392497,0.34937265,0.00000000,1.35343997,0.50371329,0.17217396,0.47665088
-5.96398199,2.03581376,0.35242646,0.00000000,1.37530626,0.50341754,0.16816046,0.48438575
-5.95797899,2.03804746,0.35401955,0.00000000,1.39077759,0.50061032,0.16313831,0.48987933
-5.95197599,2.03080755,0.35419937,0.00000000,1.39966032,0.49538671,0.15721783,0.49304574
-5.94597299,2.01442638,0.35303920,0.00000000,1.40185255,0.48788000,0.15052645,0.49382893
-5.93996998,1.98937824,0.35063660,0.00000000,1.39734763,0.47825770,0.14320479,0.49220452
-5.93396698,1.95626808,0.34711113,0.00000000,1.38623599,0.46671706,0.13540259,0.48818135
-5.92796398,1.91581794,0.34260174,0.00000000,1.36870518,0.45348024,0.12727449,0.48180253
-5.92196098,1.86885166,0.33726361,0.00000000,1.34503793,0.43878915,0.11897594,0.47314584
-5.91595798,1.81627811,0.33126462,0.00000000,1.31560813,0.42290037,0.11065946,0.46232357
-5.90995498,1.75907326,0.32478149,0.00000000,1.28087467,0.40607997,0.10247119,0.44948160
-5.90395198,1.69826158,0.31799558,0.00000000,1.24137318,0.38859863,0.09454816,0.43479773
-5.89794897,1.63489693,0.31108858,0.00000000,1.19770569,0.37072690,0.08701598,0.41847925
-5.89194597,1.57004351,0.30423808,0.00000000,1.15052856,0.35273095,0.07998736,0.40075979
-5.88594297,1.50475722,0.29761326,0.00000000,1.10053880,0.33486864,0.07356124,0.38189538
-5.87993997,1.44006780,0.29137067,0.00000000,1.04845922,0.31738611,0.06782255,0.36216008
-5.87393697,1.37696223,0.28565045,0.00000000,0.99502301,0.30051484,0.06284262,0.34184097
-5.86793397,1.31636981,0.28057306,0.00000000,0.94095807,0.28446931,0.05868003,0.32123293
-5.86193097,1.25914929,0.27623659,0.00000000,0.88697172,0.26944516,0.05538193,0.30063319
-5.85592796,1.20607830,0.27271492,0.00000000,0.83373644,0.25561788,0.05298560,0.28033592
-5.84992496,1.15784543,0.27005673,0.00000000,0.78187698,0.24314207,0.05152014,0.26062700
-5.84392196,1.11504495,0.26828547,0.00000000,0.73195945,0.23215117,0.05100818,0.24177905
-5.83791896,1.07817420,0.26740031,0.00000000,0.68448259,0.22275754,0.05146751,0.22404697
-5.83191596,1.04763351,0.26737796,0.00000000,0.63987157,0.21505295,0.05291237,0.20766397
-5.82591296,1.02372819,0.26817539,0.00000000,0.59847439,0.20910927,0.05535450,0.19283818
-5.81990995,1.00667235,0.26973321,0.00000000,0.56056077,0.20497929,0.05880359,0.17974992
-5.81390695,0.99659378,0.27197955,0.00000000,0.52632347,0.20269755,0.06326740,0.16854949
-5.80790395,0.99353941,0.27483424,0.00000000,0.49588170,0.20228105,0.06875120,0.15935565
-5.80190095,0.99748068,0.27821298,0.00000000,0.46928619,0.20372973,0.07525672,0.15225447
-5.79589795,1.00831820,0.28203134,0.00000000,0.44652564,0.20702667,0.08278058,0.14729875
-5.78989495,1.02588521,0.28620824,0.00000000,0.42753395,0.21213789,0.09131229,0.14450774
-5.78389195,1.04994949,0.29066883,0.00000000,0.41219778,0.21901182,0.10083187,0.14386724
-5.77788894,1.08021360,0.29534648,0.00000000,0.40036413,0.22757833,0.11130725,0.14533001
-5.77188594,1.11631336,0.30018389,0.00000000,0.39184750,0.23774757,0.12269164,0.14881641
-5.76588294,1.15781512,0.30513322,0.00000000,0.38643634,0.24940858,0.13492101,0.15421536
-5.75987994,1.20421199,0.31015529,0.00000000,0.38389874,0.26242793,0.14791182,0.16138561
-5.75387694,1.25492004,0.31521802,0.00000000,0.38398716,0.27664851,0.16155935,0.17015741
-5.74787394,1.30927507,0.32029421,0.00000000,0.38644228,0.29188877,0.17573660,0.18033457
-5.74187094,1.36653099,0.32535890,0.00000000,0.39099619,0.30794258,0.19029412,0.19169707
-5.73586793,1.42586069,0.33038665,0.00000000,0.39737485,0.32457987,0.20506072,0.20400411
-5.72986493,1.48636011,0.33534889,0.00000000,0.40530026,0.34154829,0.21984535,0.21699792
-5.72386193,1.54705639,0.34021162,0.00000000,0.41449242,0.35857603,0.23443995,0.23040798
-5.71785893,1.60692022,0.34493381,0.00000000,0.42467141,0.37537571,0.24862344,0.24395597
-5.71185593,1.66488278,0.34946647,0.00000000,0.43555958,0.39164957,0.26216665,0.25736107
-5.70585293,1.71985685,0.35375268,0.00000000,0.44688414,0.40709556,0.27483813,0.27034579
-5.69984992,1.77076169,0.35772848,0.00000000,0.45838012,0.42141444,0.28641051,0.28264198
-5.69384692,1.81655074,0.36132470,0.00000000,0.46979361,0.43431747,0.29666728,0.29399682
-5.68784392,1.85624098,0.36446947,0.00000000,0.48088532,0.44553437,0.30540964,0.30417882
-5.68184092,1.88894268,0.36709136,0.00000000,0.49143424,0.45482134,0.31246310,0.31298332
-5.67583792,1.91388798,0.36912278,0.00000000,0.50124112,0.46196859,0.31768360,0.32023740
-5.66983492,1.93045681,0.37050350,0.00000000,0.51013176,0.46680710,0.32096272,0.32580409
-5.66383192,1.93819879,0.37118392,0.00000000,0.51795962,0.46921433,0.32223186,0.32958546
-5.65782891,1.93684976,0.37112785,0.00000000,0.52460784,0.46911835,0.32146503,0.33152470
-5.65182591,1.92634212,0.37031460,0.00000000,0.52999031,0.46650047,0.31868028,0.33160694
-5.64582291,1.90680808,0.36874016,0.00000000,0.53405166,0.46139597,0.31393952,0.32985889
-5.63981991,1.87857595,0.36641740,0.00000000,0.53676642,0.45389300,0.30734678,0.32634717
-5.63381691,1.84215914,0.36337524,0.00000000,0.53813702,0.44412972,0.29904515,0.32117564
-5.62781391,1.79823883,0.35965684,0.00000000,0.53819099,0.43228972,0.28921219,0.31448162
-5.62181091,1.74764084,0.35531695,0.00000000,0.53697747,0.41859606,0.27805446,0.30643140
-5.61580790,1.69130809,0.35041859,0.00000000,0.53456318,0.40330411,0.26580101,0.29721501
-5.60980490,1.63026982,0.34502930,0.00000000,0.53102813,0.38669358,0.25269649,0.28704067
-5.60380190,1.56560917,0.33921727,0.00000000,0.52646141,0.36906010,0.23899385,0.27612899
-5.59779890,1.49843056,0.33304757,0.00000000,0.52095712,0.35070675,0.22494723,0.26470722
-5.59179590,1.42982818,0.32657871,0.00000000,0.51461083,0.33193573,0.21080506,0.25300369
-5.58579290,1.36085700,0.31985994,0.00000000,0.50751659,0.31304066,0.19680385,0.24124254
-5.57978989,1.29250713,0.31292924,0.00000000,0.49976473,0.29429968,0.18316263,0.22963900
-5.57378689,1.22568250,0.30581226,0.00000000,0.49144035,0.27596951,0.17007846,0.21839517
-5.56778389,1.16118407,0.29852225,0.00000000,0.48262261,0.25828064,0.15772278,0.20769635
-5.56178089,1.09969798,0.29106094,0.00000000,0.47338469,0.24143369,0.14623893,0.19770810
-5.55577789,1.04178840,0.28342021,0.00000000,0.46379428,0.22559700,0.13574068,0.18857375
-5.54977489,0.98789484,0.27558453,0.00000000,0.45391452,0.21090521,0.12631163,0.18041259
-5.54377189,0.93833342,0.26753394,0.00000000,0.44380518,0.19745902,0.11800560,0.17331857
-5.53776888,0.89330152,0.25924725,0.00000000,0.43352392,0.18532571,0.11084765,0.16735955
-5.53176588,0.85288510,0.25070536,0.00000000,0.42312751,0.17454055,0.10483583,0.16257698
-5.52576288,0.81706816,0.24189443,0.00000000,0.41267293,0.16510871,0.09994332,0.15898612
-5.51975988,0.78574360,0.23280866,0.00000000,0.40221824,0.15700778,0.09612095,0.15657672
-5.51375688,0.75872512,0.22345259,0.00000000,0.39182321,0.15019056,0.09329998,0.15531424
-5.50775388,0.73575963,0.21384269,0.00000000,0.38154981,0.14458823,0.09139503,0.15514149
-5.50175088,0.71653994,0.20400829,0.00000000,0.37146249,0.14011363,0.09030704,0.15598093
-5.49574787,0.70071749,0.19399178,0.00000000,0.36162851,0.13666472,0.08992626,0.15773743
-5.48974487,0.68791511,0.18384811,0.00000000,0.35211828,0.13412812,0.09013523,0.16030164
-5.48374187,0.67773961,0.17364369,0.00000000,0.34300596,0.13238269,0.09081168,0.16355385
-5.47773887,0.66979429,0.16345474,0.00000000,0.33437027,0.13130316,0.09183135,0.16736841
-5.47173587,0.66369122,0.15336539,0.00000000,0.32629569,0.13076370,0.09307071,0.17161842
-5.46573287,0.65906330,0.14346542,0.00000000,0.31887398,0.13064141,0.09440959,0.17618083
-5.45972986,0.65557593,0.13384807,0.00000000,0.31220601,0.13081978,0.09573364,0.18094153
-5.45372686,0.65293793,0.12460782,0.00000000,0.30640376,0.13119181,0.09693665,0.18580042
-5.44772386,0.65091169,0.11583837,0.00000000,0.30159239,0.13166295,0.09792262,0.19067618
-5.44172086,0.64932180,0.10763086,0.00000000,0.29791203,0.13215365,0.09860761,0.19551039
-5.43571786,0.64806215,0.10007239,0.00000000,0.29551921,0.13260140,0.09892133,0.20027100
-5.42971486,0.64710072,0.09324491,0.00000000,0.29458750,0.13296223,0.09880827,0.20495466
-5.42371186,0.64648183,0.08722428,0.00000000,0.29530711,0.13321160,0.09822859,0.20958793
