energy_ev,total_up,In_p_up,In_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,1.36626982,0.03648642,0.00915924,1.00171674,0.40291441,0.11922238,0.00000000
-5.99399700,1.44010599,0.04221252,0.00944644,1.03841771,0.43349114,0.14093341,0.00000000
-5.98799400,1.51602383,0.04881136,0.00969486,1.07218676,0.46679954,0.16656574,0.00000000
-5.98199100,1.59484060,0.05640162,0.00990252,1.10300706,0.50336006,0.19670398,0.00000000
-5.97598799,1.67756141,0.06510932,0.01006843,1.13098059,0.54375739,0.23197046,0.00000000
-5.96998499,1.76536740,0.07506530,0.01019257,1.15633331,0.58863099,0.27301416,0.00000000
-5.96398199,1.85959372,0.08640196,0.01027600,1.17941577,0.63866121,0.32049595,0.00000000
-5.95797899,1.96169646,0.09924911,0.01032081,1.20069866,0.69455071,0.37507026,0.00000000
-5.95197599,2.07320859,0.11372908,0.01033009,1.22076308,0.75700137,0.43736311,0.00000000
-5.94597299,2.19568538,0.12995123,0.01030786,1.24028538,0.82668700,0.50794698,0.00000000
-5.93996998,2.33064035,0.14800582,0.01025896,1.26001669,0.90422245,0.58731299,0.00000000
-5.93396698,2.47947376,0.16795768,0.01018885,1.28075772,0.99013008,0.67584131,0.00000000
-5.92796398,2.64339576,0.18983978,0.01010349,1.30332936,1.08480481,0.77377080,0.00000000
-5.92196098,2.82334761,0.21364708,0.01000909,1.32854030,1.18847919,0.88116921,0.00000000
-5.91595798,3.01992422,0.23933102,0.00991185,1.35715273,1.30119019,0.99790536,0.00000000
-5.90995498,3.23330215,0.26679495,0.00981782,1.38984759,1.42274951,1.12362500,0.00000000
-5.90395198,3.46317691,0.29589087,0.00973257,1.42719100,1.55271924,1.25773178,0.00000000
-5.89794897,3.70871365,0.32641782,0.00966102,1.46960332,1.69039473,1.39937505,0.00000000
-5.89194597,3.96851487,0.35812220,0.00960722,1.51733257,1.83479606,1.54744581,0.00000000
-5.88594297,4.24060829,0.39070013,0.00957422,1.57043354,1.98466968,1.70058191,0.00000000
