energy_ev,total_up,Au_p_up,Au_d_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,7.94632913,1.53763693,4.65152737,0.06166718,0.00000000,0.02766981,0.37891098,0.11885056,1.85969564
-5.99399700,7.90012426,1.53394946,4.60520645,0.06239451,0.00000000,0.02828445,0.36696371,0.12086769,1.86675941
-5.98799400,7.85509129,1.53122095,4.55854278,0.06311267,0.00000000,0.02892996,0.35574668,0.12306024,1.87407631
-5.98199100,7.81127192,1.52925704,4.51181007,0.06381708,0.00000000,0.02959443,0.34526996,0.12540097,1.88151554
-5.97598799,7.76874999,1.52787042,4.46532665,0.06450364,0.00000000,0.03026497,0.33553081,0.12786133,1.88895673
-5.96998499,7.72765111,1.52688846,4.41944840,0.06516876,0.00000000,0.03092811,0.32651508,0.13041232,1.89629317
-5.96398199,7.68814398,1.52616054,4.37456233,0.06580939,0.00000000,0.03157029,0.31819916,0.13302553,1.90343533
-5.95797899,7.65044337,1.52556487,4.33108101,0.06642310,0.00000000,0.03217835,0.31055204,0.13567399,1.91031469
-5.95197599,7.61481491,1.52501458,4.28943828,0.06700819,0.00000000,0.03274003,0.30353759,0.13833318,1.91688770
-5.94597299,7.58158122,1.52446269,4.25008619,0.06756374,0.00000000,0.03324447,0.29711694,0.14098184,1.92313968
-5.93996998,7.55112868,1.52390582,4.21349308,0.06808978,0.00000000,0.03368258,0.29125065,0.14360267,1.92908845
-5.93396698,7.52391398,1.52338630,4.18014247,0.06858739,0.00000000,0.03404747,0.28590081,0.14618288,1.93478713
-5.92796398,7.50046926,1.52299249,4.15053229,0.06905878,0.00000000,0.03433471,0.28103281,0.14871451,1.94032611
-5.92196098,7.48140457,1.52285706,4.12517399,0.06950734,0.00000000,0.03454250,0.27661666,0.15119449,1.94583352
-5.91595798,7.46740669,1.52315330,4.10459081,0.06993770,0.00000000,0.03467175,0.27262802,0.15362447,1.95147406
-5.90995498,7.45923308,1.52408923,4.08931471,0.07035562,0.00000000,0.03472602,0.26904867,0.15601029,1.95744589
