energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.96623154,0.01240289,0.13726520,0.65285910,0.80465550,0.03012659,0.37535038,0.57787874,0.10752607
-5.99399700,1.89070461,0.01224937,0.13451146,0.63633500,0.77776296,0.02875840,0.35441470,0.55703570,0.10160190
-5.98799400,1.81166274,0.01209484,0.13109997,0.61729732,0.74913255,0.02737849,0.33374822,0.53486314,0.09566503
-5.98199100,1.72957891,0.01194622,0.12707116,0.59590669,0.71886916,0.02599124,0.31346285,0.51153783,0.08975552
-5.97598799,1.64500263,0.01181055,0.12247914,0.57237999,0.68711740,0.02460158,0.29367212,0.48726204,0.08391258
-5.96998499,1.55855199,0.01169471,0.11739019,0.54698464,0.65406015,0.02321494,0.27448986,0.46226060,0.07817422
-5.96398199,1.47090298,0.01160521,0.11188100,0.52003126,0.61991579,0.02183719,0.25602868,0.43677730,0.07257694
-5.95797899,1.38277667,0.01154778,0.10603663,0.49186511,0.58493397,0.02047462,0.23839830,0.41107079,0.06715537
-5.95197599,1.29492460,0.01152720,0.09994837,0.46285671,0.54939031,0.01913377,0.22170372,0.38541013,0.06194192
-5.94597299,1.20811313,0.01154693,0.09371157,0.43339206,0.51358016,0.01782134,0.20604356,0.36007014,0.05696652
-5.93996998,1.12310754,0.01160896,0.08742342,0.40386286,0.47781169,0.01654403,0.19150845,0.33532664,0.05225627
-5.93396698,1.04065639,0.01171360,0.08118091,0.37465718,0.44239876,0.01530834,0.17817976,0.31145196,0.04783525
-5.92796398,0.96147705,0.01185938,0.07507895,0.34615098,0.40765369,0.01412047,0.16612862,0.28871068,0.04372432
-5.92196098,0.88624295,0.01204297,0.06920869,0.31870068,0.37388049,0.01298610,0.15541545,0.26735591,0.03994104
-5.91595798,0.81557291,0.01225927,0.06365623,0.29263711,0.34136855,0.01191026,0.14608994,0.24762616,0.03649963
-5.90995498,0.75002309,0.01250151,0.05850143,0.26826093,0.31038729,0.01089727,0.13819147,0.22974273,0.03341104
-5.90395198,0.69008169,0.01276140,0.05381721,0.24583945,0.28118185,0.00995058,0.13175003,0.21390797,0.03068310
-5.89794897,0.63616623,0.01302945,0.04966898,0.22560508,0.25396984,0.00907280,0.12678754,0.20030393,0.02832068
-5.89194597,0.58862352,0.01329526,0.04611437,0.20775486,0.22893945,0.00826562,0.12331936,0.18909174,0.02632598
-5.88594297,0.54773177,0.01354791,0.04320318,0.19245132,0.20624859,0.00752991,0.12135606,0.18041126,0.02469883
-5.87993997,0.51370455,0.01377635,0.04097738,0.17982402,0.18602528,0.00686572,0.12090515,0.17438105,0.02343695
-5.87393697,0.48669596,0.01396982,0.03947131,0.16997174,0.16836893,0.00627241,0.12197267,0.17109840,0.02253627
-5.86793397,0.46680651,0.01411826,0.03871175,0.16296493,0.15335247,0.00574876,0.12456455,0.17063931,0.02199120
-5.86193097,0.45408910,0.01421269,0.03871811,0.15884813,0.14102497,0.00529306,0.12868748,0.17305818,0.02179483
-5.85592796,0.44855446,0.01424558,0.03950244,0.15764212,0.13141473,0.00490331,0.13434931,0.17838715,0.02193908
-5.84992496,0.45017568,0.01421109,0.04106931,0.15934554,0.12453237,0.00457726,0.14155876,0.18663501,0.02241476
-5.84392196,0.45889140,0.01410531,0.04341566,0.16393595,0.12037387,0.00431262,0.15032459,0.19778552,0.02321155
-5.83791896,0.47460729,0.01392640,0.04653040,0.17137005,0.11892331,0.00410709,0.16065392,0.21179539,0.02431793
-5.83191596,0.49719587,0.01367461,0.05039397,0.18158321,0.12015506,0.00395848,0.17255014,0.22859172,0.02572097
-5.82591296,0.52649464,0.01335227,0.05497779,0.19448832,0.12403545,0.00386473,0.18601008,0.24806930,0.02740613
-5.81990995,0.56230257,0.01296367,0.06024366,0.20997397,0.13052370,0.00382398,0.20102089,0.27008775,0.02935693
-5.81390695,0.60437549,0.01251485,0.06614319,0.22790239,0.13957213,0.00383452,0.21755660,0.29446894,0.03155474
-5.80790395,0.65242068,0.01201339,0.07261741,0.24810714,0.15112571,0.00389479,0.23557468,0.32099477,0.03397839
-5.80190095,0.70609118,0.01146804,0.07959646,0.27039097,0.16512091,0.00400333,0.25501265,0.34940574,0.03660403
-5.79589795,0.76498053,0.01088847,0.08699959,0.29452410,0.18148411,0.00415871,0.27578517,0.37940055,0.03940490
-5.78989495,0.82861840,0.01028484,0.09473548,0.32024327,0.20012958,0.00435945,0.29778162,0.41063697,0.04235126
-5.78389195,0.89646795,0.00966751,0.10270302,0.34725166,0.22095729,0.00460393,0.32086458,0.44273427,0.04541044
