energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,1.63413531,0.00251300,0.07322100,0.50286485,0.64607026,0.69521637,0.00000000
-5.99399700,1.67560704,0.00250945,0.07699446,0.51653361,0.67481556,0.69980544,0.00000000
-5.98799400,1.71996765,0.00251919,0.08111909,0.52981746,0.70467286,0.70584037,0.00000000
-5.98199100,1.76667450,0.00254017,0.08556507,0.54251291,0.73529439,0.71324192,0.00000000
-5.97598799,1.81512141,0.00257030,0.09029644,0.55442628,0.76630996,0.72189472,0.00000000
-5.96998499,1.86465565,0.00260746,0.09527071,0.56537798,0.79733915,0.73164959,0.00000000
-5.96398199,1.91459654,0.00264947,0.10043857,0.57520647,0.82800436,0.74232674,0.00000000
-5.95797899,1.96425509,0.00269415,0.10574382,0.58377179,0.85794407,0.75371953,0.00000000
-5.95197599,2.01295398,0.00273935,0.11112359,0.59095850,0.88682589,0.76559900,0.00000000
-5.94597299,2.06004726,0.00278297,0.11650883,0.59667805,0.91435860,0.77771903,0.00000000
-5.93996998,2.10493907,0.00282298,0.12182517,0.60087044,0.94030298,0.78982199,0.00000000
-5.93396698,2.14710067,0.00285755,0.12699412,0.60350525,0.96448053,0.80164492,0.00000000
-5.92796398,2.18608532,0.00288497,0.13193455,0.60458191,0.98677993,0.81292604,0.00000000
-5.92196098,2.22154028,0.00290379,0.13656454,0.60412927,1.00716073,0.82341151,0.00000000
-5.91595798,2.25321544,0.00291280,0.14080346,0.60220443,1.02565407,0.83286208,0.00000000
-5.90995498,2.28096824,0.00291108,0.14457417,0.59889093,1.04236024,0.84105968,0.00000000
-5.90395198,2.30476443,0.00289800,0.14780535,0.59429619,1.05744308,0.84781335,0.00000000
-5.89794897,2.32467451,0.00287324,0.15043383,0.58854838,1.07112140,0.85296447,0.00000000
-5.89194597,2.34086583,0.00283677,0.15240666,0.58179261,1.08365754,0.85639095,0.00000000
-5.88594297,2.35359038,0.00278887,0.15368309,0.57418668,1.09534365,0.85801009,0.00000000
-5.87993997,2.36316866,0.00273008,0.15423603,0.56589627,1.10648597,0.85777990,0.00000000
-5.87393697,2.36997011,0.00266118,0.15405319,0.55708991,1.11738800,0.85569882,0.00000000
-5.86793397,2.37439083,0.00258318,0.15313762,0.54793365,1.12833302,0.85180370,0.00000000
-5.86193097,2.37682942,0.00249723,0.15150769,0.53858572,1.13956689,0.84616613,0.00000000
-5.85592796,2.37766218,0.00240461,0.14919651,0.52919129,1.15128191,0.83888728,0.00000000
-5.84992496,2.37721862,0.00230668,0.14625079,0.51987763,1.16360242,0.83009145,0.00000000
-5.84392196,2.37575877,0.00220483,0.14272912,0.51074968,1.17657312,0.81991870,0.00000000
-5.83791896,2.37345331,0.00210044,0.13869988,0.50188648,1.19015044,0.80851697,0.00000000
-5.83191596,2.37036786,0.00199482,0.13423877,0.49333844,1.20419783,0.79603415,0.00000000
-5.82591296,2.36645231,0.00188921,0.12942615,0.48512566,1.21848514,0.78261050,0.00000000
-5.81990995,2.36153608,0.00178472,0.12434420,0.47723760,1.23269228,0.76837194,0.00000000
-5.81390695,2.35532973,0.00168232,0.11907427,0.46963382,1.24641732,0.75342459,0.00000000
-5.80790395,2.34743316,0.00158283,0.11369426,0.46224614,1.25918860,0.73785082,0.00000000
