energy_ev,total_up,As_p_up,As_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,4.92588705,1.95260845,0.00000000,1.44331856,2.62194684,0.01368847,0.86195806
-5.99399700,4.98075956,1.95397597,0.00000000,1.47904922,2.63219157,0.01389666,0.89051450
-5.98799400,5.02262234,1.94807393,0.00000000,1.51162931,2.63405129,0.01402643,0.91921731
-5.98199100,5.05081517,1.93483383,0.00000000,1.54077437,2.62732671,0.01407626,0.94776746
-5.97598799,5.06486272,1.91430754,0.00000000,1.56624287,2.61194924,0.01404621,0.97583993
-5.96998499,5.06447881,1.88666471,0.00000000,1.58783391,2.58798155,0.01393805,1.00308865
-5.96398199,5.04957125,1.85218829,0.00000000,1.60538588,2.55561699,0.01375514,1.02915391
-5.95797899,5.02024700,1.81126838,0.00000000,1.61877628,2.51517763,0.01350243,1.05367216
-5.95197599,4.97681724,1.76439437,0.00000000,1.62792259,2.46711108,0.01318630,1.07628778
-5.94597299,4.91980168,1.71214562,0.00000000,1.63278438,2.41198556,0.01281441,1.09666643
-5.93996998,4.84993117,1.65518063,0.00000000,1.63336624,2.35048319,0.01239553,1.11450910
-5.93396698,4.76814762,1.59422499,0.00000000,1.62972140,2.28339135,0.01193923,1.12956632
-5.92796398,4.67560024,1.53005819,0.00000000,1.62195559,2.21159169,0.01145570,1.14165156
-5.92196098,4.57363698,1.46349947,0.00000000,1.61023056,2.13604694,0.01095542,1.15065294
-5.91595798,4.46379028,1.39539303,0.00000000,1.59476688,2.05778532,0.01044887,1.15654253
-5.90995498,4.34775660,1.32659274,0.00000000,1.57584540,1.97788263,0.00994628,1.15938232
-5.90395198,4.22736918,1.25794675,0.00000000,1.55380687,1.89744237,0.00945735,1.15932648
-5.89794897,4.10456419,1.19028231,0.00000000,1.52904946,1.81757403,0.00899097,1.15661925
-5.89194597,3.98134060,1.12439112,0.00000000,1.50202371,1.73937019,0.00855501,1.15158842
-5.88594297,3.85971476,1.06101558,0.00000000,1.47322498,1.66388301,0.00815617,1.14463447
-5.87993997,3.74167088,1.00083641,0.00000000,1.44318336,1.59210074,0.00779976,1.13621554
-5.87393697,3.62910918,0.94446192,0.00000000,1.41245141,1.52492515,0.00748964,1.12682897
-5.86793397,3.52379371,0.89241917,0.00000000,1.38159011,1.46315067,0.00722817,1.11699016
-5.86193097,3.42730215,0.84514757,0.00000000,1.35115369,1.40744613,0.00701616,1.10720973
-5.85592796,3.34097986,0.80299486,0.00000000,1.32167409,1.35833983,0.00685295,1.09797017
-5.84992496,3.26590064,0.76621579,0.00000000,1.29364584,1.31620874,0.00673645,1.08970324
-5.84392196,3.20283628,0.73497357,0.00000000,1.26751237,1.28127241,0.00666331,1.08276927
-5.83791896,3.15223682,0.70934391,0.00000000,1.24365440,1.25359201,0.00662901,1.07743971
-5.83191596,3.11422307,0.68932174,0.00000000,1.22238135,1.23307467,0.00662814,1.07388372
-5.82591296,3.08859203,0.67483020,0.00000000,1.20392617,1.21948326,0.00665455,1.07215993
-5.81990995,3.07483580,0.66573166,0.00000000,1.18844417,1.21245120,0.00670162,1.07221367
-5.81390695,3.07217328,0.66184030,0.00000000,1.17601581,1.21150202,0.00676248,1.07388017
-5.80790395,3.07959379,0.66293576,0.00000000,1.16665357,1.21607271,0.00683031,1.07689348
-5.80190095,3.09591066,0.66877737,0.00000000,1.16031230,1.22554025,0.00689853,1.08090094
-5.79589795,3.11982257,0.67911818,0.00000000,1.15690271,1.23924991,0.00696108,1.08548234
-5.78989495,3.14997973,0.69371831,0.00000000,1.15630689,1.25654443,0.00701262,1.09017286
-5.78389195,3.18505181,0.71235695,0.00000000,1.15839526,1.27679251,0.00704877,1.09448872
-5.77788894,3.22379424,0.73484239,0.00000000,1.16304353,1.29941559,0.00706619,1.09795405
-5.77188594,3.26510955,0.76101964,0.00000000,1.17014883,1.32391149,0.00706281,1.10012768
-5.76588294,3.30810078,0.79077515,0.00000000,1.17964396,1.34987395,0.00703789,1.10062845
-5.75987994,3.35211414,0.82403839,0.00000000,1.19150863,1.37700710,0.00699204,1.09915771
-5.75387694,3.39676875,0.86078015,0.00000000,1.20577729,1.40513423,0.00692735,1.09551790
-5.74787394,3.44197211,0.90100753,0.00000000,1.22254269,1.43420039,0.00684725,1.08962625
-5.74187094,3.48792035,0.94475581,0.00000000,1.24195514,1.46426875,0.00675656,1.08152304
-5.73586793,3.53508356,0.99207762,0.00000000,1.26421741,1.49551101,0.00666133,1.07137397
-5.72986493,3.58417681,1.04302977,0.00000000,1.28957551,1.52819216,0.00656879,1.05946678
-5.72386193,3.63611862,1.09765854,0.00000000,1.31830594,1.56265059,0.00648715,1.04620219
-5.71785893,3.69197894,1.15598397,0.00000000,1.35070005,1.59927434,0.00642544,1.03207989
-5.71185593,3.75291947,1.21798416,0.00000000,1.38704643,1.63847484,0.00639336,1.01768029
-5.70585293,3.82012906,1.28358023,0.00000000,1.42761225,1.68065924,0.00640101,1.00364296
-5.69984992,3.89475773,1.35262280,0.00000000,1.47262455,1.72620281,0.00645871,0.99064288
-5.69384692,3.97785199,1.42488079,0.00000000,1.52225242,1.77542256,0.00657677,0.97936558
-5.68784392,4.07029473,1.50003309,0.00000000,1.57659087,1.82855330,0.00676521,0.97048232
-5.68184092,4.17275203,1.57766368,0.00000000,1.63564714,1.88572727,0.00703356,0.96462621
-5.67583792,4.28562908,1.65726042,0.00000000,1.69933003,1.94695795,0.00739055,0.96237037
-5.66983492,4.40903679,1.73821788,0.00000000,1.76744249,2.01212897,0.00784394,0.96420865
