energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.09676023,0.01592948,0.04727288,0.08130064,1.01328061,0.77155203,0.16845375,0.17698181,0.25657447
-5.99399700,2.02906297,0.01571700,0.04153971,0.08042441,0.99293565,0.75536760,0.16210549,0.16857322,0.24143958
-5.98799400,1.96556357,0.01557356,0.03632224,0.07936155,0.97347381,0.73831802,0.15612464,0.16069412,0.22766925
-5.98199100,1.90580228,0.01550164,0.03160549,0.07811528,0.95476364,0.72042697,0.15050106,0.15329098,0.21510878
-5.97598799,1.84934129,0.01550940,0.02737005,0.07669646,0.93667358,0.70174657,0.14522520,0.14631228,0.20362014
-5.96998499,1.79578040,0.01561126,0.02359300,0.07512407,0.91907902,0.68235781,0.14029002,0.13971095,0.19308197
-5.96398199,1.74477173,0.01582820,0.02024876,0.07342546,0.90186951,0.66237020,0.13569302,0.13344637,0.18338926
-5.95797899,1.69603316,0.01618812,0.01730990,0.07163650,0.88495600,0.64192094,0.13143807,0.12748588,0.17445293
-5.95197599,1.64936022,0.01672589,0.01474792,0.06980136,0.86827778,0.62117342,0.12753725,0.12180593,0.16619927
-5.94597299,1.60463603,0.01748339,0.01253393,0.06797227,0.85180887,0.60031522,0.12401237,0.11639262,0.15856931
-5.93996998,1.56183871,0.01850925,0.01063930,0.06620890,0.83556352,0.57955540,0.12089611,0.11124186,0.15151812
-5.93396698,1.52104594,0.01985847,0.00903616,0.06457761,0.81960046,0.55912123,0.11823283,0.10635908,0.14501401
-5.92796398,1.48243610,0.02159168,0.00769784,0.06315035,0.80402552,0.53925422,0.11607876,0.10175857,0.13903763
-5.92196098,1.44628564,0.02377430,0.00659921,0.06200346,0.78899236,0.52020541,0.11450164,0.09746240,0.13358092
-5.91595798,1.41296239,0.02647524,0.00571692,0.06121612,0.77470100,0.50223004,0.11357968,0.09349914,0.12864593
-5.90995498,1.38291464,0.02976543,0.00502954,0.06086862,0.76139403,0.48558151,0.11339982,0.08990224,0.12424332
-5.90395198,1.35665595,0.03371596,0.00451762,0.06104044,0.74935032,0.47050482,0.11405532,0.08670827,0.12039083
-5.89794897,1.33474599,0.03839595,0.00416363,0.06180815,0.73887644,0.45722953,0.11564270,0.08395508,0.11711133
-5.89194597,1.31776771,0.04387011,0.00395193,0.06324309,0.73029586,0.44596258,0.11825803,0.08167975,0.11443080
-5.88594297,1.30630165,0.05019607,0.00386855,0.06540909,0.72393628,0.43688098,0.12199276,0.07991669,0.11237611
-5.87993997,1.30089802,0.05742147,0.00390102,0.06836001,0.72011551,0.43012485,0.12692923,0.07869570,0.11097258
