energy_ev,total_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,1.90072562,0.74094010,0.94450831,0.03952527,0.25651928,0.76600659,0.00000000
-5.99399700,1.86280311,0.75114050,0.91906632,0.03845727,0.25031141,0.75102206,0.00000000
-5.98799400,1.82672208,0.76342841,0.89296102,0.03720961,0.24563793,0.73555977,0.00000000
-5.98199100,1.79206496,0.77729361,0.86626291,0.03579387,0.24231017,0.71959704,0.00000000
-5.97598799,1.75840061,0.79217316,0.83904623,0.03422603,0.24012706,0.70311256,0.00000000
-5.96998499,1.72529420,0.80746519,0.81138706,0.03252585,0.23888061,0.68608628,0.00000000
-5.96398199,1.69231674,0.82254423,0.78336132,0.03071611,0.23836140,0.66849934,0.00000000
-5.95797899,1.65905451,0.83677780,0.75504293,0.02882183,0.23836398,0.65033412,0.00000000
-5.95197599,1.62511847,0.84954390,0.72650247,0.02686932,0.23869187,0.63157472,0.00000000
-5.94597299,1.59015371,0.86024867,0.69780632,0.02488533,0.23916238,0.61220778,0.00000000
-5.93996998,1.55384889,0.86834390,0.66901648,0.02289622,0.23961079,0.59222382,0.00000000
-5.93396698,1.51594534,0.87334346,0.64019109,0.02092714,0.23989409,0.57161893,0.00000000
-5.92796398,1.47624544,0.87483819,0.61138554,0.01900140,0.23989382,0.55039685,0.00000000
-5.92196098,1.43462005,0.87250843,0.58265404,0.01713990,0.23951828,0.52857120,0.00000000
-5.91595798,1.39101423,0.86613379,0.55405160,0.01536070,0.23870365,0.50616771,0.00000000
-5.90995498,1.34545097,0.85559950,0.52563596,0.01367877,0.23741425,0.48322625,0.00000000
-5.90395198,1.29803249,0.84089919,0.49746960,0.01210586,0.23564179,0.45980247,0.00000000
-5.89794897,1.24893876,0.82213378,0.46962130,0.01065047,0.23340355,0.43596889,0.00000000
-5.89194597,1.19842319,0.79950660,0.44216727,0.00931798,0.23073987,0.41181518,0.00000000
-5.88594297,1.14680549,0.77331500,0.41519172,0.00811085,0.22771067,0.38744777,0.00000000
-5.87993997,1.09446199,0.74393871,0.38878672,0.00702892,0.22439152,0.36298854,0.00000000
-5.87393697,1.04181382,0.71182566,0.36305144,0.00606978,0.22086927,0.33857272,0.00000000
-5.86793397,0.98931354,0.67747585,0.33809082,0.00522910,0.21723758,0.31434614,0.00000000
-5.86193097,0.93743104,0.64142413,0.31401378,0.00450110,0.21359251,0.29046190,0.00000000
-5.85592796,0.88663935,0.60422262,0.29093112,0.00387887,0.21002850,0.26707674,0.00000000
-5.84992496,0.83740132,0.56642364,0.26895343,0.00335487,0.20663493,0.24434720,0.00000000
-5.84392196,0.79015788,0.52856389,0.24818902,0.00292117,0.20349345,0.22242598,0.00000000
-5.83791896,0.74531850,0.49115045,0.22874229,0.00256988,0.20067623,0.20145857,0.00000000
-5.83191596,0.70325445,0.45464929,0.21071255,0.00229337,0.19824519,0.18158036,0.00000000
-5.82591296,0.66429509,0.41947647,0.19419350,0.00208454,0.19625225,0.16291457,0.00000000
-5.81990995,0.62872736,0.38599229,0.17927345,0.00193700,0.19474052,0.14557084,0.00000000
-5.81390695,0.59679828,0.35449843,0.16603626,0.00184526,0.19374631,0.12964477,0.00000000
-5.80790395,0.56872012,0.32523795,0.15456298,0.00180478,0.19330172,0.11521827,0.00000000
-5.80190095,0.54467780,0.29839769,0.14493412,0.00181208,0.19343761,0.10236080,0.00000000
-5.79589795,0.52483763,0.27411296,0.13723229,0.00186474,0.19418671,0.09113129,0.00000000
-5.78989495,0.50935678,0.25247368,0.13154509,0.00196138,0.19558643,0.08158058,0.00000000
-5.78389195,0.49839243,0.23353175,0.12796797,0.00210163,0.19768118,0.07375436,0.00000000
-5.77788894,0.49210992,0.21730884,0.12660675,0.00228606,0.20052400,0.06769622,0.00000000
-5.77188594,0.49068889,0.20380415,0.12757969,0.00251601,0.20417702,0.06345069,0.00000000
-5.76588294,0.49432693,0.19300173,0.13101859,0.00279348,0.20871090,0.06106602,0.00000000
-5.75987994,0.50324002,0.18487675,0.13706897,0.00312097,0.21420288,0.06059651,0.00000000
-5.75387694,0.51765951,0.17940054,0.14588896,0.00350126,0.22073367,0.06210413,0.00000000
-5.74787394,0.53782556,0.17654412,0.15764682,0.00393721,0.22838310,0.06565934,0.00000000
-5.74187094,0.56397704,0.17628003,0.17251703,0.00443151,0.23722480,0.07134089,0.00000000
-5.73586793,0.59633831,0.17858261,0.19067492,0.00498644,0.24732013,0.07923456,0.00000000
-5.72986493,0.63510340,0.18342660,0.21228999,0.00560366,0.25871177,0.08943080,0.00000000
-5.72386193,0.68041836,0.19078446,0.23751793,0.00628393,0.27141721,0.10202120,0.00000000
-5.71785893,0.73236274,0.20062254,0.26649179,0.00702690,0.28542275,0.11709394,0.00000000
-5.71185593,0.79093101,0.21289640,0.29931234,0.00783091,0.30067824,0.13472829,0.00000000
-5.70585293,0.85601533,0.22754582,0.33603829,0.00869280,0.31709315,0.15498838,0.00000000
-5.69984992,0.92739044,0.24448968,0.37667656,0.00960784,0.33453420,0.17791644,0.00000000
-5.69384692,1.00470188,0.26362136,0.42117319,0.01056956,0.35282483,0.20352585,0.00000000
-5.68784392,1.08745845,0.28480479,0.46940539,0.01156982,0.37174690,0.23179428,0.00000000
-5.68184092,1.17502972,0.30787176,0.52117516,0.01259880,0.39104444,0.26265733,0.00000000
-5.67583792,1.26664908,0.33262070,0.57620505,0.01364512,0.41042969,0.29600307,0.00000000
-5.66983492,1.36142287,0.35881720,0.63413639,0.01469602,0.42959108,0.33166777,0.00000000
-5.66383192,1.45834550,0.38619644,0.69453049,0.01573764,0.44820309,0.36943336,0.00000000
-5.65782891,1.55632059,0.41446780,0.75687286,0.01675524,0.46593750,0.40902670,0.00000000
-5.65182591,1.65418754,0.44332139,0.82058088,0.01773366,0.48247563,0.45012110,0.00000000
-5.64582291,1.75075292,0.47243667,0.88501463,0.01865763,0.49752115,0.49234022,0.00000000
-5.63981991,1.84482577,0.50149285,0.94949097,0.01951227,0.51081282,0.53526433,0.00000000
