energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.64453747,0.00668227,0.01301692,0.68904067,0.28457060,0.02281366,1.09900747,0.40448910,0.10243484
-5.99399700,1.61818260,0.00639598,0.01279496,0.67412221,0.27747210,0.02300612,1.08287610,0.39383541,0.10143512
-5.98799400,1.59795569,0.00610623,0.01264016,0.66174476,0.27170701,0.02325020,1.07069634,0.38455364,0.10084685
-5.98199100,1.58321880,0.00581505,0.01254457,0.65166992,0.26720465,0.02353377,1.06203576,0.37654823,0.10061579
-5.97598799,1.57320125,0.00552423,0.01249930,0.64360433,0.26386843,0.02384338,1.05637400,0.36969123,0.10067852
-5.96998499,1.56703436,0.00523523,0.01249485,0.63721306,0.26158189,0.02416480,1.05312574,0.36382904,0.10096488
-5.96398199,1.56378826,0.00494928,0.01252143,0.63213373,0.26021529,0.02448353,1.05166518,0.35878951,0.10140054
-5.95797899,1.56250961,0.00466742,0.01256929,0.62799085,0.25963229,0.02478545,1.05135106,0.35438939,0.10190971
-5.95197599,1.56225838,0.00439051,0.01262901,0.62440969,0.25969655,0.02505732,1.05155114,0.35044156,0.10241771
-5.94597299,1.56214263,0.00411933,0.01269182,0.62102950,0.26027783,0.02528732,1.05166539,0.34676205,0.10285354
-5.93996998,1.56134975,0.00385454,0.01274976,0.61751532,0.26125743,0.02546552,1.05114688,0.34317636,0.10315213
-5.93396698,1.55917318,0.00359684,0.01279595,0.61356836,0.26253268,0.02558419,1.04951973,0.33952519,0.10325639
-5.92796398,1.55503364,0.00334686,0.01282470,0.60893447,0.26402034,0.02563812,1.04639350,0.33566903,0.10311881
-5.92196098,1.54849426,0.00310531,0.01283163,0.60341048,0.26565874,0.02562471,1.04147355,0.33149196,0.10270275
-5.91595798,1.53926918,0.00287288,0.01281369,0.59684852,0.26740863,0.02554404,1.03456716,0.32690418,0.10198319
-5.90995498,1.52722561,0.00265032,0.01276916,0.58915801,0.26925276,0.02539872,1.02558527,0.32184356,0.10094712
-5.90395198,1.51237948,0.00243841,0.01269764,0.58030556,0.27119418,0.02519370,1.01454006,0.31627602,0.09959340
-5.89794897,1.49488519,0.00223793,0.01259987,0.57031278,0.27325348,0.02493595,1.00153852,0.31019496,0.09793219
-5.89194597,1.47502022,0.00204969,0.01247769,0.55925235,0.27546519,0.02463399,0.98677263,0.30361974,0.09598406
-5.88594297,1.45316554,0.00187445,0.01233379,0.54724237,0.27787339,0.02429748,0.97050665,0.29659332,0.09377866
-5.87993997,1.42978286,0.00171300,0.01217164,0.53443949,0.28052708,0.02393663,0.95306222,0.28917929,0.09135320
-5.87393697,1.40539013,0.00156605,0.01199521,0.52103106,0.28347542,0.02356173,0.93480216,0.28145839,0.08875068
-5.86793397,1.38053637,0.00143430,0.01180884,0.50722667,0.28676314,0.02318258,0.91611364,0.27352462,0.08601807
-5.86193097,1.35577725,0.00131842,0.01161707,0.49324943,0.29042657,0.02280799,0.89739179,0.26548132,0.08320441
-5.85592796,1.33165249,0.00121904,0.01142447,0.47932741,0.29449040,0.02244545,0.87902420,0.25743713,0.08035903
-5.84992496,1.30866628,0.00113679,0.01123551,0.46568554,0.29896544,0.02210071,0.86137731,0.24950217,0.07752979
-5.84392196,1.28727131,0.00107231,0.01105448,0.45253831,0.30384755,0.02177762,0.84478505,0.24178455,0.07476169
-5.83791896,1.26785733,0.00102627,0.01088540,0.44008346,0.30911775,0.02147800,0.82954031,0.23438727,0.07209554
-5.83191596,1.25074427,0.00099939,0.01073200,0.42849698,0.31474362,0.02120164,0.81588933,0.22740564,0.06956708
-5.82591296,1.23618014,0.00099248,0.01059771,0.41792949,0.32068178,0.02094643,0.80402925,0.22092536,0.06720633
-5.81990995,1.22434330,0.00100645,0.01048564,0.40850400,0.32688134,0.02070855,0.79410844,0.21502110,0.06503723
-5.81390695,1.21534870,0.00104234,0.01039867,0.40031516,0.33328808,0.02048284,0.78622967,0.20975584,0.06307764
-5.80790395,1.20925721,0.00110128,0.01033943,0.39342982,0.33984902,0.02026312,0.78045529,0.20518063,0.06133953
-5.80190095,1.20608703,0.00118456,0.01031039,0.38788869,0.34651704,0.02004262,0.77681402,0.20133498,0.05982949
-5.79589795,1.20582621,0.00129352,0.01031384,0.38370901,0.35325525,0.01981443,0.77530875,0.19824757,0.05854933
-5.78989495,1.20844510,0.00142960,0.01035196,0.38088783,0.36004062,0.01957192,0.77592440,0.19593730,0.05749681
-5.78389195,1.21390750,0.00159422,0.01042679,0.37940564,0.36686668,0.01930913,0.77863537,0.19441444,0.05666643
-5.77788894,1.22217974,0.00178877,0.01054018,0.37923015,0.37374495,0.01902112,0.78341183,0.19368187,0.05605023
-5.77188594,1.23323671,0.00201447,0.01069375,0.38031973,0.38070491,0.01870420,0.79022430,0.19373618,0.05563853
-5.76588294,1.24706444,0.00227234,0.01088876,0.38262653,0.38779244,0.01835616,0.79904618,0.19456859,0.05542051
-5.75987994,1.26365880,0.00256304,0.01112603,0.38609879,0.39506677,0.01797632,0.80985412,0.19616556,0.05538470
