energy_ev,total_up,Ge_p_up,Ge_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.21056251,0.30650205,0.00000000,0.63769441,0.31247358,1.27280832,0.00000000
-5.99399700,2.30102078,0.32350437,0.00000000,0.66611802,0.32100509,1.32183013,0.00000000
-5.98799400,2.39539394,0.34064694,0.00000000,0.69546442,0.33001619,1.37355043,0.00000000
-5.98199100,2.49234853,0.35765333,0.00000000,0.72534227,0.33935498,1.42727765,0.00000000
-5.97598799,2.59028798,0.37422137,0.00000000,0.75529194,0.34883554,1.48215625,0.00000000
-5.96998499,2.68739855,0.39003175,0.00000000,0.78479856,0.35824444,1.53719098,0.00000000
-5.96398199,2.78170663,0.40475781,0.00000000,0.81330803,0.36734858,1.59127823,0.00000000
-5.95797899,2.87114513,0.41807601,0.00000000,0.84024563,0.37590411,1.64324327,0.00000000
-5.95197599,2.95362637,0.42967680,0.00000000,0.86503623,0.38366606,1.69188175,0.00000000
-5.94597299,3.02711815,0.43927529,0.00000000,0.88712544,0.39039818,1.73600388,0.00000000
-5.93996998,3.08971998,0.44662130,0.00000000,0.90600071,0.39588260,1.77447930,0.00000000
-5.93396698,3.13973591,0.45150836,0.00000000,0.92121146,0.39992891,1.80628062,0.00000000
-5.92796398,3.17574086,0.45378128,0.00000000,0.93238746,0.40238215,1.83052389,0.00000000
-5.92196098,3.19663752,0.45334191,0.00000000,0.93925455,0.40312949,1.84650408,0.00000000
-5.91595798,3.20170151,0.45015285,0.00000000,0.94164709,0.40210531,1.85372414,0.00000000
-5.90995498,3.19061272,0.44423905,0.00000000,0.93951669,0.39929441,1.85191634,0.00000000
-5.90395198,3.16347193,0.43568712,0.00000000,0.93293685,0.39473336,1.84105531,0.00000000
-5.89794897,3.12080208,0.42464259,0.00000000,0.92210330,0.38850992,1.82136200,0.00000000
-5.89194597,3.06353457,0.41130513,0.00000000,0.90733025,0.38076071,1.79329893,0.00000000
-5.88594297,2.99298150,0.39592204,0.00000000,0.88904277,0.37166713,1.75755695,0.00000000
-5.87993997,2.91079555,0.37878041,0.00000000,0.86776556,0.36145000,1.71503442,0.00000000
-5.87393697,2.81891947,0.36019820,0.00000000,0.84410883,0.35036295,1.66680990,0.00000000
-5.86793397,2.71952771,0.34051473,0.00000000,0.81875189,0.33868515,1.61410966,0.00000000
-5.86193097,2.61496280,0.32008093,0.00000000,0.79242498,0.32671344,1.55827158,0.00000000
-5.85592796,2.50766918,0.29924984,0.00000000,0.76589029,0.31475439,1.50070697,0.00000000
-5.84992496,2.40012714,0.27836755,0.00000000,0.73992257,0.30311648,1.44286185,0.00000000
-5.84392196,2.29478912,0.25776502,0.00000000,0.71529025,0.29210264,1.38617908,0.00000000
-5.83791896,2.19402048,0.23775099,0.00000000,0.69273727,0.28200339,1.33206256,0.00000000
-5.83191596,2.10004627,0.21860607,0.00000000,0.67296636,0.27309078,1.28184460,0.00000000
-5.82591296,2.01490521,0.20057815,0.00000000,0.65662390,0.26561306,1.23675708,0.00000000
-5.81990995,1.94041144,0.18387917,0.00000000,0.64428665,0.25979025,1.19790697,0.00000000
-5.81390695,1.87812448,0.16868313,0.00000000,0.63645050,0.25581061,1.16625647,0.00000000
-5.80790395,1.82932702,0.15512534,0.00000000,0.63352130,0.25382784,1.14260767,0.00000000
-5.80190095,1.79501041,0.14330267,0.00000000,0.63580761,0.25395907,1.12759171,0.00000000
-5.79589795,1.77586701,0.13327475,0.00000000,0.64351564,0.25628355,1.12166211,0.00000000
-5.78989495,1.77228876,0.12506584,0.00000000,0.65674595,0.26084190,1.12509186,0.00000000
-5.78389195,1.78437132,0.11866723,0.00000000,0.67549215,0.26763593,1.13797397,0.00000000
-5.77788894,1.81192283,0.11404015,0.00000000,0.69964143,0.27662904,1.16022510,0.00000000
-5.77188594,1.85447698,0.11111873,0.00000000,0.72897688,0.28774705,1.19159190,0.00000000
-5.76588294,1.91130968,0.10981333,0.00000000,0.76318164,0.30087960,1.23165990,0.00000000
-5.75987994,1.98145918,0.11001371,0.00000000,0.80184495,0.31588214,1.27986476,0.00000000
-5.75387694,2.06374924,0.11159236,0.00000000,0.84446996,0.33257842,1.33550560,0.00000000
-5.74787394,2.15681528,0.11440765,0.00000000,0.89048342,0.35076378,1.39776066,0.00000000
-5.74187094,2.25913339,0.11830705,0.00000000,0.93924719,0.37020891,1.46570471,0.00000000
-5.73586793,2.36905196,0.12313019,0.00000000,0.99007129,0.39066444,1.53832857,0.00000000
-5.72986493,2.48482561,0.12871189,0.00000000,1.04222860,0.41186607,1.61456020,0.00000000
-5.72386193,2.60465114,0.13488513,0.00000000,1.09497063,0.43354028,1.69328716,0.00000000
-5.71785893,2.72670468,0.14148392,0.00000000,1.14754415,0.45541040,1.77338006,0.00000000
-5.71185593,2.84917947,0.14834611,0.00000000,1.19920827,0.47720305,1.85371650,0.00000000
-5.70585293,2.97032311,0.15531607,0.00000000,1.24925127,0.49865448,1.93320464,0.00000000
-5.69984992,3.08847329,0.16224715,0.00000000,1.29700682,0.51951672,2.01080601,0.00000000
-5.69384692,3.20209076,0.16900401,0.00000000,1.34186878,0.53956332,2.08555647,0.00000000
-5.68784392,3.30978839,0.17546460,0.00000000,1.38330425,0.55859424,2.15658477,0.00000000
-5.68184092,3.41035519,0.18152182,0.00000000,1.42086417,0.57643983,2.22312789,0.00000000
-5.67583792,3.50277439,0.18708482,0.00000000,1.45419110,0.59296355,2.28454262,0.00000000
-5.66983492,3.58623488,0.19207977,0.00000000,1.48302400,0.60806345,2.34031299,0.00000000
-5.66383192,3.66013575,0.19645024,0.00000000,1.50719970,0.62167213,2.39005322,0.00000000
-5.65782891,3.72408377,0.20015702,0.00000000,1.52665123,0.63375547,2.43350637,0.00000000
-5.65182591,3.77788450,0.20317751,0.00000000,1.54140319,0.64430992,2.47053892,0.00000000
-5.64582291,3.82152750,0.20550462,0.00000000,1.55156440,0.65335880,2.50113170,0.00000000
-5.63981991,3.85516702,0.20714533,0.00000000,1.55731858,0.66094773,2.52536803,0.00000000
-5.63381691,3.87909937,0.20811885,0.00000000,1.55891342,0.66713948,2.54341986,0.00000000
-5.62781391,3.89373858,0.20845466,0.00000000,1.55664887,0.67200870,2.55553294,0.00000000
-5.62181091,3.89959187,0.20819035,0.00000000,1.55086535,0.67563681,2.56201197,0.00000000
-5.61580790,3.89723653,0.20736953,0.00000000,1.54193248,0.67810736,2.56320673,0.00000000
-5.60980490,3.88729941,0.20603977,0.00000000,1.53023893,0.67950229,2.55949992,0.00000000
-5.60380190,3.87044023,0.20425073,0.00000000,1.51618394,0.67989917,2.55129756,0.00000000
-5.59779890,3.84733928,0.20205265,0.00000000,1.50017074,0.67936972,2.53902204,0.00000000
-5.59179590,3.81868985,0.19949504,0.00000000,1.48260212,0.67797953,2.52310825,0.00000000
-5.58579290,3.78519524,0.19662580,0.00000000,1.46387794,0.67578906,2.50400248,0.00000000
