energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.11649735,0.01032671,0.18909166,0.76899423,0.49983126,0.01380810,1.03181601,0.47507838,0.26519009
-5.99399700,2.20533075,0.01074990,0.19625585,0.79775324,0.52384692,0.01440156,1.07621744,0.49696200,0.27894772
-5.98799400,2.29369198,0.01119145,0.20324746,0.82629668,0.54822016,0.01494914,1.12037300,0.51846546,0.29261969
-5.98199100,2.38079625,0.01163698,0.20995728,0.85409298,0.57286284,0.01543971,1.16386905,0.53930473,0.30610316
-5.97598799,2.46595457,0.01207247,0.21629062,0.88064651,0.59770949,0.01586316,1.20633325,0.55922567,0.31930468
-5.96998499,2.54859810,0.01248451,0.22217094,0.90551203,0.62272106,0.01621067,1.24744709,0.57801237,0.33214367
-5.96398199,2.62830052,0.01286057,0.22754312,0.92830851,0.64788799,0.01647499,1.28695757,0.59549479,0.34455592
-5.95797899,2.70479731,0.01318926,0.23237646,0.94873166,0.67323236,0.01665069,1.32468740,0.61155521,0.35649672
-5.95197599,2.77800045,0.01346064,0.23666694,0.96656472,0.69880892,0.01673436,1.36054309,0.62613323,0.36794359
-5.94597299,2.84800756,0.01366641,0.24043899,0.98168686,0.72470470,0.01672472,1.39452033,0.63922890,0.37889828
-5.93996998,2.91510426,0.01380011,0.24374625,0.99407872,0.75103705,0.01662272,1.42670604,0.65090391,0.38938789
-5.93396698,2.97975891,0.01385728,0.24667157,1.00382462,0.77795000,0.01643153,1.45727667,0.66128034,0.39946506
-5.92796398,3.04260942,0.01383558,0.24932595,1.01111116,0.80560884,0.01615646,1.48649256,0.67053725,0.40920693
-5.92196098,3.10444184,0.01373479,0.25184638,1.01622197,0.83419312,0.01580480,1.51468830,0.67890471,0.41871302
-5.91595798,3.16616114,0.01355679,0.25439274,1.01952874,0.86388808,0.01538564,1.54225924,0.68665584,0.42810191
-5.90995498,3.22875500,0.01330546,0.25714359,1.02147860,0.89487487,0.01490957,1.56964450,0.69409666,0.43750679
-5.90395198,3.29325181,0.01298653,0.26029108,1.02257831,0.92731992,0.01438834,1.59730731,0.70155452,0.44707014
-5.89794897,3.36067442,0.01260735,0.26403500,1.02337584,0.96136380,0.01383453,1.62571323,0.70936527,0.45693757
