energy_ev,total_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,1.19847924,0.00143378,0.13411717,0.15033785,0.00925805,0.66524007,0.59397550,0.23162414
-5.99399700,1.17200309,0.00147602,0.12896195,0.14245630,0.00888471,0.65809324,0.58767843,0.22151758
-5.98799400,1.15466181,0.00154153,0.12481206,0.13524432,0.00856798,0.65615744,0.58358016,0.21346240
-5.98199100,1.14718524,0.00163179,0.12176078,0.12877898,0.00831532,0.65980916,0.58176879,0.20765607
-5.97598799,1.15008296,0.00174792,0.11987803,0.12311286,0.00813255,0.66930289,0.58225479,0.20424761
-5.96998499,1.16363444,0.00189051,0.11920930,0.11827421,0.00802372,0.68476493,0.58497445,0.20333487
-5.96398199,1.18788334,0.00205968,0.11977518,0.11426788,0.00799101,0.70618942,0.58979553,0.20496262
-5.95797899,1.22263597,0.00225494,0.12157126,0.11107691,0.00803481,0.73343645,0.59652448,0.20912164
-5.95197599,1.26746335,0.00247522,0.12456844,0.10866453,0.00815365,0.76623230,0.60491476,0.21574854
-5.94597299,1.32170703,0.00271883,0.12871352,0.10697669,0.00834429,0.80417169,0.61467591,0.22472656
-5.93996998,1.38448842,0.00298342,0.13393017,0.10594467,0.00860180,0.84672226,0.62548292,0.23588718
-5.93396698,1.45472204,0.00326603,0.14012016,0.10548803,0.00891967,0.89323138,0.63698548,0.24901264
-5.92796398,1.53113260,0.00356310,0.14716497,0.10551746,0.00928993,0.94293539,0.64881705,0.26383949
-5.92196098,1.61227638,0.00387054,0.15492770,0.10593770,0.00970337,0.99497164,0.66060343,0.28006305
-5.91595798,1.69656691,0.00418377,0.16325543,0.10665042,0.01014966,1.04839324,0.67197076,0.29734306
-5.90995498,1.78230520,0.00449785,0.17198193,0.10755690,0.01061763,1.10218682,0.68255312,0.31531030
-5.90395198,1.86771439,0.00480758,0.18093087,0.10856067,0.01109551,1.15529308,0.69199949,0.33357430
-5.89794897,1.95097844,0.00510766,0.18991940,0.10956987,0.01157118,1.20663000,0.69998036,0.35173196
