energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.43773832,0.00972016,0.25324519,0.33440944,0.17633681,0.72430927,0.00000000,0.77115334,0.28677968
-5.99399700,1.44175518,0.00916508,0.24207360,0.34368928,0.18507812,0.73994723,0.00000000,0.77545346,0.27739549
-5.98799400,1.45313085,0.00864385,0.23288966,0.35371913,0.19490655,0.75835126,0.00000000,0.78189884,0.27023731
-5.98199100,1.47198017,0.00816267,0.22571722,0.36454618,0.20586308,0.77956311,0.00000000,0.79053595,0.26534772
-5.97598799,1.49829048,0.00772663,0.22054761,0.37621353,0.21796908,0.80357608,0.00000000,0.80138547,0.26273062
-5.96998499,1.53192407,0.00733965,0.21734376,0.38875816,0.23122344,0.83033265,0.00000000,0.81444418,0.26235416
-5.96398199,1.57262165,0.00700452,0.21604425,0.40220887,0.24560011,0.85972285,0.00000000,0.82968601,0.26415389
-5.95797899,1.62000671,0.00672292,0.21656699,0.41658391,0.26104603,0.89158361,0.00000000,0.84706231,0.26803576
-5.95197599,1.67359092,0.00649554,0.21881255,0.43188867,0.27747978,0.92569905,0.00000000,0.86650133,0.27387914
-5.94597299,1.73278078,0.00632210,0.22266695,0.44811342,0.29479090,0.96180223,0.00000000,0.88790715,0.28153958
-5.93996998,1.79688577,0.00620150,0.22800393,0.46523141,0.31284021,0.99957829,0.00000000,0.91115839,0.29085160
-5.93396698,1.86512844,0.00613197,0.23468679,0.48319741,0.33146109,1.03866924,0.00000000,0.93610706,0.30163121
-5.92796398,1.93665659,0.00611112,0.24256988,0.50194687,0.35046178,1.07868056,0.00000000,0.96257781,0.31367862
-5.92196098,2.01055796,0.00613613,0.25149986,0.52139585,0.36962892,1.11918952,0.00000000,0.99036814,0.32678094
-5.91595798,2.08587738,0.00620381,0.26131686,0.54144184,0.38873199,1.15975521,0.00000000,1.01924968,0.34071510
-5.90995498,2.16163634,0.00631077,0.27185569,0.56196542,0.40752878,1.19992997,0.00000000,1.04897092,0.35525113
-5.90395198,2.23685476,0.00645348,0.28294728,0.58283281,0.42577175,1.23927207,0.00000000,1.07926143,0.37015560
-5.89794897,2.31057426,0.00662833,0.29442029,0.60389920,0.44321486,1.27735900,0.00000000,1.10983739,0.38519561
-5.89194597,2.38188241,0.00683177,0.30610316,0.62501271,0.45962083,1.31380089,0.00000000,1.14040857,0.40014288
-5.88594297,2.44993678,0.00706027,0.31782642,0.64601872,0.47476845,1.34825348,0.00000000,1.17068603,0.41477821
-5.87993997,2.51398795,0.00731044,0.32942529,0.66676437,0.48845960,1.38042987,0.00000000,1.20039044,0.42889593
-5.87393697,2.57340005,0.00757899,0.34074250,0.68710295,0.50052565,1.41011038,0.00000000,1.22926028,0.44230829
-5.86793397,2.62766791,0.00786278,0.35163117,0.70689788,0.51083302,1.43714997,0.00000000,1.25705949,0.45484957
-5.86193097,2.67642956,0.00815882,0.36195760,0.72602600,0.51928745,1.46148252,0.00000000,1.28358387,0.46637966
-5.85592796,2.71947316,0.00846426,0.37160380,0.74437994,0.52583695,1.48312168,0.00000000,1.30866584,0.47678695
-5.84992496,2.75673786,0.00877641,0.38046953,0.76186946,0.53047309,1.50215793,0.00000000,1.33217706,0.48599025
-5.84392196,2.78830791,0.00909270,0.38847383,0.77842155,0.53323061,1.51875190,0.00000000,1.35402862,0.49393967
-5.83791896,2.81440031,0.00941071,0.39555572,0.79397933,0.53418541,1.53312401,0.00000000,1.37416880,0.50061627
-5.83191596,2.83534614,0.00972817,0.40167411,0.80849988,0.53345082,1.54554090,0.00000000,1.39257827,0.50603048
-5.82591296,2.85156639,0.01004292,0.40680687,0.82195096,0.53117253,1.55629911,0.00000000,1.40926321,0.51021934
-5.81990995,2.86354346,0.01035301,0.41094906,0.83430704,0.52752226,1.56570692,0.00000000,1.42424652,0.51324249
-5.81390695,2.87178953,0.01065659,0.41411036,0.84554481,0.52269045,1.57406506,0.00000000,1.43755794,0.51517733
-5.80790395,2.87681356,0.01095202,0.41631195,0.85563859,0.51687847,1.58164748,0.00000000,1.44922357,0.51611338
-5.80190095,2.87908863,0.01123782,0.41758297,0.86455582,0.51029058,1.58868299,0.00000000,1.45925565,0.51614621
