energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,2.50829627,0.00309880,0.50975353,1.86603151,1.07801017,0.55159265,0.00000000
-5.99399700,2.57359815,0.00326408,0.51837057,1.91240241,1.10431749,0.57426380,0.00000000
-5.98799400,2.63993953,0.00342693,0.52756573,1.95884201,1.13145923,0.59658450,0.00000000
-5.98199100,2.70744649,0.00358472,0.53750171,2.00534533,1.15963735,0.61834475,0.00000000
-5.97598799,2.77616816,0.00373473,0.54832714,2.05186059,1.18902612,0.63931246,0.00000000
-5.96998499,2.84606731,0.00387419,0.56017040,2.09828460,1.21976440,0.65923852,0.00000000
-5.96398199,2.91701580,0.00400036,0.57313444,2.14446106,1.25194979,0.67786315,0.00000000
-5.95797899,2.98879523,0.00411060,0.58729263,2.19018159,1.28563511,0.69492350,0.00000000
-5.95197599,3.06110282,0.00420245,0.60268593,2.23518954,1.32082715,0.71016189,0.00000000
-5.94597299,3.13356209,0.00427371,0.61932149,2.27918640,1.35748792,0.72333447,0.00000000
-5.93996998,3.20573783,0.00432250,0.63717274,2.32184046,1.39553811,0.73421989,0.00000000
-5.93396698,3.27715465,0.00434736,0.65618097,2.36279737,1.43486268,0.74262738,0.00000000
-5.92796398,3.34731806,0.00434725,0.67625829,2.40169221,1.47531817,0.74840403,0.00000000
-5.92196098,3.41573721,0.00432166,0.69729195,2.43816268,1.51674146,0.75144085,0.00000000
-5.91595798,3.48194809,0.00427057,0.71914968,2.47186279,1.55895938,0.75167722,0.00000000
-5.90995498,3.54553632,0.00419453,0.74168592,2.50247691,1.60179889,0.74910380,0.00000000
-5.90395198,3.60615830,0.00409460,0.76474870,2.52973341,1.64509718,0.74376343,0.00000000
-5.89794897,3.66356004,0.00397234,0.78818666,2.55341762,1.68871124,0.73575041,0.00000000
-5.89194597,3.71759252,0.00382976,0.81185613,2.57338362,1.73252645,0.72520788,0.00000000
-5.88594297,3.76822309,0.00366927,0.83562769,2.58956436,1.77646365,0.71232371,0.00000000
