energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.74572737,0.53763994,0.40301855,0.00179543,0.22237845,0.00173920,0.94720082,0.23308110,0.28150562
-5.99399700,1.82564244,0.55820383,0.42233482,0.00184497,0.23399457,0.00179802,0.98934419,0.24116723,0.29494661
-5.98799400,1.90846055,0.58017138,0.44202365,0.00192057,0.24586673,0.00186910,1.03332727,0.24957364,0.30858921
-5.98199100,1.99387106,0.60359401,0.46192282,0.00202097,0.25793154,0.00195051,1.07905931,0.25827793,0.32238037
-5.97598799,2.08165597,0.62856269,0.48189036,0.00214480,0.27013197,0.00204041,1.12650743,0.26727508,0.33627723
-5.96998499,2.17169573,0.65520514,0.50180843,0.00229052,0.28241918,0.00213714,1.17569733,0.27657704,0.35024871
-5.96398199,2.26396983,0.68368066,0.52158627,0.00245650,0.29475384,0.00223917,1.22671073,0.28621140,0.36427639
-5.95797899,2.35855159,0.71417257,0.54116208,0.00264100,0.30710700,0.00234526,1.27967931,0.29621904,0.37835473
-5.95197599,2.45559701,0.74687839,0.56050367,0.00284213,0.31946023,0.00245439,1.33477518,0.30665093,0.39249042
-5.94597299,2.55532748,0.78199805,0.57960769,0.00305787,0.33180504,0.00256586,1.39219789,0.31756405,0.40670081
-5.93996998,2.65800664,0.81972049,0.59849737,0.00328609,0.34414149,0.00267929,1.45215846,0.32901674,0.42101144
-5.93396698,2.76391215,0.86020901,0.61721889,0.00352446,0.35647600,0.00279464,1.51486073,0.34106348,0.43545270
-5.92796398,2.87330324,0.90358611,0.63583639,0.00377054,0.36881846,0.00291219,1.58048088,0.35374944,0.45005574
-5.92196098,2.98638536,0.94991834,0.65442582,0.00402170,0.38117871,0.00303259,1.64914592,0.36710502,0.46484772
-5.91595798,3.10327372,0.99920184,0.67306789,0.00427519,0.39356255,0.00315675,1.72091215,0.38114053,0.47984674
-5.90995498,3.22395747,1.05134943,0.69184058,0.00452808,0.40596752,0.00328592,1.79574474,0.39584152,0.49505663
-5.90395198,3.34826652,1.10617990,0.71081141,0.00477737,0.41837869,0.00342151,1.87349949,0.41116475,0.51046194
-5.89794897,3.47584318,1.16341023,0.73003006,0.00501995,0.43076475,0.00356515,1.95390799,0.42703520,0.52602344
-5.89194597,3.60612045,1.22265126,0.74952160,0.00525269,0.44307467,0.00371854,2.03656726,0.44334442,0.54167441
-5.88594297,3.73830870,1.28340745,0.76928092,0.00547247,0.45523515,0.00388338,2.12093458,0.45995013,0.55731808
-5.87993997,3.87139224,1.34508101,0.78926857,0.00567624,0.46714917,0.00406133,2.20632836,0.47667748,0.57282646
-5.87393697,4.00413655,1.40698043,0.80940824,0.00586114,0.47869584,0.00425383,2.29193534,0.49332185,0.58804065
-5.86793397,4.13510664,1.46833353,0.82958624,0.00602450,0.48973155,0.00446211,2.37682421,0.50965318,0.60277292
-5.86193097,4.26269635,1.52830461,0.84965284,0.00616398,0.50009268,0.00468701,2.45996534,0.52542177,0.61681039
-5.85592796,4.38516770,1.58601526,0.86942555,0.00627762,0.50959961,0.00492896,2.54025606,0.54036541,0.62992036
-5.84992496,4.50069892,1.64056803,0.88869411,0.00636388,0.51806215,0.00518790,2.61655046,0.55421741,0.64185706
-5.84392196,4.60743918,1.69107217,0.90722697,0.00642177,0.52528596,0.00546318,2.68769261,0.56671548,0.65236961
-5.83791896,4.70356774,1.73667033,0.92477892,0.00645080,0.53107991,0.00575362,2.75255164,0.57761081,0.66121077
-5.83191596,4.78735471,1.77656515,0.94109938,0.00645107,0.53526392,0.00605741,2.81005718,0.58667721,0.66814614
-5.82591296,4.85722085,1.81004452,0.95594108,0.00642325,0.53767696,0.00637217,2.85923358,0.59371970,0.67296343
