energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,6.65070228,0.04756565,0.73580424,0.85023012,0.33903141,6.38415057,3.21593725,1.84184077,0.00000000
-5.99399700,6.63620276,0.04908562,0.73356395,0.86944870,0.34662599,6.47904517,3.15919996,1.87297413,0.00000000
-5.98799400,6.64704794,0.05049937,0.73322062,0.89234260,0.35514998,6.59560443,3.11749879,1.91065469,0.00000000
-5.98199100,6.68042317,0.05178745,0.73447795,0.91854683,0.36446390,6.73028641,3.08955791,1.95411662,0.00000000
-5.97598799,6.73325932,0.05293278,0.73703368,0.94759978,0.37442349,6.87921955,3.07398909,2.00247746,0.00000000
-5.96998499,6.80231547,0.05392104,0.74058717,0.97895402,0.38488385,7.03828909,3.06933313,2.05475966,0.00000000
-5.96398199,6.88426110,0.05474096,0.74484625,1.01199012,0.39570334,7.20322786,3.07409910,2.10991497,0.00000000
-5.95797899,6.97575613,0.05538449,0.74953315,1.04603301,0.40674724,7.36970959,3.08680076,2.16685074,0.00000000
-5.95197599,7.07352717,0.05584690,0.75438948,1.08037023,0.41789108,7.53344304,3.10598946,2.22445758,0.00000000
-5.94597299,7.17443849,0.05612676,0.75918032,1.11427140,0.42902339,7.69026506,3.13028319,2.28163738,0.00000000
-5.93996998,7.27555653,0.05622586,0.76369723,1.14700842,0.44004808,7.83623069,3.15839166,2.33733101,0.00000000
-5.93396698,7.37420679,0.05614901,0.76776045,1.17787531,0.45088608,7.96769835,3.18913702,2.39054460,0.00000000
-5.92796398,7.46802226,0.05590379,0.77122013,1.20620736,0.46147642,8.08140832,3.22147045,2.44037394,0.00000000
-5.92196098,7.55498245,0.05550025,0.77395689,1.23139871,0.47177665,8.17455234,3.25448456,2.48602576,0.00000000
-5.91595798,7.63344268,0.05495054,0.77588165,1.25291784,0.48176245,8.24483278,3.28742175,2.52683558,0.00000000
-5.90995498,7.70215296,0.05426853,0.77693499,1.27032046,0.49142672,8.29050942,3.31967866,2.56228123,0.00000000
-5.90395198,7.76026636,0.05346937,0.77708593,1.28325953,0.50077777,8.31043258,3.35080686,2.59199179,0.00000000
-5.89794897,7.80733684,0.05256909,0.77633052,1.29149190,0.50983710,8.30406123,3.38051014,2.61575144,0.00000000
-5.89194597,7.84330671,0.05158411,0.77469004,1.29488183,0.51863648,8.27146536,3.40863835,2.63349833,0.00000000
-5.88594297,7.86848435,0.05053084,0.77220910,1.29340101,0.52721464,8.21331229,3.43517831,2.64531839,0.00000000
-5.87993997,7.88351263,0.04942527,0.76895357,1.28712560,0.53561372,8.13083698,3.46024184,2.65143446,0.00000000
-5.87393697,7.88932938,0.04828256,0.76500839,1.27623031,0.54387543,8.02579706,3.48405128,2.65219123,0.00000000
-5.86793397,7.88712081,0.04711671,0.76047530,1.26097998,0.55203743,7.90041395,3.50692271,2.64803672,0.00000000
-5.86193097,7.87826957,0.04594021,0.75547047,1.24171921,0.56012977,7.75730159,3.52924735,2.63950105,0.00000000
-5.85592796,7.86429885,0.04476384,0.75012193,1.21886032,0.56817190,7.59938538,3.55147130,2.62717360,0.00000000
-5.84992496,7.84681442,0.04359643,0.74456694,1.19287045,0.57617011,7.42981368,3.57407417,2.61167940,0.00000000
-5.84392196,7.82744629,0.04244479,0.73894905,1.16425801,0.58411589,7.25186514,3.59754700,2.59365594,0.00000000
-5.83791896,7.80779177,0.04131364,0.73341498,1.13355927,0.59198500,7.06885470,3.62236997,2.57373127,0.00000000
-5.83191596,7.78936177,0.04020561,0.72811128,1.10132525,0.59973756,6.88404172,3.64899038,2.55250435,0.00000000
-5.82591296,7.77353179,0.03912143,0.72318075,1.06810949,0.60731912,6.70054317,3.67780162,2.53052825,0.00000000
-5.81990995,7.76149919,0.03806006,0.71875864,1.03445677,0.61466254,6.52125477,3.70912358,2.50829690,0.00000000
-5.81390695,7.75424792,0.03701896,0.71496879,1.00089315,0.62169085,6.34878261,3.74318530,2.48623564,0.00000000
-5.80790395,7.75252164,0.03599440,0.71191974,0.96791733,0.62832073,6.18538723,3.78011050,2.46469565,0.00000000
-5.80190095,7.75680610,0.03498184,0.70970101,0.93599330,0.63446651,6.03294175,3.81990654,2.44395230,0.00000000
-5.79589795,7.76732118,0.03397629,0.70837962,0.90554446,0.64004450,5.89290499,3.86245759,2.42420698,0.00000000
-5.78989495,7.78402273,0.03297270,0.70799721,0.87694886,0.64497743,5.76630975,3.90752237,2.40559213,0.00000000
-5.78389195,7.80661421,0.03196640,0.70856778,0.85053567,0.64919867,5.65376622,3.95473709,2.38817878,0.00000000
-5.77788894,7.83456765,0.03095340,0.71007628,0.82658269,0.65265616,5.55547957,4.00362361,2.37198602,0.00000000
-5.77188594,7.86715333,0.02993078,0.71247832,0.80531475,0.65531565,5.47128040,4.05360321,2.35699172,0.00000000
-5.76588294,7.90347724,0.02889692,0.71570102,0.78690306,0.65716332,5.40066640,4.10401558,2.34314387,0.00000000
-5.75987994,7.94252513,0.02785168,0.71964507,0.77146531,0.65820749,5.34285299,4.15414276,2.33037183,0.00000000
-5.75387694,7.98321171,0.02679659,0.72418809,0.75906663,0.65847935,5.29683084,4.20323743,2.31859709,0.00000000
-5.74787394,8.02443335,0.02573483,0.72918925,0.74972127,0.65803285,5.26142751,4.25055460,2.30774291,0.00000000
-5.74187094,8.06512256,0.02467121,0.73449484,0.74339514,0.65694352,5.23537102,4.29538556,2.29774277,0.00000000
-5.73586793,8.10430212,0.02361208,0.73994489,0.74000917,0.65530658,5.21735253,4.33709296,2.28854711,0.00000000
-5.72986493,8.14113708,0.02256513,0.74538031,0.73944346,0.65323419,5.20608603,4.37514525,2.28012844,0.00000000
-5.72386193,8.17498243,0.02153914,0.75065038,0.74154231,0.65085213,5.20036283,4.40914935,2.27248473,0.00000000
