energy_ev,total_up,Ir_p_up,Ir_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-5.84992496,0.24300982,0.03239588,0.14604092,0.00015188,0.00002347,0.00570454,0.08690988
-5.84392196,0.21251045,0.02898911,0.12832789,0.00014577,0.00002049,0.00453785,0.07397469
-5.83791896,0.19062084,0.02674890,0.11576525,0.00014636,0.00001840,0.00363551,0.06390963
-5.83191596,0.17693723,0.02565164,0.10814510,0.00015375,0.00001714,0.00295422,0.05650457
-5.82591296,0.17115850,0.02568755,0.10531870,0.00016820,0.00001667,0.00245804,0.05157792
-5.81990995,0.17309289,0.02686176,0.10720102,0.00019003,0.00001697,0.00211759,0.04897986
-5.81390695,0.18265862,0.02919443,0.11377156,0.00021969,0.00001802,0.00190930,0.04859356
-5.80790395,0.19987872,0.03272003,0.12507157,0.00025770,0.00001982,0.00181461,0.05033465
-5.80190095,0.22487018,0.03748578,0.14119762,0.00030466,0.00002237,0.00181921,0.05414898
-5.79589795,0.25782776,0.04354910,0.16229189,0.00036120,0.00002569,0.00191236,0.06000894
-5.78989495,0.29900290,0.05097440,0.18852931,0.00042797,0.00002979,0.00208617,0.06790833
-5.78389195,0.34867819,0.05982893,0.22010188,0.00050560,0.00003469,0.00233502,0.07785628
-5.77788894,0.40713805,0.07017812,0.25720052,0.00059466,0.00004041,0.00265491,0.08987002
-5.77188594,0.47463646,0.08208029,0.29999504,0.00069560,0.00004697,0.00304298,0.10396717
-5.76588294,0.55136260,0.09558092,0.34861270,0.00080874,0.00005438,0.00349699,0.12015736
-5.75987994,0.63740560,0.11070678,0.40311624,0.00093422,0.00006263,0.00401487,0.13843393
-5.75387694,0.73271972,0.12746004,0.46348204,0.00107193,0.00007170,0.00459434,0.15876555
-5.74787394,0.83709136,0.14581262,0.52957941,0.00122148,0.00008157,0.00523254,0.18108849
-5.74187094,0.95010941,0.16570105,0.60115198,0.00138219,0.00009217,0.00592576,0.20529961
-5.73586793,1.07114070,0.18702221,0.67780227,0.00155304,0.00010345,0.00666915,0.23125059
-5.72986493,1.19931196,0.20963009,0.75898032,0.00173266,0.00011530,0.00745663,0.25874360
-5.72386193,1.33349986,0.23333393,0.84397741,0.00191933,0.00012760,0.00828070,0.28752888
-5.71785893,1.47233031,0.25789797,0.93192564,0.00211097,0.00014021,0.00913245,0.31730429
-5.71185593,1.61418800,0.28304298,1.02180396,0.00230520,0.00015297,0.01000157,0.34771723
-5.70585293,1.75723670,0.30844957,1.11245098,0.00249935,0.00016571,0.01087651,0.37836887
-5.69984992,1.89945040,0.33376355,1.20258465,0.00269051,0.00017822,0.01174460,0.40882073
-5.69384692,2.03865475,0.35860300,1.29082851,0.00287561,0.00019031,0.01259234,0.43860360
-5.68784392,2.17257793,0.38256713,1.37574382,0.00305150,0.00020177,0.01340570,0.46722839
-5.68184092,2.29890918,0.40524645,1.45586665,0.00321504,0.00021239,0.01417051,0.49419870
-5.67583792,2.41536307,0.42623406,1.52974852,0.00336315,0.00022196,0.01487278,0.51902459
-5.66983492,2.51974694,0.44513759,1.59599921,0.00349297,0.00023031,0.01549920,0.54123699
-5.66383192,2.61002879,0.46159125,1.65332967,0.00360190,0.00023726,0.01603748,0.56040229
-5.65782891,2.68440254,0.47526751,1.70059352,0.00368771,0.00024268,0.01647681,0.57613616
-5.65182591,2.74134788,0.48588793,1.73682492,0.00374861,0.00024644,0.01680816,0.58811638
-5.64582291,2.77968174,0.49323251,1.76127137,0.00378333,0.00024846,0.01702462,0.59609365
-5.63981991,2.79859908,0.49714732,1.77341955,0.00379112,0.00024872,0.01712164,0.59990026
-5.63381691,2.79770091,0.49754979,1.77301324,0.00377181,0.00024719,0.01709717,0.59945588
-5.62781391,2.77700822,0.49443164,1.76006227,0.00372583,0.00024391,0.01695175,0.59477038
-5.62181091,2.73696117,0.48785913,1.73484210,0.00365415,0.00023895,0.01668846,0.58594343
-5.61580790,2.67840348,0.47797074,1.69788408,0.00355828,0.00023242,0.01631286,0.57316097
-5.60980490,2.60255284,0.46497229,1.64995681,0.00344022,0.00022446,0.01583275,0.55668873
-5.60380190,2.51095885,0.44912987,1.59203956,0.00330235,0.00021521,0.01525792,0.53686298
-5.59779890,2.40545040,0.43076072,1.52528907,0.00314740,0.00020487,0.01459982,0.51407918
-5.59179590,2.28807507,0.41022271,1.45100113,0.00297833,0.00019363,0.01387116,0.48877887
-5.58579290,2.16103328,0.38790283,1.37056899,0.00279825,0.00018170,0.01308556,0.46143546
-5.57978989,2.02661021,0.36420507,1.28544017,0.00261032,0.00016929,0.01225704,0.43253968
-5.57378689,1.88710835,0.33953845,1.19707370,0.00241765,0.00015660,0.01139971,0.40258508
-5.56778389,1.74478346,0.31430553,1.10689954,0.00222324,0.00014382,0.01052729,0.37205438
-5.56178089,1.60178623,0.28889184,1.01628157,0.00202990,0.00013114,0.00965283,0.34140701
-5.55577789,1.46011184,0.26365673,0.92648551,0.00184016,0.00011872,0.00878837,0.31106849
-5.54977489,1.32155869,0.23892570,0.83865273,0.00165628,0.00010672,0.00794470,0.28142158
-5.54377189,1.18769728,0.21498461,0.75378041,0.00148015,0.00009524,0.00713120,0.25279986
-5.53776888,1.05984959,0.19207572,0.67270841,0.00131333,0.00008438,0.00635572,0.22548339
-5.53176588,0.93907886,0.17039555,0.59611272,0.00115701,0.00007423,0.00562449,0.19969666
-5.52576288,0.82618903,0.15009448,0.52450495,0.00101204,0.00006484,0.00494218,0.17560860
-5.51975988,0.72173286,0.13127801,0.45823750,0.00087893,0.00005623,0.00431193,0.15333444
-5.51375688,0.62602747,0.11400924,0.39751328,0.00075789,0.00004841,0.00373544,0.13293912
-5.50775388,0.53917568,0.09831254,0.34239923,0.00064887,0.00004139,0.00321314,0.11444194
-5.50175088,0.46109172,0.08417800,0.29284253,0.00055158,0.00003513,0.00274433,0.09782213
-5.49574787,0.39152962,0.07156640,0.24868860,0.00046554,0.00002960,0.00232734,0.08302497
-5.48974487,0.33011275,0.06041441,0.20969984,0.00039013,0.00002477,0.00195976,0.06996811
-5.48374187,0.27636337,0.05063989,0.17557428,0.00032460,0.00002057,0.00163857,0.05854793
-5.47773887,0.22973084,0.04214691,0.14596356,0.00026816,0.00001697,0.00136034,0.04864555
-5.47173587,0.18961773,0.03483049,0.12048941,0.00021996,0.00001389,0.00112136,0.04013239
-5.46573287,0.15540310,0.02858080,0.09875851,0.00017914,0.00001130,0.00091784,0.03287512
-5.45972986,0.12646254,0.02328683,0.08037517,0.00014486,0.00000912,0.00074594,0.02673995
-5.45372686,0.10218483,0.01883943,0.06495190,0.00011631,0.00000731,0.00060196,0.02159608
-5.44772386,0.08198506,0.01513379,0.05211782,0.00009273,0.00000582,0.00048234,0.01731853
-5.44172086,0.06531450,0.01207124,0.04152488,0.00007341,0.00000460,0.00038376,0.01379019
-5.43571786,0.05166741,0.00956058,0.03285224,0.00005772,0.00000360,0.00030319,0.01090322
-5.42971486,0.04058510,0.00751886,0.02580886,0.00004507,0.00000281,0.00023785,0.00855991
-5.42371186,0.03165780,0.00587177,0.02013471,0.00003497,0.00000217,0.00018529,0.00667302
-5.41770885,0.02452448,0.00455370,0.01560069,0.00002698,0.00000167,0.00014336,0.00516572
-5.41170585,0.01887140,0.00350746,0.01200772,0.00002073,0.00000127,0.00011019,0.00397126
-5.40570285,0.01442946,0.00268387,0.00918507,0.00001590,0.00000096,0.00008416,0.00303234
-5.39969985,0.01097086,0.00204117,0.00698833,0.00001223,0.00000073,0.00006394,0.00230042
-5.39369685,0.00830544,0.00154436,0.00529706,0.00000953,0.00000054,0.00004838,0.00173484
-5.38769385,0.00627681,0.00116451,0.00401240,0.00000763,0.00000041,0.00003658,0.00130198
-5.38169085,0.00475863,0.00087809,0.00305479,0.00000643,0.00000030,0.00002778,0.00097444
-5.37568784,0.00365113,0.00066628,0.00236177,0.00000587,0.00000023,0.00002141,0.00073018
-5.36968484,0.00287804,0.00051444,0.00188618,0.00000591,0.00000018,0.00001701,0.00055182
-5.36368184,0.00238400,0.00041155,0.00159457,0.00000660,0.00000014,0.00001429,0.00042598
-5.35767884,0.00213257,0.00034981,0.00146612,0.00000800,0.00000012,0.00001302,0.00034271
-5.35167584,0.00210485,0.00032431,0.00149189,0.00001025,0.00000011,0.00001311,0.00029508
-5.34567284,0.00229872,0.00033283,0.00167455,0.00001355,0.00000012,0.00001457,0.00027875
-5.33966983,0.00272875,0.00037569,0.00202857,0.00001818,0.00000014,0.00001751,0.00029182
