energy_ev,total_up,Co_p_up,Co_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,0.96882999,0.24694493,0.13204956,0.40714939,0.09782127,0.00301212,0.07170230,0.02452726,0.45865592
-5.99399700,0.99665038,0.26103097,0.13053092,0.42416582,0.10420669,0.00277232,0.07425130,0.02324198,0.47202495
-5.98799400,1.02660949,0.27597960,0.12932429,0.44041153,0.11106072,0.00253580,0.07664169,0.02203757,0.48682732
-5.98199100,1.05864818,0.29170027,0.12847542,0.45579893,0.11835495,0.00230554,0.07886405,0.02092915,0.50303717
-5.97598799,1.09262992,0.30807101,0.12801809,0.47025648,0.12604757,0.00208412,0.08091275,0.01992888,0.52058010
-5.96998499,1.12833587,0.32493830,0.12797290,0.48372735,0.13408295,0.00187369,0.08278553,0.01904564,0.53933091
-5.96398199,1.16546347,0.34211838,0.12834651,0.49616756,0.14239187,0.00167593,0.08448291,0.01828485,0.55911356
-5.95797899,1.20362886,0.35939996,0.12913155,0.50754383,0.15089220,0.00149206,0.08600753,0.01764837,0.57970337
-5.95197599,1.24237314,0.37654839,0.13030700,0.51783120,0.15949024,0.00132287,0.08736336,0.01713462,0.60083156
-5.94597299,1.28117236,0.39331110,0.13183916,0.52701080,0.16808262,0.00116872,0.08855494,0.01673878,0.62219185
-5.93996998,1.31945098,0.40942431,0.13368309,0.53506785,0.17655869,0.00102963,0.08958663,0.01645309,0.64344901
-5.93396698,1.35659833,0.42462055,0.13578444,0.54199004,0.18480338,0.00090528,0.09046196,0.01626722,0.66424906
-5.92796398,1.39198744,0.43863701,0.13808163,0.54776656,0.19270039,0.00079509,0.09118311,0.01616879,0.68423063
-5.92196098,1.42499550,0.45122406,0.14050829,0.55238773,0.20013562,0.00069828,0.09175046,0.01614384,0.70303711
-5.91595798,1.45502520,0.46215390,0.14299585,0.55584540,0.20700067,0.00061392,0.09216247,0.01617733,0.72032901
-5.90995498,1.48152581,0.47122865,0.14547616,0.55813387,0.21319628,0.00054096,0.09241560,0.01625371,0.73579601
-5.90395198,1.50401341,0.47828782,0.14788407,0.55925156,0.21863561,0.00047831,0.09250453,0.01635743,0.74916827
-5.89794897,1.52208905,0.48321459,0.15015990,0.55920301,0.22324708,0.00042488,0.09242250,0.01647336,0.76022637
-5.89194597,1.53545435,0.48594072,0.15225167,0.55800122,0.22697684,0.00037959,0.09216183,0.01658727,0.76880957
-5.88594297,1.54392359,0.48644986,0.15411704,0.55567001,0.22979060,0.00034141,0.09171452,0.01668618,0.77482196
-5.87993997,1.54743195,0.48477905,0.15572490,0.55224637,0.23167480,0.00030941,0.09107296,0.01675865,0.77823632
-5.87393697,1.54603951,0.48101849,0.15705655,0.54778235,0.23263713,0.00028273,0.09023064,0.01679503,0.77909553
-5.86793397,1.53993085,0.47530937,0.15810653,0.54234660,0.23270627,0.00026061,0.08918283,0.01678758,0.77751147
-5.86193097,1.52941040,0.46784012,0.15888293,0.53602517,0.23193097,0.00024238,0.08792724,0.01673061,0.77366160
-5.85592796,1.51489379,0.45884108,0.15940732,0.52892165,0.23037847,0.00022751,0.08646451,0.01662042,0.76778338
-5.84992496,1.49689564,0.44857794,0.15971431,0.52115655,0.22813239,0.00021552,0.08479860,0.01645528,0.76016679
-5.84392196,1.47601441,0.43734416,0.15985067,0.51286583,0.22529013,0.00020603,0.08293702,0.01623535,0.75114539
-5.83791896,1.45291499,0.42545277,0.15987418,0.50419882,0.22195991,0.00019876,0.08089085,0.01596244,0.74108623
-5.83191596,1.42830976,0.41322778,0.15985217,0.49531539,0.21825769,0.00019345,0.07867469,0.01563988,0.73037920
-5.82591296,1.40293894,0.40099563,0.15985979,0.48638277,0.21430385,0.00018994,0.07630632,0.01527224,0.71942601
-5.81990995,1.37755080,0.38907684,0.15997815,0.47757179,0.21022008,0.00018808,0.07380630,0.01486510,0.70862943
-5.81390695,1.35288255,0.37777818,0.16029222,0.46905309,0.20612624,0.00018776,0.07119749,0.01442477,0.69838284
-5.80790395,1.32964223,0.36738554,0.16088866,0.46099309,0.20213754,0.00018890,0.06850436,0.01395805,0.68906066
-5.80190095,1.30849210,0.35815759,0.16185356,0.45355008,0.19836197,0.00019142,0.06575242,0.01347197,0.68100957
