energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,1.51955771,-2.09692690,0.72479420,-1.30329064,0.46032595,-0.59922975,0.01007501,-0.00666768,0.25925560,-0.74021518,0.01053224,-0.01178861,0.64137022,-0.58545140,0.33733865,-0.26111502,0.08838031,-0.06377101
-5.99399700,1.45800397,-2.06202968,0.69323044,-1.26221822,0.43183273,-0.60150563,0.01033070,-0.00673619,0.24450281,-0.73491901,0.01155217,-0.01119823,0.62224057,-0.56753434,0.32128935,-0.25095850,0.08662041,-0.06222275
-5.98799400,1.39948353,-2.03123641,0.66030617,-1.22505118,0.40449176,-0.60320440,0.01058547,-0.00677627,0.22935530,-0.72907964,0.01271517,-0.01063480,0.60521183,-0.55310931,0.30606930,-0.24299288,0.08516517,-0.06094228
-5.98199100,1.34462910,-2.00420786,0.62653176,-1.19128001,0.37847115,-0.60424671,0.01084314,-0.00678479,0.21396493,-0.72245366,0.01401755,-0.01010953,0.59052316,-0.54219309,0.29183333,-0.23720945,0.08405044,-0.05993061
-5.97598799,1.29400618,-1.98058944,0.59242605,-1.16032653,0.35392012,-0.60458293,0.01110731,-0.00675953,0.19849007,-0.71481377,0.01545260,-0.00963314,0.57836630,-0.53477082,0.27871702,-0.23358043,0.08330367,-0.05918677
-5.96998499,1.24808836,-1.96004459,0.55849765,-1.13157996,0.33096407,-0.60419900,0.01138107,-0.00669927,0.18308991,-0.70596330,0.01701028,-0.00921552,0.56887600,-0.53080349,0.26683223,-0.23206373,0.08294264,-0.05870888
-5.96398199,1.20723578,-1.94228553,0.52522795,-1.10443201,0.30970029,-0.60312097,0.01166673,-0.00660389,0.16791913,-0.69574934,0.01867713,-0.00886560,0.56212194,-0.53023551,0.25626329,-0.23260779,0.08297430,-0.05849518
-5.95797899,1.17167783,-1.92709986,0.49305630,-1.07830927,0.29019467,-0.60141787,0.01196564,-0.00647433,0.15312313,-0.68407360,0.02043617,-0.00859113,0.55810277,-0.53300165,0.24706413,-0.23515589,0.08339397,-0.05854501
-5.95197599,1.14150090,-1.91437137,0.46236791,-1.05270148,0.27247940,-0.59920261,0.01227795,-0.00631265,0.13883399,-0.67090067,0.02226701,-0.00839858,0.55674254,-0.53903319,0.23925637,-0.23965001,0.08418492,-0.05885972
-5.94597299,1.11664200,-1.90409418,0.43348479,-1.02718474,0.25655192,-0.59663084,0.01260246,-0.00612194,0.12516720,-0.65626306,0.02414597,-0.00829308,0.55788999,-0.54826298,0.23282867,-0.24603389,0.08531831,-0.05944326
-5.93996998,1.09688849,-1.89637944,0.40665999,-1.00143867,0.24237511,-0.59389751,0.01293658,-0.00590625,0.11221939,-0.64026289,0.02604652,-0.00827841,0.56132061,-0.56062903,0.22773717,-0.25425517,0.08675365,-0.06030278
-5.93396698,1.08188411,-1.89145431,0.38207493,-0.97525731,0.22987877,-0.59123142,0.01327628,-0.00567053,0.10006690,-0.62307016,0.02793967,-0.00835704,0.56674186,-0.57607660,0.22390726,-0.26426661,0.08843962,-0.06144877
