energy_ev,total_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,0.66310577,0.36162313,0.06762440,0.00346374,0.18782190,0.17135310,0.00190769
-5.99399700,0.69277565,0.38008621,0.07238349,0.00304023,0.20456317,0.17655664,0.00190417
-5.98799400,0.72367326,0.39891996,0.07721766,0.00265036,0.22133954,0.18203805,0.00190776
-5.98199100,0.75512738,0.41774947,0.08204677,0.00229493,0.23791007,0.18763558,0.00191714
-5.97598799,0.78641105,0.43617466,0.08678523,0.00197396,0.25401985,0.19317736,0.00193078
-5.96998499,0.81676405,0.45378272,0.09134427,0.00168685,0.26940634,0.19848727,0.00194695
-5.96398199,0.84541722,0.47016150,0.09563443,0.00143246,0.28380654,0.20339105,0.00196385
-5.95797899,0.87161786,0.48491332,0.09956821,0.00120920,0.29696467,0.20772241,0.00197963
-5.95197599,0.89465496,0.49766862,0.10306280,0.00101518,0.30864000,0.21132900,0.00199250
-5.94597299,0.91388356,0.50809897,0.10604275,0.00084830,0.31861458,0.21407777,0.00200074
-5.93996998,0.92874692,0.51592874,0.10844243,0.00070632,0.32670056,0.21585977,0.00200285
-5.93396698,0.93879588,0.52094513,0.11020829,0.00058697,0.33274671,0.21659395,0.00199752
-5.92796398,0.94370438,0.52300599,0.11130069,0.00048803,0.33664391,0.21622990,0.00198370
-5.92196098,0.94328062,0.52204512,0.11169529,0.00040732,0.33832930,0.21474943,0.00196065
-5.91595798,0.93747341,0.51807487,0.11138396,0.00034283,0.33778893,0.21216695,0.00192792
-5.90995498,0.92637339,0.51118588,0.11037509,0.00029268,0.33505877,0.20852851,0.00188540
-5.90395198,0.91020919,0.50154400,0.10869334,0.00025519,0.33022399,0.20390976,0.00183328
-5.89794897,0.88933877,0.48938456,0.10637884,0.00022885,0.32341660,0.19841279,0.00177205
-5.89194597,0.86423624,0.47500421,0.10348589,0.00021236,0.31481147,0.19216206,0.00170244
-5.88594297,0.83547497,0.45875077,0.10008116,0.00020459,0.30462098,0.18529955,0.00162544
-5.87993997,0.80370765,0.44101141,0.09624157,0.00020459,0.29308845,0.17797952,0.00154224
-5.87393697,0.76964416,0.42219985,0.09205180,0.00021159,0.28048073,0.17036290,0.00145413
-5.86793397,0.73402835,0.40274292,0.08760172,0.00022496,0.26708015,0.16261168,0.00136254
-5.86193097,0.69761456,0.38306723,0.08298368,0.00024424,0.25317629,0.15488358,0.00126892
-5.85592796,0.66114484,0.36358628,0.07828989,0.00026907,0.23905768,0.14732705,0.00117477
-5.84992496,0.62532788,0.34468860,0.07360988,0.00029923,0.22500403,0.14007696,0.00108151
-5.84392196,0.59082010,0.32672731,0.06902826,0.00033463,0.21127902,0.13325106,0.00099051
-5.83791896,0.55820975,0.31001143,0.06462266,0.00037528,0.19812389,0.12694728,0.00090307
-5.83191596,0.52800435,0.29479916,0.06046215,0.00042133,0.18575220,0.12124198,0.00082033
-5.82591296,0.50062171,0.28129327,0.05660592,0.00047304,0.17434562,0.11618925,0.00074333
-5.81990995,0.47638460,0.26963866,0.05310243,0.00053083,0.16405103,0.11182101,0.00067296
-5.81390695,0.45551899,0.25992207,0.04998892,0.00059525,0.15497873,0.10814804,0.00060996
-5.80790395,0.43815568,0.25217373,0.04729127,0.00066703,0.14720192,0.10516182,0.00055493
-5.80190095,0.42433484,0.24637086,0.04502422,0.00074708,0.14075720,0.10283690,0.00050837
-5.79589795,0.41401311,0.24244261,0.04319188,0.00083653,0.13564604,0.10113378,0.00047062
-5.78989495,0.40707264,0.24027635,0.04178843,0.00093672,0.13183713,0.10000215,0.00044193
-5.78389195,0.40333169,0.23972475,0.04079907,0.00104920,0.12926932,0.09938418,0.00042246
-5.77788894,0.40255596,0.24061350,0.04020107,0.00117581,0.12785519,0.09921781,0.00041228
-5.77188594,0.40447041,0.24274925,0.03996489,0.00131860,0.12748487,0.09943993,0.00041141
-5.76588294,0.40877088,0.24592747,0.04005540,0.00147987,0.12803019,0.09998909,0.00041981
-5.75987994,0.41513521,0.24993991,0.04043304,0.00166216,0.12934890,0.10080797,0.00043738
-5.75387694,0.42323339,0.25458151,0.04105498,0.00186818,0.13128881,0.10184521,0.00046401
-5.74787394,0.43273659,0.25965643,0.04187625,0.00210082,0.13369199,0.10305673,0.00049952
-5.74187094,0.44332487,0.26498307,0.04285079,0.00236305,0.13639862,0.10440653,0.00054375
-5.73586793,0.45469338,0.27039808,0.04393241,0.00265791,0.13925072,0.10586680,0.00059646
-5.72986493,0.46655711,0.27575912,0.04507571,0.00298833,0.14209558,0.10741764,0.00065741
-5.72386193,0.47865422,0.28094651,0.04623688,0.00335712,0.14478881,0.10904620,0.00072629
-5.71785893,0.49074798,0.28586372,0.04737446,0.00376680,0.14719714,0.11074552,0.00080278
-5.71185593,0.50262753,0.29043685,0.04844992,0.00421948,0.14920075,0.11251299,0.00088646
-5.70585293,0.51410754,0.29461309,0.04942832,0.00471674,0.15069530,0.11434870,0.00097689
-5.69984992,0.52502700,0.29835851,0.05027866,0.00525946,0.15159346,0.11625363,0.00107353
-5.69384692,0.53524736,0.30165509,0.05097436,0.00584768,0.15182609,0.11822786,0.00117577
-5.68784392,0.54465008,0.30449745,0.05149349,0.00648049,0.15134295,0.12026893,0.00128289
-5.68184092,0.55313398,0.30688918,0.05181894,0.00715586,0.15011297,0.12237038,0.00139408
-5.67583792,0.56061232,0.30883928,0.05193851,0.00787055,0.14812408,0.12452048,0.00150844
-5.66983492,0.56701002,0.31035856,0.05184487,0.00862005,0.14538262,0.12670138,0.00162495
-5.66383192,0.57226095,0.31145643,0.05153542,0.00939848,0.14191231,0.12888857,0.00174247
-5.65782891,0.57630563,0.31213815,0.05101201,0.01019865,0.13775285,0.13105072,0.00185977
-5.65182591,0.57908921,0.31240259,0.05028067,0.01101204,0.13295813,0.13314988,0.00197553
-5.64582291,0.58056012,0.31224071,0.04935110,0.01182894,0.12759424,0.13514213,0.00208835
-5.63981991,0.58066913,0.31163474,0.04823621,0.01263855,0.12173712,0.13697850,0.00219674
-5.63381691,0.57936920,0.31055815,0.04695156,0.01342922,0.11547015,0.13860626,0.00229920
-5.62781391,0.57661579,0.30897631,0.04551480,0.01418867,0.10888161,0.13997040,0.00239421
-5.62181091,0.57236795,0.30684794,0.04394504,0.01490430,0.10206214,0.14101536,0.00248025
-5.61580790,0.56658988,0.30412708,0.04226227,0.01556350,0.09510231,0.14168689,0.00255590
-5.60980490,0.55925298,0.30076562,0.04048684,0.01615404,0.08809028,0.14193393,0.00261978
-5.60380190,0.55033828,0.29671619,0.03863895,0.01666437,0.08110977,0.14171046,0.00267069
-5.59779890,0.53983910,0.29193523,0.03673818,0.01708408,0.07423824,0.14097732,0.00270756
-5.59179590,0.52776376,0.28638611,0.03480319,0.01740414,0.06754546,0.13970378,0.00272954
-5.58579290,0.51413812,0.28004212,0.03285140,0.01761729,0.06109235,0.13786888,0.00273604
-5.57978989,0.49900788,0.27288909,0.03089882,0.01771827,0.05493027,0.13546256,0.00272669
-5.57378689,0.48244030,0.26492765,0.02895989,0.01770402,0.04910065,0.13248631,0.00270144
-5.56778389,0.46452541,0.25617485,0.02704752,0.01757379,0.04363492,0.12895355,0.00266050
-5.56178089,0.44537631,0.24666508,0.02517302,0.01732922,0.03855484,0.12488955,0.00260439
-5.55577789,0.42512872,0.23645031,0.02334622,0.01697430,0.03387301,0.12033104,0.00253392
-5.54977489,0.40393967,0.22559955,0.02157556,0.01651524,0.02959369,0.11532536,0.00245014
-5.54377189,0.38198527,0.21419761,0.01986822,0.01596027,0.02571371,0.10992933,0.00235438
-5.53776888,0.35945773,0.20234315,0.01823028,0.01531941,0.02222358,0.10420786,0.00224813
-5.53176588,0.33656179,0.19014627,0.01666685,0.01460412,0.01910860,0.09823229,0.00213308
-5.52576288,0.31351056,0.17772557,0.01518220,0.01382696,0.01634999,0.09207869,0.00201102
-5.51975988,0.29052118,0.16520501,0.01377996,0.01300123,0.01392609,0.08582597,0.00188383
-5.51375688,0.26781036,0.15271060,0.01246316,0.01214051,0.01181330,0.07955421,0.00175341
-5.50775388,0.24559006,0.14036719,0.01123442,0.01125835,0.00998719,0.07334290,0.00162161
-5.50175088,0.22406360,0.12829540,0.01009600,0.01036787,0.00842327,0.06726954,0.00149026
-5.49574787,0.20342223,0.11660891,0.00904994,0.00948144,0.00709775,0.06140837,0.00136105
-5.48974487,0.18384253,0.10541220,0.00809811,0.00861041,0.00598822,0.05582943,0.00123555
-5.48374187,0.16548448,0.09479876,0.00724236,0.00776491,0.00507408,0.05059795,0.00111518
-5.47773887,0.14849045,0.08484995,0.00648455,0.00695366,0.00433700,0.04577402,0.00100117
-5.47173587,0.13298507,0.07563431,0.00582669,0.00618391,0.00376110,0.04141257,0.00089456
-5.46573287,0.11907587,0.06720756,0.00527102,0.00546139,0.00333321,0.03756367,0.00079622
-5.45972986,0.10685456,0.05961294,0.00482009,0.00479034,0.00304292,0.03427298,0.00070682
-5.45372686,0.09639895,0.05288213,0.00447686,0.00417360,0.00288256,0.03158245,0.00062690
-5.44772386,0.08777513,0.04703637,0.00424475,0.00361273,0.00284718,0.02953103,0.00055679
-5.44172086,0.08103993,0.04208785,0.00412774,0.00310818,0.00293438,0.02815546,0.00049673
-5.43571786,0.07624320,0.03804118,0.00413033,0.00265948,0.00314412,0.02749090,0.00044682
-5.42971486,0.07342997,0.03489488,0.00425757,0.00226545,0.00347850,0.02757156,0.00040708
-5.42371186,0.07264208,0.03264271,0.00451501,0.00192444,0.00394142,0.02843098,0.00037744
-5.41770885,0.07391927,0.03127485,0.00490856,0.00163454,0.00453828,0.03010210,0.00035778
-5.41170585,0.07729955,0.03077875,0.00544438,0.00139383,0.00527554,0.03261705,0.00034794
-5.40570285,0.08281873,0.03113976,0.00612862,0.00120062,0.00616031,0.03600655,0.00034772
-5.39969985,0.09050922,0.03234129,0.00696721,0.00105365,0.00719988,0.04029895,0.00035689
-5.39369685,0.10039795,0.03436472,0.00796547,0.00095233,0.00840122,0.04551906,0.00037520
-5.38769385,0.11250363,0.03718895,0.00912783,0.00089689,0.00977050,0.05168654,0.00040237
-5.38169085,0.12683335,0.04078971,0.01045739,0.00088866,0.01131253,0.05881417,0.00043810
-5.37568784,0.14337881,0.04513860,0.01195553,0.00093015,0.01303034,0.06690590,0.00048204
-5.36968484,0.16211229,0.05020203,0.01362147,0.00102524,0.01492469,0.07595485,0.00053379
-5.36368184,0.18298263,0.05594011,0.01545194,0.00117933,0.01699371,0.08594131,0.00059289
-5.35767884,0.20591145,0.06230557,0.01744077,0.00139941,0.01923259,0.09683097,0.00065882
-5.35167584,0.23078985,0.06924281,0.01957865,0.00169415,0.02163338,0.10857323,0.00073098
-5.34567284,0.25747581,0.07668723,0.02185287,0.00207391,0.02418491,0.12109998,0.00080867
-5.33966983,0.28579254,0.08456476,0.02424723,0.00255071,0.02687284,0.13432483,0.00089111
-5.33366683,0.31552789,0.09279184,0.02674204,0.00313817,0.02967987,0.14814273,0.00097742
-5.32766383,0.34643497,0.10127583,0.02931424,0.00385131,0.03258605,0.16243030,0.00106664
-5.32166083,0.37823408,0.10991574,0.03193764,0.00470633,0.03556929,0.17704675,0.00115770
-5.31565783,0.41061585,0.11860358,0.03458328,0.00572026,0.03860588,0.19183538,0.00124949
-5.30965483,0.44324567,0.12722594,0.03721996,0.00691055,0.04167122,0.20662575,0.00134080
-5.30365183,0.47576924,0.13566610,0.03981484,0.00829452,0.04474053,0.22123646,0.00143042
-5.29764882,0.50781898,0.14380641,0.04233412,0.00988873,0.04778960,0.23547838,0.00151710
-5.29164582,0.53902126,0.15153082,0.04474382,0.01170831,0.05079558,0.24915837,0.00159958
-5.28564282,0.56900407,0.15872770,0.04701061,0.01376612,0.05373759,0.26208331,0.00167667
