energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up
-6.00000000,1.34577241,0.00601048,0.03635694,0.47632048,0.22672286,1.13674502,0.00000000,0.97996706,0.00000000
-5.99399700,1.34914432,0.00570031,0.04100786,0.47677140,0.23339562,1.14109309,0.00000000,0.97628414,0.00000000
-5.98799400,1.35144770,0.00539790,0.04609101,0.47636282,0.24049847,1.14295077,0.00000000,0.97095266,0.00000000
-5.98199100,1.35248580,0.00510458,0.05160496,0.47499776,0.24800195,1.14199491,0.00000000,0.96381035,0.00000000
-5.97598799,1.35204334,0.00482141,0.05753962,0.47258549,0.25586242,1.13791730,0.00000000,0.95470004,0.00000000
-5.96998499,1.34990463,0.00454914,0.06387517,0.46904972,0.26402309,1.13044448,0.00000000,0.94348564,0.00000000
-5.96398199,1.34587287,0.00428829,0.07058123,0.46433695,0.27241545,1.11935752,0.00000000,0.93006855,0.00000000
-5.95797899,1.33978948,0.00403923,0.07761621,0.45842435,0.28096108,1.10451056,0.00000000,0.91440346,0.00000000
-5.95197599,1.33155238,0.00380218,0.08492707,0.45132680,0.28957379,1.08584691,0.00000000,0.89651250,0.00000000
-5.94597299,1.32113211,0.00357736,0.09244944,0.44310266,0.29816195,1.06341188,0.00000000,0.87649705,0.00000000
-5.93996998,1.30858507,0.00336501,0.10010818,0.43385784,0.30663114,1.03736151,0.00000000,0.85454620,0.00000000
-5.93396698,1.29406311,0.00316551,0.10781849,0.42374804,0.31488686,1.00796677,0.00000000,0.83094173,0.00000000
-5.92796398,1.27781904,0.00297936,0.11548736,0.41297890,0.32283744,0.97561283,0.00000000,0.80605887,0.00000000
-5.92196098,1.26020790,0.00280732,0.12301567,0.40180401,0.33039689,0.94079358,0.00000000,0.78036307,0.00000000
-5.91595798,1.24168385,0.00265038,0.13030052,0.39052087,0.33748783,0.90410153,0.00000000,0.75440263,0.00000000
-5.90995498,1.22279280,0.00250978,0.13723805,0.37946486,0.34404426,0.86621355,0.00000000,0.72879758,0.00000000
