energy_ev,total_up,In_p_up,In_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,1.87280991,0.24977475,0.00362891,0.61908858,1.27145140,0.35157559,0.00000000
-5.99399700,1.89093718,0.25654332,0.00362795,0.61947646,1.28783382,0.34779551,0.00000000
-5.98799400,1.90316183,0.26220368,0.00361560,0.61738521,1.30040590,0.34364095,0.00000000
-5.98199100,1.90968338,0.26671396,0.00359279,0.61285918,1.30930651,0.33920978,0.00000000
-5.97598799,1.91084037,0.27005419,0.00356074,0.60600172,1.31476681,0.33460864,0.00000000
-5.96998499,1.90709299,0.27222595,0.00352090,0.59696989,1.31709811,0.32994828,0.00000000
-5.96398199,1.89900135,0.27325117,0.00347491,0.58596763,1.31667680,0.32533891,0.00000000
-5.95797899,1.88720046,0.27317041,0.00342455,0.57323750,1.31392694,0.32088568,0.00000000
-5.95197599,1.87237328,0.27204057,0.00337164,0.55905141,1.30930175,0.31668457,0.00000000
-5.94597299,1.85522318,0.26993219,0.00331803,0.54370075,1.30326459,0.31281894,0.00000000
-5.93996998,1.83644712,0.26692658,0.00326550,0.52748637,1.29627069,0.30935673,0.00000000
-5.93396698,1.81671087,0.26311289,0.00321571,0.51070875,1.28875040,0.30634860,0.00000000
-5.92796398,1.79662745,0.25858519,0.00317015,0.49365882,1.28109468,0.30382695,0.00000000
-5.92196098,1.77673955,0.25343984,0.00313008,0.47660991,1.27364360,0.30180583,0.00000000
-5.91595798,1.75750671,0.24777320,0.00309652,0.45981080,1.26667818,0.30028176,0.00000000
-5.90995498,1.73929755,0.24167968,0.00307020,0.44348052,1.26041583,0.29923524,0.00000000
-5.90395198,1.72238709,0.23525031,0.00305157,0.42780463,1.25500941,0.29863291,0.00000000
-5.89794897,1.70695900,0.22857181,0.00304079,0.41293336,1.25054969,0.29843017,0.00000000
-5.89194597,1.69311224,0.22172607,0.00303775,0.39898134,1.24707093,0.29857403,0.00000000
-5.88594297,1.68087151,0.21479007,0.00304208,0.38602899,1.24455904,0.29900613,0.00000000
-5.87993997,1.67020066,0.20783621,0.00305319,0.37412521,1.24296164,0.29966564,0.00000000
-5.87393697,1.66101806,0.20093285,0.00307033,0.36329137,1.24219960,0.30049196,0.00000000
-5.86793397,1.65321328,0.19414508,0.00309260,0.35352607,1.24217915,0.30142714,0.00000000
-5.86193097,1.64666382,0.18753561,0.00311904,0.34481067,1.24280405,0.30241782,0.00000000
-5.85592796,1.64125150,0.18116560,0.00314863,0.33711505,1.24398730,0.30341679,0.00000000
-5.84992496,1.63687738,0.17509549,0.00318038,0.33040348,1.24566171,0.30438409,0.00000000
-5.84392196,1.63347501,0.16938570,0.00321336,0.32464028,1.24778920,0.30528764,0.00000000
-5.83791896,1.63102135,0.16409704,0.00324676,0.31979509,1.25036829,0.30610354,0.00000000
-5.83191596,1.62954526,0.15929107,0.00327987,0.31584754,1.25343982,0.30681602,0.00000000
-5.82591296,1.62913327,0.15503007,0.00331220,0.31279112,1.25709062,0.30741719,0.00000000
-5.81990995,1.62993272,0.15137687,0.00334340,0.31063630,1.26145532,0.30790658,0.00000000
-5.81390695,1.63215224,0.14839439,0.00337338,0.30941269,1.26671612,0.30829063,0.00000000
