energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.08327021,-0.64589619,0.01592289,-0.00039503,0.20550265,-0.11361658,0.21127623,-0.07548493,0.30636254,-0.06908007,0.00949292,-0.00146518,0.19627829,-0.19932529
-5.99399700,1.17946984,-0.68169601,0.01733647,-0.00045404,0.22236417,-0.12035226,0.22385507,-0.08229686,0.33575322,-0.07270821,0.01054952,-0.00149957,0.21592816,-0.20987007
-5.98799400,1.28530075,-0.71684424,0.01883196,-0.00051820,0.24106044,-0.12704249,0.23860123,-0.08915253,0.36775961,-0.07628492,0.01169880,-0.00153208,0.23741922,-0.22013121
-5.98199100,1.40106557,-0.75101819,0.02041051,-0.00058726,0.26166944,-0.13363126,0.25572845,-0.09596856,0.40242486,-0.07978370,0.01294224,-0.00156311,0.26078459,-0.23000774
-5.97598799,1.52693805,-0.78387699,0.02207298,-0.00066085,0.28424427,-0.14005808,0.27543011,-0.10265724,0.43975740,-0.08317569,0.01427969,-0.00159302,0.28603277,-0.23939462
-5.96998499,1.66294388,-0.81506607,0.02381995,-0.00073845,0.30880942,-0.14625865,0.29787271,-0.10912873,0.47972718,-0.08642980,0.01570910,-0.00162211,0.31314395,-0.24818428
-5.96398199,1.80894412,-0.84422284,0.02565164,-0.00081938,0.33535758,-0.15216583,0.32318955,-0.11529360,0.52226256,-0.08951297,0.01722632,-0.00165062,0.34206695,-0.25626841
-5.95797899,1.96462148,-0.87098371,0.02756792,-0.00090285,0.36384692,-0.15771094,0.35147447,-0.12106542,0.56724806,-0.09239064,0.01882497,-0.00167866,0.37271661,-0.26354008
-5.95197599,2.12947012,-0.89499226,0.02956817,-0.00098791,0.39419892,-0.16282529,0.38277601,-0.12636353,0.61452271,-0.09502732,0.02049631,-0.00170620,0.40497210,-0.26989621
-5.94597299,2.30278907,-0.91590834,0.03165127,-0.00107354,0.42629703,-0.16744195,0.41709195,-0.13111568,0.66387945,-0.09738745,0.02222921,-0.00173310,0.43867590,-0.27524015
-5.93996998,2.48367975,-0.93341782,0.03381541,-0.00115859,0.45998582,-0.17149767,0.45436441,-0.13526065,0.71506520,-0.09943625,0.02401022,-0.00175906,0.47363372,-0.27948441
-5.93396698,2.67104751,-0.94724271,0.03605796,-0.00124191,0.49507097,-0.17493499,0.49447575,-0.13875049,0.76778184,-0.10114081,0.02582369,-0.00178366,0.50961534,-0.28255350
-5.92796398,2.86360740,-0.95715112,0.03837531,-0.00132230,0.53132002,-0.17770435,0.53724530,-0.14155254,0.82168795,-0.10247122,0.02765196,-0.00180637,0.54635633,-0.28438650
-5.92196098,3.05989421,-0.96296670,0.04076261,-0.00139864,0.56846383,-0.17976609,0.58242728,-0.14365095,0.87640140,-0.10340170,0.02947569,-0.00182658,0.58356064,-0.28493961
-5.91595798,3.25827652,-0.96457710,0.04321359,-0.00146984,0.60619882,-0.18109235,0.62970982,-0.14504769,0.93150260,-0.10391174,0.03127417,-0.00184364,0.62090412,-0.28418821
-5.90995498,3.45697495,-0.96194096,0.04572025,-0.00153499,0.64419003,-0.18166874,0.67871563,-0.14576304,0.98653864,-0.10398715,0.03302577,-0.00185686,0.65803874,-0.28212855
