energy_ev,total_up,Nb_p_up,Nb_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,1.70401415,1.40532601,0.50094555,0.04835663,0.00086318,1.21937952,0.00000000
-5.99399700,1.76608243,1.44300641,0.52546393,0.05084563,0.00091246,1.25977153,0.00000000
-5.98799400,1.82608077,1.47786175,0.54986757,0.05335576,0.00096521,1.29816465,0.00000000
-5.98199100,1.88364465,1.50964085,0.57402515,0.05587170,0.00102102,1.33427791,0.00000000
-5.97598799,1.93850293,1.53817237,0.59783031,0.05838162,0.00107951,1.36789981,0.00000000
-5.96998499,1.99047682,1.56336246,0.62120171,0.06087722,0.00114031,1.39888877,0.00000000
-5.96398199,2.03947504,1.58518979,0.64408180,0.06335355,0.00120304,1.42717091,0.00000000
-5.95797899,2.08548537,1.60369822,0.66643438,0.06580866,0.00126738,1.45273537,0.00000000
-5.95197599,2.12856296,1.61898740,0.68824099,0.06824295,0.00133298,1.47562749,0.00000000
-5.94597299,2.16881635,1.63120193,0.70949666,0.07065844,0.00139951,1.49594015,0.00000000
-5.93996998,2.20639170,1.64051954,0.73020492,0.07305788,0.00146665,1.51380382,0.00000000
-5.93396698,2.24145642,1.64713900,0.75037282,0.07544381,0.00153407,1.52937588,0.00000000
-5.92796398,2.27418301,1.65126832,0.77000594,0.07781770,0.00160143,1.54282978,0.00000000
-5.92196098,2.30473417,1.65311392,0.78910403,0.08017906,0.00166839,1.55434466,0.00000000
-5.91595798,2.33324985,1.65287129,0.80765731,0.08252478,0.00173459,1.56409588,0.00000000
-5.90995498,2.35983717,1.65071751,0.82564391,0.08484871,0.00179967,1.57224709,0.00000000
-5.90395198,2.38456335,1.64680598,0.84302836,0.08714135,0.00186323,1.57894390,0.00000000
-5.89794897,2.40745222,1.64126352,0.85976131,0.08938994,0.00192491,1.58430957,0.00000000
-5.89194597,2.42848395,1.63418960,0.87578045,0.09157879,0.00198431,1.58844258,0.00000000
-5.88594297,2.44759788,1.62565780,0.89101228,0.09368985,0.00204105,1.59141608,0.00000000
-5.87993997,2.46469789,1.61571886,0.90537479,0.09570346,0.00209475,1.59327882,0.00000000
-5.87393697,2.47965954,1.60440499,0.91878053,0.09759938,0.00214503,1.59405732,0.00000000
-5.86793397,2.49233826,1.59173493,0.93113981,0.09935780,0.00219154,1.59375874,0.00000000
-5.86193097,2.50257766,1.57771906,0.94236375,0.10096040,0.00223396,1.59237408,0.00000000
-5.85592796,2.51021721,1.56236417,0.95236684,0.10239135,0.00227197,1.58988119,0.00000000
-5.84992496,2.51509861,1.54567734,0.96106884,0.10363815,0.00230527,1.58624726,0.00000000
-5.84392196,2.51707032,1.52766861,0.96839576,0.10469225,0.00233360,1.58143050,0.00000000
-5.83791896,2.51599006,1.50835226,0.97427996,0.10554938,0.00235670,1.57538095,0.00000000
-5.83191596,2.51172509,1.48774658,0.97865948,0.10620959,0.00237433,1.56804028,0.00000000
-5.82591296,2.50415082,1.46587240,0.98147650,0.10667697,0.00238628,1.55934090,0.00000000
-5.81990995,2.49314778,1.44275052,0.98267551,0.10695906,0.00239232,1.54920447,0.00000000
-5.81390695,2.47859802,1.41839850,0.98220115,0.10706603,0.00239227,1.53754040,0.00000000
-5.80790395,2.46038127,1.39282730,0.97999632,0.10700960,0.00238594,1.52424454,0.00000000
-5.80190095,2.43837191,1.36603818,0.97600070,0.10680190,0.00237315,1.50919862,0.00000000
-5.79589795,2.41243733,1.33802047,0.97015006,0.10645428,0.00235375,1.49227082,0.00000000
-5.78989495,2.38243829,1.30875050,0.96237651,0.10597614,0.00232763,1.47331775,0.00000000
-5.78389195,2.34823166,1.27819211,0.95261003,0.10537397,0.00229469,1.45218803,0.00000000
-5.77788894,2.30967579,1.24629874,0.94078100,0.10465060,0.00225490,1.42872754,0.00000000
-5.77188594,2.26663828,1.21301728,0.92682396,0.10380471,0.00220828,1.40278619,0.00000000
