energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,6.48311331,0.04125518,0.62470517,5.05382932,1.97172692,0.05685365,2.43731839,0.87712889,0.21676404
-5.99399700,6.57472190,0.04116858,0.65923738,5.33242784,2.00479827,0.05355152,2.42391435,0.86884095,0.21800775
-5.98799400,6.67656506,0.04105849,0.69430066,5.61103172,2.03958085,0.05051159,2.41689768,0.86228821,0.21968184
-5.98199100,6.78546887,0.04091634,0.72930818,5.88490963,2.07504575,0.04774883,2.41558163,0.85720494,0.22169996
-5.97598799,6.89788344,0.04073464,0.76363317,6.14915601,2.11005321,0.04527131,2.41911983,0.85329031,0.22396128
-5.96998499,7.01003385,0.04050759,0.79662807,6.39883654,2.14339973,0.04308111,2.42655635,0.85022608,0.22635541
-5.96398199,7.11807880,0.04023158,0.82764526,6.62913918,2.17386815,0.04117539,2.43687767,0.84769416,0.22876755
-5.95797899,7.21826952,0.03990563,0.85605831,6.83552470,2.20027842,0.03954739,2.44906381,0.84539297,0.23108371
-5.95197599,7.30710126,0.03953170,0.88128300,7.01387026,2.22153659,0.03818757,2.46213614,0.84305198,0.23319565
-5.94597299,7.38145022,0.03911492,0.90279725,7.16059994,2.23667960,0.03708454,2.47519945,0.84044353,0.23500540
-5.93996998,7.43868968,0.03866359,0.92015883,7.27279645,2.24491386,0.03622591,2.48747638,0.83739160,0.23642907
-5.93396698,7.47678024,0.03818909,0.93302037,7.34828924,2.24564580,0.03559899,2.49833278,0.83377699,0.23739980
-5.92796398,7.49433030,0.03770559,0.94114082,7.38571522,2.23850304,0.03519124,2.50729303,0.82953900,0.23786982
-5.92196098,7.49062508,0.03722966,0.94439287,7.38454971,2.22334543,0.03499062,2.51404516,0.82467336,0.23781140
-5.91595798,7.46562352,0.03677965,0.94276619,7.34510661,2.20026567,0.03498561,2.51843600,0.81922698,0.23721686
-5.90995498,7.41992485,0.03637505,0.93636623,7.26850839,2.16957982,0.03516518,2.52045724,0.81328974,0.23609755
-5.90395198,7.35470763,0.03603569,0.92540882,7.15662773,2.13180851,0.03551853,2.52022390,0.80698400,0.23448203
-5.89794897,7.27164585,0.03578088,0.91021090,7.01200451,2.08765025,0.03603475,2.51794691,0.80045254,0.23241350
-5.89194597,7.17280770,0.03562861,0.89117782,6.83774222,2.03794834,0.03670237,2.51390207,0.79384566,0.22994675
-5.88594297,7.06054332,0.03559466,0.86878809,6.63738941,1.98365358,0.03750894,2.50839748,0.78730828,0.22714480
-5.87993997,6.93736821,0.03569184,0.84357609,6.41481201,1.92578474,0.03844062,2.50174192,0.78096787,0.22407544
-5.87393697,6.80584910,0.03592930,0.81611383,6.17406243,1.86538897,0.03948179,2.49421624,0.77492393,0.22080789
-5.86793397,6.66849836,0.03631196,0.78699244,5.91925149,1.80350428,0.04061484,2.48604968,0.76923954,0.21740988
-5.86193097,6.52768246,0.03684014,0.75680439,5.65442852,1.74112576,0.04182007,2.47740265,0.76393567,0.21394506
-5.85592796,6.38554870,0.03750930,0.72612695,5.38347430,1.67917720,0.04307573,2.46835708,0.75898837,0.21047120
-5.84992496,6.24397320,0.03831005,0.69550780,5.11001048,1.61848905,0.04435824,2.45891468,0.75432914,0.20703894
-5.84392196,6.10453161,0.03922830,0.66545298,4.83732805,1.55978349,0.04564261,2.44900336,0.74984832,0.20369139
-5.83791896,5.96849246,0.04024565,0.63641766,4.56833622,1.50366680,0.04690300,2.43849089,0.74540126,0.20046431
-5.83191596,5.83683174,0.04133992,0.60879990,4.30553191,1.45062863,0.04811335,2.42720499,0.74081694,0.19738701
-5.82591296,5.71026593,0.04248589,0.58293720,4.05098896,1.40104763,0.04924821,2.41495820,0.73590846,0.19448372
-5.81990995,5.58929955,0.04365611,0.55910579,3.80636505,1.35520236,0.05028352,2.40157566,0.73048468,0.19177538
-5.81390695,5.47428277,0.04482188,0.53752236,3.57292407,1.31328613,0.05119746,2.38692392,0.72436239,0.18928158
-5.80790395,5.36547394,0.04595419,0.51834771,3.35157039,1.27542443,0.05197123,2.37093845,0.71737821,0.18702256
-5.80190095,5.26310192,0.04702472,0.50169185,3.14289194,1.24169329,0.05258978,2.35364798,0.70939954,0.18502105
-5.79589795,5.16742327,0.04800684,0.48762016,2.94720839,1.21213714,0.05304233,2.33519376,0.70033395,0.18330379
-5.78989495,5.07876996,0.04887644,0.47615989,2.76462117,1.18678481,0.05332281,2.31584216,0.69013637,0.18190262
-5.78389195,4.99758391,0.04961272,0.46730658,2.59506220,1.16566249,0.05343006,2.29598947,0.67881384,0.18085491
-5.77788894,4.92443594,0.05019880,0.46103004,2.43833892,1.14880285,0.05336785,2.27615830,0.66642747,0.18020341
-5.77188594,4.86002747,0.05062215,0.45727939,2.29417340,1.13624960,0.05314470,2.25698528,0.65309159,0.17999540
-5.76588294,4.80517486,0.05087485,0.45598698,2.16223438,1.12805747,0.05277344,2.23920056,0.63897024,0.18028114
-5.75987994,4.76077721,0.05095364,0.45707107,2.04216123,1.12428764,0.05227068,2.22359988,0.62427115,0.18111174
-5.75387694,4.72776975,0.05085980,0.46043707,1.93357998,1.12499906,0.05165607,2.21101058,0.60923778,0.18253652
-5.74787394,4.70706568,0.05059884,0.46597766,1.83611159,1.13023647,0.05095145,2.20225319,0.59413974,0.18459993
-5.74187094,4.69949025,0.05018001,0.47357170,1.74937345,1.14001603,0.05017998,2.19810075,0.57926240,0.18733839
-5.73586793,4.70571150,0.04961575,0.48308236,1.67297530,1.15430974,0.04936514,2.19923786,0.56489612,0.19077698
-5.72986493,4.72617208,0.04892095,0.49435472,1.60651111,1.17302992,0.04852986,2.20622188,0.55132588,0.19492643
-5.72386193,4.76102696,0.04811226,0.50721325,1.54954850,1.19601495,0.04769565,2.21944846,0.53882176,0.19978041
-5.71785893,4.81009125,0.04720732,0.52145945,1.50161737,1.22301751,0.04688181,2.23912340,0.52763098,0.20531353
-5.71185593,4.87280219,0.04622398,0.53687020,1.46219929,1.25369637,0.04610484,2.26524269,0.51797167,0.21147993
-5.70585293,4.94819840,0.04517965,0.55319705,1.43071911,1.28761275,0.04537793,2.29758202,0.51002891,0.21821294
-5.69984992,5.03491873,0.04409072,0.57016676,1.40653990,1.32423160,0.04471066,2.33569685,0.50395300,0.22542559
-5.69384692,5.13122194,0.04297199,0.58748332,1.38896208,1.36292853,0.04410886,2.37893326,0.49986003,0.23301227
-5.68784392,5.23502728,0.04183638,0.60483168,1.37722728,1.40300205,0.04357469,2.42644953,0.49783459,0.24085133
-5.68184092,5.34397495,0.04069464,0.62188293,1.37052707,1.44369111,0.04310682,2.47724770,0.49793442,0.24880876
-5.67583792,5.45550412,0.03955531,0.63830118,1.36801637,1.48419718,0.04270081,2.53021379,0.50019638,0.25674260
-5.66983492,5.56694527,0.03842468,0.65375167,1.36883101,1.52370994,0.04234957,2.58416493,0.50464350,0.26450813
-5.66383192,5.67562259,0.03730703,0.66790990,1.37210855,1.56143558,0.04204398,2.63790121,0.51129233,0.27196343
-5.65782891,5.77896154,0.03620485,0.68047136,1.37701138,1.59662615,0.04177351,2.69025958,0.52016012,0.27897521
-5.65182591,5.87459616,0.03511919,0.69116146,1.38275077,1.62860860,0.04152690,2.74016731,0.53127119,0.28542446
-5.64582291,5.96047059,0.03405009,0.69974495,1.38861056,1.65681197,0.04129281,2.78669201,0.54466190,0.29121188
-5.63981991,6.03492943,0.03299698,0.70603460,1.39396913,1.68079126,0.04106050,2.82908577,0.56038386,0.29626246
-5.63381691,6.09679191,0.03195919,0.70989836,1.39831837,1.70024660,0.04082033,2.86682077,0.57850490,0.30052930
-5.62781391,6.14540575,0.03093628,0.71126471,1.40127852,1.71503659,0.04056427,2.89961465,0.59910765,0.30399618
-5.62181091,6.18067749,0.02992854,0.71012587,1.40260789,1.72518501,0.04028625,2.92744395,0.62228568,0.30667891
