energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,3.32631851,0.48697017,0.40460954,0.00383125,0.51374318,1.07337569,1.49151901,0.00809152,1.00161220
-5.99399700,3.37592050,0.49803043,0.41183208,0.00419279,0.52567797,1.09061319,1.51230142,0.00813386,1.00909131
-5.98799400,3.43277363,0.50998787,0.42004138,0.00457859,0.53885694,1.11035905,1.53638588,0.00822598,1.01811041
-5.98199100,3.49692794,0.52289408,0.42930622,0.00498437,0.55313338,1.13256204,1.56377214,0.00836726,1.02891063
-5.97598799,3.56826982,0.53678898,0.43968411,0.00540510,0.56831195,1.15711025,1.59437830,0.00855668,1.04171487
-5.96998499,3.64651602,0.55169774,0.45121674,0.00583510,0.58415384,1.18382983,1.62804144,0.00879278,1.05671689
-5.96398199,3.73121278,0.56762818,0.46392553,0.00626808,0.60038388,1.21248633,1.66452080,0.00907357,1.07407097
-5.95797899,3.82173997,0.58456847,0.47780748,0.00669728,0.61669913,1.24278838,1.70350305,0.00939654,1.09388220
-5.95197599,3.91731942,0.60248529,0.49283159,0.00711563,0.63277864,1.27439343,1.74460936,0.00975850,1.11619789
-5.94597299,4.01702696,0.62132231,0.50893591,0.00751591,0.64829382,1.30691523,1.78740366,0.01015559,1.14100021
-5.93996998,4.11980726,0.64099900,0.52602539,0.00789094,0.66291899,1.33993252,1.83140154,0.01058317,1.16820040
-5.93396698,4.22449064,0.66140984,0.54397068,0.00823379,0.67634164,1.37299834,1.87607957,0.01103580,1.19763462
-5.92796398,4.32981112,0.68242373,0.56260796,0.00853794,0.68827178,1.40564962,1.92088421,0.01150724,1.22906171
-5.92196098,4.43442508,0.70388382,0.58173990,0.00879752,0.69845018,1.43741647,1.96524045,0.01199044,1.26216303
-5.91595798,4.53693009,0.72560762,0.60113772,0.00900748,0.70665505,1.46783081,2.00855956,0.01247763,1.29654438
-5.90995498,4.63588370,0.74738753,0.62054441,0.00916372,0.71270695,1.49643412,2.05024625,0.01296038,1.33174021
-5.90395198,4.72982208,0.76899197,0.63967912,0.00926322,0.71647183,1.52278416,2.08970500,0.01342978,1.36722010
-5.89794897,4.81727879,0.79016705,0.65824255,0.00930416,0.71786224,1.54646063,2.12634600,0.01387657,1.40239757
-5.89194597,4.89680390,0.81063909,0.67592331,0.00928592,0.71683669,1.56706978,2.15959079,0.01429139,1.43664112
-5.88594297,4.96698386,0.83011792,0.69240515,0.00920913,0.71339759,1.58424842,2.18887793,0.01466498,1.46928741
