energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,2.35036548,0.00167400,1.05189296,0.01576101,0.41678603,1.98178596,0.38274383
-5.99399700,2.42171533,0.00188056,1.08885718,0.01600265,0.42575390,2.05244197,0.39327058
-5.98799400,2.48843331,0.00210669,1.12444405,0.01619468,0.43327583,2.11996748,0.40308425
-5.98199100,2.54981093,0.00235300,1.15829397,0.01633399,0.43925573,2.18364961,0.41208481
-5.97598799,2.60516988,0.00261982,1.19004491,0.01641752,0.44361684,2.24278549,0.42017478
-5.96998499,2.65388193,0.00290718,1.21934253,0.01644241,0.44630466,2.29670345,0.42726193
-5.96398199,2.69538957,0.00321468,1.24585115,0.01640612,0.44728942,2.34478541,0.43326221
-5.95797899,2.72922629,0.00354148,1.26926487,0.01630657,0.44656819,2.38648917,0.43810276
-5.95197599,2.75503510,0.00388620,1.28931834,0.01614231,0.44416642,2.42136923,0.44172469
-5.94597299,2.77258408,0.00424694,1.30579623,0.01591265,0.44013865,2.44909485,0.44408557
-5.93996998,2.78177772,0.00462117,1.31854097,0.01561782,0.43456849,2.46946399,0.44516132
-5.93396698,2.78266326,0.00500576,1.32745801,0.01525910,0.42756773,2.48241220,0.44494738
-5.92796398,2.77543117,0.00539698,1.33251835,0.01483885,0.41927443,2.48801571,0.44345911
-5.92196098,2.76040976,0.00579052,1.33375808,0.01436062,0.40985027,2.48648841,0.44073117
-5.91595798,2.73805387,0.00618155,1.33127493,0.01382906,0.39947699,2.47817264,0.43681616
-5.90995498,2.70892818,0.00656480,1.32522204,0.01324995,0.38835214,2.46352454,0.43178237
-5.90395198,2.67368613,0.00693466,1.31579939,0.01263003,0.37668430,2.44309445,0.42571086
-5.89794897,2.63304557,0.00728532,1.30324349,0.01197689,0.36468787,2.41750384,0.41869205
-5.89194597,2.58776246,0.00761091,1.28781594,0.01129876,0.35257771,2.38741994,0.41082209
-5.88594297,2.53860427,0.00790569,1.26979180,0.01060428,0.34056375,2.35352968,0.40219910
-5.87993997,2.48632439,0.00816419,1.24944825,0.00990232,0.32884577,2.31651437,0.39291968
-5.87393697,2.43163902,0.00838138,1.22705456,0.00920168,0.31760861,2.27702656,0.38307584
-5.86793397,2.37520762,0.00855289,1.20286371,0.00851086,0.30701781,2.23567029,0.37275249
-5.86193097,2.31761782,0.00867510,1.17710627,0.00783787,0.29721596,2.19298553,0.36202568
-5.85592796,2.25937522,0.00874531,1.14998661,0.00718997,0.28831975,2.14943753,0.35096166
-5.84992496,2.20089833,0.00876183,1.12168166,0.00657355,0.28041777,2.10541106,0.33961670
-5.84392196,2.14251838,0.00872405,1.09234203,0.00599397,0.27356918,2.06120964,0.32803774
-5.83791896,2.08448348,0.00863246,1.06209505,0.00545546,0.26780317,2.01705906,0.31626362
-5.83191596,2.02696647,0.00848866,1.03104952,0.00496110,0.26311917,1.97311458,0.30432688
-5.82591296,1.97007551,0.00829530,0.99930139,0.00451278,0.25948786,1.92947091,0.29225579
-5.81990995,1.91386630,0.00805598,0.96693995,0.00411125,0.25685287,1.88617387,0.28007662
