energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,4.85450711,0.44825912,2.21970444,0.08924255,0.04933618,0.33855346,0.72200074,0.10536482,1.27397439
-5.99399700,5.02759172,0.46495628,2.26147543,0.09397740,0.04921783,0.34669315,0.77137326,0.11241283,1.33710030
-5.98799400,5.21085693,0.48316332,2.30927534,0.09899478,0.04928414,0.35591704,0.82147699,0.11945484,1.40227103
-5.98199100,5.40170928,0.50270044,2.36213322,0.10422651,0.04953598,0.36612506,0.87174099,0.12641703,1.46870797
-5.97598799,5.59712769,0.52333394,2.41884616,0.10959539,0.04996745,0.37717245,0.92155612,0.13322414,1.53553626
-5.96998499,5.79375172,0.54478280,2.47801853,0.11501691,0.05056631,0.38887430,0.97028952,0.13980119,1.60180847
-5.96398199,5.98798384,0.56672681,2.53810882,0.12040133,0.05131456,0.40101153,1.01730038,0.14607532,1.66653166
-5.95797899,6.17610206,0.58881625,2.59748230,0.12565606,0.05218919,0.41333833,1.06195628,0.15197744,1.72869651
-5.95197599,6.35437826,0.61068239,2.65446750,0.13068823,0.05316312,0.42559063,1.10364957,0.15744380,1.78730757
-5.94597299,6.51919807,0.63194866,2.70741439,0.13540736,0.05420614,0.43749528,1.14181306,0.16241739,1.84141336
-5.93996998,6.66717770,0.65224206,2.75475217,0.13972809,0.05528593,0.44877955,1.17593460,0.16684903,1.89013537
-5.93396698,6.79527365,0.67120425,2.79504471,0.14357271,0.05636909,0.45918068,1.20556991,0.17069832,1.93269463
-5.92796398,6.90088169,0.68850220,2.82704161,0.14687356,0.05742219,0.46845503,1.23035332,0.17393420,1.96843527
-5.92196098,6.98192189,0.70383796,2.84972326,0.14957505,0.05841271,0.47638654,1.25000615,0.17653533,1.99684418
-5.91595798,7.03690737,0.71695724,2.86233862,0.15163534,0.05931001,0.48279436,1.26434239,0.17849024,2.01756633
-5.90995498,7.06499499,0.72765682,2.86443446,0.15302760,0.06008610,0.48753920,1.27327187,0.17979717,2.03041538
-5.90395198,7.06601712,0.73579046,2.85587525,0.15374069,0.06071643,0.49052850,1.27680079,0.18046383,2.03537963
-5.89794897,7.04049418,0.74127333,2.83685354,0.15377949,0.06118047,0.49172012,1.27502992,0.18050697,2.03262324
-5.89194597,6.98962837,0.74408490,2.80789024,0.15316465,0.06146230,0.49112465,1.26815066,0.17995183,2.02248313
-5.88594297,6.91527960,0.74427037,2.76982548,0.15193191,0.06155093,0.48880622,1.25643929,0.17883161,2.00546178
-5.87993997,6.81992499,0.74194061,2.72380003,0.15013101,0.06144062,0.48488204,1.24024984,0.17718680,1.98221662
-5.87393697,6.70660363,0.73727076,2.67122836,0.14782427,0.06113103,0.47952055,1.22000582,0.17506457,1.95354627
-5.86793397,6.57884870,0.73049741,2.61376406,0.14508486,0.06062724,0.47293841,1.19619120,0.17251817,1.92037432
-5.86193097,6.44060882,0.72191469,2.55325867,0.14199489,0.05993965,0.46539645,1.16934100,0.16960623,1.88373098
-5.85592796,6.29616088,0.71186909,2.49171529,0.13864327,0.05908376,0.45719466,1.14003148,0.16639221,1.84473321
-5.84992496,6.15001621,0.70075316,2.43123813,0.13512359,0.05807982,0.44866627,1.10887039,0.16294362,1.80456344
-5.84392196,6.00682210,0.68899827,2.37397934,0.13153188,0.05695238,0.44017127,1.07648705,0.15933138,1.76444734
-5.83791896,5.87126048,0.67706621,2.32208460,0.12796446,0.05572972,0.43208912,1.04352248,0.15562894,1.72563078
-5.83191596,5.74794535,0.66544005,2.27763865,0.12451577,0.05444317,0.42481104,1.01061953,0.15191140,1.68935618
-5.82591296,5.64132072,0.65461393,2.24261217,0.12127639,0.05312633,0.41873187,0.97841275,0.14825441,1.65683832
-5.81990995,5.55556031,0.64508228,2.21881109,0.11833103,0.05181427,0.41424143,0.94751826,0.14473299,1.62923981
-5.81390695,5.49447085,0.63732830,2.20782964,0.11575682,0.05054258,0.41171579,0.91852329,0.14142019,1.60764649
-5.80790395,5.46140016,0.63181197,2.21100789,0.11362159,0.04934647,0.41150822,0.89197553,0.13838556,1.59304281
-5.80190095,5.45915184,0.62895790,2.22939492,0.11198244,0.04825977,0.41394020,0.86837235,0.13569362,1.58628772
-5.79589795,5.48990801,0.62914311,2.26371823,0.11088435,0.04731402,0.41929246,0.84814999,0.13340214,1.58809140
-5.78989495,5.55516192,0.63268521,2.31436009,0.11035915,0.04653753,0.42779639,0.83167300,0.13156051,1.59899336
-5.78389195,5.65566211,0.63983115,2.38134125,0.11042459,0.04595452,0.43962582,0.81922412,0.13020812,1.61934265
-5.77788894,5.79136996,0.65074710,2.46431253,0.11108367,0.04558433,0.45488967,0.81099512,0.12937281,1.64928075
-5.77188594,5.96143227,0.66550973,2.56255433,0.11232431,0.04544079,0.47362547,0.80707894,0.12906967,1.68872798
