energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,18.97676941,0.01332435,0.28216953,0.01287787,0.52767937,0.49742157,18.50728999
-5.99399700,19.13269438,0.01383702,0.28266282,0.01293737,0.52375228,0.49168707,18.66265174
-5.98799400,19.29499313,0.01439271,0.28293374,0.01296871,0.51908473,0.48580312,18.82523271
-5.98199100,19.46648378,0.01499462,0.28296407,0.01297296,0.51389887,0.47995345,18.99764775
-5.97598799,19.64934939,0.01564489,0.28273866,0.01295172,0.50841543,0.47431451,19.18185704
-5.96998499,19.84505424,0.01634449,0.28224495,0.01290708,0.50284734,0.46905083,19.37908893
-5.96398199,20.05429162,0.01709302,0.28147265,0.01284152,0.49739362,0.46431077,19.58979491
-5.95797899,20.27696426,0.01788864,0.28041350,0.01275790,0.49223403,0.46022297,19.81363763
-5.95197599,20.51219702,0.01872795,0.27906122,0.01265932,0.48752442,0.45689332,20.04951098
-5.94597299,20.75837966,0.01960600,0.27741150,0.01254914,0.48339308,0.45440281,20.29559025
-5.93996998,21.01323663,0.02051629,0.27546212,0.01243089,0.47993806,0.45280602,20.54940869
-5.93396698,21.27391954,0.02145084,0.27321309,0.01230820,0.47722553,0.45213055,20.80795596
-5.92796398,21.53711703,0.02240032,0.27066677,0.01218474,0.47528926,0.45237702,21.06779311
-5.92196098,21.79917664,0.02335420,0.26782796,0.01206419,0.47413109,0.45352001,21.32517833
-5.91595798,22.05623284,0.02430095,0.26470403,0.01195016,0.47372232,0.45550946,21.57619767
-5.90995498,22.30433565,0.02522833,0.26130482,0.01184609,0.47400599,0.45827277,21.81689495
-5.90395198,22.53957477,0.02612360,0.25764258,0.01175524,0.47489987,0.46171737,22.04339587
-5.89794897,22.75819482,0.02697389,0.25373177,0.01168054,0.47629997,0.46573360,22.25202189
-5.89194597,22.95669804,0.02776646,0.24958877,0.01162462,0.47808462,0.47019793,22.43939026
-5.88594297,23.13193183,0.02848903,0.24523151,0.01158965,0.48011863,0.47497635,22.60249790
-5.87993997,23.28115959,0.02913011,0.24067907,0.01157735,0.48225779,0.47992778,22.73878745
-5.87393697,23.40211396,0.02967927,0.23595123,0.01158892,0.48435319,0.48490749,22.84619505
-5.86793397,23.49303281,0.03012740,0.23106803,0.01162502,0.48625555,0.48977034,22.92318018
-5.86193097,23.55267861,0.03046695,0.22604932,0.01168579,0.48781915,0.49437393,22.96873872
-5.85592796,23.58034289,0.03069214,0.22091436,0.01177085,0.48890559,0.49858134,22.98240071
-5.84992496,23.57583747,0.03079905,0.21568158,0.01187935,0.48938696,0.50226366,22.96421516
-5.84392196,23.53947465,0.03078576,0.21036825,0.01201010,0.48914865,0.50530214,22.91472405
-5.83791896,23.47203869,0.03065233,0.20499039,0.01216160,0.48809156,0.50758993,22.83492794
-5.83191596,23.37475064,0.03040082,0.19956270,0.01233225,0.48613379,0.50903345,22.72624577
-5.82591296,23.24922892,0.03003517,0.19409860,0.01252043,0.48321177,0.50955341,22.59047090
-5.81990995,23.09744737,0.02956115,0.18861035,0.01272476,0.47928088,0.50908543,22.42972543
-5.81390695,22.92169256,0.02898610,0.18310925,0.01294416,0.47431549,0.50758033,22.24641475
-5.80790395,22.72452191,0.02831880,0.17760588,0.01317815,0.46830858,0.50500417,22.04318351
-5.80190095,22.50872356,0.02756923,0.17211039,0.01342690,0.46127092,0.50133800,21.82287423
-5.79589795,22.27727894,0.02674830,0.16663281,0.01369147,0.45322991,0.49657744,21.58848937
-5.78989495,22.03332847,0.02586762,0.16118335,0.01397389,0.44422816,0.49073209,21.34315711
-5.78389195,21.78014057,0.02493921,0.15577267,0.01427724,0.43432174,0.48382480,21.09010110
-5.77788894,21.52108382,0.02397530,0.15041215,0.01460574,0.42357848,0.47589096,20.83261384
-5.77188594,21.25960182,0.02298806,0.14511410,0.01496472,0.41207602,0.46697763,20.57403320
-5.76588294,20.99919007,0.02198940,0.13989186,0.01536057,0.39989994,0.45714270,20.31772128
-5.75987994,20.74337387,0.02099077,0.13475989,0.01580069,0.38714194,0.44645399,20.06704465
-5.75387694,20.49568613,0.02000300,0.12973374,0.01629328,0.37389803,0.43498839,19.82535478
-5.74787394,20.25964401,0.01903617,0.12482994,0.01684718,0.36026691,0.42283087,19.59596751
-5.74187094,20.03872303,0.01809952,0.12006580,0.01747161,0.34634844,0.41007349,19.38214022
-5.73586793,19.83632754,0.01720135,0.11545912,0.01817590,0.33224227,0.39681432,19.18704564
-5.72986493,19.65575675,0.01634901,0.11102781,0.01896914,0.31804661,0.38315631,19.01374143
-5.72386193,19.50016545,0.01554886,0.10678947,0.01985989,0.30385710,0.36920598,18.86513468
-5.71785893,19.37251920,0.01480630,0.10276084,0.02085574,0.28976585,0.35507206,18.74394114
-5.71185593,19.27554405,0.01412581,0.09895730,0.02196306,0.27586054,0.34086404,18.65263924
-5.70585293,19.21167132,0.01351102,0.09539228,0.02318652,0.26222365,0.32669058,18.59341922
-5.69984992,19.18297837,0.01296474,0.09207666,0.02452887,0.24893176,0.31265791,18.56812860
-5.69384692,19.19112675,0.01248912,0.08901831,0.02599058,0.23605488,0.29886815,18.57821495
-5.68784392,19.23729951,0.01208573,0.08622152,0.02756961,0.22365589,0.28541771,18.62466797
-5.68184092,19.32213972,0.01175569,0.08368668,0.02926122,0.21179007,0.27239573,18.70796250
-5.67583792,19.44569234,0.01149979,0.08140997,0.03105785,0.20050459,0.25988263,18.82800492
-5.66983492,19.60735190,0.01131865,0.07938320,0.03294910,0.18983827,0.24794887,18.98408486
-5.66383192,19.80581825,0.01121282,0.07759382,0.03492177,0.17982121,0.23665395,19.17483463
-5.65782891,20.03906261,0.01118293,0.07602507,0.03696000,0.17047474,0.22604560,19.39819836
-5.65182591,20.30430600,0.01122980,0.07465630,0.03904553,0.16181134,0.21615939,19.65141288
-5.64582291,20.59801195,0.01135456,0.07346345,0.04115802,0.15383479,0.20701854,19.93100199
-5.63981991,20.91589489,0.01155872,0.07241967,0.04327548,0.14654036,0.19863417,20.23278564
-5.63381691,21.25294556,0.01184429,0.07149609,0.04537477,0.13991526,0.19100573,20.55190509
-5.62781391,21.60347437,0.01221377,0.07066261,0.04743217,0.13393916,0.18412190,20.88286494
-5.62181091,21.96117313,0.01267019,0.06988889,0.04942397,0.12858484,0.17796154,21.21959250
-5.61580790,22.31919542,0.01321715,0.06914521,0.05132718,0.12381898,0.17249508,21.55551462
-5.60980490,22.67025527,0.01385873,0.06840348,0.05312012,0.11960309,0.16768589,21.88365179
