energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.53542860,0.01038840,0.18397826,0.02173462,1.51255640,0.69546113,0.19439506,0.66260620,0.40799851
-5.99399700,2.63566959,0.01050766,0.19506415,0.02204405,1.56992142,0.72201856,0.20466037,0.70272099,0.42465330
-5.98799400,2.74057751,0.01062305,0.20766493,0.02226072,1.62872135,0.74956672,0.21509788,0.74508625,0.44276025
-5.98199100,2.84873806,0.01072855,0.22166967,0.02238138,1.68811120,0.77767869,0.22558040,0.78912167,0.46211862
-5.97598799,2.95854453,0.01081843,0.23692329,0.02240432,1.74716546,0.80588653,0.23597039,0.83418002,0.48247537
-5.96998499,3.06822974,0.01088739,0.25322770,0.02232927,1.80489870,0.83369279,0.24612245,0.87956114,0.50352886
-5.96398199,3.17590423,0.01093069,0.27034435,0.02215744,1.86028881,0.86058321,0.25588625,0.92452795,0.52493452
-5.95797899,3.27959990,0.01094426,0.28799817,0.02189141,1.91230244,0.88604045,0.26510976,0.96832397,0.54631197
-5.95197599,3.37731818,0.01092475,0.30588288,0.02153502,1.95992191,0.90955820,0.27364266,1.01019212,0.56725390
-5.94597299,3.46708143,0.01086964,0.32366768,0.02109321,2.00217276,0.93065547,0.28134009,1.04939401,0.58733615
-5.93996998,3.54698595,0.01077721,0.34100511,0.02057193,2.03815116,0.94889032,0.28806625,1.08522938,0.60612895
-5.93396698,3.61525500,0.01064661,0.35753996,0.01997789,2.06704996,0.96387264,0.29369816,1.11705473,0.62320881
-5.92796398,3.67028987,0.01047776,0.37291884,0.01931847,2.08818266,0.97527554,0.29812902,1.14430078,0.63817078
-5.92196098,3.71071698,0.01027141,0.38680021,0.01860149,2.10100408,0.98284471,0.30127145,1.16648778,0.65064049
-5.91595798,3.73542916,0.01002903,0.39886446,0.01783510,2.10512701,0.98640549,0.30306006,1.18323837,0.66028563
-5.90995498,3.74361935,0.00975277,0.40882358,0.01702762,2.10033399,0.98586729,0.30345363,1.19428710,0.66682631
-5.90395198,3.73480511,0.00944538,0.41643010,0.01618738,2.08658357,0.98122517,0.30243638,1.19948654,0.67004387
-5.89794897,3.70884279,0.00911015,0.42148488,0.01532267,2.06401088,0.97255839,0.30001866,1.19880933,0.66978783
-5.89194597,3.66593058,0.00875077,0.42384341,0.01444155,2.03292218,0.96002616,0.29623665,1.19234641,0.66598055
-5.88594297,3.60660030,0.00837126,0.42342029,0.01355184,1.99378368,0.94386058,0.29115129,1.18030115,0.65861952
-5.87993997,3.53169789,0.00797589,0.42019179,0.01266098,1.94720503,0.92435723,0.28484641,1.16297989,0.64777698
-5.87393697,3.44235377,0.00756900,0.41419620,0.01177601,1.89391816,0.90186366,0.27742600,1.14077920,0.63359716
-5.86793397,3.33994399,0.00715498,0.40553220,0.01090349,1.83475239,0.87676653,0.26901100,1.11417033,0.61629103
-5.86193097,3.22604418,0.00673811,0.39435500,0.01004944,1.77060696,0.84947777,0.25973542,1.08368183,0.59612889
-5.85592796,3.10237816,0.00632247,0.38087081,0.00921933,1.70242208,0.82042050,0.24974225,1.04988082,0.57343116
-5.84992496,2.97076356,0.00591190,0.36532956,0.00841800,1.63114991,0.79001535,0.23917913,1.01335402,0.54855787
-5.84392196,2.83305693,0.00550985,0.34801650,0.00764966,1.55772668,0.75866768,0.22819407,0.97468921,0.52189706
-5.83791896,2.69110055,0.00511939,0.32924281,0.00691788,1.48304707,0.72675634,0.21693142,0.93445804,0.49385299
-5.83191596,2.54667322,0.00474311,0.30933588,0.00622553,1.40794195,0.69462440,0.20552815,0.89320076,0.46483427
-5.82591296,2.40144696,0.00438314,0.28862950,0.00557483,1.33316026,0.66257202,0.19411074,0.85141362,0.43524274
-5.81990995,2.25695105,0.00404109,0.26745449,0.00496734,1.25935561,0.63085194,0.18279258,0.80953924,0.40546322
-5.81390695,2.11454466,0.00371811,0.24613000,0.00440396,1.18707791,0.59966737,0.17167225,0.76796020,0.37585477
-5.80790395,1.97539836,0.00341485,0.22495599,0.00388497,1.11677003,0.56917231,0.16083236,0.72699600,0.34674347
-5.80190095,1.84048497,0.00313154,0.20420690,0.00341011,1.04876923,0.53947417,0.15033922,0.68690310,0.31841709
-5.79589795,1.71057900,0.00286805,0.18412684,0.00297856,0.98331298,0.51063822,0.14024321,0.64787797,0.29112157
