energy_ev,total_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,1.25482709,0.39634792,0.71214417,0.00006578,0.09346255,0.51609465,0.00031412
-5.99399700,1.27136440,0.40358838,0.72021814,0.00007754,0.09451457,0.52495291,0.00031435
-5.98799400,1.28171776,0.40896478,0.72469857,0.00009138,0.09504380,0.53138645,0.00031305
-5.98199100,1.28599180,0.41246779,0.72566676,0.00010758,0.09504748,0.53540202,0.00031040
-5.97598799,1.28441263,0.41412324,0.72327539,0.00012643,0.09453149,0.53705299,0.00030658
-5.96998499,1.27731982,0.41399094,0.71774334,0.00014824,0.09350991,0.53643710,0.00030183
-5.96398199,1.26515526,0.41216263,0.70934879,0.00017332,0.09200452,0.53369317,0.00029640
-5.95797899,1.24844933,0.40875912,0.69842069,0.00020197,0.09004401,0.52899662,0.00029056
-5.95197599,1.22780505,0.40392683,0.68532910,0.00023448,0.08766318,0.52255418,0.00028461
-5.94597299,1.20388055,0.39783366,0.67047461,0.00027110,0.08490197,0.51459788,0.00027882
-5.93996998,1.17737071,0.39066449,0.65427737,0.00031206,0.08180448,0.50537856,0.00027347
-5.93396698,1.14898847,0.38261636,0.63716590,0.00035753,0.07841793,0.49515903,0.00026881
-5.92796398,1.11944628,0.37389352,0.61956622,0.00040762,0.07479165,0.48420720,0.00026508
-5.92196098,1.08943844,0.36470231,0.60189144,0.00046237,0.07097614,0.47278929,0.00026247
-5.91595798,1.05962463,0.35524632,0.58453218,0.00052174,0.06702212,0.46116333,0.00026114
-5.90995498,1.03061519,0.34572164,0.56784802,0.00058558,0.06297969,0.44957312,0.00026121
-5.90395198,1.00295839,0.33631250,0.55216028,0.00065366,0.05889761,0.43824293,0.00026276
-5.89794897,0.97713018,0.32718744,0.53774610,0.00072564,0.05482264,0.42737284,0.00026581
-5.89194597,0.95352659,0.31849600,0.52483421,0.00080106,0.05079901,0.41713521,0.00027035
-5.88594297,0.93245889,0.31036615,0.51360229,0.00087937,0.04686804,0.40767206,0.00027631
-5.87993997,0.91415190,0.30290257,0.50417605,0.00095990,0.04306782,0.39909370,0.00028358
-5.87393697,0.89874522,0.29618567,0.49663014,0.00104188,0.03943308,0.39147852,0.00029203
-5.86793397,0.88629754,0.29027169,0.49099075,0.00112448,0.03599516,0.38487402,0.00030150
-5.86193097,0.87679399,0.28519363,0.48723992,0.00120679,0.03278209,0.37929913,0.00031178
-5.85592796,0.87015608,0.28096314,0.48532147,0.00128782,0.02981885,0.37474760,0.00032267
-5.84992496,0.86625427,0.27757338,0.48514831,0.00136660,0.02712764,0.37119257,0.00033395
-5.84392196,0.86492250,0.27500253,0.48661106,0.00144211,0.02472835,0.36859194,0.00034541
-5.83791896,0.86597434,0.27321812,0.48958749,0.00151337,0.02263904,0.36689451,0.00035686
-5.83191596,0.86922011,0.27218175,0.49395272,0.00157945,0.02087644,0.36604659,0.00036809
-5.82591296,0.87448425,0.27185412,0.49958946,0.00163949,0.01945662,0.36599867,0.00037896
-5.81990995,0.88162223,0.27220018,0.50639816,0.00169273,0.01839542,0.36671206,0.00038934
-5.81390695,0.89053611,0.27319398,0.51430640,0.00173853,0.01770908,0.36816499,0.00039914
-5.80790395,0.90118795,0.27482311,0.52327699,0.00177642,0.01741455,0.37035775,0.00040834
-5.80190095,0.91361024,0.27709231,0.53331448,0.00180607,0.01752985,0.37331685,0.00041692
-5.79589795,0.92791257,0.28002615,0.54446936,0.00182734,0.01807416,0.37709748,0.00042497
-5.78989495,0.94428381,0.28367037,0.55683974,0.00184029,0.01906772,0.38178429,0.00043257
-5.78389195,0.96298937,0.28809189,0.57056999,0.00184517,0.02053154,0.38749024,0.00043989
-5.77788894,0.98436317,0.29337714,0.58584630,0.00184239,0.02248685,0.39435321,0.00044712
-5.77188594,1.00879414,0.29962885,0.60288887,0.00183258,0.02495420,0.40253068,0.00045449
-5.76588294,1.03670755,0.30696125,0.62194098,0.00181651,0.02795248,0.41219215,0.00046225
-5.75987994,1.06854154,0.31549368,0.64325508,0.00179507,0.03149753,0.42350989,0.00047068
-5.75387694,1.10471958,0.32534307,0.66707647,0.00176929,0.03560068,0.43664810,0.00048003
-5.74787394,1.14562005,0.33661529,0.69362497,0.00174026,0.04026711,0.45175086,0.00049058
-5.74187094,1.19154403,0.34939600,0.72307559,0.00170910,0.04549412,0.46892967,0.00050255
-5.73586793,1.24268309,0.36374128,0.75553907,0.00167695,0.05126948,0.48825088,0.00051615
-5.72986493,1.29908852,0.37966862,0.79104317,0.00164489,0.05756980,0.50972387,0.00053150
-5.72386193,1.36064398,0.39714876,0.82951610,0.00161391,0.06435919,0.53329059,0.00054871
-5.71785893,1.42704321,0.41609897,0.87077283,0.00158492,0.07158825,0.55881717,0.00056776
-5.71185593,1.49777447,0.43637813,0.91450555,0.00155864,0.07919337,0.58608824,0.00058857
-5.70585293,1.57211311,0.45778423,0.96027907,0.00153564,0.08709663,0.61480440,0.00061100
-5.69984992,1.64912344,0.48005449,1.00753176,0.00151628,0.09520625,0.64458339,0.00063477
-5.69384692,1.72767048,0.50286841,1.05558269,0.00150072,0.10341760,0.67496514,0.00065957
-5.68784392,1.80644188,0.52585378,1.10364481,0.00148891,0.11161496,0.70542065,0.00068496
-5.68184092,1.88397971,0.54859566,1.15084428,0.00148060,0.11967375,0.73536482,0.00071049
-5.67583792,1.95872121,0.57064810,1.19624523,0.00147535,0.12746346,0.76417251,0.00073560
-5.66983492,2.02904713,0.59154812,1.23887923,0.00147256,0.13485100,0.79119764,0.00075975
-5.66383192,2.09333589,0.61083156,1.27777823,0.00147148,0.14170445,0.81579434,0.00078236
-5.65782891,2.15002130,0.62805015,1.31200982,0.00147130,0.14789700,0.83733937,0.00080285
-5.65182591,2.19765128,0.64278897,1.34071298,0.00147113,0.15331107,0.85525484,0.00082069
-5.64582291,2.23494507,0.65468364,1.36313300,0.00147007,0.15784219,0.86903018,0.00083541
-5.63981991,2.26084612,0.66343638,1.37865370,0.00146728,0.16140270,0.87824240,0.00084659
-5.63381691,2.27456836,0.66883023,1.38682558,0.00146197,0.16392493,0.88257359,0.00085394
-5.62781391,2.27563347,0.67074068,1.38738852,0.00145349,0.16536386,0.88182498,0.00085725
-5.62181091,2.26389753,0.66914423,1.38028782,0.00144133,0.16569895,0.87592678,0.00085647
-5.61580790,2.23956561,0.66412338,1.36568295,0.00142516,0.16493522,0.86494344,0.00085166
-5.60980490,2.20319371,0.65586777,1.34394845,0.00140488,0.16310336,0.84907404,0.00084302
-5.60380190,2.15567796,0.64467143,1.31566696,0.00138056,0.16025907,0.82864789,0.00083089
-5.59779890,2.09823147,0.63092616,1.28161470,0.00135252,0.15648134,0.80411551,0.00081575
-5.59179590,2.03235001,0.61511133,1.24273994,0.00132127,0.15187014,0.77603551,0.00079817
-5.58579290,1.95976801,0.59778048,1.20013553,0.00128753,0.14654320,0.74505800,0.00077884
-5.57978989,1.88240668,0.57954520,1.15500654,0.00125217,0.14063239,0.71190518,0.00075853
-5.57378689,1.80231662,0.56105696,1.10863434,0.00121621,0.13427959,0.67735007,0.00073806
-5.56778389,1.72161703,0.54298750,1.06233865,0.00118077,0.12763236,0.64219426,0.00071829
-5.56178089,1.64243392,0.52600860,1.01743882,0.00114705,0.12083956,0.60724543,0.00070006
-5.55577789,1.56683954,0.51077175,0.97521581,0.00111626,0.11404698,0.57329552,0.00068421
-5.54977489,1.49679498,0.49788855,0.93687619,0.00108959,0.10739339,0.54110024,0.00067154
-5.54377189,1.43409774,0.48791237,0.90351906,0.00106817,0.10100678,0.51136052,0.00066274
-5.53776888,1.38033565,0.48132184,0.87610710,0.00105303,0.09500128,0.48470622,0.00065844
-5.53176588,1.33684826,0.47850663,0.85544218,0.00104506,0.08947457,0.46168259,0.00065912
-5.52576288,1.30469640,0.47975589,0.84214627,0.00104499,0.08450592,0.44273946,0.00066515
-5.51975988,1.28464034,0.48524965,0.83664781,0.00105335,0.08015497,0.42822331,0.00067675
-5.51375688,1.27712663,0.49505332,0.83917373,0.00107046,0.07646108,0.41837210,0.00069398
-5.50775388,1.28228353,0.50911548,0.84974713,0.00109642,0.07344337,0.41331282,0.00071675
-5.50175088,1.29992469,0.52726888,0.86819033,0.00113110,0.07110137,0.41306144,0.00074479
-5.49574787,1.32956052,0.54923469,0.89413318,0.00117416,0.06941615,0.41752519,0.00077773
-5.48974487,1.37041676,0.57462983,0.92702604,0.00122502,0.06835192,0.42650688,0.00081501
