energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,16.62927545,0.58241122,0.42153825,0.10858371,0.08739673,0.04011131,1.28075894,0.40230683,13.58718763
-5.99399700,15.97866613,0.58147055,0.42296836,0.10834021,0.08584017,0.04021743,1.28841879,0.40001142,12.94060189
-5.98799400,15.33858140,0.57863509,0.42323122,0.10805903,0.08401617,0.04042960,1.29347239,0.39694010,12.31010802
-5.98199100,14.71219724,0.57398035,0.42238034,0.10777013,0.08194839,0.04075827,1.29610248,0.39312928,11.69829855
-5.97598799,14.10275006,0.56761579,0.42049625,0.10750153,0.07966494,0.04121408,1.29654504,0.38862933,11.10772262
-5.96998499,13.51343041,0.55967915,0.41768406,0.10727839,0.07719752,0.04180765,1.29507781,0.38350184,10.54080656
-5.96398199,12.94727529,0.55033040,0.41407054,0.10712224,0.07458064,0.04254940,1.29200792,0.37781678,9.99977502
-5.95797899,12.40706403,0.53974527,0.40980069,0.10705036,0.07185061,0.04344917,1.28765905,0.37164962,9.48657617
-5.95197599,11.89522217,0.52810888,0.40503383,0.10707522,0.06904464,0.04451598,1.28235868,0.36507851,9.00281459
-5.94597299,11.41373726,0.51560961,0.39993950,0.10720418,0.06619990,0.04575764,1.27642592,0.35818162,8.54969467
-5.93996998,10.96409019,0.50243343,0.39469298,0.10743923,0.06335259,0.04718038,1.27016028,0.35103476,8.12797695
-5.93396698,10.54720431,0.48875896,0.38947085,0.10777694,0.06053714,0.04878846,1.26383184,0.34370929,7.73794923
-5.92796398,10.16341427,0.47475332,0.38444637,0.10820855,0.05778541,0.05058373,1.25767305,0.33627045,7.37941342
-5.92196098,9.81245530,0.46056904,0.37978503,0.10872013,0.05512604,0.05256528,1.25187247,0.32877609,7.05168844
-5.91595798,9.49347289,0.44634204,0.37564022,0.10929294,0.05258397,0.05472900,1.24657055,0.32127576,6.75362892
-5.90995498,9.20505220,0.43219061,0.37214920,0.10990386,0.05017992,0.05706730,1.24185758,0.31381031,6.48365863
-5.90395198,8.94526565,0.41821570,0.36942944,0.11052593,0.04793024,0.05956878,1.23777380,0.30641188,6.23981715
-5.89794897,8.71173674,0.40450208,0.36757557,0.11112898,0.04584668,0.06221813,1.23431173,0.29910429,6.01981798
-5.89194597,8.50171789,0.39112071,0.36665693,0.11168040,0.04393643,0.06499606,1.23142060,0.29190372,5.82111566
-5.88594297,8.31217935,0.37813188,0.36671592,0.11214594,0.04220228,0.06787942,1.22901276,0.28481990,5.64097970
-5.87993997,8.13990676,0.36558921,0.36776737,0.11249062,0.04064284,0.07084148,1.22697213,0.27785740,5.47657269
-5.87393697,7.98160411,0.35354434,0.36979892,0.11267966,0.03925295,0.07385247,1.22516422,0.27101733,5.32503002
-5.86793397,7.83399955,0.34205203,0.37277252,0.11267957,0.03802419,0.07688028,1.22344795,0.26429920,5.18353902
-5.86193097,7.69395106,0.33117575,0.37662730,0.11245910,0.03694543,0.07989141,1.22168864,0.25770299,5.04941489
-5.85592796,7.55854941,0.32099328,0.38128355,0.11199038,0.03600351,0.08285213,1.21977228,0.25123132,4.92017173
-5.84992496,7.42521577,0.31160244,0.38664798,0.11124995,0.03518398,0.08572981,1.21762049,0.24489174,4.79358648
-5.84392196,7.29179161,0.30312656,0.39262007,0.11021974,0.03447183,0.08849451,1.21520597,0.23869905,4.66775443
-5.83791896,7.15661850,0.29571962,0.39909936,0.10888799,0.03385233,0.09112053,1.21256785,0.23267756,4.54113491
-5.83191596,7.01860572,0.28957068,0.40599341,0.10725007,0.03331176,0.09358820,1.20982654,0.22686330,4.41258615
-5.82591296,6.87728365,0.28490770,0.41322610,0.10530913,0.03283818,0.09588544,1.20719738,0.22130594,4.28138859
-5.81990995,6.73284104,0.28200014,0.42074593,0.10307657,0.03242213,0.09800943,1.20500232,0.21607054,4.14725616
-5.81390695,6.58614457,0.28116041,0.42853386,0.10057228,0.03205728,0.09996790,1.20367916,0.21123880,4.01033548
-5.80790395,6.43873917,0.28274383,0.43661017,0.09782466,0.03174088,0.10178022,1.20378727,0.20690991,3.87119292
-5.80190095,6.29282808,0.28714679,0.44504001,0.09487037,0.03147422,0.10347816,1.20600919,0.20320075,3.73078999
-5.79589795,6.15123177,0.29480302,0.45393703,0.09175382,0.03126283,0.10510601,1.21114742,0.20024537,3.59044762
-5.78989495,6.01732542,0.30617768,0.46346476,0.08852640,0.03111658,0.10672040,1.22011561,0.19819377,3.45180018
-5.78389195,5.89495521,0.32175917,0.47383543,0.08524543,0.03104956,0.10838934,1.23392386,0.19720966,3.31674031
-5.77788894,5.78833405,0.34204855,0.48530597,0.08197289,0.03107978,0.11019077,1.25365770,0.19746745,3.18735578
-5.77188594,5.70191840,0.36754653,0.49817103,0.07877396,0.03122873,0.11221045,1.28045076,0.19914823,3.06585996
-5.76588294,5.64026830,0.39873822,0.51275316,0.07571537,0.03152065,0.11453926,1.31545139,0.20243481,2.95451739
-5.75987994,5.60789347,0.43607566,0.52939027,0.07286364,0.03198174,0.11727007,1.35978374,0.20750596,2.85556645
-5.75387694,5.60908950,0.47995870,0.54842074,0.07028325,0.03263911,0.12049405,1.41450425,0.21452988,2.77114090
-5.74787394,5.64776831,0.53071452,0.57016659,0.06803479,0.03351968,0.12429676,1.48055478,0.22365709,2.70319246
-5.74187094,5.72728827,0.58857652,0.59491560,0.06617317,0.03464895,0.12875406,1.55871390,0.23501293,2.65341652
-5.73586793,5.85028950,0.65366336,0.62290274,0.06474591,0.03604972,0.13392800,1.64954819,0.24868999,2.62318317
-5.72986493,6.01854061,0.72595883,0.65429214,0.06379160,0.03774077,0.13986291,1.75336561,0.26474063,2.61347570
-5.72386193,6.23280294,0.80529383,0.68916021,0.06333856,0.03973564,0.14658187,1.87017310,0.28317009,2.62483860
-5.71785893,6.49271861,0.89133118,0.72748092,0.06340376,0.04204145,0.15408365,1.99964072,0.30393040,2.65733705
-5.71185593,6.79672815,0.98355437,0.76911407,0.06399206,0.04465788,0.16234047,2.14107432,0.32691541,2.71052958
