energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,W_p_up,W_d_up
-6.00000000,2.92346956,0.03915139,1.68757444,0.30074131,0.00026161,1.39062218,0.83906082
-5.99399700,2.97328969,0.03740992,1.73829855,0.30117654,0.00026341,1.42293744,0.86145485
-5.98799400,3.04032082,0.03583737,1.80161792,0.30200390,0.00026718,1.46095223,0.89173449
-5.98199100,3.12624456,0.03445533,1.87865435,0.30330636,0.00027302,1.50563779,0.93055012
-5.97598799,3.23246770,0.03328067,1.97036815,0.30514610,0.00028096,1.55791414,0.97845915
-5.96998499,3.36008684,0.03232580,2.07753074,0.30756287,0.00029100,1.61862252,1.03591296
-5.96398199,3.50986109,0.03159898,2.20070122,0.31057329,0.00030309,1.68849925,1.10324602
-5.95797899,3.68219343,0.03110481,2.34020751,0.31417115,0.00031715,1.76815157,1.18066728
-5.95197599,3.87712101,0.03084478,2.49613223,0.31832861,0.00033308,1.85803660,1.26825367
-5.94597299,4.09431420,0.03081795,2.66830369,0.32299842,0.00035072,1.95844394,1.36594591
-5.93996998,4.33308432,0.03102160,2.85629217,0.32811684,0.00036994,2.06948265,1.47354638
-5.93396698,4.59239930,0.03145197,3.05941141,0.33360736,0.00039055,2.19107293,1.59071909
-5.92796398,4.87090642,0.03210492,3.27672524,0.33938482,0.00041238,2.32294294,1.71699152
-5.92196098,5.16696120,0.03297658,3.50705903,0.34535980,0.00043525,2.46463061,1.85175844
-5.91595798,5.47866093,0.03406390,3.74901566,0.35144310,0.00045900,2.61549038,1.99428739
-5.90995498,5.80388162,0.03536512,4.00099544,0.35754994,0.00048347,2.77470457,2.14372580
-5.90395198,6.14031683,0.03688010,4.26121939,0.36360371,0.00050850,2.94129870,2.29910958
-5.89794897,6.48551685,0.03861049,4.52775524,0.36953910,0.00053397,3.11416020,2.45937308
-5.89194597,6.83692688,0.04055976,4.79854543,0.37530429,0.00055978,3.29205954,2.62336023
-5.88594297,7.19192290,0.04273304,5.07143631,0.38086222,0.00058581,3.47367303,2.78983673
-5.87993997,7.54784428,0.04513676,5.34420785,0.38619083,0.00061199,3.65760624,2.95750317
-5.87393697,7.90202216,0.04777818,5.61460316,0.39128219,0.00063825,3.84241714,3.12500880
-5.86793397,8.25180331,0.05066469,5.88035712,0.39614065,0.00066452,4.02663815,3.29096598
-5.86193097,8.59456916,0.05380302,6.13922370,0.40078013,0.00069074,4.20879630,3.45396501
-5.85592796,8.92775032,0.05719828,6.38900135,0.40522069,0.00071686,4.38743097,3.61258929
-5.84992496,9.24883695,0.06085301,6.62755629,0.40948458,0.00074280,4.56110886,3.76543059
-5.84392196,9.55538599,0.06476614,6.85284351,0.41359209,0.00076848,4.72843592,3.91110442
-5.83791896,9.84502611,0.06893196,7.06292547,0.41755741,0.00079379,4.88806649,4.04826535
-5.83191596,10.11546182,0.07333920,7.25598861,0.42138477,0.00081862,5.03870985,4.17562223
-5.82591296,10.36447800,0.07797019,7.43035795,0.42506511,0.00084282,5.17913483,4.29195323
-5.81990995,10.58994625,0.08280028,7.58451024,0.42857351,0.00086621,5.30817305,4.39612065
-5.81390695,10.78983442,0.08779735,7.71708589,0.43186757,0.00088860,5.42472176,4.48708558
-5.80790395,10.96222031,0.09292176,7.82690043,0.43488681,0.00090975,5.52774710,4.56392211
-5.80190095,11.10531050,0.09812643,7.91295569,0.43755322,0.00092944,5.61628869,4.62583133
-5.79589795,11.21746468,0.10335736,7.97445114,0.43977292,0.00094738,5.68946619,4.67215470
-5.78989495,11.29722548,0.10855446,8.01079567,0.44143887,0.00096331,5.74648858,4.70238686
-5.78389195,11.34335333,0.11365265,8.02161965,0.44243457,0.00097695,5.78666623,4.71618749
-5.77788894,11.35486525,0.11858334,8.00678718,0.44263845,0.00098803,5.80942598,4.71339195
-5.77188594,11.33107619,0.12327605,7.96640813,0.44192891,0.00099627,5.81432867,4.69402032
-5.76588294,11.27164077,0.12766032,7.90084911,0.44018963,0.00100145,5.80108852,4.65828435
-5.75987994,11.17659327,0.13166774,7.81074261,0.43731497,0.00100335,5.76959332,4.60659184
-5.75387694,11.04638323,0.13523394,7.69699324,0.43321513,0.00100182,5.71992407,4.53954792
-5.74787394,10.88190412,0.13830064,7.56077997,0.42782090,0.00099673,5.65237273,4.45795271
-5.74187094,10.68451254,0.14081752,7.40355315,0.42108776,0.00098803,5.56745629,4.36279497
-5.73586793,10.45603585,0.14274386,7.22702553,0.41299906,0.00097573,5.46592596,4.25524133
-5.72986493,10.19876644,0.14404994,7.03315629,0.40356820,0.00095988,5.34876992,4.13662103
